,Concept_ID,ro,ca
0,Auge::N,ochi,ull
1,Ohr::N,ureche,orella
2,Nase::N,nas,nas
3,Mund::N,gură,boca
4,Zahn::N,dinte,dent
5,Zunge::N,limbă,llēngua
6,Lippe::N,buză,llavi
7,Wange::N,bucă,galta
8,Wange::N,obraz,galta
9,Gesicht::N,față,cara
10,Gesicht::N,figură,cara
11,Stirn::N,frunte,front
12,Haar::N,păr,cabēll
13,Schnurrbart::N,mustață,bigoti
14,Bart::N,barbă,barba
15,Kinn::N,bărbie,mentó
16,Kinn::N,bărbie,barbeta
17,Kiefer[Anatomie]::N,falcă,queix
18,Kiefer[Anatomie]::N,falcă,mandíbula
19,Kehle::N,beregată,gola
20,Kehle::N,beregată,gorja
21,Hals::N,gât,coll
22,Genick::N,ceafă,nuca
23,Kopf::N,cap,cap
24,Rücken::N,dos,esquena
25,Rücken::N,spate,esquena
26,Rücken::N,spinare,esquena
27,Bauch::N,burtă,panxa
28,Bauch::N,pântece,panxa
29,Nabel::N,buric,llombrígol
30,Busen::N,sân,pit
31,Busen::N,sân,mama
32,Brust::N,piept,pit
33,Schulter::N,umăr,espatlla
34,Schulter::N,spate,espatlla
35,Arm::N,braț,braç
36,Ellenbogen::N,cot,colze
37,Hand::N,mână,mà
38,Handfläche::N,palmă,palma
39,Finger::N,deget,dit
40,Fingernagel::N,unghie,ungla
41,Nagel[Anatomie]::N,unghie,ungla
42,Zeh::N,deget de la picior,dit del peu
43,Fuß::N,picior,peu
44,Ferse::N,călcâi,taló
45,Knie::N,genunchi,genoll
46,Oberschenkel::N,coapsă,cuixa
47,Bein::N,picior,cama
48,Körper::N,corp,cos
49,Haut::N,piele,pell
50,Blut::N,sânge,sang
51,Ader::N,vână,vena
52,Ader::N,arteră,vena
53,Sehne::N,tendon,tendó
54,Knochen::N,os,os
55,Gehirn::N,creier,cervell
56,Herz::N,inimă,cor
57,Magen::N,stomac,estómac
58,Leber::N,ficat,fetge
59,Atem::N,răsuflare,alè
60,Atem::N,răsuflare,hàlit
61,Atem::N,respirație,alè
62,Atem::N,respirație,hàlit
63,Hunger::N,foame,fam
64,Hunger::N,foame,gana
65,Träne::N,lacrimă,llàgrima
66,Geschmack::N,gust,gust
67,Geschmack::N,gust,sabor
68,Geruch::N,miros,olor
69,Schlaf::N,somn,son
70,Traum::N,vis,somni
71,Himmel::N,cer,celm
72,Sonne::N,soare,sol
73,Mond::N,lună,lluna
74,Stern::N,stea,estel
75,Stern::N,stea,estrella
76,Luft::N,aer,aire
77,Wind::N,vânt,vent
78,Welle::N,val,ona
79,Welle::N,undă,ona
80,Wasser::N,apă,āigua
81,Stein::N,piatră,pedra
82,Boden::N,sol,sòl
83,Boden::N,pământ,sòl
84,Erde::N,pământ,terra
85,Staub::N,praf,pols
86,Rauch::N,fum,fum
87,Funke::N,scânteie,guspira
88,Funke::N,scânteie,centella
89,Feuer::N,foc,foc
90,Licht::N,lumină,llum
91,Schatten::N,umbră,ombra
92,Wetter::N,timp,temps
93,Wetter::N,vreme,temps
94,Nebel::N,ceață,boira
95,Nebel::N,negură,boira
96,Wolke::N,nor,núvol
97,Regen::N,ploaie,pluja
98,Schnee::N,zăpadă,neu
99,Eis::N,gheață,gel
100,Eis::N,gheață,glaç
101,Frost::N,ger,glaçada
102,Kälte::N,frig,fred
103,Hitze::N,arșiță,calor
104,Hitze::N,căldură,calor
105,Raureif::N,chiciură,gebre
106,Regenbogen::N,curcubeu,arc iris
107,Donner::N,tunet,tro
108,Strömung::N,curent,corrent
109,Tropfen::N,picătură,gota
110,Schaum::N,spumă,escuma
111,Schmutz::N,murdărie,brutícia
112,See::N,lac,llac
113,Sumpf::N,mlaștină,pantà
114,Moor::N,bărăgan,pantà
115,Wiese::N,fânaț,prat
116,Wiese::N,fânaț,prada
117,Wiese::N,livadă,prat
118,Wiese::N,livadă,prada
119,Wald::N,codru,bosc
120,Wald::N,pădure,bosc
121,Hügel::N,deal,puig
122,Hügel::N,deal,pujol
123,Hügel::N,movilă,puig
124,Hügel::N,movilă,pujol
125,Anhöhe::N,deal,turó
126,Anhöhe::N,ridicătură,turó
127,Berg::N,munte,muntanya
128,Gipfel::N,pisc,cim
129,Höhle::N,peșteră,cova
130,Abhang::N,pantă,coster
131,Abhang::N,versant,coster
132,Quelle::N,izvor,font
133,Bach::N,gârlă,riera
134,Fluss::N,râu,riu
135,Fluss::N,fluviu,riu
136,Ufer::N,mal,riba
137,Ufer::N,țărm,riba
138,Küste::N,coastă,costa
139,Festland::N,uscat,terra ferma
140,Meer::N,mare,mar
141,Bucht::N,golf,cala
142,Bucht::N,golf,badia
143,Insel::N,insulă,illa
144,Blume::N,floare,flor
145,Gras::N,iarbă,herba
146,Wurzel::N,rădăcină,rel
147,Wurzel::N,rădăcină,arrel
148,Baum::N,copac,arbre
149,Baum::N,arbore,arbre
150,Stamm::N,tulpină,tronc
151,Rinde::N,scoarță,escorça
152,Ast::N,cracă,branca
153,Ast::N,creangă,branca
154,Zweig::N,ramură,ram
155,Zweig::N,creangă,ram
156,Blatt::N,frunză,fulla
157,Birke::N,mesteacăn,bedoll
158,Kiefer[Baum]::N,pin,pi
159,Weide[Baum]::N,salcie,salze
160,Weide[Baum]::N,răchită,salze
161,Tanne::N,brad,avet
162,Horn::N,corn,corn
163,Horn::N,corn,banya
164,Feder::N,pană,ploma
165,Fell::N,piele,pell
166,Flügel::N,aripă,ala
167,Klaue::N,gheară,urpa
168,Kralle::N,labă,grapa
169,Kralle::N,gheară,grapa
170,Schwanz::N,coadă,cua
171,Ei::N,ou,ou
172,Nest::N,cuib,niu
173,Bau::N,bârlog,cau
174,Bau::N,vizuină,cau
175,Tier::N,animal,animāl
176,Herde::N,turmă,ramat
177,Herde::N,cireadă,ramat
178,Kuh::N,vacă,vaca
179,Bulle::N,taur,toro
180,Pferd::N,cal,cavāll
181,Schaf::N,oaie,be
182,Schaf::N,oaie,ovella
183,Schwein::N,porc,bacó
184,Hund::N,câine,ca
185,Hund::N,câine,gos
186,Katze::N,pisică,gat
187,Bär::N,urs,ós
188,Eichhörnchen::N,veveriță,esquirol
189,Elch::N,elan,ant
190,Fuchs::N,vulpe,guilla
191,Hase::N,iepure,llebre
192,Maus::N,șoarece,ratolí
193,Wolf::N,lup,llop
194,Vogel::N,pasăre,au
195,Vogel::N,pasăre,ocēll
196,Schwarm::N,cârd,bandada
197,Huhn::N,găină,gallina
198,Hahn::N,cocoș,gall
199,Gans::N,gâscă,oca
200,Adler::N,vultur,àguila
201,Ente::N,rață,ànec
202,Eule::N,bufniță,òliba
203,Eule::N,bufniță,mussol
204,Kranich::N,cocor,grua
205,Krähe::N,cioară,cornella
206,Kuckuck::N,cuc,cucut
207,Schwan::N,lebădă,cigne
208,Fisch::N,pește,peix
209,Barsch::N,biban,perca
210,Hecht::N,știucă,lluç
211,Schlange[Tier]::N,șarpe,serp
212,Wurm::N,vierme,cuc
213,Spinne::N,păianjen,aranya
214,Ameise::N,furnică,formiga
215,Laus::N,păduche,poll
216,Mücke::N,țânțar,mosquit
217,Fliege::N,muscă,mosca
218,Schmetterling::N,fluture,papallona
219,Beere::N,boabă,baia
220,Apfel::N,măr,poma
221,Pilz::N,burete,bolet
222,Pilz::N,ciupercă,bolet
223,Zwiebel::N,ceapă,ceba
224,Saat::N,semănătură,sembra
225,Korn::N,grâu,gra
226,Heu::N,fân,fenc
227,Schale::N,coajă,closca
228,Grube::N,groapă,sot
229,Grube::N,groapă,clot
230,Falle::N,cursă,trampa
231,Falle::N,capcană,trampa
232,Schlinge::N,laț,baga
233,Spur::N,dâră,traça
234,Asche::N,cenușă,cendra
235,Dreck::N,noroi,llot
236,Dreck::N,murdărie,llot
237,Eisen::N,fier,ferro
238,Gold::N,aur,or
239,Silber::N,argint,plata
240,Kohle::N,cărbune,carbó
241,Glas::N,sticlă,vidre
242,Lehm::N,lut,fang
243,Lehm::N,lut,argila
244,Lehm::N,humă,fang
245,Lehm::N,humă,argila
246,Sand::N,nisip,arena
247,Mensch::N,om,humà
248,Mensch::N,om,persona
249,Mensch::N,persoană,humà
250,Mensch::N,persoană,persona
251,Mann::N,om,home
252,Mann::N,bărbat,home
253,Frau::N,femeie,dona
254,Kind::N,copil,nen
255,Junge::N,băiat,noi
256,Junge::N,flăcău,noi
257,Mädchen::N,fată,noia
258,Familie::N,familie,família
259,Großvater::N,bunic,avi
260,Großvater::N,tată mare,avi
261,Großmutter::N,bunică,àvia
262,Großmutter::N,mamă mare,àvia
263,Eltern::N,părinți,pares
264,Vater::N,tată,pare
265,Vater::N,părinte,pare
266,Mutter::N,mamă,mare
267,Sohn::N,fiu,fill
268,Sohn::N,fecior,fill
269,Tochter::N,fiică,filla
270,Bruder::N,frate,germà
271,Schwester::N,soră,germana
272,Onkel::N,unchi,oncle
273,Tante::N,mătușă,tia
274,Ehemann::N,soț,espòs
275,Ehemann::N,bărbat,espòs
276,Ehefrau::N,soție,muller
277,Freude::N,bucurie,goig
278,Freude::N,bucurie,alegria
279,Gelächter::N,râset,riallada
280,Glück::N,fericire,felicitat
281,Kummer::N,mâhnire,pena
282,Wunsch::N,dorință,desig
283,Wunsch::N,deziderat,desig
284,Lust::N,poftă,ganes
285,Lust::N,înclinare,ganes
286,Geist::N,duh,ment
287,Geist::N,duh,esperit
288,Geist::N,minte,ment
289,Geist::N,minte,esperit
290,Geist::N,suflet,ment
291,Geist::N,suflet,esperit
292,Gedanke::N,gând,pensament
293,Gedanke::N,cuget,pensament
294,Gedächtnis::N,memorie,memòria
295,Verstand::N,minte,raó
296,Verstand::N,minte,seny
297,Verstand::N,intelect,raó
298,Verstand::N,intelect,seny
299,Sinn::N,sens,solta
300,Sinn::N,sens,sentit
301,Sinn::N,înțeles,solta
302,Sinn::N,înțeles,sentit
303,Grund::N,cauză,raó
304,Grund::N,cauză,causa
305,Grund::N,pricină,raó
306,Grund::N,pricină,causa
307,Wahrheit::N,adevăr,veritāt
308,Gespräch::N,convorbire,conversa
309,Gespräch::N,conversație,conversa
310,Märchen::N,basm,conte
311,Märchen::N,poveste,conte
312,Erzählung::N,poveste,narració
313,Nachricht::N,veste,missatge
314,Neuigkeit::N,noutate,novetat
315,Neuigkeit::N,actualitate,novetat
316,Name::N,nume,nom
317,Rätsel::N,ghicitoare,endevinalla
318,Rede::N,discurs,discurs
319,Sprache::N,limbă,llēngua
320,Sprache::N,limbaj,llēngua
321,Stimme::N,glas,veu
322,Wort::N,cuvânt,mot
323,Wort::N,cuvânt,paraula
324,Zeichen::N,semn,signe
325,Zeichen::N,semn,senyal
326,Zeichen::N,semnal,signe
327,Zeichen::N,semnal,senyal
328,Ruf::N,chemare,crida
329,Lärm::N,zgomot,sorōll
330,Lärm::N,tărăboi,sorōll
331,Laut::N,sunet,so
332,Ton::N,ton,to
333,Lied::N,cântec,cançó
334,Ruhe::N,odihnă,calma
335,Ruhe::N,odihnă,silenci
336,Ruhe::N,liniște,calma
337,Ruhe::N,liniște,silenci
338,Leute::N,lume,gent
339,Leute::N,oameni,gent
340,Volk::N,popor,poble
341,Volk::N,națiune,poble
342,Arbeit::N,lucru,labor
343,Arbeit::N,lucru,treball
344,Gast::N,musafir,hoste
345,Geschenk::N,dar,regal
346,Geschenk::N,dar,obsequi
347,Geschenk::N,cadou,regal
348,Geschenk::N,cadou,obsequi
349,Spiel::N,joc,joc
350,Gesellschaft::N,societate,companyia
351,Hilfe::N,ajutor,ajut
352,Freund::N,amic,amīc
353,Freund::N,prieten,amīc
354,Kamerad::N,tovarăș,company
355,Kamerad::N,tovarăș,camarada
356,Angelegenheit::N,afacere,afer
357,Angelegenheit::N,afacere,assumpte
358,Anzahl::N,număr,nombre
359,Anzahl::N,număr,quantitat
360,Anzahl::N,cantitate,nombre
361,Anzahl::N,cantitate,quantitat
362,Art::N,fel,tipus
363,Art::N,fel,classe
364,Art::N,specie,tipus
365,Art::N,specie,classe
366,Stück::N,bucată,peça
367,Teil::N,parte,part
368,Teil::N,porție,part
369,Hälfte::N,jumătate,meitat
370,Kreis::N,cerc,cercle
371,Kreuz::N,cruce,creu
372,Linie::N,linie,línia
373,Strich::N,linie,traç
374,Strich::N,linie,ratlla
375,Strich::N,trăsătură,traç
376,Strich::N,trăsătură,ratlla
377,Abstand::N,distanță,distància
378,Abstand::N,depărtare,distància
379,Entfernung::N,distanță,distància
380,Entfernung::N,depărtare,distància
381,Gegend::N,regiune,regió
382,Gegend::N,regiune,contrada
383,Platz::N,loc,cabuda
384,Ort::N,loc,lloc
385,Seite::N,latură,banda
386,Seite::N,latură,costāt
387,Mitte::N,centru,mig
388,Mitte::N,centru,centre
389,Gegenstand::N,obiect,objecte
390,Sache::N,lucru,cosa
391,Sache::N,chestie,cosa
392,Rand::N,bordură,vora
393,Rand::N,bordură,marge
394,Kante::N,muchie,caire
395,Kante::N,muchie,cantell
396,Kante::N,bordură,caire
397,Kante::N,bordură,cantell
398,Ecke::N,colț,cantonada
399,Spitze::N,vârf,punta
400,Spitze::N,creștet,punta
