,Concept_ID,bn,ru
0,Auge::N,চক্ষু,глаз
1,Ohr::N,কর্ণ,ухо
2,Nase::N,নাক,нос
3,Mund::N,মুখ,рот
4,Zahn::N,দাঁত,зуб
5,Zunge::N,জিহবা,язык
6,Lippe::N,অধর,губа
7,Wange::N,গণ্ড,щека
8,Gesicht::N,মুখমণ্ডল,лицо
9,Stirn::N,কপাল,лоб
10,Haar::N,চুল,волос
11,Haar::N,চুল,волосы
12,Schnurrbart::N,গোঁফ,ус
13,Schnurrbart::N,গোঁফ,усы
14,Bart::N,শ্মশ্রু,борода
15,Kinn::N,চিবুক,подбородок
16,Kiefer[Anatomie]::N,চোয়াল,челюсть
17,Kehle::N,কণ্ঠ,горло
18,Hals::N,গল,шея
19,Genick::N,ঘাড়,затылок
20,Kopf::N,মাথা,голова
21,Rücken::N,পৃষ্ঠ,спина
22,Bauch::N,উদর,живот
23,Nabel::N,নাভি,пупок
24,Busen::N,স্তন,женская грудь
25,Brust::N,বুক,грудь
26,Schulter::N,স্কন্ধ,плечо
27,Arm::N,বাহু,рука
28,Ellenbogen::N,কনুই,локоть
29,Hand::N,হাত,кисть
30,Handfläche::N,করতল,ладонь
31,Finger::N,আঙ্গুল,палец
32,Fingernagel::N,হাতের নখ,ноготь
33,Nagel[Anatomie]::N,নখ,ноготь
34,Zeh::N,আঙ্গুল,палец
35,Fuß::N,পা,ступня
36,Ferse::N,গোড়ালি,пята
37,Ferse::N,গোড়ালি,пятка
38,Knie::N,হাঁটু,колено
39,Oberschenkel::N,ঊরু,бедро
40,Bein::N,পা,нога
41,Körper::N,দেহ,тело
42,Haut::N,ত্বক,кожа
43,Blut::N,রক্ত,кровь
44,Ader::N,শিরা,вена
45,Ader::N,শিরা,сосуд
46,Sehne::N,কণ্ডরা,жила
47,Sehne::N,কণ্ডরা,тетива
48,Sehne::N,কণ্ডরা,сухожилие
49,Knochen::N,অস্থি,кость
50,Gehirn::N,মস্তিষ্ক,мозг
51,Herz::N,হৃৎপিণ্ড,сердце
52,Magen::N,পাকস্থলী,желудок
53,Leber::N,যকৃৎ,печень
54,Atem::N,শ্বাস,дух
55,Atem::N,শ্বাস,дыхание
56,Hunger::N,ক্ষুধা,голод
57,Träne::N,অশ্রু,слеза
58,Geschmack::N,স্বাদ,вкус
59,Geruch::N,গন্ধ,запах
60,Schlaf::N,ঘুম,сон
61,Traum::N,স্বপ্ন,сновидение
62,Himmel::N,আকাশ,небо
63,Sonne::N,সূর্য,солнце
64,Mond::N,চন্দ্র,луна
65,Stern::N,নক্ষত্র,звезда
66,Luft::N,বায়ু,воздух
67,Wind::N,বাতাস,ветер
68,Welle::N,ঢেউ,волна
69,Welle::N,তরঙ্গ,волна
70,Wasser::N,জল,вода
71,Stein::N,ঢিল,камень
72,Stein::N,প্রস্তর,камень
73,Boden::N,ভূতল,почва
74,Erde::N,ভূমি,земля
75,Staub::N,ধুলা,пыль
76,Rauch::N,ধোঁয়া,дым
77,Funke::N,স্ফুলিঙ্গ,искра
78,Feuer::N,অগ্নি,огонь
79,Licht::N,আলো,свет
80,Schatten::N,ছায়া,тень
81,Wetter::N,আবহাওয়া,погода
82,Nebel::N,কুহেলিকা,туман
83,Wolke::N,মেঘ,облако
84,Regen::N,বৃষ্টি,дождь
85,Schnee::N,তুষার,снег
86,Eis::N,বরফ,лед
87,Frost::N,তুষার,мороз
88,Kälte::N,শৈত্য,холод
89,Hitze::N,তাপ,жара
90,Raureif::N,তুহিন,иней
91,Regenbogen::N,রামধনু,радуга
92,Donner::N,বজ্রধ্বনি,гром
93,Strömung::N,স্রোত,течение
94,Tropfen::N,ফোঁটা,капля
95,Schaum::N,ফেনা,пена
96,Schmutz::N,ধুলা,грязь
97,See::N,হ্রদ,озеро
98,Sumpf::N,জলা,топь
99,Moor::N,মাঠ,болото
100,Wiese::N,তৃণভূমি,луг
101,Wald::N,বন,лес
102,Hügel::N,পাহাড়,холм
103,Anhöhe::N,টিলা,возвышенность
104,Berg::N,পর্বত,гора
105,Gipfel::N,শীর্ষ,вершина
106,Höhle::N,গুহা,пещера
107,Abhang::N,ঢাল,склон
108,Quelle::N,উৎস,источник
109,Bach::N,ক্ষুদ্র নদী,ручей
110,Fluss::N,নদী,река
111,Ufer::N,উপকূল,берег
112,Küste::N,তীর,побережье
113,Festland::N,ভূমি,суша
114,Meer::N,সমুদ্র,море
115,Bucht::N,উপসাগর,бухта
116,Insel::N,দ্বীপ,остров
117,Blume::N,ফুল,цветок
118,Gras::N,ঘাস,трава
119,Wurzel::N,শিকড়,корень
120,Baum::N,গাছ,дерево
121,Stamm::N,স্কন্ধ,ствол
122,Rinde::N,বল্কল,кора
123,Ast::N,শাখা,сук
124,Zweig::N,ডাল,ветвь
125,Blatt::N,পর্ণ,лист
126,Birke::N,ভুর্জ,береза
127,Kiefer[Baum]::N,পাইন গাছ,сосна
128,Weide[Baum]::N,উইলো,ива
129,Tanne::N,দেবদারূ গাছ,ель
130,Horn::N,শিং,рог
131,Feder::N,পালক,перо
132,Fell::N,রোম,шкура
133,Flügel::N,ডানা,крыло
134,Klaue::N,নখর,коготь
135,Kralle::N,নখর,лапа
136,Schwanz::N,লেজ,хвост
137,Ei::N,ডিম,яйцо
138,Nest::N,কুলায়,гнездо
139,Bau::N,ডেরা,нора
140,Tier::N,জন্তু,животное
141,Herde::N,ঝাঁক,стадо
142,Kuh::N,গোরু,корова
143,Bulle::N,বৃষ,бык
144,Pferd::N,ঘোড়া,лошадь
145,Schaf::N,ভেড়া,овца
146,Schwein::N,শূকর,свинья
147,Hund::N,কুকুর,собака
148,Katze::N,বেড়াল,кошка
149,Bär::N,ভল্লুক,медведь
150,Eichhörnchen::N,কাঠবিড়াল,белка
151,Elch::N,হরিণবিশেষ,лось
152,Fuchs::N,পাঁতিশিয়াল,лиса
153,Hase::N,শশক,заяц
154,Maus::N,নেংটি ইঁদুর,мышь
155,Wolf::N,নেকড়ে,волк
156,Vogel::N,পক্ষী,птица
157,Schwarm::N,ঝাঁক,стая
158,Huhn::N,মোরগ,курица
159,Hahn::N,কুক্কুট,петух
160,Gans::N,হংসী,гусь
161,Adler::N,ইগল,орел
162,Ente::N,হংসী,утка
163,Eule::N,পেচক,сова
164,Kranich::N,সারস,журавль
165,Krähe::N,কাক,ворона
166,Kuckuck::N,কোকিল,кукушка
167,Schwan::N,মরাল,лебедь
168,Fisch::N,মাছ,рыба
169,Barsch::N,মৎন্যবিশেষ,окунь
170,Hecht::N,বানমাছ,щука
171,Schlange[Tier]::N,সর্প,змея
172,Wurm::N,কীট,червяк
173,Spinne::N,মাকড়সা,паук
174,Ameise::N,পিপীলিকা,муравей
175,Laus::N,উকুন,вошь
176,Mücke::N,মশা,комар
177,Fliege::N,মাছি,муха
178,Schmetterling::N,প্রজাপতি,бабочка
179,Beere::N,বেরি,ягода
180,Apfel::N,আপেল,яблоко
181,Pilz::N,ছত্রক,гриб
182,Zwiebel::N,পিয়াজ,луковица
183,Saat::N,বীজ,семя
184,Korn::N,শস্য,зерно
185,Heu::N,খড়,сено
186,Schale::N,খোসা,шелуха
187,Grube::N,গর্ত,яма
188,Falle::N,ফাঁদ,ловушка
189,Schlinge::N,পাশ,силок
190,Spur::N,চিহ্ন,след
191,Asche::N,ভস্ম,зола
192,Asche::N,ভস্ম,пепел
193,Dreck::N,ময়লা,грязь
194,Eisen::N,লোহা,железо
195,Gold::N,স্বর্ণ,золото
196,Silber::N,রৌপ্য,серебро
197,Kohle::N,অঙ্গার,уголь
198,Glas::N,কাচ,стекло
199,Lehm::N,মৃত্তিকা,глина
200,Sand::N,বালি,песок
201,Mensch::N,নর,человек
202,Mensch::N,মানুষ,человек
203,Mann::N,মানুষ,мужчина
204,Frau::N,নারী,женщина
205,Kind::N,বাচ্চা,ребенок
206,Junge::N,ছেলে,мальчик
207,Mädchen::N,মেয়ে,девочка
208,Familie::N,পরিবার,семья
209,Großvater::N,মাতামহ,дедушка
210,Großmutter::N,মাতামহী,бабушка
211,Eltern::N,মাতাপিতা,родители
212,Vater::N,পিতা,отец
213,Mutter::N,মাতা,мать
214,Sohn::N,ছেলে,сын
215,Tochter::N,মেয়ে,дочь
216,Bruder::N,দাদা,брат
217,Schwester::N,বোন,сестра
218,Schwester::N,দিদি,сестра
219,Onkel::N,মামা,дядя
220,Tante::N,মাসী,тетя
221,Ehemann::N,স্বামী,муж
222,Ehefrau::N,পত্নী,жена
223,Freude::N,উল্লাস,радость
224,Gelächter::N,হাসি,смех
225,Glück::N,সুখ,счастье
226,Kummer::N,দুঃখ,горе
227,Wunsch::N,আকাঙ্ক্ষা,желание
228,Lust::N,বাসনা,влечение
229,Geist::N,আত্না,дух
230,Gedanke::N,চিন্তা,мысль
231,Gedächtnis::N,স্মরণশক্তি,память
232,Verstand::N,মন,ум
233,Sinn::N,পদার্থ,смысл
234,Grund::N,কারণ,повод
235,Wahrheit::N,সত্য,правда
236,Gespräch::N,কথাবার্তা,беседа
237,Märchen::N,রূপকথা,сказка
238,Erzählung::N,গল্প,рассказ
239,Nachricht::N,তথ্য,сообщение
240,Neuigkeit::N,খবরাখবর,новость
241,Name::N,নাম,имя
242,Rätsel::N,ধাঁধা,загадка
243,Rede::N,বক্তৃতা,речь
244,Sprache::N,ভাষা,язык
245,Stimme::N,স্বর,голос
246,Wort::N,শব্দ,слово
247,Zeichen::N,প্রতীক,знак
248,Ruf::N,ডাক,зов
249,Lärm::N,হৈচৈ,шум
250,Laut::N,ধ্বনি,звук
251,Ton::N,স্বর,звучание
252,Lied::N,গান,песня
253,Ruhe::N,শান্তি,покой
254,Leute::N,প্রজাপুঞ্জ,люди
255,Volk::N,জাতি,народ
256,Arbeit::N,চাকরি,работа
257,Gast::N,অতিথি,гость
258,Geschenk::N,উপহার,подарок
259,Spiel::N,খেলা,игра
260,Gesellschaft::N,সঙ্গিগণ,общество
261,Hilfe::N,সাহায্য,помощь
262,Freund::N,বন্ধু,друг
263,Kamerad::N,সঙ্গী,приятель
264,Angelegenheit::N,বিষয়,дело
265,Anzahl::N,পরিমাণ,количество
266,Art::N,রকম,вид
