,Concept_ID,ps,hr
0,Auge::N,سترګه,oko
1,Ohr::N,غوږ,uho
2,Nase::N,پوزه,nos
3,Mund::N,خوله,usta
4,Zahn::N,غاښ,zub
5,Zunge::N,جبه,jezik
6,Lippe::N,شونډه,usna
7,Wange::N,باړخو,obraz
8,Gesicht::N,مخ,lice
9,Stirn::N,تندی,čelo
10,Stirn::N,وچولی,čelo
11,Haar::N,وېښته,kosa
12,Schnurrbart::N,برېت,brkovi
13,Bart::N,ږیره,brada
14,Kinn::N,زنه,brada
15,Kinn::N,زنه,podbradak
16,Kiefer[Anatomie]::N,جامه,čeljust
17,Kehle::N,غاړه,grlo
18,Hals::N,غاړه,vrat
19,Genick::N,ورمېږ,zatiljak
20,Kopf::N,سر,glava
21,Rücken::N,شا,leđa
22,Rücken::N,شا,hrbat
23,Bauch::N,نس,trbuh
24,Bauch::N,ګېډه,trbuh
25,Nabel::N,نوم,pupak
26,Busen::N,تی,sisa
27,Busen::N,تی,njedra
28,Brust::N,سینه,prsa
29,Schulter::N,اوږه,rame
30,Schulter::N,اوږه,pleći
31,Arm::N,لاس,ruka
32,Ellenbogen::N,څنګل,lakat
33,Hand::N,لاس,ruka
34,Handfläche::N,ورغوی,dlan
35,Finger::N,ګوته,prst
36,Fingernagel::N,نوک,nokat
37,Nagel[Anatomie]::N,نوک,nokat
38,Zeh::N,ګوته,nozni prst
39,Fuß::N,پښه,noga
40,Fuß::N,پښه,stopalo
41,Ferse::N,پونده,peta
42,Knie::N,زنګون,koljeno
43,Oberschenkel::N,پتون,bedro
44,Bein::N,پښه,noga
45,Körper::N,ځان,tijelo
46,Haut::N,پوټکی,put
47,Haut::N,پوټکی,koža
48,Blut::N,وینه,krv
49,Ader::N,رګ,žila
50,Sehne::N,پله,tetiva
51,Knochen::N,هډوکی,kost
52,Gehirn::N,ماغزه,
53,Herz::N,زړه,srce
54,Magen::N,معده,stomak
55,Magen::N,معده,želudac
56,Leber::N,ينه,jetra
57,Leber::N,ځیګر,jetra
58,Atem::N,نفس,dah
59,Hunger::N,ولږه,glad
60,Träne::N,اوښکه,suza
61,Geschmack::N,مزه,ukus
62,Geschmack::N,خوند,ukus
63,Geruch::N,بوی,njuh
64,Geruch::N,بوی,miris
65,Schlaf::N,خوب,san
66,Traum::N,خوب,san
67,Himmel::N,اسمان,nebo
68,Sonne::N,لمر,sunce
69,Mond::N,سپوږمۍ,mjesec
70,Stern::N,ستوری,zvijezda
71,Luft::N,هوا,zrak
72,Wind::N,ورښ,vjetar
73,Welle::N,موج,val
74,Welle::N,موج,talas
75,Wasser::N,اوبه,voda
76,Stein::N,ډبره,kamen
77,Boden::N,مځکه,tlo
78,Boden::N,مځکه,zemlja
79,Erde::N,خاوره,zemlja
80,Staub::N,ګرد,prah
81,Staub::N,ګرد,prašina
82,Staub::N,خاوره,prah
83,Staub::N,خاوره,prašina
