,Concept_ID,ja,nl
0,Auge::N,目,oog
1,Ohr::N,耳,oor
2,Nase::N,鼻,neus
3,Mund::N,口,mond
4,Zahn::N,歯,tand
5,Zunge::N,舌,tong
6,Lippe::N,唇,lip
7,Wange::N,頬,wang
8,Gesicht::N,顔,gelaat
9,Gesicht::N,顔,gezicht
10,Stirn::N,額,voorhoofd
11,Haar::N,髪,haar
12,Schnurrbart::N,口髭,snor
13,Bart::N,髭,baard
14,Kinn::N,顎,kin
15,Kiefer[Anatomie]::N,顎,kaak
16,Kehle::N,喉,keel
17,Kehle::N,喉,strot
18,Hals::N,首,hals
19,Genick::N,首,nek
20,Kopf::N,頭,hoofd
21,Rücken::N,背中,rug
22,Bauch::N,腹,buik
23,Bauch::N,お腹,buik
24,Nabel::N,へそ,navel
25,Busen::N,乳房,boezem
26,Brust::N,胸,borst
27,Schulter::N,肩,schouder
28,Arm::N,腕,arm
29,Ellenbogen::N,肘,elleboog
30,Hand::N,手,hand
31,Handfläche::N,手のひら,handpalm
32,Finger::N,指,vinger
33,Fingernagel::N,爪,nagel
34,Nagel[Anatomie]::N,爪,nagel
35,Zeh::N,足の指,teen
36,Fuß::N,足,voet
37,Ferse::N,かかと,hak
38,Ferse::N,かかと,hiel
39,Knie::N,膝,knie
40,Oberschenkel::N,上腿,dij
41,Bein::N,足,been
42,Körper::N,体,lichaam
43,Haut::N,皮膚,huid
44,Blut::N,血,bloed
45,Ader::N,血管,ader
46,Sehne::N,腱,pees
47,Knochen::N,骨,bot
48,Knochen::N,骨,been
49,Knochen::N,骨,knook
50,Gehirn::N,脳,hersenen
51,Herz::N,心,hart
52,Herz::N,心臓,hart
53,Magen::N,胃,maag
54,Leber::N,肝臓,lever
55,Atem::N,息,adem
56,Atem::N,呼吸,adem
57,Hunger::N,空腹,honger
58,Träne::N,涙,traan
59,Geschmack::N,味,smaak
60,Geruch::N,匂い,geur
61,Schlaf::N,睡眠,slaap
62,Traum::N,夢,droom
63,Himmel::N,空,hemel
64,Sonne::N,太陽,zon
65,Mond::N,月,maan
66,Stern::N,星,ster
67,Luft::N,空気,lucht
68,Wind::N,風,wind
69,Welle::N,波,golf
70,Wasser::N,水,water
71,Stein::N,石,steen
72,Boden::N,土地,grond
73,Erde::N,土,aarde
74,Staub::N,埃,stof
75,Rauch::N,煙,rook
76,Funke::N,火花,vonk
77,Feuer::N,火,vuur
78,Licht::N,光,licht
79,Schatten::N,陰,schaduw
80,Wetter::N,天気,weer
81,Nebel::N,霧,mist
82,Nebel::N,霧,nevel
83,Wolke::N,雲,wolk
84,Regen::N,雨,regen
85,Schnee::N,雪,sneeuw
86,Eis::N,氷,ijs
87,Frost::N,霜,vorst
88,Kälte::N,寒さ,kou
89,Kälte::N,寒さ,koude
90,Hitze::N,暑さ,hitte
91,Raureif::N,霧氷,rijp
92,Regenbogen::N,虹,regenboog
93,Donner::N,雷,donder
94,Strömung::N,流れ,stroming
95,Tropfen::N,滴,druppel
96,Schaum::N,泡,schuim
97,Schmutz::N,汚れ,vuil
98,See::N,湖,meer
99,Sumpf::N,沼,moeras
100,Moor::N,湿原,veen
101,Wiese::N,草原,wei
102,Wiese::N,草原,weide
103,Wald::N,森,bos
104,Hügel::N,丘,heuvel
105,Anhöhe::N,高み,hoogte
106,Berg::N,山,berg
107,Gipfel::N,頂上,top
108,Höhle::N,洞窟,hol
109,Abhang::N,斜面,helling
110,Quelle::N,泉,bron
111,Bach::N,小川,beek
112,Fluss::N,川,stroom
113,Ufer::N,岸,wal
114,Ufer::N,岸,oever
115,Küste::N,海岸,kust
116,Festland::N,陸,vasteland
117,Meer::N,海,zee
118,Bucht::N,湾,baai
119,Bucht::N,湾,inham
120,Insel::N,島,eiland
121,Blume::N,花,bloem
122,Gras::N,草,gras
123,Wurzel::N,根,wortel
124,Baum::N,木,boom
125,Stamm::N,幹,stam
126,Rinde::N,皮層,schors
127,Ast::N,枝,tak
128,Zweig::N,小枝,twijg
129,Blatt::N,葉,blad
130,Birke::N,樺,berk
131,Kiefer[Baum]::N,松,den
132,Weide[Baum]::N,柳,wilg
133,Tanne::N,樅,spar
134,Horn::N,角,hoorn
135,Feder::N,羽根,veer
136,Feder::N,羽根,pluim
137,Fell::N,毛皮,vel
138,Flügel::N,羽,vleugel
139,Klaue::N,鉤爪,klauw
140,Kralle::N,爪,klauw
141,Schwanz::N,尻尾,staart
142,Ei::N,卵,ei
143,Nest::N,巣,nest
144,Bau::N,穴,hol
145,Tier::N,動物,dier
146,Herde::N,群れ,kudde
147,Kuh::N,牛,koe
148,Bulle::N,雄牛,stier
149,Pferd::N,馬,paard
150,Schaf::N,羊,schaap
151,Schwein::N,豚,varken
152,Hund::N,犬,hond
153,Katze::N,猫,kat
154,Bär::N,熊,beer
155,Eichhörnchen::N,栗鼠,eekhoorntje
156,Elch::N,ヘラジカ,eland
157,Fuchs::N,狐,vos
158,Hase::N,兎,haas
159,Maus::N,鼠,muis
160,Wolf::N,狼,wolf
161,Vogel::N,鳥,vogel
162,Schwarm::N,群れ,zwerm
163,Huhn::N,鶏,kip
164,Huhn::N,鶏,hoen
165,Hahn::N,雄鶏,haan
166,Gans::N,ガチョウ,gans
167,Adler::N,鷲,arend
168,Ente::N,鴨,eend
169,Eule::N,フクロウ,uil
170,Kranich::N,鶴,kraanvogel
171,Krähe::N,烏,kraai
172,Kuckuck::N,郭公,koekoek
173,Schwan::N,白鳥,zwaan
174,Fisch::N,魚,vis
175,Barsch::N,鱸,baars
176,Hecht::N,川魳,snoek
177,Schlange[Tier]::N,蛇,slang
178,Wurm::N,虫,worm
179,Spinne::N,蜘蛛,spin
180,Ameise::N,蟻,mier
181,Laus::N,虱,luis
182,Mücke::N,蚊,mug
183,Fliege::N,蝿,vlieg
184,Schmetterling::N,蝶,vlinder
185,Beere::N,漿果,bes
186,Apfel::N,林檎,appel
187,Pilz::N,茸,paddestoel
188,Zwiebel::N,玉葱,ui
189,Saat::N,種,zaad
190,Korn::N,粒,graan
191,Korn::N,粒,korrel
192,Heu::N,干し草,hooi
193,Schale::N,皮,schil
194,Grube::N,穴,kuil
195,Falle::N,わな,val
196,Schlinge::N,輪,strop
197,Spur::N,跡,spoor
198,Asche::N,灰,as
199,Dreck::N,泥,drek
200,Eisen::N,鉄,ijzer
201,Gold::N,金,goud
202,Silber::N,銀,zilver
203,Kohle::N,炭,kool
204,Glas::N,ガラス,glas
205,Lehm::N,ローム,klei
206,Sand::N,砂,zand
207,Mensch::N,人,mens
208,Mann::N,男,man
209,Mann::N,男性,man
210,Frau::N,女,vrouw
211,Frau::N,女性,vrouw
212,Kind::N,子,kind
213,Kind::N,子供,kind
214,Junge::N,男の子,jongen
215,Mädchen::N,女の子,meisje
216,Familie::N,家族,gezin
217,Familie::N,家族,familie
218,Großvater::N,祖父,grootvader
219,Großvater::N,おじいさん,grootvader
220,Großmutter::N,祖母,grootmoeder
221,Großmutter::N,おばあさん,grootmoeder
222,Eltern::N,親,ouders
223,Eltern::N,両親,ouders
224,Vater::N,父,vader
225,Vater::N,お父さん,vader
226,Mutter::N,母,moeder
227,Mutter::N,お母さん,moeder
228,Sohn::N,息子,zoon
229,Sohn::N,息子さん,zoon
230,Tochter::N,娘,dochter
231,Tochter::N,お嬢さん,dochter
232,Bruder::N,弟,broer
233,Bruder::N,弟,broeder
234,Schwester::N,妹,zus
235,Schwester::N,妹,zuster
236,Onkel::N,伯父,oom
237,Onkel::N,伯父さん,oom
238,Tante::N,叔母,tante
239,Tante::N,叔母さん,tante
240,Ehemann::N,夫,echtgenoot
241,Ehemann::N,主人,echtgenoot
242,Ehefrau::N,妻,echtgenote
243,Ehefrau::N,奥さん,echtgenote
244,Freude::N,喜び,vreugde
245,Gelächter::N,笑い,gelach
246,Glück::N,幸せ,geluk
247,Kummer::N,悩み,verdriet
248,Wunsch::N,希望,wens
249,Wunsch::N,希望,verlangen
250,Lust::N,気,zin
251,Lust::N,気,lust
252,Geist::N,精神,geest
253,Gedanke::N,考え,gedachte
254,Gedächtnis::N,記憶,geheugen
255,Verstand::N,理解力,verstand
256,Sinn::N,意味,betekenis
257,Grund::N,理由,reden
258,Wahrheit::N,真実,waarheid
259,Gespräch::N,会話,gesprek
260,Märchen::N,童話,sprookje
261,Erzählung::N,物語,verhaal
262,Nachricht::N,報告,tijding
263,Neuigkeit::N,ニュース,nieuws
264,Neuigkeit::N,ニュース,nieuwtje
265,Name::N,名前,naam
266,Rätsel::N,謎,raadsel
267,Rede::N,演説,rede
268,Sprache::N,言語,taal
269,Stimme::N,声,stem
270,Wort::N,言葉,woord
271,Zeichen::N,記号,teken
272,Ruf::N,呼び声,roep
273,Lärm::N,騒音,lawaai
274,Laut::N,音,klank
275,Laut::N,音,geluid
276,Ton::N,音,toon
277,Ton::N,音,klank
278,Lied::N,歌,lied
279,Ruhe::N,静けさ,rust
280,Ruhe::N,静けさ,stilte
281,Leute::N,人々,lui
282,Leute::N,人々,mensen
283,Volk::N,民族,volk
284,Arbeit::N,仕事,werk
285,Arbeit::N,仕事,arbeid
286,Gast::N,客,gast
287,Geschenk::N,贈り物,cadeau
288,Geschenk::N,贈り物,geschenk
289,Spiel::N,遊び,spel
290,Gesellschaft::N,社会,gezelschap
291,Hilfe::N,援助,hulp
292,Freund::N,友達,vriend
293,Kamerad::N,同志,maat
294,Kamerad::N,同志,metgezel
295,Angelegenheit::N,件,zaak
296,Angelegenheit::N,件,aangelegenheid
297,Anzahl::N,数,tal
298,Anzahl::N,数,aantal
299,Art::N,種類,slag
300,Art::N,種類,soort
301,Stück::N,部分,stuk
302,Teil::N,部分,deel
303,Hälfte::N,半分,helft
304,Kreis::N,円,kring
305,Kreis::N,円,cirkel
306,Kreuz::N,十字,kruis
307,Linie::N,線,lijn
308,Strich::N,線,haal
309,Strich::N,線,streep
310,Abstand::N,距離,afstand
311,Entfernung::N,距離,afstand
312,Gegend::N,辺,streek
313,Gegend::N,地域,streek
314,Platz::N,ゆとり,ruimte
315,Ort::N,所,oord
316,Ort::N,所,plaats
317,Ort::N,場所,oord
318,Ort::N,場所,plaats
319,Seite::N,横,zij
320,Seite::N,横,kant
321,Seite::N,横,zijde
322,Mitte::N,真ん中,midden
323,Gegenstand::N,物件,voorwerp
324,Sache::N,物,zaak
325,Rand::N,端,rand
326,Rand::N,端,boord
327,Kante::N,縁,kant
328,Ecke::N,角,hoek
329,Spitze::N,先頭,punt
330,Spitze::N,先頭,spits
331,Ende::N,端,einde
332,Ende::N,端,uiteinde
333,Loch::N,穴,gat
334,Winkel::N,片隅,hoek
335,Muster::N,模様,dessin
336,Muster::N,模様,patroon
337,Größe::N,大きさ,grootte
338,Länge::N,長さ,lengte
339,Höhe::N,高さ,hoogte
340,Gewicht::N,重さ,gewicht
341,Menge::N,量,hoeveelheid
342,Haufen::N,堆積,hoop
343,Reihe::N,並び,rij
344,Reihe::N,並び,reeks
345,Boot::N,ボート,boot
346,Ruder::N,オール,roeiriem
347,Schlitten::N,そり,slee
348,Schlitten::N,そり,slede
349,Ski::N,スキー,ski
350,Lagerfeuer::N,篝火,kampvuur
351,Last::N,荷物,last
352,Last::N,荷物,vracht
353,Gang::N,歩み,wandeling
354,Schritt::N,歩,stap
355,Schritt::N,歩,schrede
356,Norden::N,北,noorden
357,Süden::N,南,zuiden
358,Westen::N,西,westen
359,Osten::N,東,oosten
360,Holz::N,木,hout
361,Holz::N,木材,hout
362,Brett::N,板,plank
363,Platte::N,盤,plaat
364,Stütze::N,支柱,stut
365,Stütze::N,支柱,steun
366,Stange::N,棒,stang
367,Stock::N,杖,stok
368,Stab::N,棒,staf
369,Rohr::N,管,pijp
370,Haus::N,家,huis
371,Heim::N,家,tehuis
372,Ofen::N,ストーブ,kachel
373,Fußboden::N,床,vloer
374,Tisch::N,机,tafel
375,Stuhl::N,椅子,stoel
376,Wiege::N,揺籃,wieg
377,Bett::N,ベッド,bed
378,Regal::N,棚,rek
379,Kiste::N,箱,kist
380,Fenster::N,窓,raam
381,Fenster::N,窓,venster
382,Tür::N,戸,deur
383,Tür::N,ドア,deur
384,Tor::N,門,poort
385,Zaun::N,垣根,omheining
386,Dach::N,屋根,dak
387,Leiter::N,梯子,ladder
388,Besen::N,ほうき,bezem
389,Spaten::N,スコップ,schop
390,Schaufel::N,シャベル,schep
391,Gabel::N,フォーク,vork
392,Löffel::N,スプーン,lepel
393,Messer::N,ナイフ,mes
394,Nagel::N,釘,spijker
395,Netz::N,網,net
396,Haken::N,鉤,haak
397,Haken::N,フック,haak
398,Griff::N,取っ手,handvat
399,Schloss::N,錠,slot
400,Bild::N,絵,beeld
401,Figur::N,像,figuur
402,Puppe::N,人形,pop
403,Beutel::N,袋,zak
404,Beutel::N,袋,buidel
405,Bündel::N,束,pak
406,Bündel::N,束,bundel
407,Bündel::N,包み,pak
408,Bündel::N,包み,bundel
409,Tasche::N,かばん,tas
410,Eimer::N,バケツ,emmer
411,Deckel::N,蓋,deksel
412,Geschirr::N,食器,vaatwerk
413,Sack::N,袋,zak
414,Tasse::N,カップ,kop
415,Topf::N,鍋,pan
416,Kessel::N,釜,ketel
417,Essen::N,食事,eten
418,Nahrung::N,食物,voedsel
419,Speise::N,料理,spijs
420,Fleisch::N,肉,vlees
421,Getreide::N,麦,graan
422,Getreide::N,穀物,graan
423,Brei::N,粥,pap
424,Brei::N,粥,brij
425,Brot::N,パン,brood
426,Scheibe::N,枚,plak
427,Scheibe::N,枚,snede
428,Scheibe::N,切れ,plak
429,Scheibe::N,切れ,snede
430,Fett::N,脂肪,vet
431,Butter::N,バター,boter
432,Öl::N,油,olie
433,Salz::N,塩,zout
434,Suppe::N,スープ,soep
435,Honig::N,蜂蜜,honing
436,Milch::N,牛乳,melk
437,Tee::N,茶,thee
438,Tee::N,お茶,thee
439,Leder::N,革,leer
440,Leder::N,革,leder
441,Wolle::N,毛糸,wol
442,Stoff::N,布,stof
443,Nadel::N,針,naald
444,Faden::N,糸,draad
445,Knopf::N,ボタン,knoop
446,Knoten::N,結び目,knoop
447,Farbe::N,ペンキ,verf
448,Kleidung::N,衣服,kledij
449,Kleidung::N,衣服,kleding
450,Hemd::N,シャツ,hemd
451,Kragen::N,襟,kraag
452,Ärmel::N,袖,mouw
453,Hose::N,ズボン,broek
454,Hose::N,ズボン,pantalon
455,Gürtel::N,帯,riem
456,Gürtel::N,帯,gordel
457,Gürtel::N,ベルト,riem
458,Gürtel::N,ベルト,gordel
459,Mütze::N,帽子,muts
460,Schuh::N,靴,schoen
461,Stiefel::N,ブーツ,laars
462,Ring::N,輪,ring
463,Band::N,リボン,lint
464,Kamm::N,櫛,kam
465,Spiegel::N,鏡,spiegel
466,Riemen::N,緒,riem
467,Schnur::N,紐,koord
468,Leine::N,綱,lijn
469,Decke::N,掛け布団,deken
470,Kissen::N,枕,kussen
471,Tuch::N,スカーフ,doek
472,Handtuch::N,タオル,handdoek
473,Kraft::N,力,kracht
474,Stärke::N,強さ,sterkte
475,Gesundheit::N,健康,gezondheid
476,Krankheit::N,病気,ziekte
477,Schmerz::N,痛み,pijn
478,Wunde::N,傷,wond
479,Fieber::N,熱,koorts
480,Arznei::N,薬,medicament
481,Arznei::N,薬,geneesmiddel
482,Brücke::N,橋,brug
483,Brunnen::N,井戸,put
484,Brunnen::N,井戸,bron
485,Weide::N,牧場,wei
486,Weide::N,牧場,weide
487,Pfad::N,小路,pad
488,Weg::N,道,weg
489,Straße::N,街道,baan
490,Straße::N,街道,straat
491,Dorf::N,村,dorp
492,Stadt::N,町,stad
493,Stadt::N,都市,stad
494,Brief::N,手紙,brief
495,Buch::N,本,boek
496,Buchstabe::N,文字,letter
497,Zeitung::N,新聞,krant
498,Zeitung::N,新聞,dagblad
499,Leben::N,生活,leven
500,Tod::N,死,dood
501,Grab::N,墓,graf
502,Kirche::N,教会,kerk
503,Sünde::N,罪,zonde
504,Gott::N,神,god
505,Arbeiter::N,労働者,arbeider
506,Chef::N,上司,chef
507,Meister::N,達人,meester
508,Meister::N,マイスター,meester
509,Arzt::N,医者,arts
510,Arzt::N,医者,dokter
511,Lehrer::N,先生,leraar
