,Concept_ID,sk,ce
0,Auge::N,oko,бӏаьрг
1,Ohr::N,ucho,лерг
2,Nase::N,nos,мара
3,Mund::N,ústa,бага
4,Zahn::N,zub,церг
5,Zunge::N,jazyk,мотт
6,Lippe::N,pera,балда
7,Wange::N,líce,бесни
8,Gesicht::N,tvár,юьхь
9,Gesicht::N,obličaj,юьхь
10,Stirn::N,čelo,хьаж
11,Haar::N,vlas,мас
12,Schnurrbart::N,fúzy,мекх
13,Bart::N,brada,маж
14,Kinn::N,brada,чӏениг
15,Kiefer[Anatomie]::N,čeľusť,мочхал
16,Kehle::N,hrdlo,къамкъарг
17,Hals::N,krk,ворта
18,Genick::N,väzy,кӏесаркӏаг
19,Kopf::N,hlava,корта
20,Rücken::N,chrbát,букъ
21,Bauch::N,brucho,кийра
22,Nabel::N,pupok,цӏонга
23,Busen::N,prsia,зударийн накха
24,Brust::N,hruď,накха
25,Schulter::N,plece,белш
26,Arm::N,rameno,пхьарс
27,Ellenbogen::N,lakeť,пхьаьрсан гола
28,Hand::N,ruka,куьг
29,Handfläche::N,dlaň,кераюкъ
30,Finger::N,prst,пӏелг
31,Fingernagel::N,necht,мӏара
32,Nagel[Anatomie]::N,necht,мӏара
33,Zeh::N,prst na nohe,кога пӏелг
34,Fuß::N,noha,ког
35,Ferse::N,päta,кӏажа
36,Knie::N,koleno,гола
37,Oberschenkel::N,stehno,варе
38,Bein::N,noha,ког
39,Körper::N,telo,хӏума
40,Haut::N,koža,чкъор
41,Blut::N,krv,цӏий
42,Ader::N,žila,пха
43,Sehne::N,šľacha,хьорзам
44,Knochen::N,kosť,даьӏахк
45,Gehirn::N,mozog,хье
46,Herz::N,srdce,дог
47,Magen::N,žalúdok,зорх
48,Leber::N,pečeň,доӏах
49,Atem::N,dych,садеӏар
50,Hunger::N,hlad,мацалла
51,Träne::N,slza,бӏаьрхи
52,Geschmack::N,chuť,чам
53,Geruch::N,pach,хьожа
54,Schlaf::N,spánok,наб
55,Traum::N,sen,гӏан
56,Himmel::N,nebo,стигал
57,Sonne::N,slnko,малх
58,Mond::N,mesiac,бутт
59,Stern::N,hviezda,седа
60,Luft::N,vzduch,xӏаваъ
61,Wind::N,vietor,мох
62,Welle::N,vlna,тулгӏе
63,Wasser::N,voda,хи
64,Stein::N,kameň,тӏулг
65,Boden::N,zem,цӏенкъа
66,Boden::N,pôda,цӏенкъа
67,Erde::N,zem,латта
68,Staub::N,prach,чан
69,Rauch::N,dym,кӏур
70,Funke::N,iskra,суй
71,Feuer::N,oheň,цӏе
72,Licht::N,svetlo,серло
73,Schatten::N,tieň,ӏиндагӏ
74,Wetter::N,počasie,хенан хӏоттам
75,Nebel::N,hmla,дохк
76,Wolke::N,oblak,марха
77,Wolke::N,mračno,марха
78,Regen::N,dážď,догӏа
79,Schnee::N,sneh,ло
80,Eis::N,ľad,ша
81,Frost::N,mráz,шело
82,Kälte::N,zima,шело
83,Kälte::N,chlad,шело
84,Hitze::N,horúčava,йовхо
85,Raureif::N,srieň,йис
86,Raureif::N,inovať,йис
87,Regenbogen::N,dúha,стелаӏад
88,Donner::N,hrom,ткъес
89,Strömung::N,prúdenie,дӏаэхар
90,Strömung::N,prúdenie,дӏасалелар
91,Tropfen::N,kvapka,тӏадам
92,Schaum::N,pena,чопа
93,Schmutz::N,špina,хатт
94,Schmutz::N,nečistota,хатт
95,See::N,jazero,ӏам
96,Sumpf::N,bahno,уьшал
97,Moor::N,močiar,уьшал
98,Wiese::N,lúka,бай
99,Wald::N,les,хьун
100,Wald::N,hora,хьун
101,Hügel::N,vŕšok,гу
102,Hügel::N,vŕšok,шу
103,Hügel::N,vŕšok,барз
104,Anhöhe::N,výšina,акъари
105,Anhöhe::N,vyvýšenina,акъари
106,Berg::N,hora,лам
107,Gipfel::N,vrchol,бохь
108,Höhle::N,jaskyňa,хьех
109,Abhang::N,úbočie,басе
110,Quelle::N,prameň,шовда
111,Bach::N,potok,татол
112,Fluss::N,rieka,хи
113,Ufer::N,breh,хийист
114,Küste::N,pobrežie,йист
115,Festland::N,pevnina,латта
116,Meer::N,more,xӏорд
117,Bucht::N,záliv,чож
118,Bucht::N,zátoka,чож
119,Insel::N,ostrov,гӏайре
120,Blume::N,kvet,зезаг
121,Blume::N,kvetina,зезаг
122,Gras::N,tráva,буц
123,Wurzel::N,koreň,орам
124,Baum::N,strom,дитт
125,Stamm::N,kmeň,гӏад
126,Stamm::N,kmeň,тайпа
127,Rinde::N,kôra,кевстиг
128,Ast::N,konár,га
129,Zweig::N,vetva,га
130,Blatt::N,list,гӏа
131,Birke::N,breza,дакх
132,Kiefer[Baum]::N,sosna,бага
133,Kiefer[Baum]::N,borovica,бага
134,Weide[Baum]::N,vŕba,дак
135,Tanne::N,jedľa,база
136,Horn::N,roh,маӏа
137,Feder::N,pero,пелаг
138,Fell::N,koža,цӏока
139,Fell::N,kožušina,цӏока
140,Flügel::N,krídlo,тӏам
141,Klaue::N,paznecht,мӏара
142,Kralle::N,pazúr,тlод
143,Schwanz::N,chvost,цӏога
144,Ei::N,vajce,xӏoa
145,Ei::N,vajíčko,xӏoa
146,Nest::N,hniezdo,бен
147,Bau::N,nora,lуьрг
148,Tier::N,zviera,дийнат
149,Herde::N,stádo,жа
150,Kuh::N,krava,етт
151,Bulle::N,býk,сту
152,Pferd::N,kôň,говр
153,Schaf::N,ovca,жий
154,Schaf::N,ovca,уьстагӏ
155,Schwein::N,sviňa,хьакха
156,Hund::N,pes,жӏаьла
157,Katze::N,mačka,цициг
158,Bär::N,medveď,ча
159,Eichhörnchen::N,veverička,тарсал
160,Elch::N,los,сай
161,Fuchs::N,líška,цхьогал
162,Hase::N,zajac,пхьагал
163,Maus::N,myš,дахка
164,Wolf::N,vlk,борз
165,Vogel::N,vták,олхазар
166,Schwarm::N,roj,
167,Huhn::N,kurča,котам
168,Huhn::N,sliepka,котам
169,Hahn::N,kohút,нӏаьна
170,Hahn::N,kohút,боргӏал
171,Gans::N,hus,гӏаз
172,Adler::N,orol,aьрзу
173,Ente::N,kačka,бад
174,Ente::N,kačica,бад
175,Eule::N,sova,бухӏа
176,Kranich::N,žeriav,гӏаргӏули
177,Krähe::N,vrana,къиг
178,Kuckuck::N,kukučka,aттйокх
179,Schwan::N,labuť,гӏургӏаз
180,Fisch::N,ryba,чӏара
181,Barsch::N,ostriež,окунь
182,Hecht::N,šťuka,гӏазкхийн чӏара
183,Schlange[Tier]::N,had,лаьхьа
184,Wurm::N,červ,нӏаьна
185,Spinne::N,pavúk,гезг
186,Ameise::N,mravec,зингат
187,Laus::N,voš,меза
188,Laus::N,voš,гӏениг
189,Mücke::N,komár,чуьрк
190,Fliege::N,mucha,моза
191,Schmetterling::N,motýľ,полла
192,Beere::N,bobuľa,цӏазам
193,Apfel::N,jablko,ӏаж
194,Pilz::N,hríb,жӏаьлин нускал
195,Zwiebel::N,cibuľa,xох
196,Saat::N,osivo,чlу
197,Korn::N,zrno,буьртиг
198,Heu::N,seno,йол
199,Schale::N,šupa,пардо
200,Schale::N,škrupina,пардо
201,Grube::N,jama,ор
202,Falle::N,pasca,кӏело
203,Falle::N,klepec,кӏело
204,Schlinge::N,slučka,
205,Spur::N,stopa,лар
206,Asche::N,popol,чим
207,Dreck::N,kal,мода
208,Dreck::N,blato,мода
209,Eisen::N,železo,эчиг
210,Gold::N,zlato,деши
211,Silber::N,striebro,дети
212,Kohle::N,uhlie,кӏора
213,Glas::N,sklo,aнгали
214,Lehm::N,íl,поппар
215,Lehm::N,hlina,поппар
216,Sand::N,piesok,гӏум
217,Mensch::N,človek,адам
218,Mann::N,muž,майра
219,Mann::N,chlap,майра
220,Frau::N,žena,зуда
221,Kind::N,dieťa,бер
222,Junge::N,chlapec,жимха
223,Mädchen::N,dievka,жима йоӏ
224,Familie::N,rodina,доьзал
225,Großvater::N,dedo,ненада
226,Großvater::N,starý otec,ненада
227,Großmutter::N,babička,денана
228,Großmutter::N,stará mať,денана
229,Eltern::N,rodičia,да-нана
230,Vater::N,otec,да
231,Mutter::N,mať,нана
232,Mutter::N,matka,нана
233,Sohn::N,syn,кӏант
234,Tochter::N,dcéra,йоӏ
235,Bruder::N,brat,ваша
236,Schwester::N,sestra,йиша
237,Onkel::N,ujo,деваша
238,Onkel::N,strýko,деваша
239,Tante::N,teta,дейиша
240,Tante::N,tetka,дейиша
241,Ehemann::N,muž,майра
242,Ehemann::N,manžel,майра
243,Ehefrau::N,žena,зуда
244,Ehefrau::N,manželka,зуда
245,Freude::N,radosť,самукъа
246,Freude::N,radosť,хазахетар
247,Gelächter::N,smiech,белам
248,Glück::N,šťastie,ирс
249,Kummer::N,žiaľ,бала
250,Kummer::N,zármutok,бала
251,Wunsch::N,prianie,лаам
252,Lust::N,chuť,лаам
253,Geist::N,duch,са
254,Gedanke::N,myšlienka,ойла
255,Gedächtnis::N,pamäť,диццадалар
256,Verstand::N,rozum,хьекъал
257,Sinn::N,zmysel,маьӏна
258,Grund::N,dôvod,бахьана
259,Grund::N,príčina,бахьана
260,Wahrheit::N,pravda,бакъдерг
261,Gespräch::N,reč,къамел
262,Gespräch::N,rozhovor,къамел
263,Märchen::N,rozprávka,туьйра
264,Erzählung::N,poviedka,дийцар
265,Nachricht::N,správa,хаам
