,Concept_ID,uz,nl
0,Auge::N,ko'z,oog
1,Ohr::N,quloq,oor
2,Nase::N,burun,neus
3,Mund::N,og'iz,mond
4,Zahn::N,tish,tand
5,Zunge::N,til,tong
6,Lippe::N,dudoq,lip
7,Wange::N,bet,wang
8,Gesicht::N,yuz,gelaat
9,Gesicht::N,yuz,gezicht
10,Stirn::N,manglay,voorhoofd
11,Haar::N,soch,haar
12,Schnurrbart::N,mo'ylov,snor
13,Bart::N,soqol,baard
14,Kinn::N,ängak,kin
15,Kiefer[Anatomie]::N,iyak,kaak
16,Kehle::N,bo'g'iz,keel
17,Kehle::N,bo'g'iz,strot
18,Hals::N,bo'yin,hals
19,Genick::N,gardan,nek
20,Kopf::N,bosh,hoofd
21,Rücken::N,orqa,rug
22,Bauch::N,qorin,buik
23,Nabel::N,kindik,navel
24,Busen::N,ämchak,boezem
25,Brust::N,ko'krak,borst
26,Schulter::N,elka,schouder
27,Arm::N,bilak,arm
28,Ellenbogen::N,tirsak,elleboog
29,Hand::N,qo'l,hand
30,Handfläche::N,kaft,handpalm
31,Finger::N,barmoq,vinger
32,Fingernagel::N,tirnoq,nagel
33,Nagel[Anatomie]::N,tirnoq,nagel
34,Zeh::N,oyoq barmog'i,teen
35,Fuß::N,oyoq,voet
36,Ferse::N,tovon,hak
37,Ferse::N,tovon,hiel
38,Knie::N,tiz,knie
39,Oberschenkel::N,son,dij
40,Bein::N,oyoq,been
41,Körper::N,badna,lichaam
42,Haut::N,teri,huid
43,Blut::N,qon,bloed
44,Ader::N,qon tomir,ader
45,Sehne::N,tomir,pees
46,Knochen::N,suyak,bot
47,Knochen::N,suyak,been
48,Knochen::N,suyak,knook
49,Gehirn::N,miya,hersenen
50,Herz::N,qalb,hart
51,Magen::N,oshqozon,maag
52,Leber::N,bag'ir,lever
53,Atem::N,dam,adem
54,Hunger::N,ochlik,honger
55,Träne::N,yosh,traan
56,Geschmack::N,tam,smaak
57,Geruch::N,jid,geur
58,Schlaf::N,uyqu,slaap
59,Traum::N,tush,droom
60,Himmel::N,osmon,hemel
61,Sonne::N,quyosh,zon
62,Mond::N,oy,maan
63,Stern::N,yulduz,ster
64,Luft::N,havo,lucht
65,Wind::N,el,wind
66,Welle::N,to'lqin,golf
67,Wasser::N,suv,water
68,Stein::N,tosh,steen
69,Boden::N,tuproq,grond
70,Erde::N,er,aarde
71,Staub::N,chang,stof
72,Rauch::N,tutun,rook
73,Funke::N,yalt,vonk
74,Feuer::N,o't,vuur
75,Licht::N,yorug',licht
76,Schatten::N,soya,schaduw
77,Wetter::N,havo,weer
78,Nebel::N,tuman,mist
79,Nebel::N,tuman,nevel
80,Wolke::N,bulut,wolk
81,Regen::N,yomg'ir,regen
82,Schnee::N,qor,sneeuw
83,Eis::N,muz,ijs
84,Frost::N,ajoz,vorst
85,Kälte::N,ajoz,kou
86,Kälte::N,ajoz,koude
87,Hitze::N,issiq,hitte
88,Raureif::N,qirov,rijp
89,Regenbogen::N,kamalak,regenboog
90,Donner::N,guldur,donder
