,Concept_ID,sk,kn
0,Auge::N,oko,ಕಣ್ಣು
1,Ohr::N,ucho,ಕಿವಿ
2,Nase::N,nos,ಮೂಗು
3,Mund::N,ústa,ಬಾಯಿ
4,Zahn::N,zub,ಹಲ್ಲು
5,Zunge::N,jazyk,ನಾಲಿಗೆ
6,Lippe::N,pera,ತುಟಿ
7,Wange::N,líce,ಗಲ್ಲ
8,Gesicht::N,tvár,ಮುಖ
9,Gesicht::N,obličaj,ಮುಖ
10,Stirn::N,čelo,ಹಣೆ
11,Haar::N,vlas,ಕೂದಲು
12,Schnurrbart::N,fúzy,ಮೀಸೆ
13,Bart::N,brada,ಗಡ್ಡ
14,Kinn::N,brada,ಗದ್ದ
15,Kiefer[Anatomie]::N,čeľusť,ದವಡೆ
16,Kehle::N,hrdlo,ಗಂಟಲು
17,Hals::N,krk,ಕೊರಳು
18,Genick::N,väzy,ಹಿಂಗತ್ತು
19,Kopf::N,hlava,ತಲೆ
20,Rücken::N,chrbát,ಬೆನ್ನು
21,Bauch::N,brucho,ಹೊಟ್ಟೆ
22,Nabel::N,pupok,ಹೊಕ್ಕುಳು
23,Busen::N,prsia,ಸ್ತನ
24,Brust::N,hruď,ಎದೆ
25,Schulter::N,plece,ಭುಜ
26,Arm::N,rameno,ತೋಳು
27,Ellenbogen::N,lakeť,ಮೊಣಕೈ
28,Hand::N,ruka,ಕೈ
29,Handfläche::N,dlaň,ಅಂಗೈ
30,Finger::N,prst,ಕೈಬೆರಳು
31,Fingernagel::N,necht,ಉಗುರು
32,Nagel[Anatomie]::N,necht,ಉಗುರು
33,Zeh::N,prst na nohe,ಕಾಲ್ಬೆರಳು
34,Fuß::N,noha,ಪಾದ
35,Ferse::N,päta,ಹಿಮ್ಮಡಿ
36,Knie::N,koleno,ಮಂಡಿ
37,Oberschenkel::N,stehno,ತೊಡೆ
38,Bein::N,noha,ಕಾಲು
39,Körper::N,telo,ದೇಹ
40,Haut::N,koža,ಚರ್ಮ
41,Blut::N,krv,ರಕ್ತ
42,Ader::N,žila,ನರ
43,Sehne::N,šľacha,ನರ
44,Knochen::N,kosť,ಮೂಳೆ
45,Gehirn::N,mozog,ಮಿದುಳು
46,Herz::N,srdce,ಹೃದಯ
47,Magen::N,žalúdok,ಉದರ
48,Leber::N,pečeň,ಯಕೃತ್ತು
49,Atem::N,dych,ಉಸಿರು
50,Hunger::N,hlad,ಹಸಿವು
51,Träne::N,slza,ಕಣ್ಣೀರು
52,Geschmack::N,chuť,ರುಚಿ
53,Geruch::N,pach,ವಾಸನೆ
54,Schlaf::N,spánok,ನಿದ್ರೆ
