,Concept_ID,fa,cs
0,Auge::N,چشم,oko
1,Ohr::N,گوش,ucho
2,Nase::N,بینی,nos
3,Mund::N,دهان,pusa
4,Zahn::N,دندان,zub
5,Zunge::N,زبان,jazyk
6,Lippe::N,لب,ret
7,Wange::N,لپ,tvář
8,Gesicht::N,رو,obličej
9,Gesicht::N,چهره,obličej
10,Stirn::N,پیشانی,čelo
11,Haar::N,مو,vlas
12,Haar::N,مو,vlasy
13,Schnurrbart::N,سبیل,kníry
14,Bart::N,ریش,vousy
15,Kinn::N,چانه,brada
16,Kiefer[Anatomie]::N,فک,čelist
17,Kiefer[Anatomie]::N,آرواره,čelist
18,Kehle::N,حلق,hrdlo
19,Hals::N,گردن,krk
20,Genick::N,پشت گردن,týl
21,Kopf::N,سر,hlava
22,Kopf::N,کله,hlava
23,Rücken::N,پشت,záda
24,Rücken::N,پشت,hřbet
25,Bauch::N,شکم,břicho
26,Nabel::N,ناف,pupek
27,Busen::N,پستان,ňadra
28,Brust::N,سینه,prsa
29,Schulter::N,دوش,plece
30,Schulter::N,دوش,rameno
31,Schulter::N,شانه,plece
32,Schulter::N,شانه,rameno
33,Arm::N,بازو,ruka
34,Ellenbogen::N,آرنج,loket
35,Hand::N,دست,ruka
36,Handfläche::N,کف دست,dlaň
37,Finger::N,انگشت,prst
38,Fingernagel::N,ناخن دست,nehet
39,Nagel[Anatomie]::N,ناخن,nehet
40,Zeh::N,انگشت پا,prst u nohy
41,Fuß::N,پا,noha
42,Ferse::N,پاشنه,pata
43,Knie::N,زانو,koleno
44,Oberschenkel::N,ران,stehno
45,Bein::N,پا,noha
46,Bein::N,لنگ,noha
47,Körper::N,تن,tělo
48,Körper::N,بدن,tělo
49,Haut::N,پوست,kůže
50,Blut::N,خون,krev
51,Ader::N,رگ,céva
52,Sehne::N,زردپی,šlacha
53,Knochen::N,استخوان,kost
54,Gehirn::N,مخ,mozek
55,Gehirn::N,مغز,mozek
56,Herz::N,دل,srdce
57,Herz::N,قلب,srdce
58,Magen::N,معده,žaludek
59,Leber::N,کبد,játra
60,Atem::N,نفس,dech
61,Hunger::N,گرسنگی,hlad
62,Träne::N,اشک,slza
63,Geschmack::N,مزه,vkus
64,Geruch::N,بو,vůně
65,Geruch::N,بو,zápach
66,Schlaf::N,خواب,spánek
67,Traum::N,رؤیا,sen
68,Himmel::N,فلک,nebe
69,Himmel::N,آسمان,nebe
70,Sonne::N,آفتاب,slunce
71,Sonne::N,خورشید,slunce
72,Mond::N,ماه,měsíc
73,Stern::N,ستاره,hvězda
74,Luft::N,هوا,vzduch
75,Wind::N,باد,vítr
76,Welle::N,موج,vlna
77,Wasser::N,آب,voda
78,Stein::N,سنگ,kámen
79,Boden::N,زمین,půda
80,Erde::N,خاک,země
81,Erde::N,زمین,země
82,Staub::N,گرد,prach
83,Staub::N,غبار,prach
84,Rauch::N,دود,dým
85,Rauch::N,دود,kouř
86,Funke::N,جرقه,jiskra
87,Feuer::N,آتش,oheň
88,Licht::N,نور,světlo
89,Licht::N,روشنی,světlo
90,Schatten::N,سایه,stín
91,Wetter::N,هوا,počasí
92,Nebel::N,مه,mlha
93,Wolke::N,ابر,mrak
94,Wolke::N,ابر,oblak
95,Regen::N,باران,déšť
96,Schnee::N,برف,sníh
97,Eis::N,یخ,led
98,Frost::N,یخبندان,mráz
99,Kälte::N,سرما,chlad
100,Hitze::N,گرما,horko
101,Hitze::N,حرارت,horko
102,Raureif::N,برف ریزه,jinovatka
103,Regenbogen::N,رنگین‌کمان,duha
104,Donner::N,رعد,hrom
105,Strömung::N,جریان,proudění
106,Tropfen::N,قطره,kapka
107,Schaum::N,کف,pěna
108,Schmutz::N,گل,špína
109,Schmutz::N,کثافت,špína
110,See::N,دریاچه,jezero
111,Sumpf::N,مرداب,močál
112,Sumpf::N,مرداب,bažina
113,Sumpf::N,باتلاق,močál
114,Sumpf::N,باتلاق,bažina
115,Moor::N,باتلاق,bažina
116,Moor::N,باتلاق,slatina
117,Wiese::N,چمن,louka
118,Wald::N,جنگل,les
119,Hügel::N,تل,kopec
120,Hügel::N,تپه,kopec
121,Anhöhe::N,بلندی,pahorek
122,Berg::N,کوه,hora
123,Gipfel::N,قله,vrchol
124,Höhle::N,غار,jeskyně
125,Abhang::N,سرازیری,svah
126,Abhang::N,سرازیری,stráň
127,Quelle::N,چشمه,pramen
128,Bach::N,نهر,potok
129,Fluss::N,رود,řeka
130,Ufer::N,ساحل,břeh
131,Ufer::N,کرانه,břeh
132,Küste::N,ساحل,pobřeží
133,Festland::N,خشکی,souš
134,Festland::N,خشکی,pevnina
135,Meer::N,دریا,moře
136,Bucht::N,خلیج,záliv
137,Bucht::N,خلیج,zátoka
138,Insel::N,جزیره,ostrov
139,Blume::N,گل,květina
140,Gras::N,علف,tráva
141,Wurzel::N,ریشه,kořen
142,Baum::N,درخت,strom
143,Stamm::N,تنه,kmen
144,Rinde::N,توژ,kůra
145,Rinde::N,پوست,kůra
146,Ast::N,شاخه,větev
147,Zweig::N,شاخه,větev
148,Blatt::N,برگ,lupen
149,Birke::N,غان,bříza
150,Kiefer[Baum]::N,کاج,sosna
151,Kiefer[Baum]::N,کاج,borovice
152,Weide[Baum]::N,بید,vrba
153,Tanne::N,صنوبر,jedle
154,Horn::N,شاخ,roh
155,Feder::N,پر,pero
156,Fell::N,خز,srst
157,Flügel::N,پر,křídlo
158,Flügel::N,بال,křídlo
159,Klaue::N,چنگ,dráp
160,Klaue::N,چنگ,pazneht
161,Klaue::N,پنجه,dráp
162,Klaue::N,پنجه,pazneht
163,Kralle::N,پنجه,dráp
164,Schwanz::N,دم,ocas
165,Ei::N,تخم,vejce
166,Nest::N,لانه,hnízdo
167,Bau::N,بنا,nora
168,Bau::N,ساختمان,nora
169,Tier::N,هیوان,zvíře
170,Herde::N,رمه,stádo
171,Kuh::N,گاو,kráva
172,Bulle::N,گاو نر,býk
173,Pferd::N,اسب,kůň
174,Schaf::N,گوسفند,ovce
175,Schwein::N,خوک,vepř
176,Schwein::N,خوک,prase
177,Hund::N,سگ,pes
178,Katze::N,گربه,kočka
179,Bär::N,خرس,medvěd
180,Eichhörnchen::N,سنجاب,veverka
181,Elch::N,گوزن شمالی,los
182,Fuchs::N,روباه,liška
183,Hase::N,خرگوش,zajíc
184,Maus::N,موش,myš
185,Wolf::N,گرگ,vlk
186,Vogel::N,پرنده,pták
187,Schwarm::N,دسته,roj
188,Schwarm::N,دسته,hejno
189,Huhn::N,مرغ,kuře
190,Huhn::N,مرغ,slepice
191,Hahn::N,خروس,kohout
192,Gans::N,غاز,husa
193,Adler::N,عقاب,orel
194,Ente::N,اردک,kachna
195,Ente::N,مرغابی,kachna
196,Eule::N,جغد,sova
197,Kranich::N,درنا,jeřáb
198,Krähe::N,زاغ,vrána
199,Krähe::N,کلاغ,vrána
200,Kuckuck::N,فاخته,kukačka
201,Schwan::N,قو,labuť
202,Fisch::N,ماهی,ryba
203,Barsch::N,ماهی خاردار,okoun
204,Hecht::N,اردک ماهی,štika
205,Schlange[Tier]::N,مار,had
206,Wurm::N,کرم,červ
207,Spinne::N,عنکبوت,pavouk
208,Ameise::N,مورچه,mravenec
209,Laus::N,شپش,veš
210,Mücke::N,پشه,komár
211,Fliege::N,مگس,moucha
212,Schmetterling::N,پروانه,motýl
213,Beere::N,گیله,bobule
214,Apfel::N,سیب,jablko
215,Pilz::N,قارچ,houba
216,Zwiebel::N,پیاز,cibule
217,Saat::N,بذر,osivo
218,Korn::N,تخم,zrno
219,Korn::N,دانه,zrno
220,Heu::N,علف خشک,seno
221,Schale::N,پوست,slupka
222,Schale::N,پوست,skořápka
223,Grube::N,گودال,jáma
224,Falle::N,دام,past
225,Falle::N,دام,léčka
226,Schlinge::N,حلقه,smyčka
227,Spur::N,رد,stopa
228,Asche::N,خاکستر,popel
229,Dreck::N,کثافت,špína
230,Eisen::N,آهن,železo
231,Gold::N,زر,zlato
232,Gold::N,طلا,zlato
233,Silber::N,نقره,stříbro
234,Kohle::N,زغال,uhlí
235,Glas::N,شیشه,sklo
236,Lehm::N,گل,jíl
237,Lehm::N,گل,hlína
238,Sand::N,شن,písek
239,Sand::N,ماسه,písek
240,Mensch::N,آدم,člověk
241,Mensch::N,انسان,člověk
242,Mann::N,مرد,muž
243,Frau::N,زن,žena
244,Kind::N,بچه,dítě
245,Kind::N,کودک,dítě
246,Junge::N,پسر,hoch
247,Junge::N,پسر,chlapec
248,Mädchen::N,دختر,děvče
249,Familie::N,فامیل,rodina
250,Familie::N,خانواده,rodina
251,Großvater::N,پدربزرگ,děd
252,Großvater::N,پدربزرگ,dědeček
253,Großmutter::N,مادر‌بزرگ,babička
254,Eltern::N,والدین,rodiče
255,Eltern::N,پدر‌و‌مادر,rodiče
256,Vater::N,پدر,otec
257,Mutter::N,مادر,matka
258,Sohn::N,پسر,syn
259,Tochter::N,دختر,dcera
260,Bruder::N,برادر,bratr
261,Schwester::N,خواهر,sestra
262,Onkel::N,عمو,strýc
263,Onkel::N,دایی,strýc
264,Tante::N,عمه,teta
265,Tante::N,خاله,teta
266,Ehemann::N,همسر,choť
267,Ehemann::N,همسر,manžel
268,Ehefrau::N,همسر,choť
269,Ehefrau::N,همسر,manželka
270,Freude::N,شادی,radost
271,Gelächter::N,خنده,smích
272,Gelächter::N,قاه‌قاه,smích
273,Glück::N,اقبال,štěstí
274,Kummer::N,غم,žal
275,Kummer::N,غم,trápení
276,Kummer::N,غصه,žal
277,Kummer::N,غصه,trápení
278,Wunsch::N,آرزو,přání
279,Lust::N,هوس,chuť
280,Geist::N,روح,duch
281,Gedanke::N,فکر,myšlenka
282,Gedächtnis::N,حافظه,paměť
283,Verstand::N,هوش,rozum
284,Sinn::N,معنا,smysl
285,Sinn::N,مفهوم,smysl
286,Grund::N,سبب,důvod
287,Grund::N,دلیل,důvod
288,Wahrheit::N,حقیقت,pravda
289,Gespräch::N,صحبت,rozhovor
290,Gespräch::N,گفتگو,rozhovor
291,Märchen::N,قصه,pohádka
292,Märchen::N,افسانه,pohádka
293,Erzählung::N,داستان,povídka
294,Nachricht::N,خبر,zpráva
295,Neuigkeit::N,خبر تازه,novina
296,Neuigkeit::N,خبر تازه,novinka
297,Name::N,اسم,jméno
298,Rätsel::N,معما,hádanka
299,Rede::N,سخن,řeč
300,Rede::N,سخن,proslov
301,Sprache::N,زبان,řeč
302,Sprache::N,زبان,jazyk
303,Stimme::N,صدا,hlas
304,Wort::N,کلمه,slovo
305,Zeichen::N,نشان,znamení
306,Zeichen::N,علامت,znamení
307,Ruf::N,صدا,zavolání
308,Lärm::N,هیاهو,hluk
309,Laut::N,صدا,zvuk
310,Ton::N,آهنگ,tón
311,Lied::N,آواز,píseň
312,Lied::N,ترانه,píseň
313,Ruhe::N,آرامش,klid
314,Ruhe::N,آرامش,pokoj
315,Leute::N,مردم,lidé
316,Volk::N,خلق,národ
317,Arbeit::N,کار,práce
318,Gast::N,مهمان,host
319,Geschenk::N,هدیه,dar
320,Spiel::N,بازی,hra
321,Gesellschaft::N,جمعیت,společnost
