,Concept_ID,fr,te
0,Auge::N,œil,కన్ను
1,Ohr::N,oreille,చెవి
2,Nase::N,nez,ముక్కు
3,Mund::N,bouche,నోరు
4,Zahn::N,dent,పల్లు
5,Zunge::N,langue,నాలుక
6,Lippe::N,lèvre,పెదవి
7,Wange::N,joue,చెంప
8,Gesicht::N,face,ముఖము
9,Gesicht::N,visage,ముఖము
10,Stirn::N,front,నుదురు
11,Haar::N,cheveu,వెండ్రుక
12,Schnurrbart::N,moustache,మీసము
13,Bart::N,barbe,గడ్డము
14,Kinn::N,menton,గడ్డము
15,Kiefer[Anatomie]::N,mâchoire,దౌడ
16,Kehle::N,gorge,గొంతు
17,Hals::N,cou,మెడ
18,Genick::N,nuque,మూపు
19,Kopf::N,tête,తల
20,Rücken::N,dos,వెన్ను
21,Bauch::N,ventre,కడుపు
22,Nabel::N,nombril,బొడ్డు
23,Busen::N,sein,స్తనము
24,Brust::N,poitrine,ఱొమ్ము
25,Schulter::N,épaule,భుజము
26,Arm::N,bras,చేయి
27,Ellenbogen::N,coude,మోచేయి
28,Hand::N,main,చేయి
29,Handfläche::N,paume,అరచేయు
30,Finger::N,doigt,చేతిప్రేలు
31,Fingernagel::N,ongle,గోరు
32,Nagel[Anatomie]::N,ongle,గోరు
33,Zeh::N,orteil,కాలిప్రేలు
34,Zeh::N,doigt de pied,కాలిప్రేలు
35,Fuß::N,pied,అడుగు
36,Ferse::N,talon,మడమ
37,Knie::N,genou,మోకాలు
38,Oberschenkel::N,cuisse,తొడ
39,Bein::N,jambe,కాలు
40,Körper::N,corps,కాయము
41,Haut::N,peau,చర్మము
42,Blut::N,sang,రక్తము
43,Ader::N,veine,సిర
44,Sehne::N,tendon,స్నాయువు
45,Knochen::N,os,ఎముక
46,Gehirn::N,cerveau,మెదడు
47,Herz::N,cœur,హృదయము
48,Magen::N,estomac,కడుపు
49,Leber::N,foie,కాలేయము
50,Atem::N,haleine,ఉపిరి
51,Hunger::N,faim,ఆకలి
52,Träne::N,larme,కన్నీటిచుక్క
53,Geschmack::N,goût,రుచి
54,Geschmack::N,saveur,రుచి
55,Geruch::N,odeur,వాసన
56,Schlaf::N,sommeil,నిద్ర
57,Traum::N,songe,కల
58,Himmel::N,ciel,ఆకాశము
59,Sonne::N,soleil,సూర్యుడు
60,Mond::N,lune,చంద్రుడు
61,Stern::N,étoile,నక్షత్రము
62,Luft::N,air,గాలి
63,Wind::N,vent,వీచుచున్నగాలి
64,Welle::N,vague,అల
65,Wasser::N,eau,నీరు
66,Stein::N,pierre,ఱాయి
67,Boden::N,sol,నేల
68,Boden::N,terrain,నేల
69,Erde::N,terre,మన్ను
70,Staub::N,poussière,దుమ్ము
71,Rauch::N,fumée,పొగ
72,Funke::N,étincelle,అగ్నికణము
73,Feuer::N,feu,అగ్ని
74,Licht::N,lumière,కాంతి
75,Schatten::N,ombre,నీడ
76,Wetter::N,temps,వాతావరణ స్థితి
77,Nebel::N,brume,పొగమంచు
78,Nebel::N,brouillard,పొగమంచు
79,Wolke::N,nuage,మేఘము
80,Regen::N,pluie,వాన
81,Schnee::N,neige,హిమము
82,Eis::N,glace,మంచుగడ్డ
83,Frost::N,gel,పేరిన మంచు
84,Frost::N,gelée,పేరిన మంచు
85,Kälte::N,froid,చలి
86,Hitze::N,chaleur,వేడిమి
87,Raureif::N,givre,మంచు
88,Regenbogen::N,arc-en-ciel,ఇంద్రధనుస్సు
89,Donner::N,tonnerre,ఉరుము
90,Strömung::N,courant,ప్రవాహము
91,Tropfen::N,goutte,చుక్క
92,Schaum::N,écume,నురుగు
93,Schaum::N,mousse,నురుగు
94,Schmutz::N,boue,మైల
95,Schmutz::N,saleté,మైల
96,See::N,lac,సరస్సు
97,Sumpf::N,marais,చిత్తడినేల
98,Sumpf::N,marécage,చిత్తడినేల
99,Moor::N,tourbière,చిత్తడినేల
