,Concept_ID,se,sl
0,Auge::N,tjelmie,okó
1,Auge::N,tjalmme,okó
2,Auge::N,čalbmi,okó
3,Auge::N,čalme,okó
4,Auge::N,čâ´lmm,okó
5,Auge::N,ча̄лльм,okó
6,Ohr::N,bieljie,uhó
7,Ohr::N,biellje,uhó
8,Ohr::N,beallji,uhó
9,Ohr::N,pelji,uhó
10,Ohr::N,pe´llj,uhó
11,Ohr::N,пе̄лльй,uhó
12,Nase::N,njuenie,nós
13,Nase::N,njunnje,nós
14,Nase::N,njunni,nós
15,Nase::N,njuṇe,nós
16,Nase::N,njuu´nn,nós
17,Nase::N,нюннҍ,nós
18,Mund::N,njaelmie,ústa
19,Mund::N,njálmme,ústa
20,Mund::N,njálbmi,ústa
21,Mund::N,njälmi,ústa
22,Mund::N,njä´lmm,ústa
23,Mund::N,ня̄лльм,ústa
24,Zahn::N,baenie,zób
25,Zahn::N,bádne,zób
26,Zahn::N,bátni,zób
27,Zahn::N,pääṇi,zób
28,Zahn::N,pää´nn,zób
29,Zahn::N,па̄ннҍ,zób
30,Zunge::N,njoektjeme,jêzik
31,Zunge::N,njuovtjav,jêzik
32,Zunge::N,njuovčča,jêzik
33,Zunge::N,njuovčâ,jêzik
34,Zunge::N,njuhččâm,jêzik
35,Zunge::N,нюхчем,jêzik
36,Lippe::N,bangseme,ústnica
37,Lippe::N,njálmmerabdda,ústnica
38,Lippe::N,bavssa,ústnica
39,Lippe::N,poovsâ,ústnica
40,Lippe::N,põõus,ústnica
41,Lippe::N,пэ̄кс,ústnica
42,Wange::N,skiehrie,líce
43,Wange::N,nierra,líce
44,Wange::N,muohtu,líce
45,Wange::N,nieṛâ,líce
46,Wange::N,njiõrr,líce
47,Wange::N,нӣрр,líce
48,Gesicht::N,ååredæjja,oblíčje
49,Gesicht::N,muohto,oblíčje
50,Gesicht::N,muođut,oblíčje
51,Gesicht::N,ámadadju,oblíčje
52,Gesicht::N,muáđuh,oblíčje
53,Gesicht::N,muâđ,oblíčje
54,Gesicht::N,ка̄ссв,oblíčje
55,Stirn::N,gaalloe,čêlo
56,Stirn::N,gállo,čêlo
57,Stirn::N,gállu,čêlo
58,Stirn::N,kállu,čêlo
59,Stirn::N,käll,čêlo
60,Stirn::N,вуэххьц,čêlo
61,Haar::N,voepte,lás
62,Haar::N,vuoppta,lás
63,Haar::N,vuokta,lás
64,Haar::N,vuop'tâ,lás
65,Haar::N,vuõpt,lás
66,Haar::N,вӯппт,lás
67,Schnurrbart::N,bijjie-skaavtjoe,bŕki
68,Schnurrbart::N,njunjevuolskávttjá,bŕki
69,Schnurrbart::N,seamu,bŕki
70,Schnurrbart::N,siämu,bŕki
71,Schnurrbart::N,ää´bben,bŕki
72,Schnurrbart::N,о̄а̄бпан,bŕki
73,Bart::N,skaavtja,bráda
74,Bart::N,skaavtjoe,bráda
75,Bart::N,skávttjá,bráda
76,Bart::N,seamu,bráda
77,Bart::N,siämu,bráda
78,Bart::N,seäm,bráda
79,Bart::N,ся̄м,bráda
80,Kinn::N,gaejpie,bráda
81,Kinn::N,gájbbe,bráda
82,Kinn::N,gáibi,bráda
83,Kinn::N,käibi,bráda
84,Kinn::N,käi´bb,bráda
85,Kinn::N,ка̄ййп,bráda
86,Kiefer[Anatomie]::N,gaejpie,čeljúst
87,Kiefer[Anatomie]::N,oalol,čeljúst
