,Concept_ID,ka,kv
0,Auge::N,თვალი,син
1,Ohr::N,ყური,пель
2,Nase::N,ცხვირი,ныр
3,Mund::N,პირი,ӧм
4,Zahn::N,კბილი,пинь
5,Zunge::N,ენა,кыв
6,Lippe::N,ბაგე,тырп
7,Wange::N,ლოყა,рожабан
8,Gesicht::N,სახე,бан
9,Stirn::N,შუბლი,кымӧс
10,Haar::N,თმა,юрси
11,Schnurrbart::N,ულვაში,уссэз
12,Bart::N,წვერი,тош
13,Kinn::N,ნიკაპი,тшӧка
14,Kiefer[Anatomie]::N,ყბა,ан
15,Kehle::N,ყელი,юан
16,Hals::N,ყელი,юан
17,Hals::N,კისერი,юан
18,Genick::N,კეფა,юр бӧр
19,Kopf::N,თავი,юр
20,Rücken::N,ზურგი,мышк
21,Bauch::N,მუცელი,кынӧм
22,Nabel::N,ჭიპი,гӧг
23,Busen::N,ძუძუ,морос
24,Brust::N,მკერდი,морос
25,Schulter::N,მხარი,пельпон
26,Schulter::N,მკლავი,пельпон
27,Arm::N,ხელი,ки
28,Ellenbogen::N,იდაყვი,гырдзза
29,Hand::N,ხელი,кикар
30,Handfläche::N,ნები,ки пыдӧс
31,Handfläche::N,ხელისგული,ки пыдӧс
32,Finger::N,თითი,чунь
33,Fingernagel::N,ფრჩხილი,гыж
34,Nagel[Anatomie]::N,ფრჩხილი,гыж
35,Zeh::N,ფეხის თითი,чунь
36,Fuß::N,ტერფი,кокпыдӧс
37,Fuß::N,ფეხისგული,кокпыдӧс
38,Ferse::N,ქუსლი,кокдзир
39,Knie::N,მუხლი,пидзӧс
40,Oberschenkel::N,ბარძაყი,лядьбей
41,Bein::N,ფეხი,кок
42,Körper::N,ტანი,вывтыр
43,Körper::N,სხეული,вывтыр
44,Haut::N,კანი,кучик
45,Blut::N,სისხლი,вир
46,Ader::N,ძარღვი,сӧн
47,Sehne::N,მყესი,жила
48,Knochen::N,ძვალი,коска
49,Gehirn::N,ტვინი,вем
50,Herz::N,გული,сьӧлӧм
51,Magen::N,კუჭი,жӧвдӧк
52,Leber::N,ღვიძლი,мус
53,Atem::N,სუნთქვა,лолалӧм
54,Hunger::N,შიმშილი,тшыг
55,Träne::N,ცრემლი,синва
56,Geschmack::N,გემო,кӧр
57,Geruch::N,სუნი,дук
58,Schlaf::N,ძილი,он
59,Traum::N,სიზმარი,вӧт
60,Himmel::N,ცა,небо
61,Sonne::N,მზე,шондi
62,Mond::N,მთვარე,тӧлiсь
63,Stern::N,ვარსკვლავი,кӧдзыв
64,Luft::N,ჰაერი,ру
65,Wind::N,ქარი,тӧв
66,Welle::N,ტალღა,гы
67,Wasser::N,წყალი,ва
68,Stein::N,ქვა,из
69,Boden::N,მიწა,му
70,Erde::N,ნიადაგი,му
71,Staub::N,მტვერი,бус
72,Rauch::N,ბოლი,тшын
73,Rauch::N,კვამლი,тшын
74,Funke::N,ნაკვესი,бичир
75,Feuer::N,ცეცხლი,би
76,Licht::N,შუქი,би
77,Licht::N,სინათლე,би
78,Schatten::N,ლანდი,вуджӧр
79,Schatten::N,ჩრდილი,вуджӧр
80,Wetter::N,ამინდი,погоддя
81,Nebel::N,ნისლი,туман
82,Wolke::N,ღრუბელი,кымӧр
83,Regen::N,წვიმა,зэр
84,Schnee::N,თოვლი,лым
85,Eis::N,თოში,йы
86,Eis::N,ყინული,йы
87,Frost::N,ყინვა,мороз
88,Kälte::N,სიცივე,кӧдзыт
89,Hitze::N,სიცხე,ӧд
90,Raureif::N,ჭირხლი,кижа
91,Raureif::N,თრთვილი,кижа
92,Regenbogen::N,ცისარტყელა,енӧшка
93,Donner::N,ქუხილი,гым
94,Strömung::N,დინება,визывтӧм
95,Tropfen::N,წვეთი,тёп
96,Schaum::N,ქაფი,быг
97,Schaum::N,დორბლი,быг
98,Schmutz::N,ჭუჭყი,нять
99,Schmutz::N,ტალახი,нять
100,See::N,ტბა,ты
101,Sumpf::N,ჭაობი,арай
102,Moor::N,ტორფნარი,нюр
103,Wiese::N,ველი,видз
104,Wiese::N,მდელო,видз
105,Wald::N,ტყე,вӧр
106,Hügel::N,ბორცვი,мыльк
107,Anhöhe::N,მაღლობი,вывтас
108,Anhöhe::N,მაღლობი,вылынін
109,Berg::N,მთა,керӧс
110,Gipfel::N,მწვერვალი,йыв
111,Höhle::N,მღვიმე,нора
112,Höhle::N,გამოქვებული,нора
113,Abhang::N,ფერდობი,покат
114,Quelle::N,წყარო,больган
115,Quelle::N,სათავე,больган
116,Bach::N,რუ,шор
117,Bach::N,ნაკადული,шор
118,Fluss::N,მდინარე,ю
119,Ufer::N,კიდე,берег
120,Ufer::N,ნაპირი,берег
121,Küste::N,ნაპირი,берег
122,Festland::N,ხმელეთი,му
123,Meer::N,ზღვა,море
124,Bucht::N,ყურე,курья
125,Insel::N,კუნძული,
126,Blume::N,ყვავილი,цветок
127,Gras::N,ბალახი,турун
128,Wurzel::N,ძირი,вуж
129,Wurzel::N,ფესვი,вуж
130,Baum::N,ხე,пу
131,Stamm::N,ტანი,мыр
132,Stamm::N,ტანი,кер
133,Rinde::N,ქერქი,кач
134,Ast::N,ტოტი,ув
135,Zweig::N,შტო,ув
136,Blatt::N,ფოთოლი,лист
137,Birke::N,არყი,кыдз
138,Kiefer[Baum]::N,ფიჭვი,пожум
139,Weide[Baum]::N,ტირიფი,бадь
140,Tanne::N,ნაძვი,кӧз
141,Horn::N,რქა,сюр
142,Feder::N,ფრთა,гӧн
143,Fell::N,ტყავი,кучик
144,Flügel::N,ფრთა,борд
145,Klaue::N,კლანჭი,гыж
146,Kralle::N,ტორი,кабыр
147,Schwanz::N,კუდი,бӧж
148,Ei::N,კვერცხი,кольть
149,Nest::N,ბუდე,поз
150,Bau::N,სორო,осьта
151,Bau::N,სორო,нора
152,Tier::N,ნადირი,зверь
153,Tier::N,ცხოველი,зверь
154,Herde::N,ფარა,гурт
155,Kuh::N,ფური,мӧс
156,Kuh::N,ძროხა,мӧс
157,Bulle::N,ხარი,ӧшка
158,Pferd::N,რაში,вӧв
159,Pferd::N,ცხენი,вӧв
160,Schaf::N,ცხვარი,баля
161,Schwein::N,ღორი,порсь
162,Hund::N,ძაღლი,пон
163,Katze::N,კატა,кань
164,Bär::N,დათვი,ош
165,Eichhörnchen::N,ციყვი,ур
166,Elch::N,ცხენ-ირემი,вӧр мӧс
167,Fuchs::N,მელა,руч
168,Hase::N,კურდღელი,кӧч
169,Maus::N,თაგვი,шыр
170,Wolf::N,მგელი,кӧин
171,Vogel::N,ჩიტი,кай
172,Vogel::N,ფრინველი,кай
173,Schwarm::N,გუნდი,стая
174,Schwarm::N,გუნდი,чукӧр
175,Huhn::N,დედალი,курӧг
176,Hahn::N,მამალი,петух
177,Hahn::N,მამალი,ай курӧг
178,Gans::N,ბატი,дзодзог
179,Adler::N,არწივი,куч
180,Adler::N,არწივი,кутш
181,Ente::N,იხვი,утка
182,Eule::N,ბუ,тупка
183,Kranich::N,წერო,тури
184,Krähe::N,ყვავი,рака
185,Kuckuck::N,გუგული,кӧк
186,Schwan::N,გედი,юсь
187,Fisch::N,თევზი,чери
188,Barsch::N,ქორჭილა,ёкыш
189,Hecht::N,ქარიყლაპია,сирпинь
190,Schlange[Tier]::N,გველი,змей
191,Wurm::N,ჭია,номыр
192,Spinne::N,ობობა,черань
193,Ameise::N,ჭიანჭველა,кӧдзывкар
194,Laus::N,ტილი,ляпа той
195,Laus::N,მკბენარი,ляпа той
196,Mücke::N,კოღო,ном
197,Fliege::N,ბუზი,гут
198,Schmetterling::N,პეპელა,бабыв
199,Beere::N,კენკრა,ягӧд
200,Apfel::N,ვაშლი,яблоко
201,Pilz::N,სოკო,тшак
202,Zwiebel::N,ხახვი,грез
203,Saat::N,თესლი,кӧдзыс
204,Korn::N,მარცვალი,сю
205,Heu::N,თივა,турун
206,Schale::N,ჩენჩო,кыш
207,Schale::N,ჩენჩო,киль
208,Grube::N,ორმო,яма
209,Falle::N,ხაფანგი,нальк
210,Falle::N,ხაფანგი,кляпча
211,Schlinge::N,მახე,лӧч
212,Spur::N,კვალი,туй
213,Asche::N,ფერფლი,пӧим
214,Dreck::N,ტალახი,нять
215,Dreck::N,სიბინძურე,нять
216,Eisen::N,რკინა,кӧрт
217,Gold::N,ოქრო,зарни
218,Silber::N,ვერცხლი,язісь
219,Kohle::N,ნახშირი,шом
