,Concept_ID,lbe,he
0,Auge::N,я,עין
1,Ohr::N,вичӏи,אזן
2,Nase::N,май,אף
3,Nase::N,май,חטם
4,Mund::N,кьацӏ,פה
5,Zahn::N,ккарччи,שן
6,Zunge::N,маз,לשון
7,Lippe::N,мурччи,שפה
8,Wange::N,чӏав,לחי
9,Gesicht::N,лажин,פנים
10,Stirn::N,ненттабакӏ,מצח
11,Haar::N,чӏара,שערה
12,Schnurrbart::N,ссирссилтту,שפם
13,Bart::N,чӏири,זקן
14,Kinn::N,лунттубакӏ,סנטר
15,Kiefer[Anatomie]::N,ххинчулул,לסת
16,Kehle::N,кьакьари,גרון
17,Hals::N,ссурссу,צואר
18,Genick::N,махъабакӏ,ערף
19,Kopf::N,бакӏ,ראש
20,Rücken::N,ттиликӏ,גב
21,Bauch::N,лякьа,בטן
22,Nabel::N,цӏумуккутӏ,טבור
23,Busen::N,ккукку,שד
24,Brust::N,хъазам,חזה
25,Schulter::N,хъачӏ,כתף
26,Arm::N,ка,זרוע
27,Ellenbogen::N,ссюрхъ,מרפק
28,Hand::N,бартка,יד
29,Handfläche::N,хъат,כף יד
30,Handfläche::N,битӏянхъ,כף יד
31,Finger::N,кӏисса,אצבע
32,Fingernagel::N,михь,צפרן
33,Nagel[Anatomie]::N,михь,צפרן
34,Zeh::N,кӏисса,אצבע
35,Fuß::N,чӏанччан,רגל
36,Ferse::N,никъа,עקב
37,Knie::N,ник,ברך
38,Oberschenkel::N,жира,ירך
39,Bein::N,ччан,רגל
40,Körper::N,чурх,גוף
41,Haut::N,бурчу,עור
42,Blut::N,оь,דם
43,Ader::N,тунну,וריד
44,Sehne::N,хьхьа,גיד
45,Knochen::N,ттаркӏ,עצם
46,Gehirn::N,ня,מוח
47,Herz::N,дакӏ,לב
48,Herz::N,къюкӏ,לב
49,Magen::N,лякьа,קבה
50,Atem::N,ссихӏ ласаву,נשימה
51,Atem::N,ссихӏ бигьаву,נשימה
52,Hunger::N,ккаши,רעב
53,Träne::N,макь,דמעה
54,Geschmack::N,тӏин,טעם
55,Geschmack::N,тӏааьн,טעם
56,Geruch::N,кьанкь,ריח
57,Schlaf::N,шану,שנה
58,Traum::N,макӏру,חלום
59,Himmel::N,ссав,שמים
60,Sonne::N,баргъ,שמש
61,Mond::N,барз,ירח
62,Stern::N,цӏуку,כוכב
63,Luft::N,гьава,אויר
64,Wind::N,марч,רוח
65,Welle::N,щатӏи,גל
66,Wasser::N,щин,מים
67,Stein::N,чару,אבן
68,Boden::N,аьрщи,קרקע
69,Erde::N,аьрщи,אדמה
70,Staub::N,ххит,אבק
71,Rauch::N,пуркӏу,עשן
72,Funke::N,пиягь,ניצוץ
73,Feuer::N,цӏу,אש
74,Licht::N,чани,אור
75,Schatten::N,ххют,צל
76,Wetter::N,гьава,מזג אויר
77,Nebel::N,шархь ттурлу,ערפל
78,Wolke::N,ттурлу,ענן
79,Regen::N,гъарал,גשם
80,Schnee::N,марххала,שלג
81,Eis::N,микӏ,קרח
82,Frost::N,дяркъу,צנה
83,Frost::N,замгьар,צנה
84,Kälte::N,дяркъу,קר
85,Hitze::N,кӏиришиву,חם
86,Raureif::N,сил,כפור
87,Raureif::N,бурса,כפור
88,Regenbogen::N,ссурул ккуртта,קשת
89,Donner::N,къув,רעם
90,Strömung::N,экьинанаву,זרימה
91,Tropfen::N,кӏунтӏ,טפה
92,Schaum::N,хьама,קצף
93,Schmutz::N,кьяркьи,לכלוך
94,See::N,бяр,אגם
95,Sumpf::N,кунцӏа,בצה
96,Wiese::N,кьан,מרעה
97,Wald::N,вацӏа,יער
98,Hügel::N,бакӏу,תל
99,Berg::N,зунтту,הר
100,Gipfel::N,мицӏ,פסגה
101,Höhle::N,нух,מערה
102,Abhang::N,сун,מדרון
103,Abhang::N,сун,שפוע
104,Quelle::N,дайдихьу,מעין
105,Quelle::N,бакӏ,מעין
106,Bach::N,чӏрир нех,נחל
107,Fluss::N,нех,נהר
108,Ufer::N,зума,גדה
109,Küste::N,зумаинхалу,חוף
110,Küste::N,зуманицӏалу,חוף
111,Festland::N,кьири,יבשה
112,Meer::N,хьхьири,ים
113,Insel::N,жазира,אי
114,Blume::N,тӏутӏи,פרח
115,Gras::N,уртту,דשא
116,Wurzel::N,мархха,שרש
117,Baum::N,мурхь,עץ
118,Stamm::N,ттарцӏ,גזע
119,Rinde::N,ккамара,קלפת עץ
120,Ast::N,матӏи,ענף
121,Zweig::N,къяртта,ענף
122,Blatt::N,чӏапӏи,עלה
123,Birke::N,кӏялахӏи,שדר
124,Birke::N,кӏялахӏилул мурхь,שדר
125,Kiefer[Baum]::N,ттар,ארן
126,Kiefer[Baum]::N,ттарлил мурхь,ארן
127,Weide[Baum]::N,щавщи,ערבה
128,Tanne::N,ттарлил мурхь,אשוח
129,Horn::N,хъи,קרן
130,Feder::N,лелуххул тӏиму,נוצה
131,Fell::N,бурчу,פרוה
132,Flügel::N,хъа,כנף
133,Flügel::N,ххурупӏайрал тӏиму,כנף
134,Klaue::N,михь,טלף
135,Kralle::N,ххяппа,טפר
136,Schwanz::N,магъ,זנב
137,Ei::N,ккунук,ביצה
138,Nest::N,кюру,קן
139,Bau::N,цукъуккутӏ,מחלה
140,Tier::N,хӏайван,חיה
141,Herde::N,газу,עדר
142,Kuh::N,оьл,פרה
143,Bulle::N,ниц,פר
144,Pferd::N,чу,סוס
145,Schaf::N,тта,כבשה
146,Schwein::N,дунгъуз,חזיר
147,Hund::N,ккаччи,כלב
148,Katze::N,ччиту,חתול
149,Bär::N,цуша,דב
150,Eichhörnchen::N,бюрхттукку,סנאי
151,Elch::N,ниц-бюрин,דישון
152,Fuchs::N,цулчӏа,שועל
153,Fuchs::N,куча цулчӏа,שועל
154,Hase::N,бюрх,ארנב
155,Maus::N,кӏулу,עכבר
156,Wolf::N,барцӏ,זאב
157,Vogel::N,лелуххи,צפור
158,Schwarm::N,гьухъала,נחיל
159,Schwarm::N,гьухъала,להקה
160,Huhn::N,аьнакӏи,תרנגלת
161,Hahn::N,ажари,תרנגול
162,Gans::N,къаз,אוז
163,Adler::N,барзу,עיט
164,Ente::N,урдак,ברוז
165,Eule::N,ису,ינשוף
166,Eule::N,ччиккумяв,ינשוף
167,Kranich::N,кьурукь,עגור
168,Kranich::N,кьурукь,כרוכיה
169,Krähe::N,хъатӏу,עורב
170,Kuckuck::N,ччикку,קוקיה
