,Concept_ID,bn,vep
0,Auge::N,চক্ষু,sil'm
1,Ohr::N,কর্ণ,korv
2,Nase::N,নাক,nena
3,Mund::N,মুখ,su
4,Zahn::N,দাঁত,pi
5,Zahn::N,দাঁত,hambaz
6,Zunge::N,জিহবা,kel'
7,Lippe::N,অধর,hul'
8,Wange::N,গণ্ড,modpolišk
9,Gesicht::N,মুখমণ্ডল,mod
10,Stirn::N,কপাল,oc
11,Haar::N,চুল,tuk
12,Haar::N,চুল,hibuz
13,Schnurrbart::N,গোঁফ,habinod
14,Bart::N,শ্মশ্রু,bard
15,Kinn::N,চিবুক,löug
16,Kiefer[Anatomie]::N,চোয়াল,hambazlu
17,Kehle::N,কণ্ঠ,kurk
18,Hals::N,গল,kagl
19,Genick::N,ঘাড়,tagarai
20,Kopf::N,মাথা,pä
21,Rücken::N,পৃষ্ঠ,sel'g
22,Bauch::N,উদর,vac
23,Bauch::N,উদর,koht
24,Nabel::N,নাভি,naba
25,Busen::N,স্তন,niža
26,Brust::N,বুক,rind
27,Schulter::N,স্কন্ধ,oug
28,Arm::N,বাহু,käzi
29,Ellenbogen::N,কনুই,künambruz
30,Hand::N,হাত,käzi
31,Hand::N,হাত,käzitera
32,Handfläche::N,করতল,kämen
33,Finger::N,আঙ্গুল,sor'm
34,Fingernagel::N,হাতের নখ,künz'
35,Nagel[Anatomie]::N,নখ,künz'
36,Zeh::N,আঙ্গুল,barbaz
37,Fuß::N,পা,jaug
38,Ferse::N,গোড়ালি,kand
39,Knie::N,হাঁটু,komb
40,Knie::N,হাঁটু,pol'v
41,Oberschenkel::N,ঊরু,riiže
42,Bein::N,পা,jaug
43,Körper::N,দেহ,hibj
44,Haut::N,ত্বক,nahk
45,Blut::N,রক্ত,čak
46,Blut::N,রক্ত,veri
47,Ader::N,শিরা,son'
48,Sehne::N,কণ্ডরা,jände
49,Knochen::N,অস্থি,lu
50,Gehirn::N,মস্তিষ্ক,aivod
51,Herz::N,হৃৎপিণ্ড,südäin
52,Magen::N,পাকস্থলী,südäikoht
53,Leber::N,যকৃৎ,maks
54,Atem::N,শ্বাস,hengaiduz
55,Hunger::N,ক্ষুধা,näl'g
56,Träne::N,অশ্রু,kündal'
57,Geschmack::N,স্বাদ,magu
58,Geruch::N,গন্ধ,haju
59,Schlaf::N,ঘুম,uni
60,Traum::N,স্বপ্ন,unikuva
61,Himmel::N,আকাশ,taivaz
62,Sonne::N,সূর্য,päiväine
63,Mond::N,চন্দ্র,kudmaine
64,Stern::N,নক্ষত্র,tähtaz
65,Luft::N,বায়ু,il'm
66,Wind::N,বাতাস,döl
67,Wind::N,বাতাস,tullei
68,Welle::N,ঢেউ,ald
69,Welle::N,ঢেউ,laineh
70,Welle::N,তরঙ্গ,ald
71,Welle::N,তরঙ্গ,laineh
72,Wasser::N,জল,vezi
73,Stein::N,ঢিল,kivi
74,Stein::N,প্রস্তর,kivi
75,Boden::N,ভূতল,ma
76,Boden::N,ভূতল,pohj
77,Erde::N,ভূমি,ma
78,Staub::N,ধুলা,pölü
79,Rauch::N,ধোঁয়া,savu
80,Funke::N,স্ফুলিঙ্গ,kibin
81,Feuer::N,অগ্নি,lämoi
82,Licht::N,আলো,vauktuz
83,Schatten::N,ছায়া,pil'vez
84,Schatten::N,ছায়া,kuvahaine
85,Wetter::N,আবহাওয়া,sä
86,Nebel::N,কুহেলিকা,sumeg
87,Wolke::N,মেঘ,pil'v
88,Regen::N,বৃষ্টি,vihm
89,Schnee::N,তুষার,lumi
90,Eis::N,বরফ,jä
91,Frost::N,তুষার,hala
92,Frost::N,তুষার,pakaine
93,Kälte::N,শৈত্য,vilu
94,Hitze::N,তাপ,räk
95,Raureif::N,তুহিন,hüde
96,Regenbogen::N,রামধনু,jumalanbembel'
97,Donner::N,বজ্রধ্বনি,juru
98,Donner::N,বজ্রধ্বনি,jumalanjuru
99,Strömung::N,স্রোত,joksmuz
100,Tropfen::N,ফোঁটা,tilkuine
101,Schaum::N,ফেনা,vaht
102,Schmutz::N,ধুলা,redu
103,Schmutz::N,ধুলা,pačak
104,See::N,হ্রদ,järv
105,Sumpf::N,জলা,so
106,Moor::N,মাঠ,so
107,Wiese::N,তৃণভূমি,nit
108,Wald::N,বন,mec
109,Hügel::N,পাহাড়,kukaz
110,Anhöhe::N,টিলা,kukaz
111,Berg::N,পর্বত,mägi
112,Gipfel::N,শীর্ষ,ladv
113,Höhle::N,গুহা,mägionduz
114,Abhang::N,ঢাল,paute
115,Quelle::N,উৎস,lähte
116,Bach::N,ক্ষুদ্র নদী,oja
117,Fluss::N,নদী,jogi
118,Ufer::N,উপকূল,rand
119,Küste::N,তীর,randišt
120,Festland::N,ভূমি,kuivma
121,Meer::N,সমুদ্র,meri
122,Bucht::N,উপসাগর,laht
123,Insel::N,দ্বীপ,sar'
124,Blume::N,ফুল,änik
125,Gras::N,ঘাস,hein
126,Wurzel::N,শিকড়,jur'
127,Baum::N,গাছ,pu
128,Stamm::N,স্কন্ধ,tüvi
129,Rinde::N,বল্কল,kor'
130,Ast::N,শাখা,oks
131,Zweig::N,ডাল,oks
132,Zweig::N,ডাল,barb
133,Blatt::N,পর্ণ,lehtez
134,Birke::N,ভুর্জ,koiv
135,Kiefer[Baum]::N,পাইন গাছ,pedai
136,Weide[Baum]::N,উইলো,raid
137,Tanne::N,দেবদারূ গাছ,kuz'
138,Horn::N,শিং,sar'v
139,Feder::N,পালক,höuneh
140,Fell::N,রোম,nahk
141,Flügel::N,ডানা,suug
142,Klaue::N,নখর,künz'
143,Kralle::N,নখর,künz'
144,Schwanz::N,লেজ,händ
145,Ei::N,ডিম,muna
146,Nest::N,কুলায়,peza
147,Bau::N,ডেরা,uru
148,Tier::N,জন্তু,živat
149,Herde::N,ঝাঁক,kogo
150,Kuh::N,গোরু,lehm
151,Bulle::N,বৃষ,härg
152,Pferd::N,ঘোড়া,hebo
153,Schaf::N,ভেড়া,lambaz
154,Schwein::N,শূকর,siga
155,Hund::N,কুকুর,koir
156,Katze::N,বেড়াল,kaži
157,Bär::N,ভল্লুক,kondi
158,Eichhörnchen::N,কাঠবিড়াল,orav
159,Elch::N,হরিণবিশেষ,hirb'
160,Fuchs::N,পাঁতিশিয়াল,reboi
161,Hase::N,শশক,jäniš
162,Maus::N,নেংটি ইঁদুর,hir'
163,Wolf::N,নেকড়ে,händikaz
164,Vogel::N,পক্ষী,lind
165,Schwarm::N,ঝাঁক,parveh
166,Huhn::N,মোরগ,kana
167,Hahn::N,কুক্কুট,kukoi
168,Gans::N,হংসী,hanh'
169,Adler::N,ইগল,orl
170,Ente::N,হংসী,sorz
171,Eule::N,পেচক,hir'pulo
172,Kranich::N,সারস,kurg
173,Krähe::N,কাক,variš
174,Kuckuck::N,কোকিল,kägi
175,Schwan::N,মরাল,joucen
176,Fisch::N,মাছ,kala
177,Barsch::N,মৎন্যবিশেষ,ahven
178,Hecht::N,বানমাছ,haug'
179,Schlange[Tier]::N,সর্প,kü
180,Schlange[Tier]::N,সর্প,mado
181,Wurm::N,কীট,mado
182,Spinne::N,মাকড়সা,hämähouk
183,Ameise::N,পিপীলিকা,murahaine
184,Laus::N,উকুন,täi
185,Mücke::N,মশা,säs'k
186,Fliege::N,মাছি,kärbhaine
187,Schmetterling::N,প্রজাপতি,lipkaine
188,Beere::N,বেরি,marj
189,Apfel::N,আপেল,jablok
190,Pilz::N,ছত্রক,sen'
191,Pilz::N,ছত্রক,babuk
192,Zwiebel::N,পিয়াজ,lauk
193,Saat::N,বীজ,semned
194,Korn::N,শস্য,jüvä
195,Korn::N,শস্য,vill'
196,Heu::N,খড়,hein
197,Schale::N,খোসা,kor'
198,Grube::N,গর্ত,kop
199,Falle::N,ফাঁদ,rida
200,Schlinge::N,পাশ,rihm
201,Spur::N,চিহ্ন,jäl'g
202,Asche::N,ভস্ম,tuhk
203,Dreck::N,ময়লা,redu
204,Dreck::N,ময়লা,pačak
205,Eisen::N,লোহা,raud
206,Gold::N,স্বর্ণ,kuld
207,Silber::N,রৌপ্য,hobed
208,Kohle::N,অঙ্গার,hil'
209,Glas::N,কাচ,stökol
210,Lehm::N,মৃত্তিকা,savi
211,Sand::N,বালি,lete
212,Mensch::N,নর,mez'
213,Mensch::N,নর,ristit
214,Mensch::N,মানুষ,mez'
215,Mensch::N,মানুষ,ristit
216,Mann::N,মানুষ,mez'
217,Frau::N,নারী,naine
218,Kind::N,বাচ্চা,laps'
219,Junge::N,ছেলে,poig
220,Junge::N,ছেলে,prihaine
221,Mädchen::N,মেয়ে,neičukaine
222,Familie::N,পরিবার,kanz
223,Familie::N,পরিবার,pereh
224,Großvater::N,মাতামহ,ded
225,Großmutter::N,মাতামহী,bab
226,Eltern::N,মাতাপিতা,vanhembad
227,Eltern::N,মাতাপিতা,kazvatajad
228,Vater::N,পিতা,tat
229,Mutter::N,মাতা,mam
230,Sohn::N,ছেলে,poig
231,Tochter::N,মেয়ে,tütär
232,Bruder::N,দাদা,veik
233,Bruder::N,দাদা,vell'
234,Schwester::N,বোন,čiža
235,Schwester::N,বোন,sizar
236,Schwester::N,দিদি,čiža
237,Schwester::N,দিদি,sizar
238,Onkel::N,মামা,däd'
239,Tante::N,মাসী,tädi
240,Ehemann::N,স্বামী,mužik
241,Ehefrau::N,পত্নী,ak
242,Freude::N,উল্লাস,ilo
243,Freude::N,উল্লাস,ihastuz
244,Gelächter::N,হাসি,nagr
245,Glück::N,সুখ,oza
246,Kummer::N,দুঃখ,gor'a
247,Wunsch::N,আকাঙ্ক্ষা,taht
248,Lust::N,বাসনা,himo
249,Geist::N,আত্না,heng
