,Concept_ID,uk,kk
0,Auge::N,око,көз
1,Ohr::N,вухо,құлақ
2,Nase::N,ніс,мұрын
3,Mund::N,рот,ауыз
4,Zahn::N,зуб,тіс
5,Zunge::N,язик,тіл
6,Lippe::N,губа,ерін
7,Wange::N,щока,ұрт
8,Gesicht::N,обличчя,бет-аузы
9,Stirn::N,лоб,маңдай
10,Haar::N,волосся,қыл
11,Schnurrbart::N,вуса,мұрт
12,Bart::N,борода,сақал
13,Kinn::N,підборіддя,иек
14,Kiefer[Anatomie]::N,щелепа,жақ
15,Kehle::N,горло,алқым
16,Hals::N,шия,мойын
17,Genick::N,потилиця,желке
18,Kopf::N,голова,кәллә
19,Rücken::N,спина,арқа
20,Bauch::N,живіт,қарын
21,Nabel::N,пупок,кіндік
22,Busen::N,груди,омырау
23,Brust::N,груди,кеуде
24,Schulter::N,плече,иық
25,Arm::N,рука,қол
26,Ellenbogen::N,лікоть,шынтақ
27,Hand::N,рука,қол
28,Handfläche::N,долоня,алақан
29,Finger::N,палець,саусақ
30,Fingernagel::N,ніготь,тырнақ
31,Nagel[Anatomie]::N,ніготь,тырнақ
32,Zeh::N,палець на нозі,тырнақ
33,Zeh::N,палець на нозі,тұяқ
34,Fuß::N,нога,аяқ-басы
35,Ferse::N,п’ятка,өкше
36,Ferse::N,п’ятка,өкшелік
37,Knie::N,коліно,тізе
38,Oberschenkel::N,стегно,жамбас
39,Bein::N,нога,аяқ
40,Körper::N,тіло,дене
41,Haut::N,шкіра,тері
42,Blut::N,кров,қан
43,Ader::N,вена,көктамыр
44,Ader::N,вена,күретамыр
45,Sehne::N,сухожилля,сіңір
46,Knochen::N,кістка,жілік
47,Gehirn::N,мозок,ми
48,Herz::N,серце,жүрек
49,Magen::N,шлунок,асқазан
50,Leber::N,печінка,бауыр
51,Atem::N,дихання,леп
52,Hunger::N,голод,ашаршылық
53,Träne::N,сльоза,жас
54,Geschmack::N,смак,дәм
55,Geschmack::N,смак,татым
56,Geschmack::N,смак,талғам
57,Geruch::N,запах,иіс
58,Schlaf::N,сон,ұйқы
59,Schlaf::N,сон,ұйықтау
60,Schlaf::N,сплячка,ұйқы
61,Schlaf::N,сплячка,ұйықтау
62,Traum::N,сон,түс
63,Himmel::N,небо,аспан
64,Himmel::N,небо,көқ
65,Himmel::N,небо,таңдай
66,Sonne::N,сонце,күн
67,Mond::N,місяць,ай
68,Stern::N,зірка,жұлдыз
69,Luft::N,повітря,әуе
70,Wind::N,вітер,жел
71,Welle::N,хвиля,толқын
72,Wasser::N,вода,су
73,Stein::N,камінь,тас
74,Boden::N,ґрунт,қыртыс
75,Erde::N,земля,топырақ
76,Staub::N,пил,шаң
77,Rauch::N,дим,түтін
78,Funke::N,іскра,ұшқын
79,Feuer::N,вогонь,алау
80,Licht::N,світло,шұғыла
81,Schatten::N,тінь,көлеңке
82,Wetter::N,погода,ауа райы
83,Nebel::N,туман,тұман
84,Wolke::N,хмара,бұлт
85,Regen::N,дощ,жаңбыр
86,Schnee::N,сніг,қар
87,Eis::N,лід,мұз
88,Frost::N,мороз,суық
89,Kälte::N,холод,ызғар
90,Kälte::N,холод,суықтық
91,Hitze::N,жар,аптап
92,Raureif::N,іній,қырау
93,Regenbogen::N,райдуга,кемпірқосақ
94,Donner::N,грім,күн күркіреу
95,Strömung::N,струмина,ағын
96,Tropfen::N,крапля,тамшы
97,Schaum::N,піна,көбік
98,Schmutz::N,бруд,кір
99,See::N,озеро,көл
100,Sumpf::N,драговина,саз
101,Moor::N,болото,саз
102,Wiese::N,луг,шалғын
103,Wiese::N,лука,шалғын
104,Wald::N,ліс,орман
105,Hügel::N,горб,төбе
106,Hügel::N,горб,белес
107,Hügel::N,горб,белес-белес
108,Anhöhe::N,височина,дөң
109,Anhöhe::N,височина,адыр
110,Anhöhe::N,височина,қырат
111,Berg::N,гора,тау
112,Gipfel::N,вершина,төбе
113,Höhle::N,печера,үңгір
114,Abhang::N,схил,бауыр
115,Quelle::N,джерело,қайнар
116,Bach::N,струмок,жылға
117,Fluss::N,річка,өзен
118,Ufer::N,берег,жиек
119,Küste::N,узбережжя,жиегі
120,Küste::N,узбережжя,жағалау
121,Festland::N,суша,құрылық
122,Meer::N,море,теңіз
123,Bucht::N,бухта,шығанақ
124,Bucht::N,затока,шығанақ
125,Insel::N,острів,арал
126,Blume::N,квітка,гүл
127,Gras::N,трава,от
128,Wurzel::N,корінь,түбір
129,Baum::N,дерево,ағаш
130,Baum::N,дерево,дарақ
131,Stamm::N,стовбур,сояу
132,Stamm::N,стовбур,оқпан
133,Rinde::N,кора,қабық
134,Ast::N,гілка,бұтақ
135,Zweig::N,галузь,шыбық
136,Blatt::N,лист,жапырақ
137,Birke::N,береза,қайың
138,Kiefer[Baum]::N,сосна,қарағай
139,Weide[Baum]::N,верба,тал
140,Tanne::N,ялиця,шырша
141,Horn::N,ріг,мүйіз
142,Feder::N,перо,қаламұш
