,Concept_ID,fr,kk
0,Auge::N,œil,көз
1,Ohr::N,oreille,құлақ
2,Nase::N,nez,мұрын
3,Mund::N,bouche,ауыз
4,Zahn::N,dent,тіс
5,Zunge::N,langue,тіл
6,Lippe::N,lèvre,ерін
7,Wange::N,joue,ұрт
8,Gesicht::N,face,бет-аузы
9,Gesicht::N,visage,бет-аузы
10,Stirn::N,front,маңдай
11,Haar::N,cheveu,қыл
12,Schnurrbart::N,moustache,мұрт
13,Bart::N,barbe,сақал
14,Kinn::N,menton,иек
15,Kiefer[Anatomie]::N,mâchoire,жақ
16,Kehle::N,gorge,алқым
17,Hals::N,cou,мойын
18,Genick::N,nuque,желке
19,Kopf::N,tête,кәллә
20,Rücken::N,dos,арқа
21,Bauch::N,ventre,қарын
22,Nabel::N,nombril,кіндік
23,Busen::N,sein,омырау
24,Brust::N,poitrine,кеуде
25,Schulter::N,épaule,иық
26,Arm::N,bras,қол
27,Ellenbogen::N,coude,шынтақ
28,Hand::N,main,қол
29,Handfläche::N,paume,алақан
30,Finger::N,doigt,саусақ
31,Fingernagel::N,ongle,тырнақ
32,Nagel[Anatomie]::N,ongle,тырнақ
33,Zeh::N,orteil,тырнақ
34,Zeh::N,orteil,тұяқ
35,Zeh::N,doigt de pied,тырнақ
36,Zeh::N,doigt de pied,тұяқ
37,Fuß::N,pied,аяқ-басы
38,Ferse::N,talon,өкше
39,Ferse::N,talon,өкшелік
40,Knie::N,genou,тізе
41,Oberschenkel::N,cuisse,жамбас
42,Bein::N,jambe,аяқ
43,Körper::N,corps,дене
44,Haut::N,peau,тері
45,Blut::N,sang,қан
46,Ader::N,veine,көктамыр
47,Ader::N,veine,күретамыр
48,Sehne::N,tendon,сіңір
49,Knochen::N,os,жілік
50,Gehirn::N,cerveau,ми
51,Herz::N,cœur,жүрек
52,Magen::N,estomac,асқазан
53,Leber::N,foie,бауыр
54,Atem::N,haleine,леп
55,Hunger::N,faim,ашаршылық
56,Träne::N,larme,жас
57,Geschmack::N,goût,дәм
58,Geschmack::N,goût,татым
59,Geschmack::N,goût,талғам
60,Geschmack::N,saveur,дәм
61,Geschmack::N,saveur,татым
62,Geschmack::N,saveur,талғам
63,Geruch::N,odeur,иіс
64,Schlaf::N,sommeil,ұйқы
65,Schlaf::N,sommeil,ұйықтау
66,Traum::N,songe,түс
67,Himmel::N,ciel,аспан
68,Himmel::N,ciel,көқ
69,Himmel::N,ciel,таңдай
70,Sonne::N,soleil,күн
71,Mond::N,lune,ай
72,Stern::N,étoile,жұлдыз
73,Luft::N,air,әуе
74,Wind::N,vent,жел
75,Welle::N,vague,толқын
76,Wasser::N,eau,су
77,Stein::N,pierre,тас
78,Boden::N,sol,қыртыс
79,Boden::N,terrain,қыртыс
80,Erde::N,terre,топырақ
81,Staub::N,poussière,шаң
82,Rauch::N,fumée,түтін
83,Funke::N,étincelle,ұшқын
84,Feuer::N,feu,алау
85,Licht::N,lumière,шұғыла
86,Schatten::N,ombre,көлеңке
87,Wetter::N,temps,ауа райы
88,Nebel::N,brume,тұман
89,Nebel::N,brouillard,тұман
90,Wolke::N,nuage,бұлт
91,Regen::N,pluie,жаңбыр
92,Schnee::N,neige,қар
93,Eis::N,glace,мұз
94,Frost::N,gel,суық
95,Frost::N,gelée,суық
96,Kälte::N,froid,ызғар
97,Kälte::N,froid,суықтық
98,Hitze::N,chaleur,аптап
99,Raureif::N,givre,қырау
100,Regenbogen::N,arc-en-ciel,кемпірқосақ
101,Donner::N,tonnerre,күн күркіреу
102,Strömung::N,courant,ағын
103,Tropfen::N,goutte,тамшы
104,Schaum::N,écume,көбік
105,Schaum::N,mousse,көбік
106,Schmutz::N,boue,кір
107,Schmutz::N,saleté,кір
108,See::N,lac,көл
109,Sumpf::N,marais,саз
110,Sumpf::N,marécage,саз
111,Moor::N,tourbière,саз
112,Wiese::N,pré,шалғын
113,Wald::N,bois,орман
114,Wald::N,forêt,орман
115,Hügel::N,coteau,төбе
116,Hügel::N,coteau,белес
117,Hügel::N,coteau,белес-белес
118,Hügel::N,colline,төбе
119,Hügel::N,colline,белес
120,Hügel::N,colline,белес-белес
121,Anhöhe::N,éminence,дөң
122,Anhöhe::N,éminence,адыр
123,Anhöhe::N,éminence,қырат
124,Anhöhe::N,élévation,дөң
125,Anhöhe::N,élévation,адыр
126,Anhöhe::N,élévation,қырат
127,Berg::N,mont,тау
128,Berg::N,montagne,тау
129,Gipfel::N,cime,төбе
130,Gipfel::N,sommet,төбе
131,Höhle::N,caverne,үңгір
132,Abhang::N,pente,бауыр
133,Abhang::N,versant,бауыр
134,Quelle::N,source,қайнар
135,Quelle::N,fontaine,қайнар
136,Bach::N,ruisseau,жылға
137,Fluss::N,fleuve,өзен
138,Fluss::N,rivière,өзен
139,Ufer::N,bord,жиек
140,Ufer::N,rivage,жиек
141,Küste::N,côte,жиегі
142,Küste::N,côte,жағалау
143,Festland::N,terre ferme,құрылық
144,Meer::N,mer,теңіз
145,Bucht::N,baie,шығанақ
146,Insel::N,île,арал
147,Blume::N,fleur,гүл
148,Gras::N,herbe,от
149,Wurzel::N,racine,түбір
150,Baum::N,arbre,ағаш
151,Baum::N,arbre,дарақ
152,Stamm::N,tronc,сояу
153,Stamm::N,tronc,оқпан
154,Rinde::N,écorce,қабық
155,Ast::N,branche,бұтақ
156,Zweig::N,rameau,шыбық
157,Blatt::N,feuille,жапырақ
158,Birke::N,bouleau,қайың
159,Kiefer[Baum]::N,pin,қарағай
160,Weide[Baum]::N,saule,тал
161,Tanne::N,sapin,шырша
162,Horn::N,corne,мүйіз
163,Feder::N,plume,қаламұш
164,Fell::N,peau,тері
165,Flügel::N,aile,қанат
166,Klaue::N,serre,тырнақ
167,Kralle::N,ongle,аяқ
168,Kralle::N,griffe,аяқ
169,Schwanz::N,queue,құйрық
170,Ei::N,œuf,жұмыртқа
171,Nest::N,nid,ұя
172,Bau::N,terrier,жатақ
173,Tier::N,animal,айуан
174,Tier::N,animal,жануар
175,Herde::N,troupeau,пада
176,Kuh::N,vache,сиыр
177,Bulle::N,taureau,өгіз
178,Pferd::N,cheval,жылқы
179,Schaf::N,mouton,қой
180,Schwein::N,porc,шошқа
181,Schwein::N,cochon,шошқа
182,Hund::N,chien,ит
183,Katze::N,chat,мысық
184,Bär::N,ours,аю
185,Eichhörnchen::N,écureuil,тиін
186,Elch::N,élan,бұғы
187,Fuchs::N,renard,түлкі
188,Hase::N,lièvre,қоян
189,Maus::N,souris,қаптесер
190,Wolf::N,loup,бөрі
191,Wolf::N,loup,қасқыр
192,Vogel::N,oiseau,құс
193,Schwarm::N,nuée,топ
194,Schwarm::N,nuée,үйір
195,Schwarm::N,volée,топ
196,Schwarm::N,volée,үйір
197,Huhn::N,poule,тауық
198,Huhn::N,poule,мекиен
199,Hahn::N,coq,әтеш
200,Hahn::N,coq,қораз
201,Gans::N,oie,қаз
202,Adler::N,aigle,бүркіт
203,Ente::N,canard,үйрек
204,Eule::N,hibou,жапалақ
205,Kranich::N,grue,тырна
206,Krähe::N,corneille,қарға
207,Kuckuck::N,coucou,көкек
208,Schwan::N,cygne,аққу
209,Fisch::N,poisson,балық
210,Barsch::N,perche,алабұға
211,Hecht::N,brochet,шортан
212,Schlange[Tier]::N,serpent,жылан
213,Wurm::N,ver,шұбалшаң
214,Spinne::N,araignée,өрмекші
215,Ameise::N,fourmi,қүмырска
216,Laus::N,pou,бит
217,Mücke::N,moucheron,маса
218,Fliege::N,mouche,шыбын
219,Schmetterling::N,papillon,көбелек
220,Beere::N,baie,жидек
221,Apfel::N,pomme,алма
222,Pilz::N,champignon,қозықұйрық
223,Pilz::N,champignon,саңыраукулақ
224,Zwiebel::N,oignon,жуа
225,Saat::N,semence,тұқым
226,Korn::N,grain,дән
227,Heu::N,foin,шөп
228,Schale::N,pelure,қабық
229,Schale::N,pelure,қабығы
230,Grube::N,fosse,ор
231,Falle::N,piège,дұзақ
232,Falle::N,piège,қақпан
233,Schlinge::N,lacs,ілмек
234,Spur::N,trace,із
235,Asche::N,cendre,күл
236,Dreck::N,crotte,былғаныш
237,Eisen::N,fer,темір
238,Gold::N,or,алтын
239,Silber::N,argent,күміс
240,Kohle::N,charbon,көмір
241,Glas::N,verre,шыны
242,Lehm::N,glaise,балшық
243,Sand::N,sable,құм
244,Mensch::N,homme,адам
245,Mann::N,homme,еркек
246,Mann::N,homme,ер адам
247,Frau::N,femme,бике
248,Frau::N,femme,қатын
249,Kind::N,enfant,бала
250,Kind::N,enfant,перзент
251,Junge::N,garçon,бала
252,Junge::N,garçon,ер бала
253,Mädchen::N,fille,қыз
254,Mädchen::N,jeune fille,қыз
255,Familie::N,famille,жанұя
256,Großvater::N,grand-père,ата
257,Großmutter::N,grand-mère,әже
258,Großmutter::N,grand-mère,әжей
259,Eltern::N,parents,ата-аналар
260,Vater::N,père,әке
261,Mutter::N,mère,ана
262,Sohn::N,fils,ұл
263,Tochter::N,fille,қызым
264,Bruder::N,frère,бауырым
265,Schwester::N,sœur,әпке
266,Onkel::N,oncle,көке
267,Tante::N,tante,тәте
268,Ehemann::N,mari,ер
269,Ehemann::N,époux,ер
270,Ehefrau::N,femme,зайып
271,Ehefrau::N,épouse,зайып
272,Freude::N,joie,қуаныш
273,Freude::N,joie,сүйініш
274,Freude::N,joie,шат-думан
275,Freude::N,joie,қуаныштылық
276,Freude::N,plaisir,қуаныш
277,Freude::N,plaisir,сүйініш
278,Freude::N,plaisir,шат-думан
279,Freude::N,plaisir,қуаныштылық
280,Gelächter::N,rires,күлу
281,Glück::N,bonheur,бақыт
282,Glück::N,bonheur,бақыттылық
283,Kummer::N,peine,аза
284,Kummer::N,peine,қайғы
285,Kummer::N,peine,қасырет
286,Kummer::N,chagrin,аза
287,Kummer::N,chagrin,қайғы
288,Kummer::N,chagrin,қасырет
289,Wunsch::N,désir,мүдде
290,Lust::N,envie,тәбет
291,Lust::N,envie,ынтызар
292,Lust::N,envie,құштарлық
293,Geist::N,esprit,рух
294,Gedanke::N,idée,ой
295,Gedanke::N,pensée,ой
296,Gedächtnis::N,mémoire,ес
297,Gedächtnis::N,mémoire,жады
298,Gedächtnis::N,mémoire,ақыл-ес
299,Verstand::N,raison,ақыл
300,Verstand::N,raison,парасат
301,Sinn::N,sens,мән
302,Sinn::N,sens,маныз
303,Sinn::N,sens,мағына
304,Sinn::N,sens,мән-мағына
305,Grund::N,cause,себеп
306,Grund::N,raison,себеп
307,Wahrheit::N,vérité,рас
308,Gespräch::N,conversation,әңгіме
309,Märchen::N,conte,ертеп
310,Märchen::N,conte,ертек
311,Märchen::N,conte de fées,ертеп
312,Märchen::N,conte de fées,ертек
313,Erzählung::N,conte,әңгіме
314,Erzählung::N,narration,әңгіме
315,Nachricht::N,message,хабар
316,Neuigkeit::N,nouvelle,жаңалық
317,Name::N,nom,ат
318,Name::N,nom,атау
319,Rätsel::N,énigme,жұмбақ
320,Rätsel::N,devinette,жұмбақ
321,Rede::N,parole,сөз
322,Rede::N,discours,сөз
323,Sprache::N,langue,тіл
324,Sprache::N,langage,тіл
325,Stimme::N,voix,үн
326,Stimme::N,voix,әуен
327,Stimme::N,voix,дауыс
328,Wort::N,mot,сөз
329,Zeichen::N,signe,ишара
330,Ruf::N,cri,айғай
331,Ruf::N,appel,айғай
332,Lärm::N,bruit,айғай-шу
333,Lärm::N,bruit,айғай-ұйғай
334,Laut::N,son,дыбыс
335,Laut::N,son,дауыс
336,Ton::N,ton,әуен
337,Lied::N,chant,ән
338,Lied::N,chant,жыр
339,Lied::N,chant,ән-жыр
340,Lied::N,chanson,ән
341,Lied::N,chanson,жыр
342,Lied::N,chanson,ән-жыр
343,Ruhe::N,calme,тыныштық
344,Ruhe::N,tranquillité,тыныштық
345,Leute::N,gens,кісілер
346,Volk::N,peuple,халық
347,Arbeit::N,travail,еңбек
348,Gast::N,hôte,қонақ
349,Gast::N,hôte,мейман
350,Gast::N,invité,қонақ
351,Gast::N,invité,мейман
352,Geschenk::N,cadeau,қадия
353,Geschenk::N,présent,қадия
354,Spiel::N,jeu,ойын
355,Gesellschaft::N,compagnie,қауым
356,Gesellschaft::N,compagnie,жұртшылық
357,Hilfe::N,aide,жэрдем
358,Hilfe::N,secours,жэрдем
359,Freund::N,ami,дос
360,Kamerad::N,copain,дос-жар
361,Kamerad::N,camarade,дос-жар
362,Angelegenheit::N,affaire,жұмыс
363,Anzahl::N,nombre,сан
364,Anzahl::N,nombre,саны
365,Art::N,sorte,түр
366,Art::N,espèce,түр
367,Stück::N,morceau,тілім
368,Teil::N,part,үлес
369,Teil::N,part,бөлшек
370,Teil::N,partie,үлес
371,Teil::N,partie,бөлшек
372,Hälfte::N,moitié,жарты
373,Kreis::N,cercle,шеңбер
374,Kreuz::N,croix,крест
375,Linie::N,ligne,сызық
376,Strich::N,trait,сызық
377,Abstand::N,écart,ара
378,Abstand::N,écart,аралық
379,Entfernung::N,distance,аралық
380,Gegend::N,région,өңір
381,Gegend::N,contrée,өңір
382,Platz::N,place,орны
383,Ort::N,lieu,орын
384,Ort::N,endroit,орын
385,Seite::N,côté,жақ
386,Seite::N,côté,бүйір
387,Mitte::N,milieu,ортасы
388,Gegenstand::N,objet,зат
389,Gegenstand::N,objet,нәрсе
390,Sache::N,chose,бұйым
391,Rand::N,bord,шет
392,Rand::N,bord,шеті
393,Kante::N,arête,қыр
394,Kante::N,arête,қыры
395,Ecke::N,coin,қыры
396,Ecke::N,coin,бұрыш
397,Ecke::N,tournant,қыры
398,Ecke::N,tournant,бұрыш
399,Spitze::N,cime,ұшы
400,Spitze::N,pointe,ұшы
401,Ende::N,bout,аяқ
402,Ende::N,bout,соңы
403,Loch::N,trou,тесік
404,Winkel::N,coin,мүйіс
405,Winkel::N,réduit,мүйіс
406,Muster::N,dessin,мәнер
407,Größe::N,grandeur,ауқым
408,Größe::N,grandeur,көлемдік
409,Länge::N,longueur,бой
410,Länge::N,longueur,ұзындық
411,Höhe::N,hauteur,жоғарылық
412,Höhe::N,hauteur,биіктік
413,Höhe::N,altitude,жоғарылық
414,Höhe::N,altitude,биіктік
415,Gewicht::N,poids,салмақ
416,Menge::N,quantité,мөлшер
417,Haufen::N,tas,үйме
418,Haufen::N,tas,үйінді
419,Reihe::N,file,сап
420,Reihe::N,rangée,сап
421,Boot::N,canot,қайық
422,Boot::N,bateau,қайық
423,Ruder::N,rame,ескек
424,Ruder::N,aviron,ескек
425,Schlitten::N,traîneau,шана
426,Ski::N,ski,шаңғы
427,Lagerfeuer::N,feu de camp,алау
428,Last::N,charge,ауырлық
429,Last::N,charge,ауыр зат
430,Last::N,fardeau,ауырлық
431,Last::N,fardeau,ауыр зат
432,Gang::N,tour,жүріс
433,Gang::N,marche,жүріс
434,Schritt::N,pas,адым
435,Norden::N,nord,солтүстік
436,Norden::N,nord,терістік
437,Süden::N,sud,оңтүстік
438,Westen::N,ouest,батыс
439,Westen::N,occident,батыс
440,Osten::N,est,күншығыс
441,Osten::N,orient,күншығыс
442,Holz::N,bois,ағаш
443,Holz::N,bois,сүрек
444,Brett::N,planche,тақта
445,Platte::N,plaque,тақта
446,Stütze::N,appui,тіреу
447,Stütze::N,soutien,тіреу
448,Stange::N,barre,қада
449,Stange::N,perche,қада
450,Stock::N,canne,сойыл
451,Stab::N,bâton,сырық
452,Rohr::N,tube,құбыр
453,Rohr::N,tuyau,құбыр
454,Haus::N,maison,үй
455,Heim::N,maison,үйлі
456,Heim::N,maison,шаңырақ
457,Ofen::N,poêle,ошақ
458,Ofen::N,poêle,пеш
459,Fußboden::N,plancher,еден
460,Tisch::N,table,үстел
461,Stuhl::N,chaise,орындық
462,Wiege::N,berceau,бесік
463,Bett::N,lit,кереует
464,Regal::N,étagère,сөре
465,Kiste::N,caisse,жәшік
466,Fenster::N,fenêtre,терезе
467,Tür::N,porte,есік
468,Tor::N,porte,дарбаза
469,Tor::N,portail,дарбаза
470,Zaun::N,clôture,дуал
471,Dach::N,toit,шатыр
472,Leiter::N,échelle,саты
473,Leiter::N,échelle,басқыш
474,Besen::N,balai,сыпырғыш
475,Spaten::N,bêche,күрек
476,Schaufel::N,pelle,қалақ
477,Gabel::N,fourchette,аша
478,Gabel::N,fourchette,шанышқы
479,Löffel::N,cuiller,қасық
480,Messer::N,couteau,пышақ
481,Nagel::N,clou,мық
482,Nagel::N,clou,шеге
483,Netz::N,filet,керегекөз
484,Haken::N,croc,ілмек
485,Haken::N,crochet,ілмек
486,Griff::N,prise,сап
487,Griff::N,prise,тұтқа
488,Griff::N,manche,сап
489,Griff::N,manche,тұтқа
490,Schloss::N,serrure,құлып
491,Schloss::N,serrure,бекіткіш
492,Bild::N,image,сурет
493,Bild::N,tableau,сурет
494,Figur::N,figure,тұлға
495,Puppe::N,poupée,қуыршақ
496,Beutel::N,sac,қапшық
497,Beutel::N,petit sac,қапшық
498,Bündel::N,paquet,байлам
499,Bündel::N,faisceau,байлам
500,Tasche::N,sac,дорба
501,Eimer::N,seau,шелек
502,Deckel::N,couvercle,жапқыш
503,Geschirr::N,vaisselle,ыдыс
504,Sack::N,sac,қап
505,Tasse::N,tasse,шыныаяқ
506,Topf::N,pot,кәстрөл
507,Topf::N,marmite,кәстрөл
508,Kessel::N,chaudron,қазан
509,Essen::N,repas,ас
510,Essen::N,manger,ас
511,Nahrung::N,nourriture,ас
512,Nahrung::N,nourriture,тамақ
513,Speise::N,plat,тағам
514,Fleisch::N,viande,ет
515,Getreide::N,blé,дәнді
516,Getreide::N,céréales,дәнді
517,Brei::N,purée,ботқа
518,Brei::N,bouillie,ботқа
519,Brot::N,pain,күлше
520,Scheibe::N,tranche,тілім
521,Fett::N,graisse,май
522,Butter::N,beurre,май
523,Öl::N,huile,май
524,Salz::N,sel,тұз
525,Suppe::N,soupe,көже
526,Suppe::N,potage,көже
527,Honig::N,miel,бал
528,Milch::N,lait,сүт
529,Tee::N,thé,шай
530,Leder::N,cuir,көн
531,Wolle::N,laine,жүн
532,Stoff::N,tissu,мата
533,Stoff::N,tissu,кездеме
534,Stoff::N,étoffe,мата
535,Stoff::N,étoffe,кездеме
536,Nadel::N,aiguille,ине
537,Faden::N,fil,жіп
538,Knopf::N,bouton,түйме
539,Knoten::N,nœud,түйін
540,Farbe::N,peinture,рең
541,Kleidung::N,vêtements,киім
542,Kleidung::N,habillement,киім
543,Hemd::N,chemise,жейде
544,Kragen::N,col,жаға
545,Ärmel::N,manche,жең
546,Hose::N,pantalon,шалбар
547,Gürtel::N,ceinture,белбеу
548,Mütze::N,bonnet,қалпақ
549,Mütze::N,casquette,қалпақ
550,Schuh::N,soulier,кебіс
551,Schuh::N,chaussure,кебіс
552,Stiefel::N,botte,етік
553,Ring::N,bague,жүзік
554,Band::N,ruban,таспа
555,Kamm::N,peigne,тарақ
556,Spiegel::N,glace,айна
557,Spiegel::N,miroir,айна
558,Riemen::N,lanière,қайыс
559,Riemen::N,courroie,қайыс
560,Schnur::N,corde,жіп
561,Schnur::N,ficelle,жіп
562,Leine::N,laisse,тізгін
563,Decke::N,couverture,көрпе
564,Kissen::N,oreiller,жастық
565,Tuch::N,drap,орамал
566,Tuch::N,fichu,орамал
567,Handtuch::N,serviette,сүлгі
568,Handtuch::N,essuie-mains,сүлгі
569,Kraft::N,force,қуат
570,Kraft::N,force,қарқын
571,Kraft::N,force,әл-шама
572,Kraft::N,force,әл-дәрмен
573,Stärke::N,vigueur,әл
574,Stärke::N,vigueur,күш
575,Gesundheit::N,santé,денсаулык
576,Krankheit::N,maladie,ауру
577,Schmerz::N,douleur,ауру
578,Wunde::N,plaie,зақым
