,Concept_ID,fi,ps
0,Auge::N,silmä,سترګه
1,Ohr::N,korva,غوږ
2,Nase::N,nenä,پوزه
3,Mund::N,suu,خوله
4,Zahn::N,hammas,غاښ
5,Zunge::N,kieli,جبه
6,Lippe::N,huuli,شونډه
7,Wange::N,poski,باړخو
8,Gesicht::N,naama,مخ
9,Gesicht::N,kasvot,مخ
10,Stirn::N,otsa,تندی
11,Stirn::N,otsa,وچولی
12,Haar::N,hius,وېښته
13,Haar::N,tukka,وېښته
14,Schnurrbart::N,viikset,برېت
15,Bart::N,parta,ږیره
16,Kinn::N,leuka,زنه
17,Kiefer[Anatomie]::N,leukaluu,جامه
18,Kehle::N,kurkku,غاړه
19,Hals::N,kaula,غاړه
20,Genick::N,niska,ورمېږ
21,Kopf::N,pää,سر
22,Rücken::N,selkä,شا
23,Bauch::N,maha,نس
24,Bauch::N,maha,ګېډه
25,Bauch::N,vatsa,نس
26,Bauch::N,vatsa,ګېډه
27,Nabel::N,napa,نوم
28,Busen::N,rinta,تی
29,Brust::N,rinta,سینه
30,Schulter::N,olka,اوږه
31,Schulter::N,hartia,اوږه
32,Schulter::N,olkapää,اوږه
33,Arm::N,käsivarsi,لاس
34,Ellenbogen::N,kyynärpää,څنګل
35,Hand::N,käsi,لاس
36,Handfläche::N,kämmen,ورغوی
37,Finger::N,sormi,ګوته
38,Fingernagel::N,kynsi,نوک
39,Nagel[Anatomie]::N,kynsi,نوک
40,Zeh::N,varvas,ګوته
41,Fuß::N,jalka,پښه
42,Ferse::N,kantapää,پونده
43,Knie::N,polvi,زنګون
44,Oberschenkel::N,reisi,پتون
45,Bein::N,jalka,پښه
46,Körper::N,keho,ځان
47,Körper::N,ruumis,ځان
48,Haut::N,iho,پوټکی
49,Blut::N,veri,وینه
50,Ader::N,suoni,رګ
51,Sehne::N,jänne,پله
52,Knochen::N,luu,هډوکی
53,Gehirn::N,aivot,ماغزه
54,Herz::N,sydän,زړه
55,Magen::N,maha,معده
56,Magen::N,vatsa,معده
57,Leber::N,maksa,ينه
58,Leber::N,maksa,ځیګر
59,Atem::N,henki,نفس
60,Atem::N,hengitys,نفس
61,Hunger::N,nälkä,ولږه
62,Träne::N,kyynel,اوښکه
63,Geschmack::N,maku,مزه
64,Geschmack::N,maku,خوند
65,Geruch::N,haju,بوی
66,Schlaf::N,uni,خوب
67,Traum::N,uni,خوب
68,Himmel::N,taivas,اسمان
69,Sonne::N,aurinko,لمر
