,Concept_ID,hy,ba
0,Auge::N,աչք,күҙ
1,Ohr::N,ականջ,ҡолаҡ
2,Nase::N,քիթ,танау
3,Mund::N,բերան,ауыҙ
4,Zahn::N,ատամ,теш
5,Zunge::N,լեզու,тел
6,Lippe::N,շրթունք,ирен
7,Wange::N,այտ,яцаҡтар
8,Wange::N,թուշ,яцаҡтар
9,Gesicht::N,դեմք,бит
10,Stirn::N,ճակատ,маңлай
11,Haar::N,մազ,сәс
12,Schnurrbart::N,բեղ,мылтыҡ
13,Bart::N,մորուք,һаҡал
14,Kinn::N,կզակ,эйэк
15,Kiefer[Anatomie]::N,ծնոտ,яңаҡ һөйәге
16,Kehle::N,կոկորդ,тамаҡ
17,Hals::N,վիզ,муйын
18,Hals::N,պարանոց,муйын
19,Genick::N,ծոծրակ,соңҡа
20,Kopf::N,գլուխ,баш
21,Rücken::N,մեջք,арҡа
22,Bauch::N,փոր,ҡорһаҡ
23,Bauch::N,որովայն,ҡорһаҡ
24,Nabel::N,պորտ,кендек
25,Busen::N,ծոց,күкрәк
26,Brust::N,կուրծք,түш
27,Schulter::N,ուս,яурын
28,Arm::N,թեւ,ҡул
29,Arm::N,բազուկ,ҡул
30,Ellenbogen::N,արմունկ,терһәк
31,Hand::N,ձեռք,ҡул
32,Hand::N,ձեռք,ҡул суғы
33,Handfläche::N,ափ,ус төбө
34,Finger::N,մատ,бармаҡ
35,Fingernagel::N,եղունգ,тырнаҡ
36,Nagel[Anatomie]::N,եղունգ,тырнаҡ
37,Zeh::N,ոտքի մատ,бармаҡ
38,Fuß::N,ոտք,табан
39,Ferse::N,գարշապար,үксә
40,Knie::N,ծունկ,тубыҡ
41,Oberschenkel::N,ազդր,сандыр
42,Bein::N,ոտք,аяҡ
43,Körper::N,մարմին,тән
44,Haut::N,մաշկ,тире
45,Blut::N,արյուն,ҡан
46,Ader::N,երակ,тамыр
47,Sehne::N,ջիղ,һеңер
48,Sehne::N,ջիղ,тарамыш
49,Sehne::N,ձգտան,һеңер
50,Sehne::N,ձգտան,тарамыш
51,Knochen::N,ոսկոր,һойәк
52,Gehirn::N,խելք,мейе
53,Herz::N,սիրտ,йорәк
54,Magen::N,ստամոքս,ашҡаҙан
55,Leber::N,լյարդ,бауыр
56,Atem::N,շունչ,һулыш
57,Hunger::N,քաղց,аслыҡ
58,Träne::N,արտասուք,күҙ иәше
59,Geschmack::N,համ,тәм
60,Geschmack::N,բուրմունք,тәм
61,Geruch::N,հոտ,еҫ
62,Geruch::N,բուրում,еҫ
63,Schlaf::N,քուն,йоҡлау
64,Traum::N,երազ,төш
65,Himmel::N,երկինք,күк
66,Sonne::N,արեւ,ҡояш
67,Mond::N,լուսին,ай
68,Stern::N,աստղ,йондоҙ
69,Luft::N,օդ,һауа
70,Wind::N,քամի,ел
71,Welle::N,ալիք,тулҡын
72,Wasser::N,ջուր,һыу
73,Stein::N,քար,таш
74,Boden::N,գետին,тупраҡ
75,Erde::N,հող,балсҡ
76,Staub::N,փոշի,туҙан
77,Rauch::N,ծուխ,төтөн
78,Funke::N,կայծ,осҡон
79,Feuer::N,կրակ,ут
80,Feuer::N,հրդեհ,ут
81,Licht::N,լույս,яҡтылыҡ
82,Schatten::N,ստվեր,күләгә
83,Wetter::N,եղանակ,һауа торошо
84,Nebel::N,մեգ,төман
85,Nebel::N,մառախուղ,төман
86,Wolke::N,ամպ,болот
87,Regen::N,անձրև,ямғыр
88,Schnee::N,ձյուն,ҡар
89,Eis::N,սառույց,боҙ
