,Concept_ID,hi,it
0,Auge::N,आँख,occhio
1,Auge::N,चक्षु,occhio
2,Ohr::N,कान,orecchio
3,Ohr::N,कर्ण,orecchio
4,Nase::N,नाक,naso
5,Nase::N,नासा,naso
6,Mund::N,मुख,bocca
7,Mund::N,मुँह,bocca
8,Zahn::N,दंत,dente
9,Zahn::N,दाँत,dente
10,Zunge::N,जीभ,lingua
11,Zunge::N,ज़बान,lingua
12,Zunge::N,जिह्वा,lingua
13,Lippe::N,ओंठ,labbro
14,Lippe::N,होंठ,labbro
15,Wange::N,गाल,guancia
16,Wange::N,कपोल,guancia
17,Gesicht::N,मुँह,viso
18,Gesicht::N,मुँह,faccia
19,Gesicht::N,चेहरा,viso
20,Gesicht::N,चेहरा,faccia
21,Stirn::N,माथा,fronte
22,Stirn::N,मस्तक,fronte
23,Haar::N,बाल,capello
24,Schnurrbart::N,मूँछें,baffi
25,Schnurrbart::N,मूँछें,mustacchi
26,Bart::N,दाढ़ी,barba
27,Kinn::N,चिबुक,mento
28,Kiefer[Anatomie]::N,जबड़ा,mascella
29,Kehle::N,गला,gola
30,Hals::N,गला,collo
31,Hals::N,गरदन,collo
32,Genick::N,गरदन,nuca
33,Genick::N,ग्रीवा,nuca
34,Kopf::N,सिर,capo
35,Kopf::N,सिर,testa
36,Kopf::N,शीर्ष,capo
37,Kopf::N,शीर्ष,testa
38,Rücken::N,पीठ,dorso
39,Rücken::N,पीठ,schiena
40,Bauch::N,उदर,ventre
41,Nabel::N,नाभि,ombelico
42,Nabel::N,ढोंढी,ombelico
43,Busen::N,कुच,seno
44,Busen::N,स्तन,seno
45,Brust::N,वक्ष,petto
46,Schulter::N,कंधा,spalla
47,Schulter::N,स्कंध,spalla
48,Arm::N,बाँह,braccio
49,Arm::N,बाज़ू,braccio
50,Ellenbogen::N,कुहनी,gomito
51,Hand::N,हाथ,mano
52,Hand::N,हस्त,mano
53,Handfläche::N,हथेली,palma
54,Finger::N,उँगली,dito
55,Finger::N,अँगुली,dito
56,Fingernagel::N,नख,unghia
57,Fingernagel::N,नाख़ून,unghia
58,Nagel[Anatomie]::N,नख,unghia
59,Nagel[Anatomie]::N,नाख़ून,unghia
60,Zeh::N,उँगली,dito del piede
61,Zeh::N,पाँव की उँगली,dito del piede
62,Fuß::N,चरण,piede
63,Fuß::N,पाँव,piede
64,Ferse::N,एड़ी,tallone
65,Ferse::N,एड़ी,calcagno
66,Knie::N,जानु,ginocchio
67,Knie::N,घुटना,ginocchio
68,Oberschenkel::N,उरु,fèmore
69,Bein::N,टाँग,gamba
70,Körper::N,तन,corpo
71,Körper::N,देह,corpo
72,Körper::N,शरीर,corpo
73,Haut::N,चर्म,pelle
74,Haut::N,त्वचा,pelle
75,Blut::N,लहू,sangue
76,Blut::N,ख़ून,sangue
77,Ader::N,रग,vena
78,Ader::N,शिरा,vena
79,Sehne::N,कंडरा,tèndine
80,Sehne::N,स्नायु,tèndine
81,Knochen::N,अस्थि,osso
82,Gehirn::N,दिमाग़,cervello
83,Gehirn::N,मस्तिष्क,cervello
84,Herz::N,दिल,cuore
85,Herz::N,हृदय,cuore
86,Magen::N,मेदा,stòmaco
87,Magen::N,अमाशय,stòmaco
88,Leber::N,जिगर,fegato
89,Leber::N,यकृत्,fegato
90,Atem::N,दम,fiato
91,Atem::N,दम,respiro
92,Atem::N,साँस,fiato
93,Atem::N,साँस,respiro
94,Atem::N,श्वास,fiato
95,Atem::N,श्वास,respiro
96,Hunger::N,भूख,fame
97,Hunger::N,क्षुधा,fame
98,Träne::N,आँसू,làcrima
99,Träne::N,अश्रु,làcrima
100,Geschmack::N,स्वाद,gusto
101,Geschmack::N,स्वाद,sapore
102,Geschmack::N,ज़ायक़ा,gusto
103,Geschmack::N,ज़ायक़ा,sapore
104,Geruch::N,बू,odore
105,Geruch::N,गंध,odore
106,Schlaf::N,नींद,sonno
107,Schlaf::N,निद्रा,sonno
108,Traum::N,सपना,sogno
109,Traum::N,स्वप्न,sogno
110,Himmel::N,आकाश,cielo
111,Himmel::N,आसमान,cielo
112,Sonne::N,रवि,sole
113,Sonne::N,सूरज,sole
114,Sonne::N,सूर्य,sole
115,Mond::N,चाँद,luna
116,Mond::N,चंद्र,luna
117,Stern::N,तारा,stella
118,Stern::N,सितारा,stella
119,Luft::N,हवा,aria
120,Luft::N,वायु,aria
121,Wind::N,पाद,vento
122,Welle::N,लहर,onda
123,Welle::N,तरंग,onda
124,Wasser::N,जल,acqua
125,Wasser::N,पानी,acqua
126,Stein::N,पत्थर,sasso
127,Stein::N,पत्थर,pietra
128,Boden::N,मिट्टी,suolo
129,Boden::N,मिट्टी,terreno
130,Erde::N,भूमि,terra
131,Erde::N,ज़मीन,terra
132,Staub::N,धूल,polvere
133,Rauch::N,धूआँ,fumo
134,Rauch::N,धुम्र,fumo
135,Funke::N,चिनगारी,scintilla
136,Funke::N,स्फुलिंग,scintilla
137,Feuer::N,आग,fuoco
138,Feuer::N,आतिश,fuoco
139,Feuer::N,अग्नि,fuoco
140,Licht::N,रोशनी,luce
141,Licht::N,प्रकाश,luce
142,Schatten::N,छाया,ombra
143,Schatten::N,परछाई,ombra
144,Wetter::N,ऋतु,tempo
145,Wetter::N,मौसम,tempo
146,Nebel::N,धुँध,nebbia
147,Nebel::N,कुहरा,nebbia
148,Wolke::N,मेघ,nube
149,Wolke::N,मेघ,nùvola
150,Wolke::N,अभ्र,nube
151,Wolke::N,अभ्र,nùvola
152,Regen::N,मेंह,pioggia
153,Regen::N,बारिश,pioggia
154,Schnee::N,हिम,neve
155,Schnee::N,बर्फ़,neve
156,Eis::N,हिम,ghiaccio
157,Eis::N,बर्फ़,ghiaccio
158,Frost::N,ठंड,gelo
159,Kälte::N,सर्दी,freddo
160,Kälte::N,शीतलता,freddo
161,Hitze::N,ताप,caldo
162,Hitze::N,ताप,calura
163,Hitze::N,गरमी,caldo
164,Hitze::N,गरमी,calura
165,Raureif::N,पाला,brina
166,Regenbogen::N,इंद्र-धनुष,arcobaleno
167,Donner::N,गरज,tuono
