,Concept_ID,hu,tt
0,Auge::N,szem,күз
1,Ohr::N,fül,колак
2,Nase::N,orr,борын
3,Mund::N,száj,авыз
4,Mund::N,száj,тамак
5,Zahn::N,fog,теш
6,Zunge::N,nyelv,тел
7,Lippe::N,ajak,ирен
8,Wange::N,orca,яңак
9,Gesicht::N,arc,йөз
10,Stirn::N,homlok,маңгай
11,Haar::N,haj,чәч
12,Schnurrbart::N,bajusz,мыек
13,Bart::N,szakáll,сакал
14,Kinn::N,áll,ияк
15,Kiefer[Anatomie]::N,állkapocs,казналык
16,Kehle::N,gége,тамак
17,Kehle::N,torok,тамак
18,Hals::N,nyak,бугаз
19,Genick::N,tarkó,җилкә
20,Kopf::N,fő,баш
21,Kopf::N,fej,баш
22,Rücken::N,hát,сырт
23,Bauch::N,has,корсак
24,Nabel::N,köldök,кендек
25,Busen::N,mell,түш
26,Busen::N,kebel,түш
27,Brust::N,mell,имчәк
28,Brust::N,mell,күкрәк
29,Schulter::N,váll,иңбаш
30,Schulter::N,váll,кулбаш
31,Arm::N,kar,кул
32,Ellenbogen::N,könyök,терсәк
33,Hand::N,kéz,кул
34,Handfläche::N,tenyér,уч
35,Finger::N,ujj,бармак
36,Fingernagel::N,köröm,тырнак
37,Nagel[Anatomie]::N,köröm,тырнак
38,Zeh::N,lábujj,бармак
39,Fuß::N,láb,табан
40,Ferse::N,sarok,үкчә
41,Knie::N,térd,тез
42,Oberschenkel::N,comb,бот
43,Bein::N,láb,аяк
44,Bein::N,lábszár,аяк
45,Körper::N,test,тән
46,Körper::N,test,җисем
47,Haut::N,bőr,тире
48,Blut::N,vér,кан
49,Ader::N,ér,тамыр
50,Sehne::N,ín,сеңер
51,Knochen::N,csont,сөяк
52,Gehirn::N,agy,ми
53,Gehirn::N,agyvelő,ми
54,Herz::N,szív,йөрәк
55,Magen::N,gyomor,ашказаны
56,Leber::N,máj,бавыр
57,Atem::N,lehelet,сулыш
58,Atem::N,lélegzet,сулыш
59,Hunger::N,éhség,ачлык
60,Träne::N,könny,яшь
61,Geschmack::N,íz,тәм
62,Geschmack::N,íz,зәвык
63,Geruch::N,szag,ис
64,Schlaf::N,álom,йокы
65,Schlaf::N,alvás,йокы
66,Traum::N,álom,төш
67,Himmel::N,ég,күк
68,Himmel::N,menny,күк
69,Sonne::N,nap,кояш
70,Mond::N,hold,ай
71,Stern::N,csillag,йолдыз
72,Luft::N,levegő,һава
73,Wind::N,szél,җил
74,Welle::N,hullám,дулкын
75,Wasser::N,víz,су
76,Stein::N,kő,таш
77,Boden::N,föld,туфрак
78,Boden::N,talaj,туфрак
79,Erde::N,föld,җир
80,Staub::N,por,тузан
81,Rauch::N,füst,төтен
82,Funke::N,szikra,очкын
83,Feuer::N,tűz,ут
84,Licht::N,fény,якты
85,Schatten::N,árnyék,күләгә
86,Wetter::N,idő,һава
87,Wetter::N,időjárás,һава
88,Nebel::N,köd,томан
89,Wolke::N,felhő,болыт
90,Regen::N,eső,яңгыр
91,Schnee::N,hó,кар
92,Eis::N,jég,боз
93,Frost::N,fagy,суык
94,Frost::N,fagy,салкын
95,Kälte::N,hideg,суык
96,Kälte::N,hideg,салкын
97,Hitze::N,hő,эсселек
98,Hitze::N,hőség,эсселек
99,Raureif::N,zúzmara,бәс
100,Raureif::N,zúzmara,сыкы
101,Regenbogen::N,szivárvány,салават күпере
102,Donner::N,dörgés,күкрәү
103,Donner::N,mennydörgés,күкрәү
104,Strömung::N,áramlat,агыш'агым
105,Tropfen::N,csepp,тамчы
106,Schaum::N,hab,күбек
107,Schaum::N,tajték,күбек
