,Concept_ID,ml,lv
0,Auge::N,കണ്ണ്,син
1,Auge::N,കണ്ണ്,acs
2,Ohr::N,ചെവി,пель
3,Ohr::N,ചെവി,auss
4,Nase::N,മൂക്ക്,ныр
5,Nase::N,മൂക്ക്,deguns
6,Mund::N,വായ,вом
7,Mund::N,വായ,mute
8,Zahn::N,പല്ല്,пинь
9,Zahn::N,പല്ല്,zobs
10,Zunge::N,നാക്ക്,кыв
11,Zunge::N,നാക്ക്,mēle
12,Lippe::N,ചുണ്ട്,вом дор
13,Lippe::N,ചുണ്ട്,lūpa
14,Wange::N,കവിൾത്തടം,бан
15,Wange::N,കവിൾത്തടം,vaigs
16,Gesicht::N,മുഖം,чужӧм
17,Gesicht::N,മുഖം,seja
18,Gesicht::N,മുഖം,ģīmis
19,Stirn::N,നെറ്റി,плеш
20,Stirn::N,നെറ്റി,кымӧс
21,Stirn::N,നെറ്റി,piere
22,Haar::N,തലമുടി,си
23,Haar::N,തലമുടി,юрси
24,Haar::N,തലമുടി,mats
25,Schnurrbart::N,മീശ,ус
26,Schnurrbart::N,മീശ,пыртсим
27,Schnurrbart::N,മീശ,ūsas
28,Bart::N,താടിരോമം,тош
29,Bart::N,താടിരോമം,bārda
30,Kinn::N,താടി,тшӧка
31,Kinn::N,താടി,zods
32,Kinn::N,താടി,smakrs
33,Kiefer[Anatomie]::N,താടിയെല്ല്,черлы
34,Kiefer[Anatomie]::N,താടിയെല്ല്,алака лы
35,Kiefer[Anatomie]::N,താടിയെല്ല്,вомкӧтш лы
36,Kiefer[Anatomie]::N,താടിയെല്ല്,žoklis
37,Kehle::N,കണ്ഠനാളം,голя
38,Kehle::N,കണ്ഠനാളം,rīkle
39,Hals::N,കഴുത്ത്,сьылі
40,Hals::N,കഴുത്ത്,kakls
41,Genick::N,പിടലി,юрбӧр
42,Genick::N,പിടലി,балябӧж
43,Genick::N,പിടലി,sprands
44,Kopf::N,തല,юр
45,Kopf::N,തല,galva
46,Rücken::N,മുതുക്,мыш
47,Rücken::N,മുതുക്,mugura
48,Bauch::N,നയറ്,рушку
49,Bauch::N,നയറ്,vēders
50,Nabel::N,നാഭി,гӧг
51,Nabel::N,നാഭി,naba
52,Busen::N,സ്തനം,морӧс
53,Busen::N,സ്തനം,krūts
54,Brust::N,സ്തനം,морӧс
55,Brust::N,സ്തനം,krūts
56,Schulter::N,തോൾ,пельпом
57,Schulter::N,തോൾ,plecs
58,Arm::N,കൈ,ки
59,Arm::N,കൈ,roka
60,Arm::N,കൈ,delms
61,Ellenbogen::N,കൈമുട്ട്,гырддза
62,Ellenbogen::N,കൈമുട്ട്,elkonis
63,Hand::N,കൈ,ки
64,Hand::N,കൈ,roka
65,Hand::N,കൈ,plauksta
66,Handfläche::N,ഉള്ളം കൈ,ки пыдӧс
67,Handfläche::N,ഉള്ളം കൈ,delna
68,Handfläche::N,ഉള്ളം കൈ,plauksta
69,Finger::N,വിരൽ,чунь
70,Finger::N,വിരൽ,pirksts
71,Fingernagel::N,നഖം,гыж
72,Fingernagel::N,നഖം,nags
73,Nagel[Anatomie]::N,നഖം,гыж
74,Nagel[Anatomie]::N,നഖം,nags
75,Zeh::N,കാൽവിരൽ,кок чунь
76,Zeh::N,കാൽവിരൽ,pirksts
77,Fuß::N,കാൽപ്പാദം,кок
78,Fuß::N,കാൽപ്പാദം,kāja
79,Ferse::N,ഉപ്പൂറ്റി,кокбӧр
80,Ferse::N,ഉപ്പൂറ്റി,papēdis
81,Knie::N,കാൽമുട്ട്,пидзӧс
82,Knie::N,കാൽമുട്ട്,celis
83,Oberschenkel::N,തുട,лядьвей
84,Oberschenkel::N,തുട,бек
85,Oberschenkel::N,തുട,ciska
86,Oberschenkel::N,തുട,augšstilbs
87,Bein::N,കാൽ,кок
88,Bein::N,കാൽ,kāja
89,Körper::N,ശരീരം,туша
90,Körper::N,ശരീരം,вывтыр
91,Körper::N,ശരീരം,miesa
92,Körper::N,ശരീരം,ķermenis
93,Haut::N,ചർമ്മം,ку
94,Haut::N,ചർമ്മം,āda
95,Blut::N,രക്തം,вир
96,Blut::N,രക്തം,asins
97,Ader::N,ഞരമ്പ്,сӧн
98,Ader::N,ഞരമ്പ്,asinsvads
99,Sehne::N,സ്നായു,вез
100,Sehne::N,സ്നായു,dzīsla
101,Knochen::N,അസ്ഥി,лы
102,Knochen::N,അസ്ഥി,kauls
103,Gehirn::N,തലച്ചോറ്,вем
104,Gehirn::N,തലച്ചോറ്,smadzenes
