,Concept_ID,el,de
0,Auge::N,μάτι,Auge
1,Auge::N,οφθαλμός,Auge
2,Ohr::N,αυτί,Ohr
3,Nase::N,μύτη,Nase
4,Mund::N,στόμα,Mund
5,Zahn::N,δόντι,Zahn
6,Zunge::N,γλώσσα,Zunge
7,Lippe::N,χείλος,Lippe
8,Wange::N,παρειά,Wange
9,Wange::N,μάγουλο,Wange
10,Gesicht::N,πρόσωπο,Gesicht
11,Stirn::N,μέτωπο,Stirn
12,Haar::N,μαλλιά,Haar
13,Schnurrbart::N,μουστάκι,Schnurrbart
14,Bart::N,γένια,Bart
15,Kinn::N,πιγούνι,Kinn
16,Kiefer[Anatomie]::N,σαγόνι,Kiefer
17,Kehle::N,λαρύγγι,Kehle
18,Hals::N,λαιμός,Hals
19,Genick::N,σβέρκος,Genick
20,Kopf::N,κεφάλι,Kopf
21,Rücken::N,ράχη,Rücken
22,Bauch::N,κοιλιά,Bauch
23,Nabel::N,αφαλός,Nabel
24,Busen::N,στήθος,Busen
25,Brust::N,στήθος,Brust
26,Schulter::N,ώμος,Schulter
27,Arm::N,χέρι,Arm
28,Arm::N,μπράτςο,Arm
29,Ellenbogen::N,αγκώνας,Ellenbogen
30,Hand::N,χέρι,Hand
31,Handfläche::N,παλάμη,Handfläche
32,Finger::N,δάχτυλο,Finger
33,Fingernagel::N,νύχι,Fingernagel
34,Nagel[Anatomie]::N,νύχι,Nagel
35,Zeh::N,δάχτυλο του ποδιού,Zeh
36,Fuß::N,πόδι,Fuß
37,Ferse::N,φτέρνα,Ferse
38,Knie::N,γόνατο,Knie
39,Oberschenkel::N,μηρός,Oberschenkel
40,Bein::N,πόδι,Bein
41,Körper::N,σώμα,Körper
42,Körper::N,κορμί,Körper
43,Haut::N,πετσί,Haut
44,Blut::N,αίμα,Blut
45,Ader::N,φλέβα,Ader
46,Sehne::N,νεύρο,Sehne
47,Sehne::N,τένοντας,Sehne
48,Knochen::N,οστό,Knochen
49,Knochen::N,κόκκαλο,Knochen
50,Gehirn::N,μυαλό,Gehirn
51,Gehirn::N,εγκέφαλος,Gehirn
52,Herz::N,καρδιά,Herz
53,Magen::N,στομάχι,Magen
54,Leber::N,ήπαρ,Leber
55,Leber::N,συκωτί,Leber
56,Atem::N,αναπνοή,Atem
57,Hunger::N,πείνα,Hunger
58,Träne::N,δάκρυ,Träne
59,Geschmack::N,γεύση,Geschmack
60,Geruch::N,οσμή,Geruch
61,Geruch::N,μυρωδία,Geruch
62,Schlaf::N,ύπνος,Schlaf
63,Traum::N,όνειρο,Traum
64,Himmel::N,ουρανός,Himmel
65,Sonne::N,ήλιος,Sonne
66,Mond::N,σελήνη,Mond
67,Mond::N,φεγγάρι,Mond
68,Stern::N,άστρο,Stern
69,Stern::N,αστέρι,Stern
70,Luft::N,αέρας,Luft
71,Wind::N,αέρας,Wind
72,Wind::N,άνεμος,Wind
73,Welle::N,κύμα,Welle
74,Wasser::N,νερό,Wasser
75,Stein::N,πέτρα,Stein
76,Boden::N,χώμα,Boden
77,Erde::N,γη,Erde
78,Staub::N,σκόνη,Staub
79,Rauch::N,καπνός,Rauch
80,Funke::N,σπίθα,Funke
81,Funke::N,σπινθήρας,Funke
82,Feuer::N,φωτιά,Feuer
83,Licht::N,φως,Licht
84,Schatten::N,σκιά,Schatten
85,Schatten::N,ίσκιος,Schatten
86,Wetter::N,καιρός,Wetter
87,Nebel::N,ομίχλη,Nebel
88,Wolke::N,σύννεφο,Wolke
89,Regen::N,βροχή,Regen
90,Schnee::N,χιόνι,Schnee
91,Eis::N,πάγος,Eis
92,Frost::N,παγωνία,Frost
93,Kälte::N,κρύο,Kälte
94,Kälte::N,ψύχος,Kälte
95,Hitze::N,ζέστη,Hitze
96,Raureif::N,πάχνη,Raureif
97,Regenbogen::N,ουράνιο τόξο,Regenbogen
98,Donner::N,βροντή,Donner
99,Strömung::N,ρεύμα,Strömung
100,Tropfen::N,στάλα,Tropfen
101,Schaum::N,αφρός,Schaum
102,Schmutz::N,βρωμιά,Schmutz
103,See::N,λίμνη,See
104,Sumpf::N,βάλτος,Sumpf
105,Moor::N,έλος,Moor
106,Wiese::N,λιβάδι,Wiese
107,Wald::N,δάσος,Wald
108,Hügel::N,λόφος,Hügel
109,Anhöhe::N,ύψωμα,Anhöhe
110,Berg::N,όρος,Berg
111,Berg::N,βουνό,Berg
112,Gipfel::N,κορυφή,Gipfel
113,Höhle::N,σπηλιά,Höhle
114,Abhang::N,πλαγιά,Abhang
115,Quelle::N,πηγή,Quelle
116,Quelle::N,βρύση,Quelle
117,Bach::N,ρυάκι,Bach
118,Fluss::N,ποτάμι,Fluss
119,Fluss::N,ποταμός,Fluss
120,Ufer::N,όχθη,Ufer
121,Küste::N,ακτή,Küste
122,Küste::N,ακρογιαλιά,Küste
123,Festland::N,στεριά,Festland
124,Meer::N,θάλασσα,Meer
125,Bucht::N,κόλπος,Bucht
126,Insel::N,νησί,Insel
127,Insel::N,νήσος,Insel
128,Blume::N,άνθος,Blume
129,Blume::N,λουλούδι,Blume
130,Gras::N,χόρτο,Gras
131,Gras::N,χορτάρι,Gras
132,Wurzel::N,ρίζα,Wurzel
133,Baum::N,δέντρο,Baum
134,Stamm::N,κορμός,Stamm
135,Rinde::N,φλούδα,Rinde
136,Ast::N,κλαδί,Ast
137,Zweig::N,κλαδί,Zweig
138,Zweig::N,κλάδος,Zweig
139,Blatt::N,φύλλο,Blatt
140,Birke::N,σημύδα,Birke
141,Kiefer[Baum]::N,πεύκο,Kiefer
142,Weide[Baum]::N,ιτιά,Weide
143,Tanne::N,έλατο,Tanne
144,Horn::N,κέρας,Horn
145,Horn::N,κέρατο,Horn
146,Feder::N,φτερό,Feder
147,Fell::N,δέρμα,Fell
148,Fell::N,τομάρι,Fell
149,Flügel::N,πτερύγιο,Flügel
150,Klaue::N,κουλό,Klaue
151,Kralle::N,νύχι,Kralle
152,Schwanz::N,ουρά,Schwanz
153,Ei::N,αβγό,Ei
154,Nest::N,φωλιά,Nest
155,Bau::N,φωλιά,Bau
156,Tier::N,ζώο,Tier
157,Herde::N,κοπάδι,Herde
158,Kuh::N,αγελάδα,Kuh
159,Bulle::N,ταύρος,Bulle
160,Pferd::N,άλογο,Pferd
161,Schaf::N,πρόβατο,Schaf
162,Schwein::N,γουρούνι,Schwein
163,Hund::N,σκυλί,Hund
164,Hund::N,σκύλος,Hund
165,Katze::N,γάτα,Katze
166,Bär::N,άρκτος,Bär
167,Bär::N,αρκούδα,Bär
168,Eichhörnchen::N,βερβερίτσα,Eichhörnchen
169,Elch::N,άλκη,Elch
170,Fuchs::N,αλεπού,Fuchs
171,Hase::N,λαγός,Hase
172,Maus::N,ποντικός,Maus
173,Wolf::N,λύκος,Wolf
174,Vogel::N,πουλί,Vogel
175,Schwarm::N,σμήνος,Schwarm
176,Huhn::N,κότα,Huhn
177,Huhn::N,όρνιθα,Huhn
178,Hahn::N,πετεινός,Hahn
179,Gans::N,χήνα,Gans
180,Adler::N,αετός,Adler
181,Ente::N,πάπια,Ente
182,Eule::N,κουκουβάγια,Eule
183,Kranich::N,γερανός,Kranich
184,Krähe::N,καρακάξα,Krähe
185,Kuckuck::N,κούκος,Kuckuck
186,Schwan::N,κύκνος,Schwan
187,Fisch::N,ψάρι,Fisch
188,Barsch::N,πέρκα,Barsch
189,Hecht::N,λούτσος,Hecht
190,Schlange[Tier]::N,φίδι,Schlange
191,Wurm::N,σκουλήκι,Wurm
192,Spinne::N,αράχνη,Spinne
193,Ameise::N,μυρμήγκι,Ameise
194,Laus::N,ψείρα,Laus
195,Mücke::N,κουνούπι,Mücke
196,Fliege::N,μύγα,Fliege
197,Schmetterling::N,πεταλούδα,Schmetterling
198,Beere::N,ρόγα,Beere
199,Apfel::N,μήλο,Apfel
200,Pilz::N,μανιτάρι,Pilz
201,Zwiebel::N,κρεμμύδι,Zwiebel
202,Saat::N,σπόρος,Saat
203,Korn::N,σπυρί,Korn
204,Heu::N,σανός,Heu
205,Schale::N,τσόφλι,Schale
206,Grube::N,λάκκος,Grube
207,Falle::N,παγίδα,Falle
208,Schlinge::N,θηλειά,Schlinge
209,Spur::N,ίχνος,Spur
210,Asche::N,στάχτη,Asche
211,Dreck::N,βρωμιά,Dreck
212,Eisen::N,σίδερο,Eisen
213,Gold::N,μάλαμα,Gold
214,Gold::N,χρυσάφι,Gold
215,Silber::N,ασήμι,Silber
216,Silber::N,άργυρος,Silber
217,Kohle::N,κάρβουνο,Kohle
218,Glas::N,γυαλί,Glas
219,Lehm::N,πηλός,Lehm
220,Sand::N,άμμος,Sand
221,Mensch::N,άνθρωπος,Mensch
222,Mann::N,άνδρας,Mann
223,Frau::N,γυναίκα,Frau
224,Kind::N,παιδί,Kind
225,Junge::N,αγόρι,Junge
226,Mädchen::N,κοπέλα,Mädchen
227,Mädchen::N,κορίτσι,Mädchen
228,Familie::N,οικογένεια,Familie
229,Großvater::N,παππούς,Großvater
230,Großmutter::N,γιαγιά,Großmutter
231,Eltern::N,γονείς,Eltern
232,Vater::N,πατέρας,Vater
233,Mutter::N,μητέρα,Mutter
