,Concept_ID,fr,tr
0,Auge::N,œil,göz
1,Ohr::N,oreille,kulak
2,Nase::N,nez,burun
3,Mund::N,bouche,ağız
4,Zahn::N,dent,diş
5,Zunge::N,langue,dil
6,Lippe::N,lèvre,dudak
7,Wange::N,joue,yanak
8,Gesicht::N,face,yüz
9,Gesicht::N,visage,yüz
10,Stirn::N,front,alın
11,Haar::N,cheveu,saç
12,Schnurrbart::N,moustache,bıyık
13,Bart::N,barbe,sakal
14,Kinn::N,menton,çene
15,Kiefer[Anatomie]::N,mâchoire,çene
16,Kehle::N,gorge,boğaz
17,Hals::N,cou,boyun
18,Hals::N,cou,gerdan
19,Genick::N,nuque,ense
20,Kopf::N,tête,baş
21,Kopf::N,tête,kafa
22,Rücken::N,dos,arka
23,Bauch::N,ventre,karın
24,Nabel::N,nombril,göbek
25,Busen::N,sein,koyun
26,Brust::N,poitrine,göğüs
27,Schulter::N,épaule,omuz
28,Arm::N,bras,kol
29,Ellenbogen::N,coude,dirsek
30,Hand::N,main,el
31,Handfläche::N,paume,avuç
32,Handfläche::N,paume,el ayası
33,Finger::N,doigt,parmak
34,Fingernagel::N,ongle,el tırnağı
35,Nagel[Anatomie]::N,ongle,tırnak
36,Zeh::N,orteil,ayak parmağı
37,Zeh::N,doigt de pied,ayak parmağı
38,Fuß::N,pied,ayak
39,Ferse::N,talon,topuk
40,Knie::N,genou,diz
41,Oberschenkel::N,cuisse,uyluk
42,Bein::N,jambe,bacak
43,Körper::N,corps,vücut
44,Haut::N,peau,cilt
45,Blut::N,sang,kan
46,Ader::N,veine,damar
47,Sehne::N,tendon,kiriş
48,Knochen::N,os,kemik
49,Gehirn::N,cerveau,beyin
50,Herz::N,cœur,kalp
51,Herz::N,cœur,yürek
52,Magen::N,estomac,mide
53,Leber::N,foie,karaciğer
54,Atem::N,haleine,nefes
55,Hunger::N,faim,açlık
56,Träne::N,larme,gözyaşı
57,Geschmack::N,goût,tat
58,Geschmack::N,goût,lezzet
59,Geschmack::N,saveur,tat
60,Geschmack::N,saveur,lezzet
61,Geruch::N,odeur,koku
62,Schlaf::N,sommeil,uyku
63,Traum::N,songe,düş
64,Traum::N,songe,rüya
65,Himmel::N,ciel,gök
66,Sonne::N,soleil,güneş
67,Mond::N,lune,ay
68,Stern::N,étoile,yıldız
69,Luft::N,air,hava
70,Wind::N,vent,yel
71,Wind::N,vent,rüzgâr
72,Welle::N,vague,dalga
73,Wasser::N,eau,su
74,Stein::N,pierre,taş
75,Boden::N,sol,yer
76,Boden::N,sol,zemin
77,Boden::N,terrain,yer
78,Boden::N,terrain,zemin
79,Erde::N,terre,toprak
80,Staub::N,poussière,toz
81,Rauch::N,fumée,duman
82,Funke::N,étincelle,kıvılcım
83,Feuer::N,feu,ateş
84,Licht::N,lumière,ışık
85,Schatten::N,ombre,gölge
86,Wetter::N,temps,hava
87,Nebel::N,brume,pus
88,Nebel::N,brouillard,pus
89,Wolke::N,nuage,bulut
90,Regen::N,pluie,yağmur
91,Schnee::N,neige,kar
92,Eis::N,glace,buz
93,Frost::N,gel,don
94,Frost::N,gelée,don
95,Kälte::N,froid,soğukluk
96,Hitze::N,chaleur,sıcaklık
97,Raureif::N,givre,kırç
98,Regenbogen::N,arc-en-ciel,gökkuşağı
