,Concept_ID,en,he
0,Auge::N,eye,עין
1,Ohr::N,ear,אזן
2,Nase::N,nose,אף
3,Nase::N,nose,חטם
4,Mund::N,mouth,פה
5,Zahn::N,tooth,שן
6,Zunge::N,tongue,לשון
7,Lippe::N,lip,שפה
8,Wange::N,cheek,לחי
9,Gesicht::N,face,פנים
10,Stirn::N,forehead,מצח
11,Haar::N,hair,שערה
12,Schnurrbart::N,moustache,שפם
13,Bart::N,beard,זקן
14,Kinn::N,chin,סנטר
15,Kiefer[Anatomie]::N,jaw,לסת
16,Kehle::N,throat,גרון
17,Hals::N,neck,צואר
18,Genick::N,nape,ערף
19,Kopf::N,head,ראש
20,Rücken::N,back,גב
21,Rücken::N,spine,גב
22,Bauch::N,belly,בטן
23,Nabel::N,navel,טבור
24,Busen::N,bosom,שד
25,Brust::N,chest,חזה
26,Brust::N,breast,חזה
27,Schulter::N,shoulder,כתף
28,Arm::N,arm,זרוע
29,Ellenbogen::N,elbow,מרפק
30,Hand::N,hand,יד
31,Handfläche::N,palm,כף יד
32,Finger::N,finger,אצבע
33,Fingernagel::N,fingernail,צפרן
34,Nagel[Anatomie]::N,nail,צפרן
35,Zeh::N,toe,אצבע
36,Fuß::N,foot,רגל
37,Ferse::N,heel,עקב
38,Knie::N,knee,ברך
39,Oberschenkel::N,thigh,ירך
40,Bein::N,leg,רגל
41,Körper::N,body,גוף
42,Haut::N,skin,עור
43,Blut::N,blood,דם
44,Ader::N,vein,וריד
45,Sehne::N,sinew,גיד
46,Knochen::N,bone,עצם
47,Gehirn::N,brain,מוח
48,Herz::N,heart,לב
49,Magen::N,stomach,קבה
50,Leber::N,liver,כבד
51,Atem::N,breath,נשימה
52,Hunger::N,hunger,רעב
53,Träne::N,tear,דמעה
54,Geschmack::N,flavour,טעם
55,Geschmack::N,flavor,טעם
56,Geruch::N,odour,ריח
57,Geruch::N,odor,ריח
58,Schlaf::N,sleep,שנה
59,Traum::N,dream,חלום
60,Himmel::N,sky,שמים
61,Sonne::N,sun,שמש
62,Mond::N,moon,ירח
63,Stern::N,star,כוכב
64,Luft::N,air,אויר
65,Wind::N,wind,רוח
66,Welle::N,wave,גל
67,Wasser::N,water,מים
68,Stein::N,stone,אבן
69,Boden::N,soil,קרקע
70,Boden::N,ground,קרקע
