,Concept_ID,ga,ga
0,Auge::N,súil,súil
1,Ohr::N,cluas,cluas
2,Nase::N,soc,soc
3,Mund::N,béal,béal
4,Zahn::N,fiacail,fiacail
5,Zunge::N,teanga,teanga
6,Lippe::N,liopa,liopa
7,Wange::N,grua,grua
8,Wange::N,grua,leiceann
9,Wange::N,leiceann,grua
10,Wange::N,leiceann,leiceann
11,Gesicht::N,éadan,éadan
12,Gesicht::N,éadan,aghaidh
13,Gesicht::N,aghaidh,éadan
14,Gesicht::N,aghaidh,aghaidh
15,Stirn::N,baithis,baithis
16,Stirn::N,baithis,clár éadain
17,Stirn::N,clár éadain,baithis
18,Stirn::N,clár éadain,clár éadain
19,Haar::N,gruaig,gruaig
20,Schnurrbart::N,croiméal,croiméal
21,Bart::N,féasóg,féasóg
22,Kinn::N,smig,smig
23,Kiefer[Anatomie]::N,giall,giall
24,Kehle::N,scornach,scornach
25,Hals::N,muinéal,muinéal
26,Genick::N,baic,baic
27,Kopf::N,ceann,ceann
28,Rücken::N,droim,droim
29,Bauch::N,bolg,bolg
30,Nabel::N,imleacán,imleacán
31,Busen::N,cíoch,cíoch
32,Brust::N,brollach,brollach
33,Schulter::N,gualainn,gualainn
34,Arm::N,lámh,lámh
35,Ellenbogen::N,uillinn,uillinn
36,Hand::N,lámh,lámh
37,Handfläche::N,bos,bos
38,Finger::N,méar,méar
39,Fingernagel::N,ionga,ionga
40,Nagel[Anatomie]::N,ionga,ionga
41,Zeh::N,ladhar,ladhar
42,Fuß::N,cos,cos
43,Fuß::N,cos,troigh
44,Fuß::N,troigh,cos
45,Fuß::N,troigh,troigh
46,Ferse::N,sáil,sáil
47,Knie::N,glúin,glúin
48,Oberschenkel::N,ceathrú,ceathrú
49,Bein::N,cos,cos
50,Körper::N,corp,corp
51,Körper::N,corp,colainn
52,Körper::N,colainn,corp
53,Körper::N,colainn,colainn
54,Haut::N,cneas,cneas
55,Haut::N,cneas,craiceann
56,Haut::N,craiceann,cneas
57,Haut::N,craiceann,craiceann
58,Blut::N,fuil,fuil
59,Sehne::N,teannán,teannán
60,Sehne::N,teannán,féitheog
61,Sehne::N,féitheog,teannán
62,Sehne::N,féitheog,féitheog
63,Knochen::N,cnámh,cnámh
64,Gehirn::N,inchinn,inchinn
65,Herz::N,croí,croí
66,Magen::N,bolg,bolg
67,Magen::N,bolg,goile
68,Magen::N,goile,bolg
69,Magen::N,goile,goile
70,Leber::N,ae,ae
71,Atem::N,anáil,anáil
72,Hunger::N,ocras,ocras
73,Träne::N,deoir,deoir
74,Geschmack::N,blas,blas
75,Geruch::N,boladh,boladh
76,Schlaf::N,suan,suan
77,Schlaf::N,suan,codladh
78,Schlaf::N,codladh,suan
79,Schlaf::N,codladh,codladh
80,Traum::N,taibhreamh,taibhreamh
81,Himmel::N,spéir,spéir
82,Sonne::N,grian,grian
83,Mond::N,ré,ré
84,Mond::N,ré,gealach
85,Mond::N,gealach,ré
86,Mond::N,gealach,gealach
87,Stern::N,rinn,rinn
88,Stern::N,rinn,réalta
89,Stern::N,réalta,rinn
90,Stern::N,réalta,réalta
91,Luft::N,aer,aer
92,Wind::N,gaoth,gaoth
93,Welle::N,tonn,tonn
94,Wasser::N,uisce,uisce
95,Stein::N,cloch,cloch
96,Boden::N,talamh,talamh
97,Erde::N,cré,cré
98,Erde::N,cré,ithir
99,Erde::N,ithir,cré
100,Erde::N,ithir,ithir
101,Staub::N,dusta,dusta
102,Staub::N,dusta,deannach
103,Staub::N,deannach,dusta
104,Staub::N,deannach,deannach
105,Rauch::N,toit,toit
106,Rauch::N,toit,deatach
107,Rauch::N,deatach,toit
108,Rauch::N,deatach,deatach
109,Funke::N,drithle,drithle
110,Feuer::N,tine,tine
111,Licht::N,solas,solas
112,Schatten::N,scáth,scáth
113,Wetter::N,aimsir,aimsir
114,Nebel::N,ceo,ceo
115,Wolke::N,néal,néal
116,Wolke::N,néal,scamall
117,Wolke::N,scamall,néal
118,Wolke::N,scamall,scamall
119,Regen::N,báisteach,báisteach
120,Regen::N,báisteach,fearthainn
121,Regen::N,fearthainn,báisteach
122,Regen::N,fearthainn,fearthainn
123,Schnee::N,sneachta,sneachta
124,Eis::N,oighear,oighear
125,Frost::N,sioc,sioc
126,Kälte::N,fuacht,fuacht
127,Hitze::N,teas,teas
128,Hitze::N,teas,teocht
129,Hitze::N,teocht,teas
130,Hitze::N,teocht,teocht
131,Raureif::N,sioc bán,sioc bán
132,Regenbogen::N,stua ceatha,stua ceatha
133,Regenbogen::N,stua ceatha,bogha báistí
134,Regenbogen::N,bogha báistí,stua ceatha
135,Regenbogen::N,bogha báistí,bogha báistí
136,Donner::N,toirneach,toirneach
137,Strömung::N,sruth,sruth
138,Tropfen::N,deoir,deoir
139,Schaum::N,cúr,cúr
140,Schmutz::N,salachar,salachar
141,See::N,loch,loch
142,Sumpf::N,portach,portach
143,Moor::N,caorán,caorán
144,Moor::N,caorán,móinteán
145,Moor::N,móinteán,caorán
146,Moor::N,móinteán,móinteán
147,Wiese::N,cluain,cluain
148,Wiese::N,cluain,móinéar
149,Wiese::N,móinéar,cluain
150,Wiese::N,móinéar,móinéar
151,Wald::N,coill,coill
152,Wald::N,coill,foraois
153,Wald::N,foraois,coill
154,Wald::N,foraois,foraois
155,Hügel::N,ard,ard
156,Anhöhe::N,ard,ard
157,Anhöhe::N,ard,ardán
158,Anhöhe::N,ardán,ard
159,Anhöhe::N,ardán,ardán
160,Berg::N,sliabh,sliabh
161,Gipfel::N,barr,barr
162,Gipfel::N,barr,mullach
163,Gipfel::N,mullach,barr
164,Gipfel::N,mullach,mullach
165,Höhle::N,uaimh,uaimh
166,Höhle::N,uaimh,pluais
167,Höhle::N,pluais,uaimh
168,Höhle::N,pluais,pluais
169,Abhang::N,fána,fána
170,Quelle::N,foinse,foinse
171,Bach::N,sruthán,sruthán
172,Fluss::N,abhainn,abhainn
173,Ufer::N,bruach,bruach
174,Küste::N,cósta,cósta
175,Küste::N,cósta,cladach
176,Küste::N,cladach,cósta
177,Küste::N,cladach,cladach
178,Festland::N,míntír,míntír
179,Meer::N,muir,muir
180,Meer::N,muir,farraige
181,Meer::N,farraige,muir
