,Concept_ID,ko,se
0,Auge::N,눈,tjelmie
1,Auge::N,눈,tjalmme
2,Auge::N,눈,čalbmi
3,Auge::N,눈,čalme
4,Auge::N,눈,čâ´lmm
5,Auge::N,눈,ча̄лльм
6,Ohr::N,귀,bieljie
7,Ohr::N,귀,biellje
8,Ohr::N,귀,beallji
9,Ohr::N,귀,pelji
10,Ohr::N,귀,pe´llj
11,Ohr::N,귀,пе̄лльй
12,Nase::N,코,njuenie
13,Nase::N,코,njunnje
14,Nase::N,코,njunni
15,Nase::N,코,njuṇe
16,Nase::N,코,njuu´nn
17,Nase::N,코,нюннҍ
18,Mund::N,입,njaelmie
19,Mund::N,입,njálmme
20,Mund::N,입,njálbmi
21,Mund::N,입,njälmi
22,Mund::N,입,njä´lmm
23,Mund::N,입,ня̄лльм
24,Zahn::N,이,baenie
25,Zahn::N,이,bádne
26,Zahn::N,이,bátni
27,Zahn::N,이,pääṇi
28,Zahn::N,이,pää´nn
29,Zahn::N,이,па̄ннҍ
30,Zunge::N,혀,njoektjeme
31,Zunge::N,혀,njuovtjav
32,Zunge::N,혀,njuovčča
33,Zunge::N,혀,njuovčâ
34,Zunge::N,혀,njuhččâm
35,Zunge::N,혀,нюхчем
36,Lippe::N,입술,bangseme
37,Lippe::N,입술,njálmmerabdda
38,Lippe::N,입술,bavssa
39,Lippe::N,입술,poovsâ
40,Lippe::N,입술,põõus
41,Lippe::N,입술,пэ̄кс
42,Wange::N,뺨,skiehrie
43,Wange::N,뺨,nierra
44,Wange::N,뺨,muohtu
45,Wange::N,뺨,nieṛâ
46,Wange::N,뺨,njiõrr
47,Wange::N,뺨,нӣрр
48,Gesicht::N,얼굴,ååredæjja
49,Gesicht::N,얼굴,muohto
50,Gesicht::N,얼굴,muođut
51,Gesicht::N,얼굴,ámadadju
52,Gesicht::N,얼굴,muáđuh
53,Gesicht::N,얼굴,muâđ
54,Gesicht::N,얼굴,ка̄ссв
55,Stirn::N,이마,gaalloe
56,Stirn::N,이마,gállo
57,Stirn::N,이마,gállu
58,Stirn::N,이마,kállu
59,Stirn::N,이마,käll
60,Stirn::N,이마,вуэххьц
61,Haar::N,털,voepte
62,Haar::N,털,vuoppta
63,Haar::N,털,vuokta
64,Haar::N,털,vuop'tâ
65,Haar::N,털,vuõpt
66,Haar::N,털,вӯппт
67,Schnurrbart::N,윗수몀,bijjie-skaavtjoe
68,Schnurrbart::N,윗수몀,njunjevuolskávttjá
69,Schnurrbart::N,윗수몀,seamu
70,Schnurrbart::N,윗수몀,siämu
71,Schnurrbart::N,윗수몀,ää´bben
72,Schnurrbart::N,윗수몀,о̄а̄бпан
73,Schnurrbart::N,코밑수염,bijjie-skaavtjoe
74,Schnurrbart::N,코밑수염,njunjevuolskávttjá
75,Schnurrbart::N,코밑수염,seamu
76,Schnurrbart::N,코밑수염,siämu
77,Schnurrbart::N,코밑수염,ää´bben
78,Schnurrbart::N,코밑수염,о̄а̄бпан
79,Bart::N,수엄,skaavtja
80,Bart::N,수엄,skaavtjoe
81,Bart::N,수엄,skávttjá
82,Bart::N,수엄,seamu
83,Bart::N,수엄,siämu
84,Bart::N,수엄,seäm
85,Bart::N,수엄,ся̄м
86,Kinn::N,아래턱,gaejpie
87,Kinn::N,아래턱,gájbbe
88,Kinn::N,아래턱,gáibi
89,Kinn::N,아래턱,käibi
90,Kinn::N,아래턱,käi´bb
91,Kinn::N,아래턱,ка̄ййп
92,Kiefer[Anatomie]::N,턱,gaejpie
93,Kiefer[Anatomie]::N,턱,oalol
94,Kiefer[Anatomie]::N,턱,oaloldákte
95,Kiefer[Anatomie]::N,턱,gáibi
96,Kiefer[Anatomie]::N,턱,uá'lultähti
97,Kiefer[Anatomie]::N,턱,vuâl'lõš
98,Kiefer[Anatomie]::N,턱,вуаллнешш
99,Kehle::N,인후,gealoe
100,Kehle::N,인후,tjåttå
101,Kehle::N,인후,njiello
102,Kehle::N,인후,čotta
103,Kehle::N,인후,čuudâ
104,Kehle::N,인후,čoodd
105,Kehle::N,인후,чонт
106,Kehle::N,인후,кэ̄ҏс
107,Hals::N,목,tjeapohke
108,Hals::N,목,tjiebet
109,Hals::N,목,čeabet
110,Hals::N,목,čiäppát
111,Hals::N,목,čeäppat
112,Hals::N,목,ча̄пэх
113,Genick::N,먹덜이,tjovrese
114,Genick::N,먹덜이,nisske
115,Genick::N,먹덜이,niehkki
116,Genick::N,먹덜이,niski
117,Genick::N,먹덜이,niek'ki
118,Genick::N,먹덜이,nji´šǩǩmaadd
119,Genick::N,먹덜이,нышшькмоант
120,Kopf::N,머리,åejjie
121,Kopf::N,머리,oajvve
122,Kopf::N,머리,oaivi
123,Kopf::N,머리,uái'vi
124,Kopf::N,머리,vuei´vv
125,Kopf::N,머리,вуэййв
126,Rücken::N,든,rudtje
127,Rücken::N,든,hárddo
128,Rücken::N,든,tjavelk
129,Rücken::N,든,sealgi
130,Rücken::N,든,selgi
131,Rücken::N,든,čielgi
132,Rücken::N,든,seä´lǧǧ
133,Rücken::N,든,се̄лльк
134,Bauch::N,배,tjåejjie
135,Bauch::N,배,tjoajvve
136,Bauch::N,배,čoavji
137,Bauch::N,배,čuáv'ji
138,Bauch::N,배,čåu´jj
139,Bauch::N,배,чо̄ввьй
140,Nabel::N,배꼽,naepie
141,Nabel::N,배꼽,náhpe
142,Nabel::N,배꼽,náhpi
143,Nabel::N,배꼽,nääpi
144,Nabel::N,배꼽,nää´pp
145,Nabel::N,배꼽,на̄бпь
146,Busen::N,가슴속,boenge
147,Busen::N,가슴속,bållå
148,Busen::N,가슴속,čižži
149,Busen::N,가슴속,njamma
150,Busen::N,가슴속,njižže
151,Busen::N,가슴속,nje´ǯǯ
152,Busen::N,가슴속,раннҍт
153,Brust::N,가슴,mïelke
154,Brust::N,가슴,radde
155,Brust::N,가슴,mielgga
156,Brust::N,가슴,raddi
157,Brust::N,가슴,radde
158,Brust::N,가슴,râ´dd
159,Brust::N,가슴,раннҍт
160,Schulter::N,어깨,åelkie
161,Schulter::N,어깨,oalgge
162,Schulter::N,어깨,hárdu
163,Schulter::N,어깨,ärdee
164,Schulter::N,어깨,uál'gi
165,Schulter::N,어깨,a´rddi
166,Schulter::N,어깨,vuä´lǧǧ
167,Schulter::N,어깨,вуэллык
168,Arm::N,팔,gïete
169,Arm::N,팔,giehta
170,Arm::N,팔,giehta
171,Arm::N,팔,kietâ
172,Arm::N,팔,kie'tâkaaṿâ
173,Arm::N,팔,ǩiõtt
174,Arm::N,팔,кӣдт
175,Ellenbogen::N,팔쿰치,gernjere
176,Ellenbogen::N,팔쿰치,garŋŋel
177,Ellenbogen::N,팔쿰치,gargŋil
178,Ellenbogen::N,팔쿰치,käŋŋir
179,Ellenbogen::N,팔쿰치,kõõnjâr
180,Ellenbogen::N,팔쿰치,карьнэль
181,Hand::N,손,gïete
182,Hand::N,손,giehta
183,Hand::N,손,giehta
184,Hand::N,손,kietâ
185,Hand::N,손,ǩiõtt
186,Hand::N,손,кӣдт
187,Handfläche::N,손바닥,gïeten-låapoe
188,Handfläche::N,손바닥,giehtavuodo
189,Handfläche::N,손바닥,tjårmmåvuodo
190,Handfläche::N,손바닥,giehtaloahpu
191,Handfläche::N,손바닥,kiämád
192,Handfläche::N,손바닥,kuámmir
193,Handfläche::N,손바닥,kuä´m'mer
194,Handfläche::N,손바닥,ǩiõttǩeä´m'men
195,Handfläche::N,손바닥,ко̄а̄ллдэгк
196,Handfläche::N,손바닥,кӣдткоалдэгк
197,Finger::N,속가락,soerme
198,Finger::N,속가락,tjuvdde
199,Finger::N,속가락,suorbma
200,Finger::N,속가락,čuvde
201,Finger::N,속가락,suor'mâ
202,Finger::N,속가락,suõrmm
203,Finger::N,속가락,це̄ххп
204,Fingernagel::N,손톱,gadtse
205,Fingernagel::N,손톱,guehpere
206,Fingernagel::N,손톱,gadtsa
207,Fingernagel::N,손톱,gazza
208,Fingernagel::N,손톱,kozzâ
209,Fingernagel::N,손톱,kõʒʒ
210,Fingernagel::N,손톱,кэ̄ннц
211,Nagel[Anatomie]::N,손톱,gadtse
212,Nagel[Anatomie]::N,손톱,guehpere
213,Nagel[Anatomie]::N,손톱,gadtsa
214,Nagel[Anatomie]::N,손톱,gazza
215,Nagel[Anatomie]::N,손톱,kozzâ
216,Nagel[Anatomie]::N,손톱,kõʒʒ
217,Nagel[Anatomie]::N,손톱,кэ̄ннц
218,Zeh::N,발가락,tjiehtjere
219,Zeh::N,발가락,juolggetjuvdde
220,Zeh::N,발가락,juolgesuorbma
221,Zeh::N,발가락,jyel'gisuor'mâ
222,Zeh::N,발가락,jue´lǧǧsuõrmm
223,Zeh::N,발가락,ю̄лльк-це̄һп
224,Fuß::N,발,juelkie
225,Fuß::N,발,juolgge
226,Fuß::N,발,juolgi
227,Fuß::N,발,jyel'gi
228,Fuß::N,발,jue´lǧǧ
229,Fuß::N,발,ла̄бпь
230,Ferse::N,발꿈치,båetskie
231,Ferse::N,발꿈치,boasske
232,Ferse::N,발꿈치,šušmi
233,Ferse::N,발꿈치,šušme
234,Ferse::N,발꿈치,jue´lǧǧkädd
235,Ferse::N,발꿈치,ка̄ннт
236,Knie::N,무릎,boelve
237,Knie::N,무릎,buolvva
238,Knie::N,무릎,čibbi
239,Knie::N,무릎,veaŋki
240,Knie::N,무릎,iidâ
241,Knie::N,무릎,puõlvv
242,Knie::N,무릎,пуллв
243,Oberschenkel::N,허벅다리,ruaksja
244,Oberschenkel::N,허벅다리,tjibbe
245,Oberschenkel::N,허벅다리,gassaváhkká
246,Oberschenkel::N,허벅다리,badjeváhkáa
247,Oberschenkel::N,허벅다리,čuár'bpeeḷi
248,Oberschenkel::N,허벅다리,če´bb
249,Oberschenkel::N,허벅다리,чуаррбе̄лль
250,Bein::N,다리,juelkie
251,Bein::N,다리,juolgge
252,Bein::N,다리,juolgi
253,Bein::N,다리,jyel'gi
254,Bein::N,다리,jue´lǧǧ
255,Bein::N,다리,ю̄лльк
256,Körper::N,구간,kråahpe
257,Körper::N,구간,rumáj
