,Concept_ID,ko,br
0,Auge::N,눈,lagad
1,Ohr::N,귀,skouarn
2,Nase::N,코,fri
3,Mund::N,입,genoù
4,Zahn::N,이,dant
5,Zunge::N,혀,teod
6,Lippe::N,입술,muzell
7,Wange::N,뺨,chot
8,Gesicht::N,얼굴,dremm
9,Stirn::N,이마,tal
10,Haar::N,털,blev
11,Schnurrbart::N,윗수몀,mourenn
12,Schnurrbart::N,코밑수염,mourenn
13,Bart::N,수엄,barv
14,Kinn::N,아래턱,groñj
15,Kiefer[Anatomie]::N,턱,javed
16,Kehle::N,인후,gouzoug
17,Hals::N,목,gouzoug
18,Genick::N,먹덜이,choug
19,Kopf::N,머리,penn
20,Rücken::N,든,kein
21,Bauch::N,배,kof
22,Nabel::N,배꼽,begel
23,Busen::N,가슴속,bronn
24,Brust::N,가슴,bruched
25,Schulter::N,어깨,skoaz
26,Arm::N,팔,brec'h
27,Ellenbogen::N,팔쿰치,ilin
28,Hand::N,손,dorn
29,Handfläche::N,손바닥,palv
30,Finger::N,속가락,biz
31,Fingernagel::N,손톱,ivin
32,Nagel[Anatomie]::N,손톱,ivin
33,Zeh::N,발가락,biz-troad
34,Fuß::N,발,troad
35,Ferse::N,발꿈치,seul
36,Knie::N,무릎,glin
37,Oberschenkel::N,허벅다리,morzhed
38,Bein::N,다리,gar
39,Körper::N,구간,korf
40,Haut::N,살갗,kroc'hen
41,Blut::N,피,gwad
42,Ader::N,정맥,gwazhi
43,Sehne::N,현,stir
44,Knochen::N,뼈,askorn
45,Gehirn::N,뇌,empenn
46,Gehirn::N,뇌수,empenn
47,Herz::N,염통,kalon
48,Magen::N,위,stomog
49,Leber::N,간,avu
50,Atem::N,기식,anal
51,Hunger::N,공복,naon
52,Träne::N,눈물,daer
53,Geschmack::N,기호,blaz
54,Geruch::N,냄새,c'hwezh
55,Schlaf::N,수면,kousked
56,Traum::N,쿰,hune
57,Himmel::N,하늘,oabl
58,Sonne::N,해,heol
59,Mond::N,달,loar
60,Stern::N,별,steredenn
61,Luft::N,동준,aer
62,Luft::N,가스채,aer
63,Wind::N,바람,avel
64,Welle::N,물결,houlenn
65,Wasser::N,물,dour
66,Stein::N,돌,maen
67,Boden::N,바닥,tachenn
68,Erde::N,흙,douar
69,Staub::N,먼지,poultr
70,Rauch::N,연기,moged
71,Funke::N,불티,ful
72,Feuer::N,불,tan
73,Licht::N,불,gouloù
74,Schatten::N,어스레함,disheol
75,Wetter::N,기상,amzer
76,Nebel::N,안개,brumenn
77,Wolke::N,구름,koumoulenn
78,Regen::N,비,glav
79,Schnee::N,눈,erc'h
80,Eis::N,얼음,skorn
81,Frost::N,혹한,rev
82,Kälte::N,추위,yen
83,Kälte::N,차가움,yen
84,Hitze::N,고온,tommder
85,Hitze::N,더위,tommder
86,Regenbogen::N,무지개,gwareg-ar-glav
87,Donner::N,뇌명,kurun
88,Strömung::N,유동,red
89,Tropfen::N,물방울,bannac'h
90,Tropfen::N,물방울,takenn
91,Schaum::N,포말,spoum
92,Schmutz::N,때,fank
93,See::N,호수,lenn
94,Sumpf::N,습지,gwern
95,Moor::N,저습지,taouarc'heg
96,Wiese::N,목초지,prad
97,Wald::N,숲,koad
98,Hügel::N,언덕,torgenn
99,Anhöhe::N,언덕,run
100,Berg::N,산,menez
101,Gipfel::N,졀졍,barr
102,Höhle::N,공동,kav
103,Abhang::N,몰매,naou
104,Quelle::N,근원,feunteun
105,Bach::N,내,gwazh
106,Fluss::N,강,stêr
107,Ufer::N,강변,ribl
108,Ufer::N,바닷가,ribl
109,Küste::N,해변,aod
110,Küste::N,해변가,aod
111,Festland::N,본토,douar
112,Meer::N,바다,mor
113,Bucht::N,협만,mor-bihan
114,Insel::N,섬,enez
115,Blume::N,꽃,bleunienn
116,Gras::N,풀,geot
117,Wurzel::N,뿌리,gwrizienn
118,Baum::N,나무,gwezenn
119,Stamm::N,대,kef
120,Rinde::N,나무껍질,rusk
121,Ast::N,가지,barr
122,Zweig::N,가지,bod
123,Blatt::N,잎,delienn
124,Birke::N,자작나무,bezvenn
125,Kiefer[Baum]::N,소나무,pinenn
126,Weide[Baum]::N,쉬양버들,halegenn
127,Tanne::N,전나무,sapenn
128,Horn::N,뿔,korn
129,Feder::N,깃털,pluñv
130,Fell::N,피혁모피,kreoñ
131,Flügel::N,날개,askell
132,Klaue::N,갈고리 발톺,skilf
133,Kralle::N,발툭,skilf
134,Schwanz::N,꼬리,lost
135,Ei::N,알,vi
136,Nest::N,보금자리,neizh
137,Bau::N,굴,douarenn
138,Tier::N,짐승,loen
139,Herde::N,가축의떼,tropell
140,Kuh::N,암소,buoc'h
141,Bulle::N,황소,tarv
142,Pferd::N,말,marc'h
143,Schaf::N,양,dañvad
144,Schwein::N,돼지,pemoc'h
145,Hund::N,개,ki
146,Katze::N,고양이,kazh
147,Bär::N,콤,arzh
148,Eichhörnchen::N,다람쥐,gwiñver
149,Elch::N,고라니,karv-dour
150,Fuchs::N,여우,louarn
151,Hase::N,토끼,gad
152,Maus::N,쥐,logodenn
153,Wolf::N,늑대,bleiz
154,Vogel::N,새,labous
155,Schwarm::N,뗴,nijad
156,Huhn::N,암탉,yar
157,Hahn::N,수탉,kilhog
158,Gans::N,거위,gwazenn
159,Adler::N,수리,erer
160,Ente::N,오리,houad
161,Eule::N,부엉이,toud
162,Kranich::N,두루미,garan
163,Krähe::N,까마귀,bran
164,Kuckuck::N,뻐꾸기,koukoug
165,Schwan::N,배조,alarc'h
166,Fisch::N,물고기,pesk
167,Barsch::N,농어,brell
168,Hecht::N,에속스,beked
169,Schlange[Tier]::N,뱀,naer
170,Wurm::N,벌레,preñv
171,Spinne::N,거미,kevnidenn
172,Ameise::N,개미,merion
173,Laus::N,이,laouenn
174,Mücke::N,모기,moustik
175,Fliege::N,날기,kelienenn
176,Schmetterling::N,나비,balafenn
177,Beere::N,장과,hog
178,Apfel::N,사과,aval
179,Pilz::N,고방이,kabell-touseg
180,Zwiebel::N,양파,ognonenn
181,Saat::N,씨,had
182,Korn::N,알맹이,ed
183,Heu::N,건초,foenn
184,Schale::N,피상,peliadur
185,Falle::N,함정,pech
186,Schlinge::N,올가미,krouglas
187,Schlinge::N,멜빵붕대,krouglas
188,Spur::N,발지국,
189,Asche::N,재,ludu
190,Dreck::N,똥,fank
191,Dreck::N,오물,fank
