,Concept_ID,lez,mrj
0,Auge::N,вил,сӹнзӓ
1,Ohr::N,яб,пӹлӹш
2,Nase::N,нер,нер
3,Mund::N,сив,ышма
4,Zahn::N,сас,пӱ
5,Zahn::N,свах,пӱ
6,Zunge::N,мез,йӹлмӹ
7,Lippe::N,пӏуз,тӹрвӹ
8,Wange::N,хъвехъ,шӹргӹ
9,Gesicht::N,ччин,лицӓ
10,Stirn::N,пел,лепкӓ
11,Haar::N,чӏар,ӱп
12,Schnurrbart::N,спел,öрш
13,Schnurrbart::N,спелар,öрш
14,Bart::N,ччуру,пандаш
15,Kinn::N,чене,онгылаш
16,Kiefer[Anatomie]::N,чене,пӱ арата
17,Kehle::N,туьд,логер
18,Hals::N,гардан,шӱ
19,Genick::N,кьам,ланга
20,Kopf::N,кьил,вуй
21,Rücken::N,далу,туп
22,Bauch::N,руфун,мӹшкӹр
23,Nabel::N,пицӏ,кӹлӹмдӹ
24,Busen::N,мам,цӹзӹ
25,Brust::N,хур,мел
26,Schulter::N,къуьн,ӹнгӹжӓ
27,Arm::N,гъил,кид
28,Ellenbogen::N,кьуьнт,кӹнервуй
29,Hand::N,капаш,лапа
30,Handfläche::N,капан юкь,кид лапа
31,Finger::N,тӏуб,парня
32,Fingernagel::N,кек,кӹч
33,Nagel[Anatomie]::N,кек,кӹч
34,Zeh::N,кул,парня
35,Fuß::N,кӏвач,ял лапа
36,Ferse::N,дабан,ялгавал
37,Ferse::N,дабан,ял кавал
38,Knie::N,мет,пылвуй
39,Bein::N,кӏвач,ял
40,Körper::N,беден,монгыр
41,Haut::N,хам,кавашты
42,Blut::N,иви,вӹр
43,Ader::N,дамар,вӹршӓр
44,Sehne::N,кьуру дамар,кукшышӱн
45,Knochen::N,кӏараб,лу
46,Gehirn::N,мефт,вим
47,Herz::N,рикӏ,шӱм
48,Magen::N,хук,шӱм
49,Leber::N,лекь,мокш
50,Atem::N,ял,шӱлӹш
51,Atem::N,нефес,шӱлӹш
52,Hunger::N,каш,шужымаш
53,Träne::N,вилин нагъв,сӹнзӓвӹд
54,Geschmack::N,дад,тот
55,Geschmack::N,тӏям,тот
56,Geruch::N,ни,пыш
57,Schlaf::N,ахвар,ом
58,Traum::N,ахвар,ом
59,Himmel::N,цав,пӹлгом
60,Sonne::N,рагъ,кечӹ
61,Mond::N,варз,тӹлзӹ
62,Stern::N,гъед,шӹдӹр
63,Luft::N,гьава,юж
64,Luft::N,гьава,воздух
65,Wind::N,гар,мардеж
66,Welle::N,лепе,ко
67,Welle::N,лепе,коэ
68,Wasser::N,яд,вӹд
69,Stein::N,къван,кӱ
70,Boden::N,накьв,рок
71,Erde::N,ччил,свет
72,Staub::N,руг,пырак
73,Rauch::N,гум,шӹкш
74,Funke::N,цӏелхем,ип
75,Funke::N,цӏелхем,тылип
76,Feuer::N,цӏай,тыл
77,Licht::N,экв,соты
78,Licht::N,экв,валгыды
79,Schatten::N,серин,ӹмӹл
80,Wetter::N,гьава,игечӹ
81,Nebel::N,ччилин циф,тӹтӹрӓ
82,Wolke::N,циф,пӹл
83,Regen::N,марф,юр
84,Schnee::N,жив,лым
85,Eis::N,мурк,и
86,Frost::N,аяз,ӱштӹ
87,Kälte::N,мекь,ӱштӹ
88,Kälte::N,мекьивал,ӱштӹ
89,Hitze::N,зегьем,шокшы
90,Raureif::N,къирав,пöрш
91,Regenbogen::N,яргъируш,шанавӹл
92,Donner::N,цавун ван,хӹдӹртӹш
93,Tropfen::N,стӏал,капльы
94,Tropfen::N,стӏал,капльык
95,Schaum::N,каф,шонг
96,Schmutz::N,чирк,лявӹрӓ
97,Schmutz::N,кьуруш,лявӹрӓ
98,See::N,вир,йӓр
99,Sumpf::N,уьлен,лӱкӹ
100,Wiese::N,векь,алык
101,Wald::N,там,шӹргӹ
102,Hügel::N,кӏунтӏ,пӱгӹрикӓ
103,Anhöhe::N,тепе,кӱкшикӓ
104,Anhöhe::N,гьуьндуьрвал,кӱкшикӓ
105,Berg::N,дагъ,кырык
106,Gipfel::N,кӏукӏ,неркӓ
107,Höhle::N,кьветӏ,ы́раж
108,Abhang::N,гуьне,полом
109,Quelle::N,чешме,вӹдсӹнзӓ
110,Bach::N,булах,ӓнгӹр
