,Concept_ID,nl,pt
824,dann::ADV,dan,então
825,dann::ADV,dan,depois
826,dann::ADV,toen,então
827,dann::ADV,toen,depois
828,gestern::ADV,gisteren,ontem
829,einst::ADV,eens,antigamente
830,damals::ADV,toen,então
831,damals::ADV,destijds,então
832,danach::ADV,daarna,logo
833,danach::ADV,daarna,depois
834,vorher::ADV,vooraf,antes
835,vorher::ADV,van tevoren,antes
836,zuerst::ADV,eerst,primeiro
837,zuerst::ADV,het eerst,primeiro
838,einmal::ADV,eens,uma vez
839,einmal::ADV,eenmaal,uma vez
840,manchmal::ADV,soms,às vezes
841,oft::ADV,vaak,muitas vezes
842,oft::ADV,dikwijls,muitas vezes
843,immer::ADV,altijd,sempre
844,niemals::ADV,nooit,nunca
845,hier::ADV,hier,cá
846,hier::ADV,hier,aqui
847,hierhin::ADV,hierheen,para cá
848,von hier::ADV,van hier,daqui
849,von hier::ADV,hiervandaan,daqui
850,dort::ADV,daar,lá
851,dort::ADV,daar,ali
852,dort::ADV,ginds,lá
853,dort::ADV,ginds,ali
854,dorthin::ADV,daarheen,lá
855,dorthin::ADV,daarheen,para lá
856,geradeaus::ADV,rechtuit,em frente
857,geradeaus::ADV,rechtdoor,em frente
858,vorwärts::ADV,vooruit,avante
859,vorwärts::ADV,voorwaarts,avante
860,rückwärts::ADV,achteruit,para trás
861,rückwärts::ADV,achterwaarts,para trás
862,zurück::ADV,terug,atrás
863,unten::ADV,beneden,debaixo
864,unten::ADV,beneden,em baixo
865,unten::ADV,onderaan,debaixo
866,unten::ADV,onderaan,em baixo
867,hinab::ADV,omlaag,para baixo
868,hinab::ADV,naar beneden,para baixo
869,oben::ADV,boven,em cima
870,hinauf::ADV,omhoog,para cima
871,hinauf::ADV,naar boven,para cima
872,überall::ADV,alom,em toda parte
873,überall::ADV,overal,em toda parte
874,nicht::ADV,niet,não
875,ein wenig::ADV,wat,um pouco
876,ein wenig::ADV,wat,um bocado
877,kaum::ADV,amper,apenas
878,kaum::ADV,nauwelijks,apenas
879,sehr::ADV,erg,muito
880,sehr::ADV,zeer,muito
881,so::ADV,zo,tão
882,so::ADV,zo,assim
883,noch::ADV,nog,ainda
884,nur::ADV,maar,só
885,nur::ADV,maar,apenas
886,nur::ADV,maar,somente
887,nur::ADV,alleen,só
888,nur::ADV,alleen,apenas
889,nur::ADV,alleen,somente
890,schon::ADV,al,já
891,schon::ADV,reeds,já
892,wieder::ADV,weer,outra vez
893,wieder::ADV,terug,outra vez
894,vergebens::ADV,vergeefs,em vão
895,vergebens::ADV,tevergeefs,em vão
896,vor::PRP,voor,diante de
897,hinter::PRP,achter,atrás de
898,unter::PRP,onder,sob
899,unter::PRP,onder,debaixo de
900,unter::PRP,beneden,sob
901,unter::PRP,beneden,debaixo de
902,durch::PRP,door,por
903,durch::PRP,door,através de
904,neben::PRP,naast,junto de
905,neben::PRP,naast,ao lado de
906,zwischen::PRP,tussen,entre
907,wegen::PRP,wegens,por
908,wegen::PRP,wegens,por causa de
909,wegen::PRP,vanwege,por
910,wegen::PRP,vanwege,por causa de
911,dies::PRN,dit,isto
912,das::PRN,dat,isso
913,das::PRN,dat,aquilo
914,alles::PRN,alles,todo
915,ich::PRN,ik,eu
916,du::PRN,je,tu
917,du::PRN,jij,tu
918,er::PRN,hij,ele
919,wir::PRN,we,nós
