,Concept_ID,tt,tt
0,Auge::N,күз,күз
1,Ohr::N,колак,колак
2,Nase::N,борын,борын
3,Mund::N,авыз,авыз
4,Mund::N,авыз,тамак
5,Mund::N,тамак,авыз
6,Mund::N,тамак,тамак
7,Zahn::N,теш,теш
8,Zunge::N,тел,тел
9,Lippe::N,ирен,ирен
10,Wange::N,яңак,яңак
11,Gesicht::N,йөз,йөз
12,Stirn::N,маңгай,маңгай
13,Haar::N,чәч,чәч
14,Schnurrbart::N,мыек,мыек
15,Bart::N,сакал,сакал
16,Kinn::N,ияк,ияк
17,Kiefer[Anatomie]::N,казналык,казналык
18,Kehle::N,тамак,тамак
19,Hals::N,бугаз,бугаз
20,Genick::N,җилкә,җилкә
21,Kopf::N,баш,баш
22,Rücken::N,сырт,сырт
23,Bauch::N,корсак,корсак
24,Nabel::N,кендек,кендек
25,Busen::N,түш,түш
26,Brust::N,имчәк,имчәк
27,Brust::N,имчәк,күкрәк
28,Brust::N,күкрәк,имчәк
29,Brust::N,күкрәк,күкрәк
30,Schulter::N,иңбаш,иңбаш
31,Schulter::N,иңбаш,кулбаш
32,Schulter::N,кулбаш,иңбаш
33,Schulter::N,кулбаш,кулбаш
34,Arm::N,кул,кул
35,Ellenbogen::N,терсәк,терсәк
36,Hand::N,кул,кул
37,Handfläche::N,уч,уч
38,Finger::N,бармак,бармак
39,Fingernagel::N,тырнак,тырнак
40,Nagel[Anatomie]::N,тырнак,тырнак
41,Zeh::N,бармак,бармак
42,Fuß::N,табан,табан
43,Ferse::N,үкчә,үкчә
44,Knie::N,тез,тез
45,Oberschenkel::N,бот,бот
46,Bein::N,аяк,аяк
47,Körper::N,тән,тән
48,Körper::N,тән,җисем
49,Körper::N,җисем,тән
50,Körper::N,җисем,җисем
51,Haut::N,тире,тире
52,Blut::N,кан,кан
53,Ader::N,тамыр,тамыр
54,Sehne::N,сеңер,сеңер
55,Knochen::N,сөяк,сөяк
56,Gehirn::N,ми,ми
57,Herz::N,йөрәк,йөрәк
58,Magen::N,ашказаны,ашказаны
59,Leber::N,бавыр,бавыр
60,Atem::N,сулыш,сулыш
61,Hunger::N,ачлык,ачлык
62,Träne::N,яшь,яшь
63,Geschmack::N,тәм,тәм
64,Geschmack::N,тәм,зәвык
65,Geschmack::N,зәвык,тәм
66,Geschmack::N,зәвык,зәвык
67,Geruch::N,ис,ис
68,Schlaf::N,йокы,йокы
69,Traum::N,төш,төш
70,Himmel::N,күк,күк
71,Sonne::N,кояш,кояш
72,Mond::N,ай,ай
73,Stern::N,йолдыз,йолдыз
74,Luft::N,һава,һава
75,Wind::N,җил,җил
76,Welle::N,дулкын,дулкын
77,Wasser::N,су,су
78,Stein::N,таш,таш
79,Boden::N,туфрак,туфрак
80,Erde::N,җир,җир
81,Staub::N,тузан,тузан
82,Rauch::N,төтен,төтен
83,Funke::N,очкын,очкын
84,Feuer::N,ут,ут
85,Licht::N,якты,якты
86,Schatten::N,күләгә,күләгә
87,Wetter::N,һава,һава
88,Nebel::N,томан,томан
89,Wolke::N,болыт,болыт
90,Regen::N,яңгыр,яңгыр
91,Schnee::N,кар,кар
92,Eis::N,боз,боз
93,Frost::N,суык,суык
94,Frost::N,суык,салкын
95,Frost::N,салкын,суык
96,Frost::N,салкын,салкын
97,Kälte::N,суык,суык
98,Kälte::N,суык,салкын
99,Kälte::N,салкын,суык
100,Kälte::N,салкын,салкын
101,Hitze::N,эсселек,эсселек
102,Raureif::N,бәс,бәс
103,Raureif::N,бәс,сыкы
104,Raureif::N,сыкы,бәс
105,Raureif::N,сыкы,сыкы
106,Regenbogen::N,салават күпере,салават күпере
107,Donner::N,күкрәү,күкрәү
108,Strömung::N,агыш'агым,агыш'агым
109,Tropfen::N,тамчы,тамчы
110,Schaum::N,күбек,күбек
111,Schmutz::N,пычрак,пычрак
112,See::N,күл,күл
113,Sumpf::N,саз,саз
114,Moor::N,торфлык,торфлык
115,Wiese::N,болын,болын
116,Wald::N,урман,урман
117,Hügel::N,калку,калку
118,Anhöhe::N,үр,үр
119,Berg::N,тау,тау
120,Gipfel::N,оч,оч
121,Höhle::N,мәгарә,мәгарә
122,Abhang::N,кабырга,кабырга
123,Quelle::N,чишмә,чишмә
124,Bach::N,елга,елга
125,Fluss::N,дәрья,дәрья
126,Ufer::N,су кырые,су кырые
127,Küste::N,яр буе,яр буе
128,Festland::N,коры җир,коры җир
129,Meer::N,диңгез,диңгез
130,Bucht::N,бухта,бухта
131,Bucht::N,бухта,култык
132,Bucht::N,култык,бухта
133,Bucht::N,култык,култык
134,Insel::N,атау,атау
135,Insel::N,атау,утрау
136,Insel::N,утрау,атау
137,Insel::N,утрау,утрау
138,Blume::N,чәчкә,чәчкә
139,Gras::N,үлән,үлән
140,Wurzel::N,тамыр,тамыр
141,Baum::N,агач,агач
142,Stamm::N,кәүсә,кәүсә
143,Rinde::N,кабык,кабык
144,Ast::N,ботак,ботак
145,Zweig::N,ботак,ботак
146,Zweig::N,ботак,тармак
147,Zweig::N,тармак,ботак
148,Zweig::N,тармак,тармак
149,Blatt::N,яфрак,яфрак
150,Birke::N,каен,каен
151,Kiefer[Baum]::N,нарат,нарат
152,Weide[Baum]::N,тал,тал
153,Tanne::N,чыршы,чыршы
154,Horn::N,мөгез,мөгез
155,Feder::N,йон,йон
156,Fell::N,тире,тире
157,Flügel::N,канат,канат
158,Klaue::N,тырнак,тырнак
159,Kralle::N,тырнак,тырнак
160,Schwanz::N,койрык,койрык
161,Ei::N,күкәй,күкәй
162,Ei::N,күкәй,йомырка
163,Ei::N,йомырка,күкәй
164,Ei::N,йомырка,йомырка
165,Nest::N,оя,оя
166,Bau::N,өн,өн
167,Tier::N,хайван,хайван
168,Herde::N,көтү,көтү
169,Kuh::N,сыер,сыер
170,Bulle::N,үгез,үгез
171,Pferd::N,ат,ат
172,Schaf::N,сарык,сарык
173,Schwein::N,дуңгыз,дуңгыз
174,Hund::N,эт,эт
175,Katze::N,песи,песи
176,Bär::N,аю,аю
177,Eichhörnchen::N,тиен,тиен
178,Elch::N,поши,поши
179,Fuchs::N,төлке,төлке
180,Hase::N,куян,куян
181,Maus::N,тычкан,тычкан
182,Wolf::N,бүре,бүре
183,Vogel::N,кош,кош
184,Schwarm::N,көтү,көтү
185,Huhn::N,тавык,тавык
186,Hahn::N,әтәч,әтәч
187,Gans::N,каз,каз
188,Adler::N,каракош,каракош
189,Ente::N,үрдәк,үрдәк
190,Eule::N,ябалак,ябалак
191,Kranich::N,торна,торна
192,Krähe::N,карга,карга
193,Kuckuck::N,күке,күке
194,Kuckuck::N,күке,кәккүк
195,Kuckuck::N,кәккүк,күке
196,Kuckuck::N,кәккүк,кәккүк
197,Schwan::N,аккош,аккош
198,Fisch::N,балык,балык
199,Barsch::N,алабуга,алабуга
200,Hecht::N,чуртан,чуртан
201,Schlange[Tier]::N,елан,елан
202,Wurm::N,корт,корт
203,Spinne::N,үрмәкүч,үрмәкүч
204,Ameise::N,кырмыска,кырмыска
205,Laus::N,бет,бет
206,Mücke::N,черки,черки
207,Mücke::N,черки,озынборын
208,Mücke::N,озынборын,черки
209,Mücke::N,озынборын,озынборын
210,Fliege::N,чебен,чебен
211,Schmetterling::N,күбәләк,күбәләк
212,Beere::N,җиләк,җиләк
213,Apfel::N,алма,алма
214,Pilz::N,гөмбә,гөмбә
215,Zwiebel::N,суган,суган
216,Zwiebel::N,суган,суганбаш
217,Zwiebel::N,суганбаш,суган
218,Zwiebel::N,суганбаш,суганбаш
219,Saat::N,орлык,орлык
220,Korn::N,иген,иген
221,Korn::N,иген,орлык
222,Korn::N,орлык,иген
223,Korn::N,орлык,орлык
224,Heu::N,печән,печән
225,Schale::N,кабык,кабык
226,Grube::N,баз,баз
227,Grube::N,баз,чокыр
228,Grube::N,чокыр,баз
229,Grube::N,чокыр,чокыр
230,Falle::N,тозак,тозак
231,Falle::N,тозак,капкын
232,Falle::N,капкын,тозак
233,Falle::N,капкын,капкын
234,Schlinge::N,элмәк,элмәк
235,Spur::N,эз,эз
236,Asche::N,көл,көл
237,Dreck::N,пычрак,пычрак
238,Eisen::N,тимер,тимер
239,Gold::N,алтын,алтын
240,Silber::N,көмеш,көмеш
241,Kohle::N,күмер,күмер
242,Glas::N,пыяла,пыяла
243,Lehm::N,балчык,балчык
244,Sand::N,ком,ком
245,Mensch::N,адәм,адәм
246,Mensch::N,адәм,инсан
247,Mensch::N,инсан,адәм
