,Concept_ID,uz,fa
0,Auge::N,ko'z,چشم
1,Ohr::N,quloq,گوش
2,Nase::N,burun,بینی
3,Mund::N,og'iz,دهان
4,Zahn::N,tish,دندان
5,Zunge::N,til,زبان
6,Lippe::N,dudoq,لب
7,Wange::N,bet,لپ
8,Gesicht::N,yuz,رو
9,Gesicht::N,yuz,چهره
10,Stirn::N,manglay,پیشانی
11,Haar::N,soch,مو
12,Schnurrbart::N,mo'ylov,سبیل
13,Bart::N,soqol,ریش
14,Kinn::N,ängak,چانه
15,Kiefer[Anatomie]::N,iyak,فک
16,Kiefer[Anatomie]::N,iyak,آرواره
17,Kehle::N,bo'g'iz,حلق
18,Hals::N,bo'yin,گردن
19,Genick::N,gardan,پشت گردن
20,Kopf::N,bosh,سر
21,Kopf::N,bosh,کله
22,Rücken::N,orqa,پشت
23,Bauch::N,qorin,شکم
24,Nabel::N,kindik,ناف
25,Busen::N,ämchak,پستان
26,Brust::N,ko'krak,سینه
27,Schulter::N,elka,دوش
28,Schulter::N,elka,شانه
29,Arm::N,bilak,بازو
30,Ellenbogen::N,tirsak,آرنج
31,Hand::N,qo'l,دست
32,Handfläche::N,kaft,کف دست
33,Finger::N,barmoq,انگشت
34,Fingernagel::N,tirnoq,ناخن دست
35,Nagel[Anatomie]::N,tirnoq,ناخن
36,Zeh::N,oyoq barmog'i,انگشت پا
37,Fuß::N,oyoq,پا
38,Ferse::N,tovon,پاشنه
39,Knie::N,tiz,زانو
40,Oberschenkel::N,son,ران
41,Bein::N,oyoq,پا
42,Bein::N,oyoq,لنگ
43,Körper::N,badna,تن
44,Körper::N,badna,بدن
45,Haut::N,teri,پوست
46,Blut::N,qon,خون
47,Ader::N,qon tomir,رگ
48,Sehne::N,tomir,زردپی
49,Knochen::N,suyak,استخوان
50,Gehirn::N,miya,مخ
51,Gehirn::N,miya,مغز
52,Herz::N,qalb,دل
53,Herz::N,qalb,قلب
54,Magen::N,oshqozon,معده
55,Leber::N,bag'ir,کبد
56,Atem::N,dam,نفس
57,Hunger::N,ochlik,گرسنگی
58,Träne::N,yosh,اشک
59,Geschmack::N,tam,مزه
60,Geruch::N,jid,بو
61,Schlaf::N,uyqu,خواب
62,Traum::N,tush,رؤیا
63,Himmel::N,osmon,فلک
64,Himmel::N,osmon,آسمان
65,Sonne::N,quyosh,آفتاب
66,Sonne::N,quyosh,خورشید
67,Mond::N,oy,ماه
68,Stern::N,yulduz,ستاره
69,Luft::N,havo,هوا
70,Wind::N,el,باد
71,Welle::N,to'lqin,موج
72,Wasser::N,suv,آب
73,Stein::N,tosh,سنگ
74,Boden::N,tuproq,زمین
75,Erde::N,er,خاک
76,Erde::N,er,زمین
77,Staub::N,chang,گرد
78,Staub::N,chang,غبار
79,Rauch::N,tutun,دود
80,Funke::N,yalt,جرقه
81,Feuer::N,o't,آتش
82,Licht::N,yorug',نور
83,Licht::N,yorug',روشنی
84,Schatten::N,soya,سایه
85,Wetter::N,havo,هوا
86,Nebel::N,tuman,مه
87,Wolke::N,bulut,ابر
88,Regen::N,yomg'ir,باران
89,Schnee::N,qor,برف
90,Eis::N,muz,یخ
91,Frost::N,ajoz,یخبندان
92,Kälte::N,ajoz,سرما
93,Hitze::N,issiq,گرما
94,Hitze::N,issiq,حرارت
95,Raureif::N,qirov,برف ریزه
96,Regenbogen::N,kamalak,رنگین‌کمان
