,Concept_ID,te,uz
0,Auge::N,కన్ను,ko'z
1,Ohr::N,చెవి,quloq
2,Nase::N,ముక్కు,burun
3,Mund::N,నోరు,og'iz
4,Zahn::N,పల్లు,tish
5,Zunge::N,నాలుక,til
6,Lippe::N,పెదవి,dudoq
7,Wange::N,చెంప,bet
8,Gesicht::N,ముఖము,yuz
9,Stirn::N,నుదురు,manglay
10,Haar::N,వెండ్రుక,soch
11,Schnurrbart::N,మీసము,mo'ylov
12,Bart::N,గడ్డము,soqol
13,Kinn::N,గడ్డము,ängak
14,Kiefer[Anatomie]::N,దౌడ,iyak
15,Kehle::N,గొంతు,bo'g'iz
16,Hals::N,మెడ,bo'yin
17,Genick::N,మూపు,gardan
18,Kopf::N,తల,bosh
19,Rücken::N,వెన్ను,orqa
20,Bauch::N,కడుపు,qorin
21,Nabel::N,బొడ్డు,kindik
22,Busen::N,స్తనము,ämchak
23,Brust::N,ఱొమ్ము,ko'krak
24,Schulter::N,భుజము,elka
25,Arm::N,చేయి,bilak
26,Ellenbogen::N,మోచేయి,tirsak
27,Hand::N,చేయి,qo'l
28,Handfläche::N,అరచేయు,kaft
29,Finger::N,చేతిప్రేలు,barmoq
30,Fingernagel::N,గోరు,tirnoq
31,Nagel[Anatomie]::N,గోరు,tirnoq
32,Zeh::N,కాలిప్రేలు,oyoq barmog'i
33,Fuß::N,అడుగు,oyoq
34,Ferse::N,మడమ,tovon
35,Knie::N,మోకాలు,tiz
36,Oberschenkel::N,తొడ,son
37,Bein::N,కాలు,oyoq
38,Körper::N,కాయము,badna
39,Haut::N,చర్మము,teri
40,Blut::N,రక్తము,qon
41,Ader::N,సిర,qon tomir
42,Sehne::N,స్నాయువు,tomir
43,Knochen::N,ఎముక,suyak
44,Gehirn::N,మెదడు,miya
45,Herz::N,హృదయము,qalb
46,Magen::N,కడుపు,oshqozon
47,Leber::N,కాలేయము,bag'ir
48,Atem::N,ఉపిరి,dam
49,Hunger::N,ఆకలి,ochlik
50,Träne::N,కన్నీటిచుక్క,yosh
51,Geschmack::N,రుచి,tam
52,Geruch::N,వాసన,jid
53,Schlaf::N,నిద్ర,uyqu
54,Traum::N,కల,tush
55,Himmel::N,ఆకాశము,osmon
56,Sonne::N,సూర్యుడు,quyosh
57,Mond::N,చంద్రుడు,oy
58,Stern::N,నక్షత్రము,yulduz
59,Luft::N,గాలి,havo
60,Wind::N,వీచుచున్నగాలి,el
61,Welle::N,అల,to'lqin
62,Wasser::N,నీరు,suv
63,Stein::N,ఱాయి,tosh
64,Boden::N,నేల,tuproq
65,Erde::N,మన్ను,er
66,Staub::N,దుమ్ము,chang
67,Rauch::N,పొగ,tutun
68,Funke::N,అగ్నికణము,yalt
69,Feuer::N,అగ్ని,o't
70,Licht::N,కాంతి,yorug'
71,Schatten::N,నీడ,soya
