,Concept_ID,kv,ab
0,Auge::N,син,ала
1,Ohr::N,пель,алымҳа
2,Nase::N,ныр,аҧынҵа
3,Mund::N,ӧм,аҧышə
4,Zahn::N,пинь,ахаҧыц
5,Zunge::N,кыв,абз
6,Lippe::N,тырп,ақьышə
7,Wange::N,рожабан,аӡамҩа
8,Gesicht::N,бан,аҿы
9,Stirn::N,кымӧс,алахь
10,Haar::N,юрси,ахəыц
11,Schnurrbart::N,уссэз,аҧаҵа
12,Bart::N,тош,ажакьа
13,Kinn::N,тшӧка,ацламкəыгə
14,Kiefer[Anatomie]::N,ан,ацламҳəа
15,Kehle::N,юан,ахəда
16,Hals::N,юан,ахəда
17,Genick::N,юр бӧр,ахəдаџьал
18,Kopf::N,юр,ахы
19,Rücken::N,мышк,азқəа
20,Bauch::N,кынӧм,амгəа
21,Nabel::N,гӧг,аҷапан
22,Busen::N,морос,агəыҧҳəы
23,Brust::N,морос,агəышҧы
24,Schulter::N,пельпон,ажəҩахыр
25,Arm::N,ки,амахəар
26,Ellenbogen::N,гырдзза,амашьхəылҵ
27,Hand::N,кикар,анапы
28,Handfläche::N,ки пыдӧс,анапсаргəыҵа
29,Finger::N,чунь,анацəа
30,Fingernagel::N,гыж,анапхыц
31,Nagel[Anatomie]::N,гыж,ашьапхыц
32,Zeh::N,чунь,ашьацəа
33,Fuß::N,кокпыдӧс,ашьапсыргəыҵа
34,Ferse::N,кокдзир,ашьхəа
35,Knie::N,пидзӧс,ашьамхы
36,Oberschenkel::N,лядьбей,ауаҭəа
37,Bein::N,кок,ашьапы
38,Körper::N,вывтыр,ацəеижь
39,Haut::N,кучик,ацəа
40,Blut::N,вир,ашьа
41,Ader::N,сӧн,ада
42,Sehne::N,жила,адаш
43,Knochen::N,коска,абаҩ
44,Gehirn::N,вем,ахшлыбаҩ
45,Gehirn::N,вем,ахшыбаҩ
46,Herz::N,сьӧлӧм,агəы
47,Magen::N,жӧвдӧк,аца
48,Magen::N,жӧвдӧк,ацар
49,Leber::N,мус,агəаҵəа
50,Atem::N,лолалӧм,аҧсыҧлагаҩгара
51,Hunger::N,тшыг,амла
52,Träne::N,синва,алабжыш
53,Geschmack::N,кӧр,агьама
54,Geruch::N,дук,афҩы
55,Schlaf::N,он,ацəа
56,Traum::N,вӧт,аҧхыӡ
57,Himmel::N,небо,ажəҩан
58,Sonne::N,шондi,амра
59,Mond::N,тӧлiсь,амза
60,Stern::N,кӧдзыв,аеҵəа
61,Luft::N,ру,аҳаир
62,Wind::N,тӧв,аҧша
63,Welle::N,гы,ацəқəырҧа
64,Wasser::N,ва,аӡы
65,Stein::N,из,ахаҳə
66,Boden::N,му,адгьыл
67,Erde::N,му,адгьыл
68,Staub::N,бус,асаба
69,Rauch::N,тшын,алҩа
70,Funke::N,бичир,акəиц
71,Funke::N,бичир,ацҧхь
72,Feuer::N,би,амца
73,Licht::N,би,алашара
74,Schatten::N,вуджӧр,ашəшьыра
75,Wetter::N,погоддя,амш
76,Nebel::N,туман,анаҟəа
77,Wolke::N,кымӧр,аҧсҭҳəа
78,Regen::N,зэр,ақəа
79,Schnee::N,лым,асы
80,Eis::N,йы,аҵаа
81,Frost::N,мороз,аҵаа
82,Kälte::N,кӧдзыт,ахьҭа
83,Hitze::N,ӧд,ашоура
84,Raureif::N,кижа,аҵааҧшқа
85,Regenbogen::N,енӧшка,ацəаҟəа
86,Donner::N,гым,адыд
87,Strömung::N,визывтӧм,аиасра
88,Strömung::N,визывтӧм,амҩасра
89,Tropfen::N,тёп,ацəыкəбар
90,Schaum::N,быг,ашəах
91,Schmutz::N,нять,алымт
92,See::N,ты,аӡиа
93,Sumpf::N,арай,аӡмах
94,Moor::N,нюр,
95,Wiese::N,видз,адəы
96,Wald::N,вӧр,абна
97,Hügel::N,мыльк,ахəы
98,Anhöhe::N,вывтас,аҳаракыра
99,Anhöhe::N,вылынін,аҳаракыра
100,Berg::N,керӧс,ашьха
101,Gipfel::N,йыв,ацəқəа
102,Höhle::N,нора,аҳаҧы
103,Abhang::N,покат,анаара
104,Quelle::N,больган,аҵҵырҭа
105,Bach::N,шор,акəараҷҷа
106,Fluss::N,ю,аӡиас
107,Ufer::N,берег,ахықə
108,Küste::N,берег,ахықə
109,Festland::N,му,абарра
110,Meer::N,море,амшын
111,Bucht::N,курья,аӡбжьахала
112,Blume::N,цветок,ашəҭ
113,Gras::N,турун,аҳасакьын
114,Wurzel::N,вуж,адац
115,Baum::N,пу,аҵла
116,Stamm::N,мыр,ашьапы
117,Stamm::N,кер,ашьапы
118,Rinde::N,кач,ацəа
119,Ast::N,ув,амахə
120,Ast::N,ув,амахəҭа
121,Zweig::N,ув,амахə
122,Zweig::N,ув,амахəҭа
123,Blatt::N,лист,абҕьы
124,Birke::N,кыдз,аҵааҵла
125,Kiefer[Baum]::N,пожум,амза
126,Weide[Baum]::N,бадь,аҧслыш
127,Tanne::N,кӧз,аҧсаӡ
