,Concept_ID,ka,fa
166,Flügel::N,ფრთა,پر
167,Flügel::N,ფრთა,بال
168,Klaue::N,კლანჭი,چنگ
169,Klaue::N,კლანჭი,پنجه
170,Kralle::N,ტორი,پنجه
171,Schwanz::N,კუდი,دم
172,Ei::N,კვერცხი,تخم
173,Nest::N,ბუდე,لانه
174,Bau::N,სორო,بنا
175,Bau::N,სორო,ساختمان
176,Tier::N,ნადირი,هیوان
177,Tier::N,ცხოველი,هیوان
178,Herde::N,ფარა,رمه
179,Kuh::N,ფური,گاو
180,Kuh::N,ძროხა,گاو
181,Bulle::N,ხარი,گاو نر
182,Pferd::N,რაში,اسب
183,Pferd::N,ცხენი,اسب
184,Schaf::N,ცხვარი,گوسفند
185,Schwein::N,ღორი,خوک
186,Hund::N,ძაღლი,سگ
187,Katze::N,კატა,گربه
188,Bär::N,დათვი,خرس
189,Eichhörnchen::N,ციყვი,سنجاب
190,Elch::N,ცხენ-ირემი,گوزن شمالی
191,Fuchs::N,მელა,روباه
192,Hase::N,კურდღელი,خرگوش
193,Maus::N,თაგვი,موش
194,Wolf::N,მგელი,گرگ
195,Vogel::N,ჩიტი,پرنده
196,Vogel::N,ფრინველი,پرنده
197,Schwarm::N,გუნდი,دسته
198,Huhn::N,დედალი,مرغ
199,Hahn::N,მამალი,خروس
200,Gans::N,ბატი,غاز
201,Adler::N,არწივი,عقاب
202,Ente::N,იხვი,اردک
203,Ente::N,იხვი,مرغابی
204,Eule::N,ბუ,جغد
205,Kranich::N,წერო,درنا
206,Krähe::N,ყვავი,زاغ
207,Krähe::N,ყვავი,کلاغ
208,Kuckuck::N,გუგული,فاخته
209,Schwan::N,გედი,قو
210,Fisch::N,თევზი,ماهی
211,Barsch::N,ქორჭილა,ماهی خاردار
212,Hecht::N,ქარიყლაპია,اردک ماهی
213,Schlange[Tier]::N,გველი,مار
214,Wurm::N,ჭია,کرم
215,Spinne::N,ობობა,عنکبوت
216,Ameise::N,ჭიანჭველა,مورچه
217,Laus::N,ტილი,شپش
218,Laus::N,მკბენარი,شپش
219,Mücke::N,კოღო,پشه
220,Fliege::N,ბუზი,مگس
221,Schmetterling::N,პეპელა,پروانه
222,Beere::N,კენკრა,گیله
223,Apfel::N,ვაშლი,سیب
224,Pilz::N,სოკო,قارچ
225,Zwiebel::N,ხახვი,پیاز
226,Saat::N,თესლი,بذر
227,Korn::N,მარცვალი,تخم
228,Korn::N,მარცვალი,دانه
229,Heu::N,თივა,علف خشک
230,Schale::N,ჩენჩო,پوست
231,Grube::N,ორმო,گودال
232,Falle::N,ხაფანგი,دام
233,Schlinge::N,მახე,حلقه
234,Spur::N,კვალი,رد
235,Asche::N,ფერფლი,خاکستر
236,Dreck::N,ტალახი,کثافت
237,Dreck::N,სიბინძურე,کثافت
238,Eisen::N,რკინა,آهن
239,Gold::N,ოქრო,زر
240,Gold::N,ოქრო,طلا
241,Silber::N,ვერცხლი,نقره
242,Kohle::N,ნახშირი,زغال
243,Glas::N,მინა,شیشه
244,Lehm::N,თიხა,گل
245,Sand::N,ქვიშა,شن
246,Sand::N,ქვიშა,ماسه
247,Mensch::N,ადამიანი,آدم
248,Mensch::N,ადამიანი,انسان
249,Mann::N,კაცი,مرد
250,Frau::N,ქალი,زن
251,Kind::N,ბავშვი,بچه
252,Kind::N,ბავშვი,کودک
253,Junge::N,ვაჟი,پسر
254,Mädchen::N,გოგო,دختر
255,Familie::N,ოჯახი,فامیل
256,Familie::N,ოჯახი,خانواده
257,Großvater::N,პაპა,پدربزرگ
258,Großvater::N,ბაბუა,پدربزرگ
259,Großmutter::N,ბებია,مادر‌بزرگ
260,Großmutter::N,დიდედა,مادر‌بزرگ
