,Concept_ID,en,de
0,Auge::N,eye,Auge
1,Ohr::N,ear,Ohr
2,Nase::N,nose,Nase
3,Mund::N,mouth,Mund
4,Zahn::N,tooth,Zahn
5,Zunge::N,tongue,Zunge
6,Lippe::N,lip,Lippe
7,Wange::N,cheek,Wange
8,Gesicht::N,face,Gesicht
9,Stirn::N,forehead,Stirn
10,Haar::N,hair,Haar
11,Schnurrbart::N,moustache,Schnurrbart
12,Bart::N,beard,Bart
13,Kinn::N,chin,Kinn
14,Kiefer[Anatomie]::N,jaw,Kiefer
15,Kehle::N,throat,Kehle
16,Hals::N,neck,Hals
17,Genick::N,nape,Genick
18,Kopf::N,head,Kopf
19,Rücken::N,back,Rücken
20,Rücken::N,spine,Rücken
21,Bauch::N,belly,Bauch
22,Nabel::N,navel,Nabel
23,Busen::N,bosom,Busen
24,Brust::N,chest,Brust
25,Brust::N,breast,Brust
26,Schulter::N,shoulder,Schulter
27,Arm::N,arm,Arm
28,Ellenbogen::N,elbow,Ellenbogen
29,Hand::N,hand,Hand
30,Handfläche::N,palm,Handfläche
31,Finger::N,finger,Finger
32,Fingernagel::N,fingernail,Fingernagel
33,Nagel[Anatomie]::N,nail,Nagel
34,Zeh::N,toe,Zeh
35,Fuß::N,foot,Fuß
36,Ferse::N,heel,Ferse
37,Knie::N,knee,Knie
38,Oberschenkel::N,thigh,Oberschenkel
39,Bein::N,leg,Bein
40,Körper::N,body,Körper
41,Haut::N,skin,Haut
42,Blut::N,blood,Blut
43,Ader::N,vein,Ader
44,Sehne::N,sinew,Sehne
45,Knochen::N,bone,Knochen
46,Gehirn::N,brain,Gehirn
47,Herz::N,heart,Herz
48,Magen::N,stomach,Magen
49,Leber::N,liver,Leber
50,Atem::N,breath,Atem
51,Hunger::N,hunger,Hunger
52,Träne::N,tear,Träne
53,Geschmack::N,flavour,Geschmack
54,Geschmack::N,flavor,Geschmack
55,Geruch::N,odour,Geruch
56,Geruch::N,odor,Geruch
57,Schlaf::N,sleep,Schlaf
58,Traum::N,dream,Traum
59,Himmel::N,sky,Himmel
60,Sonne::N,sun,Sonne
61,Mond::N,moon,Mond
62,Stern::N,star,Stern
63,Luft::N,air,Luft
64,Wind::N,wind,Wind
65,Welle::N,wave,Welle
66,Wasser::N,water,Wasser
