,Concept_ID,cs,myv
189,Ente::N,kachna,яксярго
190,Eule::N,sova,корж
191,Kranich::N,jeřáb,карго
192,Krähe::N,vrána,варака
193,Kuckuck::N,kukačka,куко
194,Schwan::N,labuť,локсей
195,Fisch::N,ryba,кал
196,Barsch::N,okoun,окунь
197,Hecht::N,štika,щука
198,Schlange[Tier]::N,had,гуй
199,Wurm::N,červ,сукс
200,Spinne::N,pavouk,шанжав
201,Ameise::N,mravenec,коткудав
202,Laus::N,veš,сий
203,Mücke::N,komár,сеське
204,Fliege::N,moucha,карво
205,Schmetterling::N,motýl,нимиляв
206,Beere::N,bobule,умарь
207,Apfel::N,jablko,умарь
208,Pilz::N,houba,панго
209,Zwiebel::N,cibule,чурька
210,Saat::N,osivo,видьметь
211,Korn::N,zrno,сюро
212,Heu::N,seno,тикше
213,Schale::N,slupka,кедь
214,Schale::N,slupka,ваткавкс
215,Schale::N,skořápka,кедь
216,Schale::N,skořápka,ваткавкс
217,Grube::N,jáma,латко
218,Falle::N,past,тувор
219,Falle::N,past,кундамка
220,Falle::N,léčka,тувор
221,Falle::N,léčka,кундамка
222,Schlinge::N,smyčka,килькш
223,Spur::N,stopa,челькс
224,Spur::N,stopa,пильгеки
225,Asche::N,popel,кулов
226,Dreck::N,špína,рудаз
227,Eisen::N,železo,кшни
228,Gold::N,zlato,сырне
229,Silber::N,stříbro,сия
230,Kohle::N,uhlí,сэдь
231,Kohle::N,uhlí,уголия
232,Glas::N,sklo,сулика
233,Lehm::N,jíl,сёвонь
234,Lehm::N,hlína,сёвонь
235,Sand::N,písek,човар
236,Mensch::N,člověk,ломань
237,Mann::N,muž,аля
238,Mann::N,muž,цёраломань
239,Frau::N,žena,ава
240,Kind::N,dítě,эйкакш
241,Junge::N,hoch,цёрыне
242,Junge::N,chlapec,цёрыне
243,Mädchen::N,děvče,тейтерне
244,Familie::N,rodina,семия
245,Großvater::N,děd,покштя
246,Großvater::N,dědeček,покштя
247,Großmutter::N,babička,баба
248,Eltern::N,rodiče,тетят-ават
249,Vater::N,otec,тетя
250,Mutter::N,matka,ава
251,Sohn::N,syn,цёра
252,Tochter::N,dcera,тейтерь
253,Bruder::N,bratr,леля
254,Bruder::N,bratr,ялакс
255,Schwester::N,sestra,сазор
256,Onkel::N,strýc,леля
257,Tante::N,teta,патя
258,Ehemann::N,choť,мирде
259,Ehemann::N,manžel,мирде
260,Ehefrau::N,choť,ни
261,Ehefrau::N,manželka,ни
262,Freude::N,radost,кеняркс
263,Gelächter::N,smích,ракамо
264,Gelächter::N,smích,пейдема
265,Glück::N,štěstí,уцяска
266,Kummer::N,žal,рискс
267,Kummer::N,žal,мелявкс
268,Kummer::N,trápení,рискс
269,Kummer::N,trápení,мелявкс
270,Wunsch::N,přání,мель
271,Wunsch::N,přání,бажамо
272,Lust::N,chuť,бажамо
273,Geist::N,duch,ойме
274,Gedanke::N,myšlenka,мель
275,Gedächtnis::N,paměť,мель
276,Verstand::N,rozum,прев
277,Sinn::N,smysl,толк
278,Sinn::N,smysl,смысла
279,Grund::N,důvod,тувтал
280,Wahrheit::N,pravda,видечи
281,Gespräch::N,rozhovor,кортнема
282,Märchen::N,pohádka,ёвкс
283,Erzählung::N,povídka,ёвтнема
284,Nachricht::N,zpráva,куля
285,Neuigkeit::N,novina,куля
286,Neuigkeit::N,novinka,куля
