,Concept_ID,nl,ar
0,Auge::N,oog,عين
1,Ohr::N,oor,أذن
2,Nase::N,neus,أنف
3,Mund::N,mond,فم
4,Zahn::N,tand,سن
5,Zunge::N,tong,لسان
6,Lippe::N,lip,شفة
7,Wange::N,wang,خد
8,Wange::N,wang,وجنة
9,Gesicht::N,gelaat,وجه
10,Gesicht::N,gezicht,وجه
11,Stirn::N,voorhoofd,جبين
12,Haar::N,haar,شعر
13,Schnurrbart::N,snor,شارب
14,Bart::N,baard,لحية
15,Kinn::N,kin,ذقن
16,Kiefer[Anatomie]::N,kaak,فك
17,Kehle::N,keel,حلق
18,Kehle::N,strot,حلق
19,Hals::N,hals,عنق
20,Hals::N,hals,رقبة
21,Genick::N,nek,قفا
22,Kopf::N,hoofd,رأس
23,Rücken::N,rug,ظهر
24,Bauch::N,buik,بطن
25,Nabel::N,navel,سرة
26,Busen::N,boezem,ثدي
27,Brust::N,borst,صدر
28,Schulter::N,schouder,كتف
29,Arm::N,arm,ذراع
30,Ellenbogen::N,elleboog,كوع
31,Hand::N,hand,يد
32,Handfläche::N,handpalm,كف
33,Finger::N,vinger,إصبع
34,Fingernagel::N,nagel,ظفر
35,Nagel[Anatomie]::N,nagel,ظفر
36,Zeh::N,teen,إصبع القدم
37,Fuß::N,voet,قدم
38,Ferse::N,hak,كعب
39,Ferse::N,hiel,كعب
40,Knie::N,knie,ركبة
41,Oberschenkel::N,dij,فخذ
42,Bein::N,been,ساق
43,Körper::N,lichaam,جسم
44,Haut::N,huid,بشرة
45,Blut::N,bloed,دم
46,Ader::N,ader,عرق
47,Sehne::N,pees,طنب
48,Knochen::N,bot,عظم
49,Knochen::N,been,عظم
50,Knochen::N,knook,عظم
51,Gehirn::N,hersenen,دماغ
52,Herz::N,hart,قلب
53,Magen::N,maag,معدة
54,Leber::N,lever,كبد
55,Atem::N,adem,نفس
56,Hunger::N,honger,جوع
57,Träne::N,traan,دمعة
58,Geschmack::N,smaak,طعم
59,Geschmack::N,smaak,مذاق
60,Geruch::N,geur,رائحة
61,Schlaf::N,slaap,نوم
62,Schlaf::N,slaap,منام
63,Traum::N,droom,حلم
64,Himmel::N,hemel,سماء
65,Sonne::N,zon,شمس
66,Mond::N,maan,قمر
67,Stern::N,ster,نجم
68,Stern::N,ster,كوكب
69,Luft::N,lucht,هواء
70,Wind::N,wind,ريح
71,Welle::N,golf,موجة
72,Wasser::N,water,ماء
73,Stein::N,steen,حجر
74,Boden::N,grond,تراب
75,Erde::N,aarde,أرض
76,Staub::N,stof,غبار
77,Rauch::N,rook,دخان
78,Funke::N,vonk,شرارة
79,Feuer::N,vuur,نار
80,Licht::N,licht,نور
81,Licht::N,licht,ضوء
82,Schatten::N,schaduw,ظل
83,Schatten::N,schaduw,فيء
84,Wetter::N,weer,جو
85,Wetter::N,weer,طقس
86,Nebel::N,mist,ضباب
87,Nebel::N,nevel,ضباب
88,Wolke::N,wolk,غيمة
89,Wolke::N,wolk,سحابة
90,Regen::N,regen,مطر
91,Schnee::N,sneeuw,ثلج
92,Eis::N,ijs,جليد
93,Frost::N,vorst,صقيع
94,Kälte::N,kou,برد
95,Kälte::N,koude,برد
96,Hitze::N,hitte,حر
97,Hitze::N,hitte,حرارة
98,Raureif::N,rijp,صقيع
99,Regenbogen::N,regenboog,قوس قزح
100,Donner::N,donder,رعد
101,Strömung::N,stroming,تيار
102,Tropfen::N,druppel,قطرة
103,Schaum::N,schuim,زبد
104,Schaum::N,schuim,رغوة
105,Schmutz::N,vuil,وسخ
106,See::N,meer,بحيرة
107,Sumpf::N,moeras,مستنقع
108,Moor::N,veen,مستنقع
109,Wiese::N,wei,مرج
110,Wiese::N,weide,مرج
111,Wald::N,bos,غابة
112,Hügel::N,heuvel,تل
113,Anhöhe::N,hoogte,تل
114,Berg::N,berg,جبل
115,Gipfel::N,top,قمة
116,Höhle::N,hol,كهف
117,Abhang::N,helling,منحدر
118,Quelle::N,bron,منبع
119,Bach::N,beek,مجرى
120,Fluss::N,stroom,نهر
121,Ufer::N,wal,ضفة
122,Ufer::N,oever,ضفة
123,Küste::N,kust,ساحل
124,Festland::N,vasteland,بر
125,Meer::N,zee,بحر
126,Bucht::N,baai,خليج
127,Bucht::N,inham,خليج
128,Insel::N,eiland,جزيرة
129,Blume::N,bloem,زهرة
130,Gras::N,gras,حشيش
131,Wurzel::N,wortel,أصل
132,Baum::N,boom,شجرة
133,Stamm::N,stam,جذع
134,Rinde::N,schors,قشرة
135,Ast::N,tak,فرع
136,Zweig::N,twijg,غصن
137,Blatt::N,blad,ورقة
138,Birke::N,berk,قضبان
139,Kiefer[Baum]::N,den,صنوبرة
140,Weide[Baum]::N,wilg,صفصاف
141,Tanne::N,spar,شوح
142,Tanne::N,spar,تبوب
143,Horn::N,hoorn,قرن
144,Feder::N,veer,ريشة
145,Feder::N,pluim,ريشة
146,Fell::N,vel,فرو
147,Flügel::N,vleugel,جناح
148,Klaue::N,klauw,مخلب
149,Kralle::N,klauw,مخلب
150,Schwanz::N,staart,ذيل
151,Ei::N,ei,بيض
152,Nest::N,nest,عش
153,Bau::N,hol,جحر
154,Tier::N,dier,حيوان
155,Herde::N,kudde,قطيع
156,Kuh::N,koe,بقرة
157,Bulle::N,stier,ثور
158,Pferd::N,paard,خيل
159,Schaf::N,schaap,شاة
160,Schwein::N,varken,خنزير
161,Hund::N,hond,كلب
162,Katze::N,kat,قطة
163,Bär::N,beer,دب
164,Eichhörnchen::N,eekhoorntje,سنجاب
165,Elch::N,eland,موظ
166,Fuchs::N,vos,ثعلب
167,Hase::N,haas,أرنب
168,Maus::N,muis,فأرة
169,Wolf::N,wolf,ذئب
170,Vogel::N,vogel,طير
171,Schwarm::N,zwerm,سرب
172,Huhn::N,kip,دجاجة
173,Huhn::N,hoen,دجاجة
174,Hahn::N,haan,ديك
175,Gans::N,gans,وزة
176,Adler::N,arend,نسر
177,Ente::N,eend,بطة
178,Eule::N,uil,بوم
179,Kranich::N,kraanvogel,كركي
180,Krähe::N,kraai,غراب
181,Kuckuck::N,koekoek,وقواق
182,Schwan::N,zwaan,إوز عراقي
183,Fisch::N,vis,سمك
184,Barsch::N,baars,فرخ أوربي
185,Hecht::N,snoek,سمك الكراكي
186,Schlange[Tier]::N,slang,حية
187,Schlange[Tier]::N,slang,ثعبان
188,Wurm::N,worm,دودة
189,Spinne::N,spin,عنكبوت
190,Ameise::N,mier,نملة
191,Laus::N,luis,قملة
192,Mücke::N,mug,ناموسة
193,Fliege::N,vlieg,ذبابة
194,Schmetterling::N,vlinder,فراشة
195,Beere::N,bes,حبة
196,Apfel::N,appel,تفاح
197,Pilz::N,paddestoel,فطر
198,Zwiebel::N,ui,بصل
199,Saat::N,zaad,زرع
200,Korn::N,graan,حبة
201,Korn::N,korrel,حبة
202,Heu::N,hooi,دريس
203,Schale::N,schil,قشرة
204,Grube::N,kuil,نقرة
205,Falle::N,val,فخ
206,Falle::N,val,مصيدة
207,Schlinge::N,strop,عروة
208,Spur::N,spoor,أثر
209,Asche::N,as,رماد
210,Dreck::N,drek,قذر
211,Eisen::N,ijzer,حديد
212,Gold::N,goud,ذهب
213,Silber::N,zilver,فضة
214,Kohle::N,kool,فحم
215,Glas::N,glas,زجاج
216,Lehm::N,klei,طين
217,Sand::N,zand,رمل
218,Mensch::N,mens,إنسان
219,Mann::N,man,رجل
220,Frau::N,vrouw,امرأة
221,Kind::N,kind,طفل
222,Junge::N,jongen,ولد
223,Mädchen::N,meisje,بنت
224,Familie::N,gezin,عائلة
225,Familie::N,familie,عائلة
226,Großvater::N,grootvader,جد
227,Großmutter::N,grootmoeder,جدة
228,Eltern::N,ouders,أبوان
229,Eltern::N,ouders,والدان
230,Vater::N,vader,أب
231,Mutter::N,moeder,أم
232,Sohn::N,zoon,إبن
233,Tochter::N,dochter,بنت
234,Tochter::N,dochter,إبنة
235,Bruder::N,broer,أخ
236,Bruder::N,broer,شقيق
237,Bruder::N,broeder,أخ
238,Bruder::N,broeder,شقيق
239,Schwester::N,zus,أخت
240,Schwester::N,zuster,أخت
241,Onkel::N,oom,عم
242,Tante::N,tante,عمة
243,Ehemann::N,echtgenoot,زوج
244,Ehefrau::N,echtgenote,زوجة
245,Freude::N,vreugde,فرح
246,Freude::N,vreugde,سرور
247,Gelächter::N,gelach,قهقهة
248,Glück::N,geluk,سعادة
249,Kummer::N,verdriet,غم
250,Wunsch::N,wens,منية
251,Wunsch::N,verlangen,منية
252,Lust::N,zin,شهوة
253,Lust::N,lust,شهوة
254,Geist::N,geest,روح
255,Gedanke::N,gedachte,فكرة
256,Gedächtnis::N,geheugen,ذاكرة
257,Verstand::N,verstand,عقل
258,Sinn::N,betekenis,معنى
259,Grund::N,reden,سبب
260,Wahrheit::N,waarheid,حقيقة
261,Gespräch::N,gesprek,محادثة
262,Märchen::N,sprookje,خرافة
263,Erzählung::N,verhaal,قصة
264,Erzählung::N,verhaal,حكاية
265,Nachricht::N,tijding,خبر
266,Neuigkeit::N,nieuws,خبر جديد
267,Neuigkeit::N,nieuwtje,خبر جديد
268,Name::N,naam,اسم
269,Rätsel::N,raadsel,لغز
270,Rede::N,rede,خطبة
271,Sprache::N,taal,لغة
272,Stimme::N,stem,صوت
273,Wort::N,woord,كلمة
274,Zeichen::N,teken,رمز
275,Zeichen::N,teken,إشارة
276,Ruf::N,roep,نداء
277,Lärm::N,lawaai,صخب
278,Lärm::N,lawaai,ضجة
279,Laut::N,klank,صوت
280,Laut::N,geluid,صوت
281,Ton::N,toon,نغمة
282,Ton::N,klank,نغمة
283,Lied::N,lied,أغنية
284,Ruhe::N,rust,هدوء
285,Ruhe::N,stilte,هدوء
286,Leute::N,lui,ناس
287,Leute::N,mensen,ناس
288,Volk::N,volk,شعب
289,Arbeit::N,werk,عمل
290,Arbeit::N,arbeid,عمل
291,Gast::N,gast,ضيف
292,Geschenk::N,cadeau,هدية
293,Geschenk::N,geschenk,هدية
294,Spiel::N,spel,لعب
295,Gesellschaft::N,gezelschap,صحبة
296,Hilfe::N,hulp,عون
297,Hilfe::N,hulp,مساعدة
298,Freund::N,vriend,صديق
299,Kamerad::N,maat,زميل
300,Kamerad::N,metgezel,زميل
301,Angelegenheit::N,zaak,أمر
302,Angelegenheit::N,zaak,شأن
303,Angelegenheit::N,aangelegenheid,أمر
304,Angelegenheit::N,aangelegenheid,شأن
305,Anzahl::N,tal,عدد
306,Anzahl::N,aantal,عدد
307,Art::N,slag,نوع
308,Art::N,soort,نوع
309,Stück::N,stuk,قطعة
310,Teil::N,deel,قسم
311,Hälfte::N,helft,نصف
312,Kreis::N,kring,دائرة
313,Kreis::N,cirkel,دائرة
314,Kreuz::N,kruis,صليب
315,Linie::N,lijn,خط
316,Strich::N,haal,شرطة
317,Strich::N,streep,شرطة
318,Abstand::N,afstand,مسافة
319,Entfernung::N,afstand,بعد
320,Gegend::N,streek,ناحية
321,Platz::N,ruimte,فراغ
322,Ort::N,oord,مكان
323,Ort::N,plaats,مكان
324,Seite::N,zij,جانب
325,Seite::N,kant,جانب
326,Seite::N,zijde,جانب
327,Mitte::N,midden,وسط
328,Gegenstand::N,voorwerp,موضوع
329,Sache::N,zaak,شيء
330,Rand::N,rand,حافة
331,Rand::N,boord,حافة
332,Kante::N,kant,حافة
333,Ecke::N,hoek,ركن
334,Spitze::N,punt,سن
335,Spitze::N,spits,سن
336,Ende::N,einde,طرف
337,Ende::N,uiteinde,طرف
338,Loch::N,gat,ثقب
339,Winkel::N,hoek,زاوية
340,Muster::N,dessin,عينة
341,Muster::N,patroon,عينة
342,Größe::N,grootte,حجم
343,Länge::N,lengte,طول
344,Höhe::N,hoogte,علو
345,Höhe::N,hoogte,ارتفاع
346,Gewicht::N,gewicht,وزن
347,Menge::N,hoeveelheid,كمية
348,Haufen::N,hoop,كوم
349,Reihe::N,rij,صف
350,Reihe::N,reeks,صف
351,Boot::N,boot,قارب
352,Boot::N,boot,زورق
353,Ruder::N,roeiriem,مجذاف
354,Schlitten::N,slee,مزلقة
355,Schlitten::N,slede,مزلقة
356,Ski::N,ski,زلاجة
357,Lagerfeuer::N,kampvuur,نار المخيم
358,Last::N,last,حمل
359,Last::N,vracht,حمل
360,Gang::N,wandeling,مشية
361,Schritt::N,stap,خطوة
362,Schritt::N,schrede,خطوة
363,Norden::N,noorden,شمال
364,Süden::N,zuiden,جنوب
365,Westen::N,westen,غرب
366,Osten::N,oosten,شرق
367,Holz::N,hout,خشب
368,Brett::N,plank,لوح
369,Platte::N,plaat,صفيحة
370,Stütze::N,stut,سند
371,Stütze::N,stut,دعامة
372,Stütze::N,steun,سند
373,Stütze::N,steun,دعامة
374,Stange::N,stang,عود
375,Stock::N,stok,عصا
376,Stab::N,staf,قضيب
377,Rohr::N,pijp,أنبوبة
378,Haus::N,huis,دار
379,Haus::N,huis,بيت
380,Heim::N,tehuis,بيت
381,Heim::N,tehuis,مسكن
382,Ofen::N,kachel,مدفأة
383,Fußboden::N,vloer,أرضية
384,Tisch::N,tafel,مائدة
385,Stuhl::N,stoel,كرسي
386,Wiege::N,wieg,مهد
387,Bett::N,bed,سرير
388,Regal::N,rek,رف
389,Kiste::N,kist,صندوق
390,Fenster::N,raam,شباك
391,Fenster::N,raam,نافذة
392,Fenster::N,venster,شباك
393,Fenster::N,venster,نافذة
394,Tür::N,deur,باب
395,Tor::N,poort,بوابة
396,Zaun::N,omheining,سياج
397,Dach::N,dak,سطح
398,Leiter::N,ladder,سلم
399,Besen::N,bezem,مكنسة
400,Spaten::N,schop,مسحاة
401,Schaufel::N,schep,مجرفة
402,Gabel::N,vork,شوكة
403,Löffel::N,lepel,ملعقة
404,Messer::N,mes,سكين
405,Nagel::N,spijker,مسمار
406,Netz::N,net,شبكة
407,Haken::N,haak,خطاف
408,Haken::N,haak,صنارة
409,Griff::N,handvat,قبضة
410,Schloss::N,slot,قفل
411,Bild::N,beeld,صورة
412,Figur::N,figuur,تمثال
413,Puppe::N,pop,دمية
414,Beutel::N,zak,كيس
415,Beutel::N,buidel,كيس
416,Bündel::N,pak,ربطة
417,Bündel::N,bundel,ربطة
418,Tasche::N,tas,شنطة
419,Tasche::N,tas,محفظة
420,Eimer::N,emmer,سطل
421,Eimer::N,emmer,جردل
422,Deckel::N,deksel,سداد
423,Geschirr::N,vaatwerk,أوان
424,Sack::N,zak,زكيبة
425,Tasse::N,kop,فنجان
426,Topf::N,pan,قدر
427,Topf::N,pan,طنجرة
428,Kessel::N,ketel,قدر
429,Kessel::N,ketel,غلاية
430,Essen::N,eten,طعام
431,Nahrung::N,voedsel,غذاء
432,Speise::N,spijs,أكل
433,Fleisch::N,vlees,لحم
434,Getreide::N,graan,حبوب
435,Brei::N,pap,عصيدة
436,Brei::N,brij,عصيدة
437,Brot::N,brood,خبز
438,Scheibe::N,plak,شريحة
439,Scheibe::N,snede,شريحة
440,Fett::N,vet,سمن
441,Butter::N,boter,زبدة
442,Öl::N,olie,زيت
443,Salz::N,zout,ملح
444,Suppe::N,soep,حساء
445,Suppe::N,soep,شربة
446,Honig::N,honing,عسل
447,Milch::N,melk,حليب
448,Tee::N,thee,شاي
449,Leder::N,leer,جلد
450,Leder::N,leder,جلد
451,Wolle::N,wol,صوف
452,Stoff::N,stof,قماش
453,Nadel::N,naald,إبرة
454,Faden::N,draad,خيط
455,Knopf::N,knoop,زر
456,Knoten::N,knoop,عقدة
457,Farbe::N,verf,صبغة
458,Kleidung::N,kledij,ملابس
459,Kleidung::N,kleding,ملابس
460,Hemd::N,hemd,قميص
461,Kragen::N,kraag,ياقة
462,Ärmel::N,mouw,كم
463,Hose::N,broek,سروال
464,Hose::N,broek,بنطلون
465,Hose::N,pantalon,سروال
466,Hose::N,pantalon,بنطلون
467,Gürtel::N,riem,حزام
468,Gürtel::N,gordel,حزام
469,Mütze::N,muts,طاقية
470,Schuh::N,schoen,حذاء
471,Stiefel::N,laars,جزمة
472,Stiefel::N,laars,حذاء طويل
473,Ring::N,ring,حلقة
474,Band::N,lint,شريط
475,Kamm::N,kam,مشط
476,Spiegel::N,spiegel,مرآة
477,Riemen::N,riem,سير
478,Schnur::N,koord,حبل
479,Schnur::N,koord,دوبارة
480,Leine::N,lijn,قيد
481,Decke::N,deken,بطانية
482,Kissen::N,kussen,وسادة
483,Tuch::N,doek,منديل
484,Handtuch::N,handdoek,فوطة
485,Handtuch::N,handdoek,منشفة
486,Kraft::N,kracht,قدرة
487,Stärke::N,sterkte,قوة
488,Gesundheit::N,gezondheid,صحة
489,Krankheit::N,ziekte,مرض
490,Schmerz::N,pijn,ألم
491,Schmerz::N,pijn,وجع
492,Wunde::N,wond,جرح
493,Fieber::N,koorts,حمى
494,Arznei::N,medicament,دواء
495,Arznei::N,geneesmiddel,دواء
496,Brücke::N,brug,جسر
497,Brunnen::N,put,بئر
498,Brunnen::N,bron,بئر
499,Weide::N,wei,مرعى
500,Weide::N,weide,مرعى
501,Pfad::N,pad,درب
502,Weg::N,weg,سكة
503,Straße::N,baan,طريق
504,Straße::N,straat,طريق
505,Dorf::N,dorp,قرية
506,Stadt::N,stad,مدينة
507,Brief::N,brief,خطاب
508,Brief::N,brief,مكتوب
509,Buch::N,boek,كتاب
510,Buchstabe::N,letter,حرف
511,Zeitung::N,krant,جريدة
512,Zeitung::N,dagblad,جريدة
513,Leben::N,leven,عيش
514,Leben::N,leven,حياة
515,Tod::N,dood,موت
516,Tod::N,dood,وفاة
517,Grab::N,graf,قبر
518,Kirche::N,kerk,كنيسة
519,Sünde::N,zonde,خطيئة
520,Gott::N,god,إله
521,Arbeiter::N,arbeider,عامل
522,Chef::N,chef,رئيس
523,Meister::N,meester,أسطى
524,Arzt::N,arts,طبيب
525,Arzt::N,dokter,طبيب
526,Lehrer::N,leraar,مدرس
527,Lehrer::N,onderwijzer,مدرس
528,Geld::N,geld,نقود
529,Geschäft::N,zaak,صفقة
530,Laden::N,winkel,دكان
531,Preis::N,prijs,سعر
532,Ware::N,waar,بضاعة
533,Nutzen::N,nut,فائدة
534,Nutzen::N,voordeel,فائدة
535,Reichtum::N,rijkdom,غنى
536,Reichtum::N,rijkdom,ثروة
537,Welt::N,wereld,عالم
538,Welt::N,wereld,دنيا
539,Land::N,land,بلد
540,Staat::N,staat,دولة
541,König::N,koning,ملك
542,Macht::N,macht,سلطة
543,Grenze::N,grens,حدود
544,Krieg::N,oorlog,حرب
545,Feind::N,vijand,عدو
546,Gewalt::N,geweld,عنف
547,Kampf::N,strijd,قتال
548,Kampf::N,gevecht,قتال
549,Bogen[Waffe]::N,boog,قوس
550,Pfeil::N,pijl,سهم
551,Gewehr::N,geweer,بندقية
552,Fehler::N,fout,خطأ
553,Lüge::N,leugen,كذب
554,Schaden::N,schade,تلف
555,Unglück::N,tegenspoed,نحس
556,Schuld::N,schuld,ذنب
557,Alter::N,leeftijd,سن
558,Alter::N,leeftijd,عمر
559,Schluss::N,slot,ختام
560,Schluss::N,slot,نهاية
561,Zeit::N,tijd,وقت
562,Tag::N,dag,يوم
563,Morgen::N,morgen,صباح
564,Morgen::N,ochtend,صباح
565,Mittag::N,middag,ظهر
566,Abend::N,avond,مساء
567,Nacht::N,nacht,ليلة
568,Woche::N,week,أسبوع
569,Monat::N,maand,شهر
570,Jahr::N,jaar,عام
571,Jahr::N,jaar,سنة
572,Frühling::N,lente,ربيع
573,Frühling::N,voorjaar,ربيع
574,Sommer::N,zomer,صيف
575,Herbst::N,herfst,خريف
576,Winter::N,winter,شتاء
577,Januar::N,januari,يناير
578,Januar::N,januari,كانون الثاني
579,Februar::N,februari,شباط
580,Februar::N,februari,فبراير
581,März::N,maart,آذار
582,März::N,maart,مارس
583,April::N,april,نيسان
584,Mai::N,mei,مايو
585,Juni::N,juni,يونيو
586,Juni::N,juni,حزيران
587,Juli::N,juli,تموز
588,Juli::N,juli,يوليو
589,August::N,augustus,آب
590,August::N,augustus,أغسطس
591,September::N,september,أيلول
592,September::N,september,سبتمبر
593,Oktober::N,oktober,أكتوبر
594,Oktober::N,oktober,تشرين الأول
595,November::N,november,نوفمبر
596,November::N,november,تشرين الثاني
597,Dezember::N,december,ديسمبر
598,Dezember::N,december,كانون الأول
599,Montag::N,maandag,يوم الاثنين
600,Dienstag::N,dinsdag,يوم الثلاثاء
601,Mittwoch::N,woensdag,يوم الأربعاء
602,Donnerstag::N,donderdag,يوم الخميس
603,Freitag::N,vrijdag,يوم الجمعة
604,Samstag::N,zaterdag,يوم السبت
605,Sonntag::N,zondag,يوم الأحد
606,groß::A,groot,كبير
607,klein::A,klein,صغير
608,lang::A,lang,طويل
609,kurz::A,kort,قصير
610,breit::A,breed,واسع
611,schmal::A,smal,ضيق
612,dicht::A,dicht,كث
613,dicht::A,dicht,كثيف
614,dick[Gegenstand]::A,dik,غليظ
615,dünn::A,dun,رفيع
616,fein::A,fijn,رقيق
617,fest::A,vast,متين
