,Concept_ID,sl,bn
0,Auge::N,okó,চক্ষু
1,Ohr::N,uhó,কর্ণ
2,Nase::N,nós,নাক
3,Mund::N,ústa,মুখ
4,Zahn::N,zób,দাঁত
5,Zunge::N,jêzik,জিহবা
6,Lippe::N,ústnica,অধর
7,Wange::N,líce,গণ্ড
8,Gesicht::N,oblíčje,মুখমণ্ডল
9,Stirn::N,čêlo,কপাল
10,Haar::N,lás,চুল
11,Schnurrbart::N,bŕki,গোঁফ
12,Bart::N,bráda,শ্মশ্রু
13,Kinn::N,bráda,চিবুক
14,Kiefer[Anatomie]::N,čeljúst,চোয়াল
15,Kehle::N,gŕlo,কণ্ঠ
16,Hals::N,vrát,গল
17,Genick::N,zatílnik,ঘাড়
18,Kopf::N,gláva,মাথা
19,Rücken::N,hrbèt,পৃষ্ঠ
20,Bauch::N,trébuh,উদর
21,Nabel::N,pópek,নাভি
22,Busen::N,nédrja,স্তন
23,Brust::N,pŕsi,বুক
24,Schulter::N,ráma,স্কন্ধ
25,Schulter::N,plêče,স্কন্ধ
26,Arm::N,rôka,বাহু
27,Ellenbogen::N,komólec,কনুই
28,Hand::N,rôka,হাত
29,Handfläche::N,dlán,করতল
30,Finger::N,pŕst,আঙ্গুল
31,Fingernagel::N,nóht na rôki,হাতের নখ
32,Nagel[Anatomie]::N,nóht,নখ
33,Zeh::N,pŕst na nôgi,আঙ্গুল
34,Fuß::N,nôga,পা
35,Ferse::N,pêta,গোড়ালি
36,Knie::N,koléno,হাঁটু
37,Oberschenkel::N,stêgno,ঊরু
38,Bein::N,nôga,পা
39,Körper::N,teló,দেহ
40,Haut::N,kóža,ত্বক
41,Blut::N,krí,রক্ত
42,Ader::N,žíla,শিরা
43,Sehne::N,kíta,কণ্ডরা
44,Knochen::N,kóst,অস্থি
45,Gehirn::N,možgáni,মস্তিষ্ক
46,Herz::N,srcé,হৃৎপিণ্ড
47,Magen::N,želódec,পাকস্থলী
48,Leber::N,jétra,যকৃৎ
49,Atem::N,díh,শ্বাস
50,Hunger::N,glád,ক্ষুধা
51,Träne::N,sólza,অশ্রু
52,Geschmack::N,okús,স্বাদ
53,Geruch::N,vónj,গন্ধ
54,Schlaf::N,sèn,ঘুম
55,Schlaf::N,spánec,ঘুম
56,Traum::N,sánje,স্বপ্ন
57,Himmel::N,nebó,আকাশ
58,Sonne::N,sónce,সূর্য
59,Mond::N,lúna,চন্দ্র
60,Mond::N,mésec,চন্দ্র
61,Stern::N,zvézda,নক্ষত্র
62,Luft::N,zràk,বায়ু
63,Wind::N,véter,বাতাস
64,Welle::N,vál,ঢেউ
65,Welle::N,vál,তরঙ্গ
66,Wasser::N,vôda,জল
67,Stein::N,kámen,ঢিল
