,Concept_ID,kl,tr
0,Auge::N,isi,göz
1,Ohr::N,siut,kulak
2,Mund::N,paaq,ağız
3,Mund::N,qaneq,ağız
4,Zahn::N,kigut,diş
5,Zunge::N,oqaq,dil
6,Lippe::N,qarloq,dudak
7,Wange::N,ersaq,yanak
8,Gesicht::N,kiinaq,yüz
9,Stirn::N,qaaq,alın
10,Haar::N,meqqoq,saç
11,Bart::N,umik,sakal
12,Kinn::N,talloq,çene
13,Kiefer[Anatomie]::N,alleroq,çene
14,Kehle::N,malaq,boğaz
15,Hals::N,qungaseq,boyun
16,Hals::N,qungaseq,gerdan
17,Genick::N,pukusuk,ense
18,Kopf::N,niaqoq,baş
19,Kopf::N,niaqoq,kafa
20,Rücken::N,qimerlut,arka
21,Bauch::N,naaq,karın
22,Nabel::N,qalaseq,göbek
23,Busen::N,iviangeq,koyun
24,Brust::N,iviangeq,göğüs
25,Schulter::N,ersik,omuz
26,Schulter::N,assaqqoq,omuz
27,Arm::N,taleq,kol
28,Ellenbogen::N,ikusik,dirsek
29,Hand::N,assak,el
30,Handfläche::N,itumak,avuç
31,Handfläche::N,itumak,el ayası
32,Finger::N,inuak,parmak
33,Fingernagel::N,kikiak,el tırnağı
34,Nagel[Anatomie]::N,kukik,tırnak
35,Zeh::N,isigak,ayak parmağı
36,Ferse::N,kimmik,topuk
37,Knie::N,seeqqoq,diz
38,Oberschenkel::N,uppat,uyluk
39,Oberschenkel::N,quttoraq,uyluk
40,Bein::N,isigak,bacak
41,Körper::N,timi,vücut
42,Haut::N,mattak,cilt
43,Blut::N,aak,kan
44,Ader::N,taqaq,damar
45,Sehne::N,ujalu,kiriş
46,Sehne::N,ujaloq,kiriş
47,Knochen::N,saanikut,kemik
48,Gehirn::N,qarasaq,beyin
49,Herz::N,uummat,kalp
50,Herz::N,uummat,yürek
51,Magen::N,aqajaroq,mide
52,Leber::N,tinguk,karaciğer
53,Atem::N,anerneq,nefes
54,Hunger::N,kaanneq,açlık
55,Träne::N,qia,gözyaşı
56,Träne::N,qiak,gözyaşı
57,Geschmack::N,qilanaartuut,tat
58,Geschmack::N,qilanaartuut,lezzet
59,Geruch::N,tipi,koku
60,Geruch::N,tipik,koku
61,Traum::N,sinnattoq,düş
62,Traum::N,sinnattoq,rüya
63,Traum::N,sinnattugaq,düş
64,Traum::N,sinnattugaq,rüya
65,Himmel::N,qilak,gök
66,Sonne::N,seqineq,güneş
67,Mond::N,qaammat,ay
68,Stern::N,ulloriaq,yıldız
69,Luft::N,silaannaq,hava
70,Wind::N,anori,yel
71,Wind::N,anori,rüzgâr
