,Concept_ID,es,cy
0,Auge::N,ojo,llygad
1,Ohr::N,oreja,clust
2,Nase::N,nariz,trwyn
3,Mund::N,boca,ceg
4,Zahn::N,diente,dant
5,Zunge::N,lengua,tafod
6,Lippe::N,labio,gwefus
7,Wange::N,mejilla,boch
8,Gesicht::N,cara,wyneb
9,Stirn::N,frente,talcen
10,Haar::N,cabello,blew
11,Schnurrbart::N,bigote,mwstas
12,Bart::N,barba,barf
13,Kinn::N,barbilla,gên
14,Kiefer[Anatomie]::N,mandíbula,gên
15,Kehle::N,garganta,gwddf
16,Hals::N,cuello,gwddf
17,Genick::N,nuca,gwar
18,Genick::N,nuca,gwegil
19,Genick::N,cerviz,gwar
20,Genick::N,cerviz,gwegil
21,Kopf::N,cabeza,pen
22,Rücken::N,espalda,cefn
23,Bauch::N,vientre,bol
24,Nabel::N,ombligo,bogail
25,Busen::N,pecho,bron
26,Brust::N,pecho,brest
27,Schulter::N,hombro,ysgwydd
28,Arm::N,brazo,braich
29,Ellenbogen::N,codo,penelin
30,Hand::N,mano,llaw
31,Handfläche::N,palma,palf
32,Finger::N,dedo,bys
33,Fingernagel::N,uña,ewin
34,Nagel[Anatomie]::N,uña,ewin
35,Zeh::N,dedo del pie,bys troed
36,Fuß::N,pie,troed
37,Ferse::N,talón,sawdl
38,Knie::N,rodilla,glin
39,Oberschenkel::N,muslo,clun
40,Bein::N,pierna,coes
41,Körper::N,cuerpo,corff
42,Haut::N,piel,croen
43,Blut::N,sangre,gwaed
44,Ader::N,vena,gwythïen
45,Sehne::N,tendón,gewyn
46,Knochen::N,hueso,asgwrn
47,Gehirn::N,cerebro,ymennydd
48,Gehirn::N,encéfalo,ymennydd
49,Herz::N,corazón,calon
50,Magen::N,estómago,cylla
51,Magen::N,estómago,stumog
52,Leber::N,hígado,iau
53,Atem::N,aliento,anadl
54,Hunger::N,hambre,newyn
55,Träne::N,lágrima,deigryn
56,Geschmack::N,gusto,cyflas
57,Geruch::N,olor,aroglau
58,Schlaf::N,sueño,cwsg
59,Traum::N,sueño,breuddwyd
60,Traum::N,ensueño,breuddwyd
61,Himmel::N,cielo,awyr
62,Sonne::N,sol,haul
63,Mond::N,luna,lleuad
64,Stern::N,estrella,seren
65,Luft::N,aire,awyr
66,Wind::N,viento,gwynt
67,Welle::N,ola,ton
68,Welle::N,onda,ton
69,Wasser::N,agua,dŵr
70,Stein::N,piedra,carreg
71,Boden::N,suelo,llawr
72,Erde::N,tierra,pridd
73,Staub::N,polvo,llwch
74,Rauch::N,humo,mwg
75,Funke::N,chispa,gwreichioni
76,Feuer::N,fuego,tân
