,Concept_ID,ba,zh
0,Auge::N,күҙ,眼睛
1,Ohr::N,ҡолаҡ,耳朵
2,Nase::N,танау,鼻子
3,Mund::N,ауыҙ,嘴
4,Zahn::N,теш,牙齿
5,Zunge::N,тел,舌头
6,Lippe::N,ирен,嘴唇
7,Wange::N,яцаҡтар,面颊
8,Gesicht::N,бит,脸
9,Stirn::N,маңлай,额
10,Haar::N,сәс,头发
11,Schnurrbart::N,мылтыҡ,髭须
12,Bart::N,һаҡал,胡子
13,Kinn::N,эйэк,下巴
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,颌
15,Kehle::N,тамаҡ,嗓子
16,Hals::N,муйын,颈
17,Genick::N,соңҡа,后颈
18,Kopf::N,баш,头
19,Rücken::N,арҡа,背
20,Bauch::N,ҡорһаҡ,肚子
21,Nabel::N,кендек,肚脐
22,Busen::N,күкрәк,胸脯
23,Brust::N,түш,胸
24,Schulter::N,яурын,肩膀
25,Arm::N,ҡул,臂膀
26,Ellenbogen::N,терһәк,肘
27,Hand::N,ҡул,手
28,Hand::N,ҡул суғы,手
29,Handfläche::N,ус төбө,手掌
30,Finger::N,бармаҡ,手指
31,Fingernagel::N,тырнаҡ,指甲
32,Nagel[Anatomie]::N,тырнаҡ,指甲
33,Zeh::N,бармаҡ,脚趾
34,Fuß::N,табан,脚
35,Ferse::N,үксә,后跟
36,Knie::N,тубыҡ,膝
37,Oberschenkel::N,сандыр,大腿
38,Bein::N,аяҡ,腿
39,Körper::N,тән,身体
40,Haut::N,тире,皮肤
41,Blut::N,ҡан,血
42,Ader::N,тамыр,血管
43,Sehne::N,һеңер,腱
44,Sehne::N,тарамыш,腱
45,Knochen::N,һойәк,骨
46,Gehirn::N,мейе,脑
47,Herz::N,йорәк,心
48,Magen::N,ашҡаҙан,胃
49,Leber::N,бауыр,肝
50,Atem::N,һулыш,呼吸
51,Hunger::N,аслыҡ,饿
52,Träne::N,күҙ иәше,眼泪
53,Geschmack::N,тәм,味道
54,Geruch::N,еҫ,气味
55,Schlaf::N,йоҡлау,睡眠
56,Traum::N,төш,梦
57,Himmel::N,күк,天空
58,Sonne::N,ҡояш,太阳
59,Mond::N,ай,月亮
60,Stern::N,йондоҙ,星
61,Luft::N,һауа,空气
62,Wind::N,ел,风
63,Welle::N,тулҡын,波
64,Wasser::N,һыу,水
65,Stein::N,таш,石头
66,Boden::N,тупраҡ,地面
67,Erde::N,балсҡ,地
68,Staub::N,туҙан,灰尘
69,Rauch::N,төтөн,烟
70,Funke::N,осҡон,火花
71,Feuer::N,ут,火
72,Licht::N,яҡтылыҡ,光
73,Schatten::N,күләгә,影子
74,Wetter::N,һауа торошо,天气
75,Nebel::N,төман,雾
76,Wolke::N,болот,云
77,Regen::N,ямғыр,雨
78,Schnee::N,ҡар,雪
79,Eis::N,боҙ,冰
80,Frost::N,һалҡын,霜冻
81,Kälte::N,һыуыҡ,寒冷
82,Hitze::N,томра,炎热
83,Hitze::N,эҫелек,炎热
84,Raureif::N,ҡырау,霜
85,Regenbogen::N,йәйғор,虹
86,Donner::N,күк күкрәү,雷
87,Strömung::N,ағым,水流
88,Tropfen::N,тамсы,滴
89,Schaum::N,күбек,泡沫
90,Schmutz::N,батҡаҡ,赃物
91,See::N,күл,湖
92,Sumpf::N,һаҙлык,沼泽
93,Moor::N,һаҙ,沼泽
94,Wiese::N,болон,草地
95,Wald::N,урман,森林
96,Hügel::N,түбә,丘陵
97,Anhöhe::N,түбә,山丘
98,Anhöhe::N,ҡалҡыулыҡ,山丘
99,Berg::N,тау,山
100,Gipfel::N,түбә,峰
101,Höhle::N,мәмерйә,洞穴
102,Abhang::N,ипкен,斜坡
103,Quelle::N,шишмә,泉
104,Bach::N,шишмә,溪
105,Fluss::N,йылға,河流
106,Ufer::N,яр,岸
107,Küste::N,яр буйы,海岸
108,Festland::N,ҡоро ер,大陆
109,Meer::N,диңгез,海
110,Bucht::N,бухта,海湾
111,Insel::N,үтрау,岛
112,Blume::N,сәскә,花
113,Gras::N,үлән,草
114,Wurzel::N,тамыр,根
115,Baum::N,ағас,树
116,Stamm::N,олон,树干
117,Stamm::N,көбәк,树干
118,Rinde::N,ҡабыҡ,树皮
119,Ast::N,ботаҡ,树枝
120,Zweig::N,ботаҡ,树枝
121,Zweig::N,тармаҡ,树枝
122,Blatt::N,япраҡ,叶子
123,Birke::N,ҡайын,桦木
124,Kiefer[Baum]::N,ҡарғай,松树
125,Weide[Baum]::N,тал,柳树
126,Tanne::N,шыршы,冷杉
127,Horn::N,мөғөҙ,角
128,Feder::N,ҡауырһын,羽毛
129,Fell::N,тире,皮毛
130,Flügel::N,ҡанат,翅膀
131,Klaue::N,тырнаҡ,爪子
132,Kralle::N,аяҡ,爪子
133,Schwanz::N,ҡойроҡ,尾巴
134,Ei::N,йомортҡа,蛋
135,Nest::N,оя,巢
136,Bau::N,оң,穴
137,Tier::N,жайуан,动物
138,Tier::N,йыртҡыс,动物
139,Herde::N,көтөү,群
140,Kuh::N,һыйыр,母牛
141,Bulle::N,үгеҙ,公牛
142,Pferd::N,ат,马
143,Schaf::N,һарыҡ,羊
144,Schwein::N,сусҡа,猪
145,Hund::N,эт,狗
146,Katze::N,бесәй,猫
147,Bär::N,айыу,熊
148,Eichhörnchen::N,тейен,松鼠
149,Elch::N,мышы,麋鹿
150,Fuchs::N,төлкө,狐狸
151,Hase::N,ҡуян,兔子
152,Maus::N,сысҡан,老鼠
153,Wolf::N,бүре,狼
154,Vogel::N,ҡош,鸟
155,Schwarm::N,көтөү,群
156,Huhn::N,тауыҡ,鸡
157,Hahn::N,әтәс,公鸡
158,Gans::N,ҡаҙ,鹅
159,Adler::N,бөркөт,鹰
160,Ente::N,өйрәк,鸭
161,Eule::N,өкө,猫头鹰
162,Eule::N,ябалаҡ,猫头鹰
163,Kranich::N,торна,鹤
164,Krähe::N,ҡарға,乌鸦
165,Kuckuck::N,кәкүк,布谷鸟
166,Schwan::N,аҡҡош,天鹅
167,Fisch::N,балыҡ,鱼
168,Barsch::N,алабуға,鲈鱼
169,Hecht::N,суртан,狗鱼
170,Schlange[Tier]::N,йылан,蛇
171,Wurm::N,селяүсен,蠕虫
172,Spinne::N,үрмәксе,蜘蛛
173,Ameise::N,ҡырмыҫҡа,蚂蚁
174,Laus::N,бет,虱子
175,Mücke::N,серәкәй,蚊子
176,Fliege::N,себен,苍蝇
177,Schmetterling::N,күбәләк,蝴蝶
178,Beere::N,еләк,将果
179,Apfel::N,алма,苹果
180,Pilz::N,бәшмәк,蘑菇
181,Zwiebel::N,һуган,洋葱
182,Saat::N,орлоҡ,种子
183,Korn::N,иген,谷粒
184,Heu::N,бесән,干草
185,Schale::N,ҡабыҡ,壳
186,Grube::N,соҡор,坑
187,Falle::N,тоҙак,圈套
188,Falle::N,ҡапҡан,圈套
189,Schlinge::N,тоҙак,活扣
190,Spur::N,әҫер,踪迹
191,Asche::N,көл,灰烬
192,Dreck::N,батҡаҡ,污垢
193,Eisen::N,тимер,铁
194,Gold::N,алтын,金子
195,Silber::N,көмөш,银
196,Kohle::N,күмер,煤
197,Glas::N,быяла,玻璃
198,Lehm::N,балсыҡ,粘土
199,Sand::N,ҡом,沙
200,Mensch::N,кеше,人
201,Mann::N,ир,男子
202,Frau::N,ҡатын,妇女
203,Kind::N,бала,小孩
204,Junge::N,малай,男孩
205,Mädchen::N,ҡыҙ,女孩
206,Mädchen::N,ҡыҙыҡай,女孩
207,Familie::N,ғаилә,家庭
208,Großvater::N,олатай,祖父
209,Großmutter::N,әбәй,祖母
210,Eltern::N,ата-әсә,父母
211,Vater::N,атай,父亲
212,Mutter::N,әсә,母亲
213,Sohn::N,ул,儿子
214,Tochter::N,ҡыҙ,女儿
215,Bruder::N,агай,兄弟
216,Schwester::N,алай,姐妹
217,Schwester::N,һеңле,姐妹
218,Onkel::N,ағай,伯父
219,Tante::N,апай,阿姨
220,Ehemann::N,ир,丈夫
221,Ehefrau::N,ҡатын,妻子
222,Freude::N,шатлыҡ,愉快
223,Freude::N,ҡыуаныс,愉快
224,Gelächter::N,көлөү,大笑
225,Glück::N,бәхет,运气
226,Kummer::N,ҡайғы,苦恼
227,Wunsch::N,теләк,愿望
228,Lust::N,әүәҫлек,乐趣
229,Geist::N,аң,精神
230,Geist::N,рух,精神
231,Gedanke::N,уй,思想
232,Gedanke::N,фекер,思想
233,Gedächtnis::N,хәтер,记性
234,Verstand::N,аҡыл,理智
235,Sinn::N,мәғәня,感觉
236,Grund::N,сәбәп,理由
237,Wahrheit::N,дөрөҫлөк,真理
238,Gespräch::N,әңгәмә,谈话
239,Märchen::N,әкиәт,童话
240,Erzählung::N,хикәйә,故事
241,Nachricht::N,хәбәр,消息
242,Neuigkeit::N,яңылыҡ,新闻
243,Name::N,исем,名字
244,Rätsel::N,йомаҡ,谜语
245,Rede::N,телмәр,讲话
246,Sprache::N,тел,语言
247,Sprache::N,телмәр,语言
248,Stimme::N,тауыш,声音
249,Wort::N,һүҙ,词
250,Zeichen::N,билдә,标记
251,Ruf::N,саҡырыу,呼喊
252,Lärm::N,шаулау,噪音
253,Laut::N,тауыш,响声
254,Ton::N,яңғырау,声音
255,Lied::N,йыр,歌曲
256,Ruhe::N,ял,安静
257,Ruhe::N,тыныслыҡ,安静
258,Leute::N,кешеләр,人们
259,Volk::N,халҡ,人民
260,Arbeit::N,эш,劳动
261,Gast::N,ҡунаҡ,客人
262,Geschenk::N,бүләк,礼物
263,Spiel::N,уйын,游戏
264,Gesellschaft::N,йәмғиәт,陪同
265,Hilfe::N,ярҙам,帮助
266,Freund::N,дуҫ,朋友
267,Kamerad::N,иптәш,同志
268,Angelegenheit::N,әш,事情
269,Anzahl::N,һан,数目
270,Art::N,төр,种类
271,Stück::N,киҫәк,块
272,Teil::N,өлөш,部分
273,Hälfte::N,ярты,一半
274,Kreis::N,түңәрәк,圆
275,Kreuz::N,тәре,十字架
276,Linie::N,һыҙыҡ,线条
277,Strich::N,һыҙат,划
278,Abstand::N,ара,距离
279,Entfernung::N,алыҫлыҡ,距离
280,Gegend::N,урын,地区
281,Platz::N,арауыҡ,场所
282,Ort::N,ерҙәр,地点
283,Ort::N,урындар,地点
284,Ort::N,эш урыны,地点
285,Seite::N,яҡ,面
286,Mitte::N,урталыҡ,中间
287,Gegenstand::N,нәмә,物品
288,Sache::N,нәмә,物
289,Sache::N,әйбер,物
290,Rand::N,сит,边
291,Kante::N,ҡабырға,棱
292,Kante::N,ян,棱
293,Ecke::N,мөйөш,角
294,Spitze::N,ос,尖
295,Ende::N,аҙаҡ,结尾
296,Loch::N,тишек,洞
297,Winkel::N,мөйөш,角度
298,Muster::N,биҙәк,模型
299,Größe::N,ҙурлыҡ,大小
300,Länge::N,оҙонлоҡ,长度
301,Höhe::N,бейеклек,高度
302,Gewicht::N,үлсәү,重量
303,Menge::N,һан,数量
304,Haufen::N,өйөм,堆
305,Reihe::N,рәт,行
306,Boot::N,кәмә,小船
307,Ruder::N,ишкәк,奖
308,Schlitten::N,сана,雪橇
309,Ski::N,саңгы,雪板
310,Lagerfeuer::N,костер,营火
311,Last::N,ауырлыҡ,负担
312,Gang::N,барыу,行走
313,Schritt::N,аҙым,步伐
314,Norden::N,төньяҡ,北
315,Süden::N,көньяҡ,南
316,Westen::N,көнбайыш,西
317,Osten::N,көнсығыш,东
318,Holz::N,үағас,木材
319,Brett::N,таҡта,木板
320,Platte::N,плита,平板
321,Stütze::N,терәк,支架
322,Stange::N,кәртә,杆
323,Stock::N,таяҡ,棒
324,Stab::N,ҡолға,棍
325,Rohr::N,торба,管子
326,Haus::N,өй,房屋
327,Haus::N,йорт,房屋
328,Heim::N,өй,家
329,Ofen::N,мейес,炉子
330,Fußboden::N,енес,地板
331,Tisch::N,өҫтәл,桌子
332,Stuhl::N,ултырғыс,椅子
333,Wiege::N,бишек,摇蓝
334,Bett::N,карауат,床
335,Regal::N,кәштә,架子
336,Kiste::N,йәшинк,箱子
337,Fenster::N,тәҙрә,窗户
338,Tür::N,ишек,门
339,Tor::N,ҡапҡа,大门
340,Zaun::N,ҡойма,篱笆
341,Dach::N,түбә,屋顶
342,Dach::N,ҡыйыҡ,屋顶
343,Leiter::N,баҫҡыс,梯子
344,Besen::N,һепертке,扫帚
345,Spaten::N,көрәк,铁锹
346,Schaufel::N,көрәк,铁锹
347,Gabel::N,сәнске,叉
348,Löffel::N,ҡалаҡ,食匙
349,Messer::N,бысаҡ,刀
350,Nagel::N,сөй,钉子
351,Netz::N,ау,网
352,Haken::N,ыргаҡ,钩子
353,Griff::N,тотҡа,把柄
354,Schloss::N,йоҙаҡ,锁
355,Bild::N,картина,图画
356,Figur::N,һын,人像
357,Puppe::N,ҡурсаҡ,娃娃
358,Beutel::N,тоҡ,袋子
359,Bündel::N,төргәк,捆
360,Tasche::N,сумка,手提包
361,Eimer::N,биҙрә,桶
362,Deckel::N,ҡапҡас,盖子
363,Geschirr::N,һауыт-һаба,餐具
364,Sack::N,тоҡ,袋子
365,Tasse::N,сынаяҡ,杯子
366,Topf::N,кәстрүл,锅
367,Kessel::N,ҡаҙан,水壶
368,Essen::N,ашау,进餐
369,Nahrung::N,аҙыҡ,食物
370,Speise::N,аш,菜肴
371,Fleisch::N,ит,肉
372,Getreide::N,иген,谷物
373,Getreide::N,ашлыҡ,谷物
374,Brei::N,бутҡа,粥
375,Brot::N,икмәк,面包
376,Scheibe::N,телем,片
377,Fett::N,май,脂肪
378,Butter::N,май,黄油
379,Öl::N,май буяуы,油
380,Salz::N,тоҙ,盐
381,Suppe::N,һурпа,汤
382,Honig::N,бал,蜂蜜
383,Milch::N,һөт,奶
384,Tee::N,сәй,茶
385,Leder::N,күн,皮革
386,Wolle::N,йөн,毛线
387,Stoff::N,туҡыма,织物
388,Nadel::N,энә,针
389,Faden::N,еп,线
390,Knopf::N,төймә,纽扣
391,Knoten::N,төйөн,结
392,Farbe::N,буяу,颜色
393,Kleidung::N,кейем,衣服
394,Hemd::N,күлдәк,衬衫
395,Kragen::N,яға,领子
396,Ärmel::N,ең,袖子
397,Hose::N,салбар,裤子
398,Gürtel::N,ҡайыш,腰带
399,Mütze::N,бүрк,帽子
400,Schuh::N,туфли,鞋
401,Stiefel::N,итек,靴子
402,Ring::N,йөҙөк,戒指
403,Ring::N,балдаҡ,戒指
404,Band::N,таҫма,带子
405,Kamm::N,тараҡ,梳子
406,Spiegel::N,көзгө,镜子
407,Riemen::N,ҡайыш,皮带
408,Schnur::N,бау,绳子
409,Leine::N,бау,皮带
410,Decke::N,одеяд,被子
411,Kissen::N,мендәр,软垫
412,Tuch::N,яулыҡ,巾
413,Handtuch::N,таҫтамал,手巾
414,Kraft::N,көс,力
415,Stärke::N,көс,力量
416,Gesundheit::N,һаулыҡ,健康
417,Krankheit::N,сир,病
418,Krankheit::N,ауырыу,病
419,Schmerz::N,һыҙлау,痛
420,Schmerz::N,әрнеү,痛
421,Wunde::N,йәрәхәт,伤口
422,Fieber::N,тапма,发烧
423,Fieber::N,биҙгәк,发烧
424,Arznei::N,дарыу,药
425,Brücke::N,күпер,桥
426,Brunnen::N,ҡоҙоҡ,井
427,Weide::N,көтөүлек,牧场
428,Pfad::N,һуҡмаҡ,小路
429,Weg::N,юл,路
430,Straße::N,урам,街
431,Dorf::N,ауыл,村庄
432,Stadt::N,ҡала,城市
433,Brief::N,хат,信
