,Concept_ID,ga,fi
0,Auge::N,súil,silmä
1,Ohr::N,cluas,korva
2,Nase::N,soc,nenä
3,Mund::N,béal,suu
4,Zahn::N,fiacail,hammas
5,Zunge::N,teanga,kieli
6,Lippe::N,liopa,huuli
7,Wange::N,grua,poski
8,Wange::N,leiceann,poski
9,Gesicht::N,éadan,naama
10,Gesicht::N,éadan,kasvot
11,Gesicht::N,aghaidh,naama
12,Gesicht::N,aghaidh,kasvot
13,Stirn::N,baithis,otsa
14,Stirn::N,clár éadain,otsa
15,Haar::N,gruaig,hius
16,Haar::N,gruaig,tukka
17,Schnurrbart::N,croiméal,viikset
18,Bart::N,féasóg,parta
19,Kinn::N,smig,leuka
20,Kiefer[Anatomie]::N,giall,leukaluu
21,Kehle::N,scornach,kurkku
22,Hals::N,muinéal,kaula
23,Genick::N,baic,niska
24,Kopf::N,ceann,pää
25,Rücken::N,droim,selkä
26,Bauch::N,bolg,maha
27,Bauch::N,bolg,vatsa
28,Nabel::N,imleacán,napa
29,Busen::N,cíoch,rinta
30,Brust::N,brollach,rinta
31,Schulter::N,gualainn,olka
32,Schulter::N,gualainn,hartia
33,Schulter::N,gualainn,olkapää
34,Arm::N,lámh,käsivarsi
35,Ellenbogen::N,uillinn,kyynärpää
36,Hand::N,lámh,käsi
37,Handfläche::N,bos,kämmen
38,Finger::N,méar,sormi
39,Fingernagel::N,ionga,kynsi
40,Nagel[Anatomie]::N,ionga,kynsi
41,Zeh::N,ladhar,varvas
42,Fuß::N,cos,jalka
43,Fuß::N,troigh,jalka
44,Ferse::N,sáil,kantapää
45,Knie::N,glúin,polvi
46,Oberschenkel::N,ceathrú,reisi
47,Bein::N,cos,jalka
48,Körper::N,corp,keho
49,Körper::N,corp,ruumis
50,Körper::N,colainn,keho
51,Körper::N,colainn,ruumis
52,Haut::N,cneas,iho
53,Haut::N,craiceann,iho
54,Blut::N,fuil,veri
55,Sehne::N,teannán,jänne
56,Sehne::N,féitheog,jänne
57,Knochen::N,cnámh,luu
58,Gehirn::N,inchinn,aivot
59,Herz::N,croí,sydän
60,Magen::N,bolg,maha
61,Magen::N,bolg,vatsa
62,Magen::N,goile,maha
63,Magen::N,goile,vatsa
64,Leber::N,ae,maksa
65,Atem::N,anáil,henki
66,Atem::N,anáil,hengitys
67,Hunger::N,ocras,nälkä
68,Träne::N,deoir,kyynel
69,Geschmack::N,blas,maku
70,Geruch::N,boladh,haju
71,Schlaf::N,suan,uni
72,Schlaf::N,codladh,uni
73,Traum::N,taibhreamh,uni
74,Himmel::N,spéir,taivas
75,Sonne::N,grian,aurinko
76,Mond::N,ré,kuu
77,Mond::N,gealach,kuu
78,Stern::N,rinn,tähti
79,Stern::N,réalta,tähti
80,Luft::N,aer,ilma
81,Wind::N,gaoth,tuuli
82,Welle::N,tonn,aalto
83,Wasser::N,uisce,vesi
84,Stein::N,cloch,kivi
85,Boden::N,talamh,maa
86,Boden::N,talamh,maaperä
87,Erde::N,cré,maa
88,Erde::N,ithir,maa
89,Staub::N,dusta,pöly
90,Staub::N,deannach,pöly
91,Rauch::N,toit,savu
92,Rauch::N,deatach,savu
93,Funke::N,drithle,kipinä
94,Feuer::N,tine,tuli
95,Licht::N,solas,valo
96,Schatten::N,scáth,varjo
97,Wetter::N,aimsir,sää
98,Nebel::N,ceo,sumu
99,Wolke::N,néal,pilvi
100,Wolke::N,scamall,pilvi
101,Regen::N,báisteach,sade
102,Regen::N,fearthainn,sade
103,Schnee::N,sneachta,lumi
104,Eis::N,oighear,jää
105,Frost::N,sioc,halla
106,Frost::N,sioc,pakkanen
107,Kälte::N,fuacht,vilu
108,Kälte::N,fuacht,kylmyys
109,Hitze::N,teas,helle
110,Hitze::N,teas,kuumuus
111,Hitze::N,teocht,helle
112,Hitze::N,teocht,kuumuus
113,Raureif::N,sioc bán,huurre
114,Regenbogen::N,stua ceatha,sateenkaari
115,Regenbogen::N,bogha báistí,sateenkaari
116,Donner::N,toirneach,jyrinä
117,Strömung::N,sruth,virtaus
118,Tropfen::N,deoir,tippa
119,Tropfen::N,deoir,pisara
120,Schaum::N,cúr,vaahto
121,Schmutz::N,salachar,loka
122,See::N,loch,järvi
123,Sumpf::N,portach,suo
124,Moor::N,caorán,räme
125,Moor::N,móinteán,räme
126,Wiese::N,cluain,niitty
127,Wiese::N,móinéar,niitty
128,Wald::N,coill,metsä
129,Wald::N,foraois,metsä
130,Hügel::N,ard,mäki
131,Hügel::N,ard,kumpu
132,Hügel::N,ard,kukkula
133,Anhöhe::N,ard,mäki
134,Anhöhe::N,ard,kumpare
135,Anhöhe::N,ardán,mäki
136,Anhöhe::N,ardán,kumpare
137,Berg::N,sliabh,mäki
138,Berg::N,sliabh,vuori
139,Gipfel::N,barr,laki
140,Gipfel::N,barr,huippu
141,Gipfel::N,mullach,laki
142,Gipfel::N,mullach,huippu
143,Höhle::N,uaimh,luola
144,Höhle::N,pluais,luola
145,Abhang::N,fána,rinne
146,Quelle::N,foinse,lähde
147,Bach::N,sruthán,puro
148,Fluss::N,abhainn,joki
149,Ufer::N,bruach,ranta
150,Küste::N,cósta,rannikko
151,Küste::N,cladach,rannikko
152,Festland::N,míntír,manner
153,Meer::N,muir,meri
154,Meer::N,farraige,meri
155,Bucht::N,bá,lahti
156,Bucht::N,cuan,lahti
157,Insel::N,inis,saari
158,Insel::N,oileán,saari
159,Blume::N,bláth,kukka
160,Gras::N,féar,ruoho
161,Wurzel::N,rúta,juuri
162,Wurzel::N,fréamh,juuri
163,Baum::N,crann,puu
164,Stamm::N,stoc,runko
165,Stamm::N,tamhan,runko
166,Rinde::N,coirt,kuori
167,Rinde::N,coirt,parkki
168,Rinde::N,craiceann,kuori
169,Rinde::N,craiceann,parkki
170,Ast::N,géag,oksa
171,Zweig::N,géag,haara
172,Zweig::N,craobh,haara
173,Blatt::N,duille,lehti
174,Blatt::N,duilleog,lehti
175,Birke::N,beith,koivu
176,Birke::N,crann beithe,koivu
177,Kiefer[Baum]::N,péine,mänty
178,Kiefer[Baum]::N,péine,petäjä
179,Weide[Baum]::N,saileach,paju
180,Tanne::N,giúis,kuusi
181,Horn::N,adharc,sarvi
182,Feder::N,cleite,sulka
183,Feder::N,cleite,höyhen
184,Fell::N,clúmh,talja
185,Flügel::N,eite,siipi
186,Flügel::N,sciathán,siipi
187,Klaue::N,crúb,kynsi
188,Klaue::N,crobh,kynsi
189,Kralle::N,crobh,kynsi
190,Schwanz::N,eireaball,häntä
191,Schwanz::N,eireaball,pyrstö
192,Ei::N,ubh,muna
193,Nest::N,nead,pesä
194,Bau::N,brocais,pesä
195,Tier::N,ainmhí,eläin
196,Tier::N,beithíoch,eläin
197,Herde::N,tréad,lauma
198,Kuh::N,bó,lehmä
199,Bulle::N,tarbh,sonni
200,Pferd::N,each,hevonen
201,Pferd::N,capall,hevonen
202,Schaf::N,caora,lammas
203,Schwein::N,muc,sika
204,Hund::N,madra,koira
205,Katze::N,cat,kissa
206,Bär::N,béar,karhu
207,Eichhörnchen::N,iora,orava
208,Elch::N,eilc,hirvi
209,Fuchs::N,sionnach,kettu
