,Concept_ID,fa,kl
0,Auge::N,چشم,isi
1,Ohr::N,گوش,siut
2,Nase::N,بینی,
3,Mund::N,دهان,paaq
4,Mund::N,دهان,qaneq
5,Zahn::N,دندان,kigut
6,Zunge::N,زبان,oqaq
7,Lippe::N,لب,qarloq
8,Wange::N,لپ,ersaq
9,Gesicht::N,رو,kiinaq
10,Gesicht::N,چهره,kiinaq
11,Stirn::N,پیشانی,qaaq
12,Haar::N,مو,meqqoq
13,Schnurrbart::N,سبیل,
14,Bart::N,ریش,umik
15,Kinn::N,چانه,talloq
16,Kiefer[Anatomie]::N,فک,alleroq
17,Kiefer[Anatomie]::N,آرواره,alleroq
18,Kehle::N,حلق,malaq
19,Hals::N,گردن,qungaseq
20,Genick::N,پشت گردن,pukusuk
21,Kopf::N,سر,niaqoq
22,Kopf::N,کله,niaqoq
23,Rücken::N,پشت,qimerlut
24,Bauch::N,شکم,naaq
25,Nabel::N,ناف,qalaseq
26,Busen::N,پستان,iviangeq
27,Brust::N,سینه,iviangeq
28,Schulter::N,دوش,ersik
29,Schulter::N,دوش,assaqqoq
30,Schulter::N,شانه,ersik
31,Schulter::N,شانه,assaqqoq
32,Arm::N,بازو,taleq
33,Ellenbogen::N,آرنج,ikusik
34,Hand::N,دست,assak
35,Handfläche::N,کف دست,itumak
36,Finger::N,انگشت,inuak
37,Fingernagel::N,ناخن دست,kikiak
38,Nagel[Anatomie]::N,ناخن,kukik
39,Zeh::N,انگشت پا,isigak
40,Fuß::N,پا,
41,Ferse::N,پاشنه,kimmik
42,Knie::N,زانو,seeqqoq
43,Oberschenkel::N,ران,uppat
44,Oberschenkel::N,ران,quttoraq
45,Bein::N,پا,isigak
46,Bein::N,لنگ,isigak
47,Körper::N,تن,timi
48,Körper::N,بدن,timi
49,Haut::N,پوست,mattak
50,Blut::N,خون,aak
51,Ader::N,رگ,taqaq
52,Sehne::N,زردپی,ujalu
53,Sehne::N,زردپی,ujaloq
54,Knochen::N,استخوان,saanikut
55,Gehirn::N,مخ,qarasaq
56,Gehirn::N,مغز,qarasaq
57,Herz::N,دل,uummat
58,Herz::N,قلب,uummat
59,Magen::N,معده,aqajaroq
60,Leber::N,کبد,tinguk
61,Atem::N,نفس,anerneq
62,Hunger::N,گرسنگی,kaanneq
63,Träne::N,اشک,qia
64,Träne::N,اشک,qiak
65,Geschmack::N,مزه,qilanaartuut
66,Geruch::N,بو,tipi
67,Geruch::N,بو,tipik
68,Schlaf::N,خواب,
69,Traum::N,رؤیا,sinnattoq
70,Traum::N,رؤیا,sinnattugaq
71,Himmel::N,فلک,qilak
72,Himmel::N,آسمان,qilak
73,Sonne::N,آفتاب,seqineq
74,Sonne::N,خورشید,seqineq
75,Mond::N,ماه,qaammat
76,Stern::N,ستاره,ulloriaq
77,Luft::N,هوا,silaannaq
78,Wind::N,باد,anori
79,Wind::N,باد,anorsarik
80,Welle::N,موج,aalappaa
81,Wasser::N,آب,imeq
82,Stein::N,سنگ,ujarak
83,Boden::N,زمین,nateq
84,Erde::N,خاک,issoq
85,Erde::N,زمین,issoq
86,Staub::N,گرد,pujualanerit
87,Staub::N,گرد,pujoralanerit
88,Staub::N,غبار,pujualanerit
89,Staub::N,غبار,pujoralanerit
90,Rauch::N,دود,iseq
91,Rauch::N,دود,pujoq
92,Funke::N,جرقه,illoorneq
93,Feuer::N,آتش,inneq
94,Licht::N,نور,qaamaneq
95,Licht::N,روشنی,qaamaneq
96,Schatten::N,سایه,tarraq
97,Wetter::N,هوا,sila
98,Nebel::N,مه,pujoq
99,Wolke::N,ابر,nuia
100,Regen::N,باران,sialuk
101,Schnee::N,برف,aput
102,Eis::N,یخ,siku
103,Frost::N,یخبندان,issi
104,Frost::N,یخبندان,issik
105,Kälte::N,سرما,issi
106,Hitze::N,گرما,kianneq
107,Hitze::N,گرما,kiassuseq
108,Hitze::N,حرارت,kianneq
109,Hitze::N,حرارت,kiassuseq
110,Raureif::N,برف ریزه,kaneq
111,Regenbogen::N,رنگین‌کمان,neriusaaq
112,Donner::N,رعد,kalleq
113,Strömung::N,جریان,
114,Tropfen::N,قطره,kuseriarneq
115,Schaum::N,کف,qapuk
116,Schmutz::N,گل,minguk
117,Schmutz::N,کثافت,minguk
118,See::N,دریاچه,taseq
119,Sumpf::N,مرداب,maqulluk
120,Sumpf::N,باتلاق,maqulluk
121,Moor::N,باتلاق,
122,Wiese::N,چمن,masarsuk
123,Wald::N,جنگل,
124,Hügel::N,تل,qattuneq
125,Hügel::N,تل,majuariaq
126,Hügel::N,تل,majorajaaq
127,Hügel::N,تل,qaqqannguaq
128,Hügel::N,تپه,qattuneq
129,Hügel::N,تپه,majuariaq
130,Hügel::N,تپه,majorajaaq
131,Hügel::N,تپه,qaqqannguaq
132,Anhöhe::N,بلندی,
133,Berg::N,کوه,qaqqaq
134,Gipfel::N,قله,
135,Höhle::N,غار,qaarusuk
136,Abhang::N,سرازیری,ippik
137,Abhang::N,سرازیری,sivinganeq
138,Abhang::N,سرازیری,sivingajaaq
139,Abhang::N,سرازیری,kussangajaaq
140,Quelle::N,چشمه,
141,Bach::N,نهر,kuunnguaq
142,Fluss::N,رود,kuuk
143,Ufer::N,ساحل,sissap sinaa
144,Ufer::N,کرانه,sissap sinaa
145,Küste::N,ساحل,sineriak
146,Festland::N,خشکی,
147,Meer::N,دریا,imaq
148,Bucht::N,خلیج,ikeq
149,Bucht::N,خلیج,kangerluk
150,Bucht::N,خلیج,kangerliumaneq
151,Insel::N,جزیره,qeqertaq
152,Blume::N,گل,naasoq
153,Gras::N,علف,ivigaq
154,Wurzel::N,ریشه,niulutaq
155,Baum::N,درخت,orpik
156,Stamm::N,تنه,kanaartaq
157,Rinde::N,توژ,ameraq
158,Rinde::N,پوست,ameraq
159,Ast::N,شاخه,avalequt
160,Zweig::N,شاخه,avalequt
161,Blatt::N,برگ,pilutaq
162,Birke::N,غان,patitsit
163,Kiefer[Baum]::N,کاج,
164,Weide[Baum]::N,بید,palleq
165,Tanne::N,صنوبر,orsuerneq
166,Horn::N,شاخ,nassuk
167,Feder::N,پر,suluk
168,Fell::N,خز,ameq
169,Flügel::N,پر,suluk
170,Flügel::N,پر,isaroq
171,Flügel::N,بال,suluk
