,Concept_ID,sl,kl
0,Auge::N,okó,isi
1,Ohr::N,uhó,siut
2,Nase::N,nós,
3,Mund::N,ústa,paaq
4,Mund::N,ústa,qaneq
5,Zahn::N,zób,kigut
6,Zunge::N,jêzik,oqaq
7,Lippe::N,ústnica,qarloq
8,Wange::N,líce,ersaq
9,Gesicht::N,oblíčje,kiinaq
10,Stirn::N,čêlo,qaaq
11,Haar::N,lás,meqqoq
12,Schnurrbart::N,bŕki,
13,Bart::N,bráda,umik
14,Kinn::N,bráda,talloq
15,Kiefer[Anatomie]::N,čeljúst,alleroq
16,Kehle::N,gŕlo,malaq
17,Hals::N,vrát,qungaseq
18,Genick::N,zatílnik,pukusuk
19,Kopf::N,gláva,niaqoq
20,Rücken::N,hrbèt,qimerlut
21,Bauch::N,trébuh,naaq
22,Nabel::N,pópek,qalaseq
23,Busen::N,nédrja,iviangeq
24,Brust::N,pŕsi,iviangeq
25,Schulter::N,ráma,ersik
26,Schulter::N,ráma,assaqqoq
27,Schulter::N,plêče,ersik
28,Schulter::N,plêče,assaqqoq
29,Arm::N,rôka,taleq
30,Ellenbogen::N,komólec,ikusik
31,Hand::N,rôka,assak
32,Handfläche::N,dlán,itumak
33,Finger::N,pŕst,inuak
34,Fingernagel::N,nóht na rôki,kikiak
35,Nagel[Anatomie]::N,nóht,kukik
36,Zeh::N,pŕst na nôgi,isigak
37,Fuß::N,nôga,
38,Ferse::N,pêta,kimmik
39,Knie::N,koléno,seeqqoq
40,Oberschenkel::N,stêgno,uppat
41,Oberschenkel::N,stêgno,quttoraq
42,Bein::N,nôga,isigak
43,Körper::N,teló,timi
44,Haut::N,kóža,mattak
45,Blut::N,krí,aak
46,Ader::N,žíla,taqaq
47,Sehne::N,kíta,ujalu
48,Sehne::N,kíta,ujaloq
49,Knochen::N,kóst,saanikut
50,Gehirn::N,možgáni,qarasaq
51,Herz::N,srcé,uummat
52,Magen::N,želódec,aqajaroq
53,Leber::N,jétra,tinguk
54,Atem::N,díh,anerneq
55,Hunger::N,glád,kaanneq
56,Träne::N,sólza,qia
57,Träne::N,sólza,qiak
58,Geschmack::N,okús,qilanaartuut
59,Geruch::N,vónj,tipi
60,Geruch::N,vónj,tipik
61,Schlaf::N,sèn,
62,Schlaf::N,spánec,
63,Traum::N,sánje,sinnattoq
64,Traum::N,sánje,sinnattugaq
65,Himmel::N,nebó,qilak
66,Sonne::N,sónce,seqineq
67,Mond::N,lúna,qaammat
68,Mond::N,mésec,qaammat
69,Stern::N,zvézda,ulloriaq
70,Luft::N,zràk,silaannaq
71,Wind::N,véter,anori
72,Wind::N,véter,anorsarik
73,Welle::N,vál,aalappaa
74,Wasser::N,vôda,imeq
75,Stein::N,kámen,ujarak
76,Boden::N,tlà,nateq
77,Erde::N,pŕst,issoq
78,Erde::N,zêmlja,issoq
79,Staub::N,práh,pujualanerit
80,Staub::N,práh,pujoralanerit
81,Rauch::N,dìm,iseq
82,Rauch::N,dìm,pujoq
83,Funke::N,ískra,illoorneq
84,Feuer::N,ôgenj,inneq
85,Licht::N,lúč,qaamaneq
86,Schatten::N,sénca,tarraq
87,Wetter::N,vrême,sila
88,Nebel::N,meglà,pujoq
89,Wolke::N,oblák,nuia
90,Regen::N,dèž,sialuk
91,Schnee::N,snég,aput
92,Eis::N,léd,siku
93,Frost::N,zmrzál,issi
94,Frost::N,zmrzál,issik
95,Kälte::N,mràz,issi
96,Hitze::N,pripéka,kianneq
97,Hitze::N,pripéka,kiassuseq
98,Raureif::N,ívje,kaneq
99,Raureif::N,slána,kaneq
100,Regenbogen::N,mávrica,neriusaaq
101,Donner::N,gròm,kalleq
102,Strömung::N,strúja,
103,Tropfen::N,káplja,kuseriarneq
104,Schaum::N,péna,qapuk
105,Schmutz::N,nesnága,minguk
106,See::N,jézero,taseq
107,Sumpf::N,močvírje,maqulluk
108,Moor::N,bárje,
109,Wiese::N,trávnik,masarsuk
110,Wald::N,lés,
111,Wald::N,gòzd,
112,Hügel::N,brég,qattuneq
113,Hügel::N,brég,majuariaq
114,Hügel::N,brég,majorajaaq
115,Hügel::N,brég,qaqqannguaq
116,Hügel::N,goríca,qattuneq
117,Hügel::N,goríca,majuariaq
118,Hügel::N,goríca,majorajaaq
119,Hügel::N,goríca,qaqqannguaq
120,Anhöhe::N,gríč,
121,Anhöhe::N,višína,
122,Berg::N,gôra,qaqqaq
123,Berg::N,planína,qaqqaq
124,Gipfel::N,vŕh,
125,Höhle::N,jáma,qaarusuk
126,Höhle::N,votlína,qaarusuk
127,Abhang::N,pobóčje,ippik
128,Abhang::N,pobóčje,sivinganeq
129,Abhang::N,pobóčje,sivingajaaq
130,Abhang::N,pobóčje,kussangajaaq
131,Quelle::N,izvír,
132,Bach::N,pôtok,kuunnguaq
133,Fluss::N,réka,kuuk
134,Ufer::N,brég,sissap sinaa
135,Küste::N,obála,sineriak
136,Küste::N,obréžje,sineriak
137,Festland::N,celína,
138,Festland::N,kopnína,
139,Meer::N,mórje,imaq
140,Bucht::N,zalív,ikeq
141,Bucht::N,zalív,kangerluk
142,Bucht::N,zalív,kangerliumaneq
143,Insel::N,ôtok,qeqertaq
144,Blume::N,cvetlíca,naasoq
145,Gras::N,tráva,ivigaq
146,Wurzel::N,korenína,niulutaq
147,Baum::N,drevó,orpik
148,Stamm::N,dêblo,kanaartaq
149,Rinde::N,lúbje,ameraq
150,Rinde::N,skórja,ameraq
151,Ast::N,véja,avalequt
152,Zweig::N,véja,avalequt
153,Blatt::N,líst,pilutaq
154,Birke::N,bréza,patitsit
155,Kiefer[Baum]::N,bòr,
156,Weide[Baum]::N,vŕba,palleq
157,Tanne::N,hója,orsuerneq
158,Horn::N,róg,nassuk
159,Feder::N,peró,suluk
160,Fell::N,kŕzno,ameq
161,Flügel::N,krílo,suluk
162,Flügel::N,krílo,isaroq
163,Klaue::N,párkelj,kukik
164,Kralle::N,krémpelj,kukik
165,Schwanz::N,rèp,pamioq
166,Schwanz::N,rèp,paperuusaq
167,Ei::N,jájce,mannik
168,Nest::N,gnézdo,ullut
169,Bau::N,brlòg,ini
170,Tier::N,živál,uumasoq
171,Herde::N,čréda,unguukkat
172,Kuh::N,kráva,ussik
173,Bulle::N,bìk,angukulak
174,Bulle::N,bìk,anguteralak
175,Bulle::N,bìk,angutikulooq
176,Pferd::N,kònj,
177,Schaf::N,ôvca,sava
178,Schwein::N,svínja,puuluki
179,Hund::N,pès,qimmeq
180,Katze::N,máčka,puisaaq
181,Bär::N,mêdved,allaq
182,Eichhörnchen::N,véverica,sissinnguaq
183,Elch::N,lós,
184,Fuchs::N,lisíca,terianniaq
185,Hase::N,zájec,ukaleq
186,Maus::N,mìš,teriannguaq
187,Wolf::N,vólk,amaroq
188,Vogel::N,ptìč,timmiaq
189,Vogel::N,ptíca,timmiaq
190,Schwarm::N,játa,
191,Huhn::N,kokóš,kukkukooq
192,Huhn::N,kokóš,marloraaqaaq
193,Hahn::N,petêlin,kiasiusaq
194,Gans::N,gós,nerleq
195,Adler::N,ôrel,nattoralik
196,Ente::N,ráca,
197,Eule::N,sôva,uppik
198,Kranich::N,žerjàv,qorlorfik
199,Krähe::N,vrána,tuluatsiaq
200,Kuckuck::N,kúkavica,kukkooq
201,Schwan::N,labód,qussuk
202,Fisch::N,ríba,aalisagaq
203,Barsch::N,ostríž,
204,Hecht::N,ščúka,
205,Schlange[Tier]::N,káča,pulateriarsuk
206,Schlange[Tier]::N,káča,pulateriaarsuk
207,Wurm::N,čr̀v,
208,Wurm::N,glísta,
209,Spinne::N,pájek,aasiaq
210,Spinne::N,pájek,nissavaarsuk
211,Ameise::N,mrávlja,uniaaluk
212,Laus::N,úš,kumak
213,Mücke::N,komár,ippernaq
214,Fliege::N,múha,ippernaq
215,Schmetterling::N,metúlj,paluaq
216,Schmetterling::N,metúlj,pakkaluaq
217,Schmetterling::N,metúlj,utsuppaluaq
218,Schmetterling::N,metúlj,taqaleqisaaq
219,Beere::N,jágoda,paarmaq
220,Beere::N,jágoda,paarngaq
221,Apfel::N,jábolko,iipili
222,Pilz::N,góba,anngiusaq
223,Zwiebel::N,čebúla,uanitsoq
224,Saat::N,séme,naatsiiassaq
225,Korn::N,zŕno,maannineq
226,Heu::N,senó,
227,Schale::N,lupína,niutsivik
228,Schale::N,lupína,ilulissaq qaartussaq
229,Grube::N,jáma,itersaq
230,Falle::N,pást,pualavoq
231,Schlinge::N,zánka,orseq
232,Schlinge::N,zánka,norloq
233,Schlinge::N,pêtlja,orseq
234,Schlinge::N,pêtlja,norloq
235,Spur::N,sléd,tumaa
236,Asche::N,pepél,arsat
237,Dreck::N,bláto,minguk
238,Eisen::N,želézo,savimineq
239,Eisen::N,želézo,saffiugassaq
240,Gold::N,zlató,kuulti
241,Silber::N,srebró,siilviuvoq
242,Kohle::N,ógel,aamarsuit aamaruutissat
243,Glas::N,stêklo,igalaaq
244,Glas::N,stêklo,imertarfik
245,Glas::N,stêklo,igalaamineq
246,Lehm::N,ílo,marraq
247,Sand::N,pések,sioqqat
248,Mensch::N,člôvek,inuk
249,Mensch::N,člôvek,silamiu
250,Mann::N,móž,angut
251,Mann::N,môški,angut
252,Frau::N,gospá,arnaq
253,Frau::N,žénska,arnaq
254,Kind::N,déte,meeraq
255,Kind::N,otròk,meeraq
256,Junge::N,fànt,nukappiaraq
257,Junge::N,déček,nukappiaraq
258,Mädchen::N,deklè,arnannguaq
259,Mädchen::N,déklica,arnannguaq
260,Familie::N,družína,ilaqutakka
261,Familie::N,družína,ilaqutariit
262,Großvater::N,dèd,aatak
263,Großvater::N,dédek,aatak
264,Großmutter::N,bábica,aanaq
265,Eltern::N,stárši,angajoqqaat
266,Vater::N,ôče,ataata
267,Vater::N,ôče,ataataq
268,Mutter::N,máma,anaana
269,Sohn::N,sín,erneq
270,Tochter::N,hčí,panik
271,Tochter::N,hčérka,panik
272,Bruder::N,bràt,ani
273,Bruder::N,bràt,aqqaluk
274,Bruder::N,bràt,qatanngut
275,Schwester::N,sêstra,naja
276,Schwester::N,sêstra,aleqa
277,Schwester::N,sêstra,qatanngut
278,Onkel::N,újec,akkak
279,Onkel::N,stríc,akkak
280,Tante::N,têta,aja
281,Tante::N,têta,ajak
282,Tante::N,têta,atsak
283,Tante::N,strína,aja
284,Tante::N,strína,ajak
285,Tante::N,strína,atsak
286,Ehemann::N,móž,ui
287,Ehemann::N,sopróg,ui
288,Ehefrau::N,žêna,nuliaq
289,Ehefrau::N,sopróga,nuliaq
290,Freude::N,rádost,tipaatsussuseq
291,Freude::N,vesêlje,tipaatsussuseq
292,Gelächter::N,sméh,illaq
