,Concept_ID,sl,zh
0,Auge::N,okó,眼睛
1,Ohr::N,uhó,耳朵
2,Nase::N,nós,鼻子
3,Mund::N,ústa,嘴
4,Zahn::N,zób,牙齿
5,Zunge::N,jêzik,舌头
6,Lippe::N,ústnica,嘴唇
7,Wange::N,líce,面颊
8,Gesicht::N,oblíčje,脸
9,Stirn::N,čêlo,额
10,Haar::N,lás,头发
11,Schnurrbart::N,bŕki,髭须
12,Bart::N,bráda,胡子
13,Kinn::N,bráda,下巴
14,Kiefer[Anatomie]::N,čeljúst,颌
15,Kehle::N,gŕlo,嗓子
16,Hals::N,vrát,颈
17,Genick::N,zatílnik,后颈
18,Kopf::N,gláva,头
19,Rücken::N,hrbèt,背
20,Bauch::N,trébuh,肚子
21,Nabel::N,pópek,肚脐
22,Busen::N,nédrja,胸脯
23,Brust::N,pŕsi,胸
24,Schulter::N,ráma,肩膀
25,Schulter::N,plêče,肩膀
26,Arm::N,rôka,臂膀
27,Ellenbogen::N,komólec,肘
28,Hand::N,rôka,手
29,Handfläche::N,dlán,手掌
30,Finger::N,pŕst,手指
31,Fingernagel::N,nóht na rôki,指甲
32,Nagel[Anatomie]::N,nóht,指甲
33,Zeh::N,pŕst na nôgi,脚趾
34,Fuß::N,nôga,脚
35,Ferse::N,pêta,后跟
36,Knie::N,koléno,膝
37,Oberschenkel::N,stêgno,大腿
38,Bein::N,nôga,腿
39,Körper::N,teló,身体
40,Haut::N,kóža,皮肤
41,Blut::N,krí,血
42,Ader::N,žíla,血管
43,Sehne::N,kíta,腱
44,Knochen::N,kóst,骨
45,Gehirn::N,možgáni,脑
46,Herz::N,srcé,心
47,Magen::N,želódec,胃
48,Leber::N,jétra,肝
49,Atem::N,díh,呼吸
50,Hunger::N,glád,饿
51,Träne::N,sólza,眼泪
52,Geschmack::N,okús,味道
53,Geruch::N,vónj,气味
54,Schlaf::N,sèn,睡眠
55,Schlaf::N,spánec,睡眠
56,Traum::N,sánje,梦
57,Himmel::N,nebó,天空
58,Sonne::N,sónce,太阳
59,Mond::N,lúna,月亮
60,Mond::N,mésec,月亮
61,Stern::N,zvézda,星
62,Luft::N,zràk,空气
63,Wind::N,véter,风
64,Welle::N,vál,波
65,Wasser::N,vôda,水
66,Stein::N,kámen,石头
67,Boden::N,tlà,地面
68,Erde::N,pŕst,地
69,Erde::N,zêmlja,地
70,Staub::N,práh,灰尘
71,Rauch::N,dìm,烟
72,Funke::N,ískra,火花
73,Feuer::N,ôgenj,火
74,Licht::N,lúč,光
75,Schatten::N,sénca,影子
76,Wetter::N,vrême,天气
77,Nebel::N,meglà,雾
78,Wolke::N,oblák,云
79,Regen::N,dèž,雨
80,Schnee::N,snég,雪
81,Eis::N,léd,冰
82,Frost::N,zmrzál,霜冻
83,Kälte::N,mràz,寒冷
84,Hitze::N,pripéka,炎热
85,Raureif::N,ívje,霜
86,Raureif::N,slána,霜
87,Regenbogen::N,mávrica,虹
88,Donner::N,gròm,雷
89,Strömung::N,strúja,水流
90,Tropfen::N,káplja,滴
91,Schaum::N,péna,泡沫
92,Schmutz::N,nesnága,赃物
93,See::N,jézero,湖
94,Sumpf::N,močvírje,沼泽
95,Moor::N,bárje,沼泽
96,Wiese::N,trávnik,草地
97,Wald::N,lés,森林
98,Wald::N,gòzd,森林
99,Hügel::N,brég,丘陵
100,Hügel::N,goríca,丘陵
101,Anhöhe::N,gríč,山丘
102,Anhöhe::N,višína,山丘
103,Berg::N,gôra,山
104,Berg::N,planína,山
105,Gipfel::N,vŕh,峰
106,Höhle::N,jáma,洞穴
107,Höhle::N,votlína,洞穴
108,Abhang::N,pobóčje,斜坡
109,Quelle::N,izvír,泉
110,Bach::N,pôtok,溪
111,Fluss::N,réka,河流
112,Ufer::N,brég,岸
113,Küste::N,obála,海岸
114,Küste::N,obréžje,海岸
115,Festland::N,celína,大陆
116,Festland::N,kopnína,大陆
117,Meer::N,mórje,海
118,Bucht::N,zalív,海湾
119,Insel::N,ôtok,岛
120,Blume::N,cvetlíca,花
121,Gras::N,tráva,草
122,Wurzel::N,korenína,根
123,Baum::N,drevó,树
124,Stamm::N,dêblo,树干
125,Rinde::N,lúbje,树皮
126,Rinde::N,skórja,树皮
127,Ast::N,véja,树枝
128,Zweig::N,véja,树枝
129,Blatt::N,líst,叶子
130,Birke::N,bréza,桦木
131,Kiefer[Baum]::N,bòr,松树
132,Weide[Baum]::N,vŕba,柳树
133,Tanne::N,hója,冷杉
134,Horn::N,róg,角
135,Feder::N,peró,羽毛
136,Fell::N,kŕzno,皮毛
137,Flügel::N,krílo,翅膀
138,Klaue::N,párkelj,爪子
139,Kralle::N,krémpelj,爪子
140,Schwanz::N,rèp,尾巴
141,Ei::N,jájce,蛋
142,Nest::N,gnézdo,巢
143,Bau::N,brlòg,穴
144,Tier::N,živál,动物
145,Herde::N,čréda,群
146,Kuh::N,kráva,母牛
147,Bulle::N,bìk,公牛
148,Pferd::N,kònj,马
149,Schaf::N,ôvca,羊
150,Schwein::N,svínja,猪
151,Hund::N,pès,狗
152,Katze::N,máčka,猫
153,Bär::N,mêdved,熊
154,Eichhörnchen::N,véverica,松鼠
155,Elch::N,lós,麋鹿
156,Fuchs::N,lisíca,狐狸
157,Hase::N,zájec,兔子
158,Maus::N,mìš,老鼠
159,Wolf::N,vólk,狼
160,Vogel::N,ptìč,鸟
161,Vogel::N,ptíca,鸟
162,Schwarm::N,játa,群
163,Huhn::N,kokóš,鸡
164,Hahn::N,petêlin,公鸡
165,Gans::N,gós,鹅
166,Adler::N,ôrel,鹰
167,Ente::N,ráca,鸭
168,Eule::N,sôva,猫头鹰
169,Kranich::N,žerjàv,鹤
170,Krähe::N,vrána,乌鸦
171,Kuckuck::N,kúkavica,布谷鸟
172,Schwan::N,labód,天鹅
173,Fisch::N,ríba,鱼
174,Barsch::N,ostríž,鲈鱼
175,Hecht::N,ščúka,狗鱼
176,Schlange[Tier]::N,káča,蛇
177,Wurm::N,čr̀v,蠕虫
178,Wurm::N,glísta,蠕虫
179,Spinne::N,pájek,蜘蛛
180,Ameise::N,mrávlja,蚂蚁
181,Laus::N,úš,虱子
182,Mücke::N,komár,蚊子
183,Fliege::N,múha,苍蝇
184,Schmetterling::N,metúlj,蝴蝶
185,Beere::N,jágoda,将果
186,Apfel::N,jábolko,苹果
187,Pilz::N,góba,蘑菇
188,Zwiebel::N,čebúla,洋葱
189,Saat::N,séme,种子
190,Korn::N,zŕno,谷粒
191,Heu::N,senó,干草
192,Schale::N,lupína,壳
193,Grube::N,jáma,坑
194,Falle::N,pást,圈套
195,Schlinge::N,zánka,活扣
196,Schlinge::N,pêtlja,活扣
197,Spur::N,sléd,踪迹
198,Asche::N,pepél,灰烬
199,Dreck::N,bláto,污垢
200,Eisen::N,želézo,铁
201,Gold::N,zlató,金子
202,Silber::N,srebró,银
203,Kohle::N,ógel,煤
204,Glas::N,stêklo,玻璃
205,Lehm::N,ílo,粘土
206,Sand::N,pések,沙
207,Mensch::N,člôvek,人
208,Mann::N,móž,男子
209,Mann::N,môški,男子
210,Frau::N,gospá,妇女
211,Frau::N,žénska,妇女
212,Kind::N,déte,小孩
213,Kind::N,otròk,小孩
214,Junge::N,fànt,男孩
215,Junge::N,déček,男孩
216,Mädchen::N,deklè,女孩
217,Mädchen::N,déklica,女孩
218,Familie::N,družína,家庭
219,Großvater::N,dèd,祖父
220,Großvater::N,dédek,祖父
221,Großmutter::N,bábica,祖母
222,Eltern::N,stárši,父母
223,Vater::N,ôče,父亲
224,Mutter::N,máma,母亲
225,Sohn::N,sín,儿子
226,Tochter::N,hčí,女儿
227,Tochter::N,hčérka,女儿
228,Bruder::N,bràt,兄弟
229,Schwester::N,sêstra,姐妹
230,Onkel::N,újec,伯父
231,Onkel::N,stríc,伯父
232,Tante::N,têta,阿姨
233,Tante::N,strína,阿姨
234,Ehemann::N,móž,丈夫
235,Ehemann::N,sopróg,丈夫
236,Ehefrau::N,žêna,妻子
237,Ehefrau::N,sopróga,妻子
238,Freude::N,rádost,愉快
239,Freude::N,vesêlje,愉快
240,Gelächter::N,sméh,大笑
241,Gelächter::N,grohòt,大笑
242,Glück::N,sréča,运气
243,Kummer::N,gorjé,苦恼
244,Wunsch::N,žêlja,愿望
245,Lust::N,poželênje,乐趣
246,Geist::N,dúša,精神
247,Gedanke::N,mísel,思想
248,Gedächtnis::N,pámet,记性
249,Sinn::N,pomèn,感觉
250,Sinn::N,smísel,感觉
251,Grund::N,vzròk,理由
252,Wahrheit::N,resníca,真理
253,Gespräch::N,pogóvor,谈话
254,Märchen::N,právljica,童话
255,Erzählung::N,povést,故事
256,Nachricht::N,sporočílo,消息
257,Neuigkeit::N,novóst,新闻
258,Name::N,imé,名字
259,Rätsel::N,ugánka,谜语
260,Rede::N,góvor,讲话
261,Sprache::N,jêzik,语言
262,Stimme::N,glás,声音
263,Wort::N,beséda,词
264,Zeichen::N,znák,标记
265,Ruf::N,klíc,呼喊
266,Lärm::N,hrúp,噪音
267,Lärm::N,trúšč,噪音
268,Laut::N,glás,响声
269,Ton::N,tón,声音
270,Lied::N,pésem,歌曲
271,Ruhe::N,pokòj,安静
272,Leute::N,ljudjé,人们
273,Volk::N,národ,人民
274,Arbeit::N,délo,劳动
275,Gast::N,gòst,客人
276,Geschenk::N,darílo,礼物
277,Spiel::N,ígra,游戏
278,Gesellschaft::N,drúžba,陪同
279,Hilfe::N,pomóč,帮助
280,Freund::N,prijátelj,朋友
281,Kamerad::N,továriš,同志
282,Angelegenheit::N,zadéva,事情
283,Anzahl::N,števílo,数目
284,Art::N,vŕsta,种类
285,Stück::N,kós,块
286,Teil::N,dél,部分
287,Hälfte::N,polovíca,一半
288,Kreis::N,króg,圆
289,Kreis::N,kolobár,圆
290,Kreuz::N,kríž,十字架
291,Linie::N,próga,线条
292,Strich::N,čŕta,划
293,Abstand::N,preslédek,距离
294,Entfernung::N,oddáljenost,距离
295,Gegend::N,kràj,地区
296,Gegend::N,dežêla,地区
297,Platz::N,prôstor,场所
298,Ort::N,mésto,地点
299,Seite::N,bòk,面
300,Seite::N,strán,面
301,Mitte::N,sredína,中间
302,Gegenstand::N,prédmet,物品
303,Sache::N,réč,物
