,Concept_ID,ar,fr
0,Auge::N,عين,œil
1,Ohr::N,أذن,oreille
2,Nase::N,أنف,nez
3,Mund::N,فم,bouche
4,Zahn::N,سن,dent
5,Zunge::N,لسان,langue
6,Lippe::N,شفة,lèvre
7,Wange::N,خد,joue
8,Wange::N,وجنة,joue
9,Gesicht::N,وجه,face
10,Gesicht::N,وجه,visage
11,Stirn::N,جبين,front
12,Haar::N,شعر,cheveu
13,Schnurrbart::N,شارب,moustache
14,Bart::N,لحية,barbe
15,Kinn::N,ذقن,menton
16,Kiefer[Anatomie]::N,فك,mâchoire
17,Kehle::N,حلق,gorge
18,Hals::N,عنق,cou
19,Hals::N,رقبة,cou
20,Genick::N,قفا,nuque
21,Kopf::N,رأس,tête
22,Rücken::N,ظهر,dos
23,Bauch::N,بطن,ventre
24,Nabel::N,سرة,nombril
25,Busen::N,ثدي,sein
26,Brust::N,صدر,poitrine
27,Schulter::N,كتف,épaule
28,Arm::N,ذراع,bras
29,Ellenbogen::N,كوع,coude
30,Hand::N,يد,main
31,Handfläche::N,كف,paume
32,Finger::N,إصبع,doigt
33,Fingernagel::N,ظفر,ongle
34,Nagel[Anatomie]::N,ظفر,ongle
35,Zeh::N,إصبع القدم,orteil
36,Zeh::N,إصبع القدم,doigt de pied
37,Fuß::N,قدم,pied
38,Ferse::N,كعب,talon
39,Knie::N,ركبة,genou
40,Oberschenkel::N,فخذ,cuisse
41,Bein::N,ساق,jambe
42,Körper::N,جسم,corps
43,Haut::N,بشرة,peau
44,Blut::N,دم,sang
45,Ader::N,عرق,veine
46,Sehne::N,طنب,tendon
47,Knochen::N,عظم,os
48,Gehirn::N,دماغ,cerveau
49,Herz::N,قلب,cœur
50,Magen::N,معدة,estomac
51,Leber::N,كبد,foie
52,Atem::N,نفس,haleine
53,Hunger::N,جوع,faim
54,Träne::N,دمعة,larme
55,Geschmack::N,طعم,goût
56,Geschmack::N,طعم,saveur
57,Geschmack::N,مذاق,goût
58,Geschmack::N,مذاق,saveur
59,Geruch::N,رائحة,odeur
60,Schlaf::N,نوم,sommeil
61,Schlaf::N,منام,sommeil
62,Traum::N,حلم,songe
63,Himmel::N,سماء,ciel
64,Sonne::N,شمس,soleil
65,Mond::N,قمر,lune
66,Stern::N,نجم,étoile
67,Stern::N,كوكب,étoile
68,Luft::N,هواء,air
69,Wind::N,ريح,vent
70,Welle::N,موجة,vague
71,Wasser::N,ماء,eau
72,Stein::N,حجر,pierre
73,Boden::N,تراب,sol
74,Boden::N,تراب,terrain
75,Erde::N,أرض,terre
76,Staub::N,غبار,poussière
77,Rauch::N,دخان,fumée
78,Funke::N,شرارة,étincelle
79,Feuer::N,نار,feu
80,Licht::N,نور,lumière
81,Licht::N,ضوء,lumière
82,Schatten::N,ظل,ombre
83,Schatten::N,فيء,ombre
84,Wetter::N,جو,temps
85,Wetter::N,طقس,temps
86,Nebel::N,ضباب,brume
87,Nebel::N,ضباب,brouillard
88,Wolke::N,غيمة,nuage
89,Wolke::N,سحابة,nuage
90,Regen::N,مطر,pluie
91,Schnee::N,ثلج,neige
92,Eis::N,جليد,glace
93,Frost::N,صقيع,gel
94,Frost::N,صقيع,gelée
95,Kälte::N,برد,froid
96,Hitze::N,حر,chaleur
97,Hitze::N,حرارة,chaleur
98,Raureif::N,صقيع,givre
99,Regenbogen::N,قوس قزح,arc-en-ciel
100,Donner::N,رعد,tonnerre
101,Strömung::N,تيار,courant
102,Tropfen::N,قطرة,goutte
103,Schaum::N,زبد,écume
104,Schaum::N,زبد,mousse
105,Schaum::N,رغوة,écume
106,Schaum::N,رغوة,mousse
107,Schmutz::N,وسخ,boue
108,Schmutz::N,وسخ,saleté
109,See::N,بحيرة,lac
110,Sumpf::N,مستنقع,marais
111,Sumpf::N,مستنقع,marécage
112,Moor::N,مستنقع,tourbière
113,Wiese::N,مرج,pré
114,Wald::N,غابة,bois
115,Wald::N,غابة,forêt
116,Hügel::N,تل,coteau
117,Hügel::N,تل,colline
118,Anhöhe::N,تل,éminence
119,Anhöhe::N,تل,élévation
120,Berg::N,جبل,mont
121,Berg::N,جبل,montagne
122,Gipfel::N,قمة,cime
123,Gipfel::N,قمة,sommet
124,Höhle::N,كهف,caverne
125,Abhang::N,منحدر,pente
126,Abhang::N,منحدر,versant
127,Quelle::N,منبع,source
128,Quelle::N,منبع,fontaine
129,Bach::N,مجرى,ruisseau
130,Fluss::N,نهر,fleuve
131,Fluss::N,نهر,rivière
132,Ufer::N,ضفة,bord
133,Ufer::N,ضفة,rivage
134,Küste::N,ساحل,côte
135,Festland::N,بر,terre ferme
136,Meer::N,بحر,mer
137,Bucht::N,خليج,baie
138,Insel::N,جزيرة,île
139,Blume::N,زهرة,fleur
140,Gras::N,حشيش,herbe
141,Wurzel::N,أصل,racine
142,Baum::N,شجرة,arbre
143,Stamm::N,جذع,tronc
144,Rinde::N,قشرة,écorce
145,Ast::N,فرع,branche
146,Zweig::N,غصن,rameau
147,Blatt::N,ورقة,feuille
148,Birke::N,قضبان,bouleau
149,Kiefer[Baum]::N,صنوبرة,pin
150,Weide[Baum]::N,صفصاف,saule
151,Tanne::N,شوح,sapin
152,Tanne::N,تبوب,sapin
153,Horn::N,قرن,corne
154,Feder::N,ريشة,plume
155,Fell::N,فرو,peau
156,Flügel::N,جناح,aile
157,Klaue::N,مخلب,serre
158,Kralle::N,مخلب,ongle
159,Kralle::N,مخلب,griffe
160,Schwanz::N,ذيل,queue
161,Ei::N,بيض,œuf
162,Nest::N,عش,nid
163,Bau::N,جحر,terrier
164,Tier::N,حيوان,animal
165,Herde::N,قطيع,troupeau
166,Kuh::N,بقرة,vache
167,Bulle::N,ثور,taureau
168,Pferd::N,خيل,cheval
169,Schaf::N,شاة,mouton
170,Schwein::N,خنزير,porc
171,Schwein::N,خنزير,cochon
172,Hund::N,كلب,chien
173,Katze::N,قطة,chat
174,Bär::N,دب,ours
175,Eichhörnchen::N,سنجاب,écureuil
176,Elch::N,موظ,élan
177,Fuchs::N,ثعلب,renard
178,Hase::N,أرنب,lièvre
179,Maus::N,فأرة,souris
180,Wolf::N,ذئب,loup
181,Vogel::N,طير,oiseau
182,Schwarm::N,سرب,nuée
183,Schwarm::N,سرب,volée
184,Huhn::N,دجاجة,poule
185,Hahn::N,ديك,coq
186,Gans::N,وزة,oie
187,Adler::N,نسر,aigle
188,Ente::N,بطة,canard
189,Eule::N,بوم,hibou
190,Kranich::N,كركي,grue
191,Krähe::N,غراب,corneille
192,Kuckuck::N,وقواق,coucou
193,Schwan::N,إوز عراقي,cygne
194,Fisch::N,سمك,poisson
195,Barsch::N,فرخ أوربي,perche
196,Hecht::N,سمك الكراكي,brochet
197,Schlange[Tier]::N,حية,serpent
198,Schlange[Tier]::N,ثعبان,serpent
