,Concept_ID,sl,no
0,Auge::N,okó,øye
1,Ohr::N,uhó,øre
2,Nase::N,nós,nese
3,Mund::N,ústa,munn
4,Zahn::N,zób,tann
5,Zunge::N,jêzik,tunge
6,Lippe::N,ústnica,leppe
7,Wange::N,líce,kinn
8,Gesicht::N,oblíčje,fjes
9,Gesicht::N,oblíčje,ansikt
10,Stirn::N,čêlo,panne
11,Haar::N,lás,hår
12,Schnurrbart::N,bŕki,bart
13,Bart::N,bráda,skjegg
14,Kinn::N,bráda,hake
15,Kiefer[Anatomie]::N,čeljúst,kjeve
16,Kehle::N,gŕlo,strupe
17,Hals::N,vrát,hals
18,Genick::N,zatílnik,nakke
19,Kopf::N,gláva,hode
20,Rücken::N,hrbèt,rygg
21,Bauch::N,trébuh,buk
22,Bauch::N,trébuh,mage
23,Nabel::N,pópek,navle
24,Busen::N,nédrja,barm
25,Brust::N,pŕsi,bryst
26,Schulter::N,ráma,skulder
27,Schulter::N,plêče,skulder
28,Arm::N,rôka,arm
29,Ellenbogen::N,komólec,albue
30,Hand::N,rôka,hånd
31,Handfläche::N,dlán,håndflate
32,Finger::N,pŕst,finger
33,Fingernagel::N,nóht na rôki,fingernegl
34,Nagel[Anatomie]::N,nóht,negl
35,Zeh::N,pŕst na nôgi,tå
36,Fuß::N,nôga,fot
37,Ferse::N,pêta,hæl
38,Knie::N,koléno,kne
39,Oberschenkel::N,stêgno,lår
40,Bein::N,nôga,bein
41,Körper::N,teló,kropp
42,Körper::N,teló,legeme
43,Haut::N,kóža,hud
44,Haut::N,kóža,skinn
45,Blut::N,krí,blod
46,Ader::N,žíla,åre
47,Sehne::N,kíta,sene
48,Knochen::N,kóst,bein
49,Knochen::N,kóst,knokkel
50,Gehirn::N,možgáni,hjerne
51,Herz::N,srcé,hjerte
52,Magen::N,želódec,mage
53,Leber::N,jétra,lever
54,Atem::N,díh,pust
55,Hunger::N,glád,sult
56,Träne::N,sólza,tåre
57,Geschmack::N,okús,smak
58,Geruch::N,vónj,lukt
59,Schlaf::N,sèn,søvn
60,Schlaf::N,spánec,søvn
61,Traum::N,sánje,drøm
62,Himmel::N,nebó,himmel
63,Sonne::N,sónce,sol
64,Mond::N,lúna,måne
65,Mond::N,mésec,måne
66,Stern::N,zvézda,stjerne
67,Luft::N,zràk,luft
68,Wind::N,véter,vind
69,Welle::N,vál,bølge
70,Wasser::N,vôda,vann
71,Stein::N,kámen,stein
72,Boden::N,tlà,bakke
73,Erde::N,pŕst,jord
74,Erde::N,zêmlja,jord
75,Staub::N,práh,støv
76,Rauch::N,dìm,røyk
77,Funke::N,ískra,gnist
78,Feuer::N,ôgenj,ild
79,Licht::N,lúč,lys
80,Schatten::N,sénca,skygge
81,Wetter::N,vrême,vær
82,Nebel::N,meglà,tåke
83,Wolke::N,oblák,sky
84,Regen::N,dèž,regn
85,Schnee::N,snég,snø
86,Eis::N,léd,is
87,Frost::N,zmrzál,frost
88,Kälte::N,mràz,kulde
89,Hitze::N,pripéka,hete
90,Raureif::N,ívje,rimfrost
91,Raureif::N,slána,rimfrost
92,Regenbogen::N,mávrica,regnbue
93,Donner::N,gròm,torden
94,Strömung::N,strúja,strømning
95,Tropfen::N,káplja,dråpe
96,Schaum::N,péna,skum
97,Schmutz::N,nesnága,søl
98,Schmutz::N,nesnága,skitt
99,See::N,jézero,sjø
100,Sumpf::N,močvírje,sump
101,Sumpf::N,močvírje,myrlende
102,Moor::N,bárje,myr
103,Moor::N,bárje,myrhei
104,Wiese::N,trávnik,eng
105,Wald::N,lés,skog
106,Wald::N,gòzd,skog
107,Hügel::N,brég,haug
108,Hügel::N,brég,bakke
109,Hügel::N,goríca,haug
110,Hügel::N,goríca,bakke
111,Anhöhe::N,gríč,haug
112,Anhöhe::N,gríč,bakke
113,Anhöhe::N,višína,haug
114,Anhöhe::N,višína,bakke
115,Berg::N,gôra,berg
116,Berg::N,gôra,fjell
117,Berg::N,planína,berg
118,Berg::N,planína,fjell
119,Gipfel::N,vŕh,topp
120,Höhle::N,jáma,hule
121,Höhle::N,votlína,hule
122,Abhang::N,pobóčje,li
123,Abhang::N,pobóčje,skråning
124,Quelle::N,izvír,kilde
125,Bach::N,pôtok,bekk
126,Fluss::N,réka,elv
127,Ufer::N,brég,bredd
128,Küste::N,obála,kyst
129,Küste::N,obréžje,kyst
130,Festland::N,celína,fastland
131,Festland::N,kopnína,fastland
132,Meer::N,mórje,hav
133,Bucht::N,zalív,bukt
134,Insel::N,ôtok,øy
135,Blume::N,cvetlíca,blomst
136,Gras::N,tráva,gress
137,Wurzel::N,korenína,rot
138,Baum::N,drevó,tre
139,Stamm::N,dêblo,stamme
140,Rinde::N,lúbje,bark
141,Rinde::N,skórja,bark
142,Ast::N,véja,gren
143,Zweig::N,véja,kvist
144,Blatt::N,líst,blad
145,Birke::N,bréza,bjørk
146,Kiefer[Baum]::N,bòr,furu
147,Weide[Baum]::N,vŕba,selje
148,Weide[Baum]::N,vŕba,piletre
149,Tanne::N,hója,gran
150,Horn::N,róg,horn
151,Feder::N,peró,fjær
152,Fell::N,kŕzno,skinn
153,Flügel::N,krílo,vinge
154,Klaue::N,párkelj,klauv
155,Kralle::N,krémpelj,klo
156,Schwanz::N,rèp,hale
157,Ei::N,jájce,egg
158,Nest::N,gnézdo,rede
159,Bau::N,brlòg,hi
160,Tier::N,živál,dyr
161,Herde::N,čréda,flokk
162,Kuh::N,kráva,ku
163,Bulle::N,bìk,tyr
164,Pferd::N,kònj,hest
165,Schaf::N,ôvca,får
166,Schwein::N,svínja,gris
167,Hund::N,pès,hund
168,Katze::N,máčka,katt
169,Bär::N,mêdved,bjørn
170,Eichhörnchen::N,véverica,ekorn
171,Elch::N,lós,elg
172,Fuchs::N,lisíca,rev
173,Hase::N,zájec,hare
174,Maus::N,mìš,mus
175,Wolf::N,vólk,ulv
176,Wolf::N,vólk,varg
177,Vogel::N,ptìč,fugl
178,Vogel::N,ptíca,fugl
179,Schwarm::N,játa,sverm
180,Huhn::N,kokóš,høne
181,Hahn::N,petêlin,hane
182,Gans::N,gós,gås
183,Adler::N,ôrel,ørn
184,Ente::N,ráca,and
185,Eule::N,sôva,ugle
186,Kranich::N,žerjàv,trane
187,Krähe::N,vrána,kråke
188,Kuckuck::N,kúkavica,gjøk
189,Schwan::N,labód,svane
190,Fisch::N,ríba,fisk
191,Barsch::N,ostríž,abbor
192,Hecht::N,ščúka,gjedde
193,Schlange[Tier]::N,káča,orm
194,Schlange[Tier]::N,káča,slange
195,Wurm::N,čr̀v,orm
196,Wurm::N,čr̀v,mark
197,Wurm::N,glísta,orm
198,Wurm::N,glísta,mark
199,Spinne::N,pájek,edderkopp
200,Ameise::N,mrávlja,maur
201,Laus::N,úš,lus
202,Mücke::N,komár,mygg
203,Fliege::N,múha,flue
204,Schmetterling::N,metúlj,sommerfugl
205,Beere::N,jágoda,bær
206,Apfel::N,jábolko,eple
207,Pilz::N,góba,sopp
208,Zwiebel::N,čebúla,løk
209,Saat::N,séme,sæd
210,Korn::N,zŕno,korn
211,Heu::N,senó,høy
212,Schale::N,lupína,skall
213,Grube::N,jáma,grop
