,Concept_ID,it,pl
0,Auge::N,occhio,oko
1,Ohr::N,orecchio,ucho
2,Nase::N,naso,nos
3,Mund::N,bocca,usta
4,Zahn::N,dente,ząb
5,Zunge::N,lingua,język
6,Lippe::N,labbro,warga
7,Wange::N,guancia,policzek
8,Gesicht::N,viso,twarz
9,Gesicht::N,faccia,twarz
10,Stirn::N,fronte,czoło
11,Haar::N,capello,włos
12,Haar::N,capello,włosy
13,Schnurrbart::N,baffi,wąsy
14,Schnurrbart::N,mustacchi,wąsy
15,Bart::N,barba,broda
16,Kinn::N,mento,podbródek
17,Kiefer[Anatomie]::N,mascella,czeluść
18,Kehle::N,gola,gardło
19,Hals::N,collo,szyja
20,Genick::N,nuca,kark
21,Kopf::N,capo,głowa
22,Kopf::N,testa,głowa
23,Rücken::N,dorso,plecy
24,Rücken::N,dorso,grzbiet
25,Rücken::N,schiena,plecy
26,Rücken::N,schiena,grzbiet
27,Bauch::N,ventre,brzuch
28,Nabel::N,ombelico,pępek
29,Busen::N,seno,biust
30,Brust::N,petto,pierś
31,Schulter::N,spalla,bark
32,Schulter::N,spalla,ramię
33,Arm::N,braccio,ręka
34,Arm::N,braccio,ramię
35,Ellenbogen::N,gomito,łokieć
36,Hand::N,mano,dłoń
37,Handfläche::N,palma,dłoń
38,Finger::N,dito,palec
39,Fingernagel::N,unghia,paznokieć
40,Nagel[Anatomie]::N,unghia,paznokieć
41,Zeh::N,dito del piede,palec
42,Fuß::N,piede,stopa
43,Ferse::N,tallone,pięta
44,Ferse::N,calcagno,pięta
45,Knie::N,ginocchio,kolano
46,Oberschenkel::N,fèmore,udo
47,Bein::N,gamba,noga
48,Körper::N,corpo,ciało
49,Haut::N,pelle,skóra
50,Blut::N,sangue,krew
51,Ader::N,vena,żyła
52,Sehne::N,tèndine,ścięgno
53,Knochen::N,osso,kość
54,Gehirn::N,cervello,mózg
55,Herz::N,cuore,serce
56,Magen::N,stòmaco,żołądek
57,Leber::N,fegato,wątroba
58,Atem::N,fiato,dech
59,Atem::N,fiato,oddech
60,Atem::N,respiro,dech
61,Atem::N,respiro,oddech
62,Hunger::N,fame,głód
63,Träne::N,làcrima,łza
64,Geschmack::N,gusto,smak
65,Geschmack::N,sapore,smak
66,Geruch::N,odore,woń
67,Geruch::N,odore,zapach
68,Schlaf::N,sonno,sen
69,Traum::N,sogno,sen
70,Himmel::N,cielo,niebo
71,Sonne::N,sole,słońce
72,Mond::N,luna,księżyc
73,Stern::N,stella,gwiazda
74,Luft::N,aria,powietrze
75,Wind::N,vento,wiatr
76,Welle::N,onda,fala
77,Wasser::N,acqua,woda
78,Stein::N,sasso,kamień
79,Stein::N,pietra,kamień
80,Boden::N,suolo,grunt
81,Boden::N,terreno,grunt
82,Erde::N,terra,ziemia
83,Staub::N,polvere,pył
84,Staub::N,polvere,kurz
85,Rauch::N,fumo,dym
86,Funke::N,scintilla,iskra
87,Feuer::N,fuoco,ogień
88,Licht::N,luce,światło
89,Schatten::N,ombra,cień
90,Wetter::N,tempo,pogoda
91,Nebel::N,nebbia,mgła
92,Wolke::N,nube,obłok
93,Wolke::N,nube,chmura
94,Wolke::N,nùvola,obłok
95,Wolke::N,nùvola,chmura
96,Regen::N,pioggia,deszcz
97,Schnee::N,neve,śnieg
98,Eis::N,ghiaccio,lód
99,Frost::N,gelo,mróz
100,Kälte::N,freddo,chłód
101,Hitze::N,caldo,gorąco
102,Hitze::N,calura,gorąco
103,Raureif::N,brina,szron
104,Regenbogen::N,arcobaleno,tęcza
105,Donner::N,tuono,grzmot
106,Strömung::N,corrente,nurt
107,Tropfen::N,goccia,kropla
108,Schaum::N,spuma,piana
109,Schaum::N,schiuma,piana
110,Schmutz::N,sudiciume,brud
111,See::N,lago,jezioro
112,Sumpf::N,palude,bagno
113,Moor::N,torbiera,bagno
114,Wiese::N,prato,łąka
115,Wald::N,bosco,las
116,Wald::N,foresta,las
117,Hügel::N,colle,pagórek
118,Hügel::N,collina,pagórek
119,Anhöhe::N,altura,wzgórze
120,Berg::N,monte,góra
121,Berg::N,montagna,góra
122,Gipfel::N,cima,szczyt
123,Gipfel::N,cima,wierzchołek
124,Höhle::N,grotta,pieczara
125,Höhle::N,caverna,pieczara
126,Abhang::N,pendìo,stok
127,Abhang::N,pendìo,zbocze
128,Quelle::N,sorgente,zdrój
129,Quelle::N,sorgente,źródło
130,Bach::N,ruscello,potok
131,Bach::N,ruscello,strumień
132,Fluss::N,fiume,rzeka
133,Ufer::N,riva,brzeg
134,Küste::N,costa,wybrzeże
135,Festland::N,terraferma,ląd
136,Meer::N,mare,morze
137,Bucht::N,cala,zatoka
138,Insel::N,ìsola,wyspa
139,Blume::N,fiore,kwiat
140,Gras::N,erba,trawa
141,Wurzel::N,radice,korzeń
142,Baum::N,àlbero,drzewo
143,Stamm::N,tronco,pień
144,Rinde::N,corteccia,kora
145,Ast::N,ramo,gałąź
146,Zweig::N,ramo,gałąź
147,Blatt::N,foglia,liść
148,Birke::N,betulla,brzoza
149,Kiefer[Baum]::N,pino,sosna
150,Weide[Baum]::N,sàlice,wierzba
151,Tanne::N,abete,jodła
152,Horn::N,corno,róg
153,Feder::N,penna,pióro
154,Fell::N,manto,futro
155,Fell::N,pelame,futro
156,Flügel::N,ala,skrzydło
157,Klaue::N,grinfia,szpon
158,Kralle::N,unghia,pazur
