,Concept_ID,vep,cs
0,Auge::N,sil'm,oko
1,Ohr::N,korv,ucho
2,Nase::N,nena,nos
3,Mund::N,su,pusa
4,Zahn::N,pi,zub
5,Zahn::N,hambaz,zub
6,Zunge::N,kel',jazyk
7,Lippe::N,hul',ret
8,Wange::N,modpolišk,tvář
9,Gesicht::N,mod,obličej
10,Stirn::N,oc,čelo
11,Haar::N,tuk,vlas
12,Haar::N,tuk,vlasy
13,Haar::N,hibuz,vlas
14,Haar::N,hibuz,vlasy
15,Schnurrbart::N,habinod,kníry
16,Bart::N,bard,vousy
17,Kinn::N,löug,brada
18,Kiefer[Anatomie]::N,hambazlu,čelist
19,Kehle::N,kurk,hrdlo
20,Hals::N,kagl,krk
21,Genick::N,tagarai,týl
22,Kopf::N,pä,hlava
23,Rücken::N,sel'g,záda
24,Rücken::N,sel'g,hřbet
25,Bauch::N,vac,břicho
26,Bauch::N,koht,břicho
27,Nabel::N,naba,pupek
28,Busen::N,niža,ňadra
29,Brust::N,rind,prsa
30,Schulter::N,oug,plece
31,Schulter::N,oug,rameno
32,Arm::N,käzi,ruka
33,Ellenbogen::N,künambruz,loket
34,Hand::N,käzi,ruka
35,Hand::N,käzitera,ruka
36,Handfläche::N,kämen,dlaň
37,Finger::N,sor'm,prst
38,Fingernagel::N,künz',nehet
39,Nagel[Anatomie]::N,künz',nehet
40,Zeh::N,barbaz,prst u nohy
41,Fuß::N,jaug,noha
42,Ferse::N,kand,pata
43,Knie::N,komb,koleno
44,Knie::N,pol'v,koleno
45,Oberschenkel::N,riiže,stehno
46,Bein::N,jaug,noha
47,Körper::N,hibj,tělo
48,Haut::N,nahk,kůže
49,Blut::N,čak,krev
50,Blut::N,veri,krev
51,Ader::N,son',céva
52,Sehne::N,jände,šlacha
53,Knochen::N,lu,kost
54,Gehirn::N,aivod,mozek
55,Herz::N,südäin,srdce
56,Magen::N,südäikoht,žaludek
57,Leber::N,maks,játra
58,Atem::N,hengaiduz,dech
59,Hunger::N,näl'g,hlad
60,Träne::N,kündal',slza
61,Geschmack::N,magu,vkus
62,Geruch::N,haju,vůně
63,Geruch::N,haju,zápach
64,Schlaf::N,uni,spánek
65,Traum::N,unikuva,sen
66,Himmel::N,taivaz,nebe
67,Sonne::N,päiväine,slunce
68,Mond::N,kudmaine,měsíc
69,Stern::N,tähtaz,hvězda
70,Luft::N,il'm,vzduch
71,Wind::N,döl,vítr
72,Wind::N,tullei,vítr
73,Welle::N,ald,vlna
74,Welle::N,laineh,vlna
75,Wasser::N,vezi,voda
76,Stein::N,kivi,kámen
77,Boden::N,ma,půda
78,Boden::N,pohj,půda
79,Erde::N,ma,země
80,Staub::N,pölü,prach
81,Rauch::N,savu,dým
82,Rauch::N,savu,kouř
83,Funke::N,kibin,jiskra
84,Feuer::N,lämoi,oheň
85,Licht::N,vauktuz,světlo
86,Schatten::N,pil'vez,stín
87,Schatten::N,kuvahaine,stín
88,Wetter::N,sä,počasí
89,Nebel::N,sumeg,mlha
90,Wolke::N,pil'v,mrak
91,Wolke::N,pil'v,oblak
92,Regen::N,vihm,déšť
93,Schnee::N,lumi,sníh
94,Eis::N,jä,led
95,Frost::N,hala,mráz
96,Frost::N,pakaine,mráz
97,Kälte::N,vilu,chlad
98,Hitze::N,räk,horko
99,Raureif::N,hüde,jinovatka
100,Regenbogen::N,jumalanbembel',duha
101,Donner::N,juru,hrom
102,Donner::N,jumalanjuru,hrom
103,Strömung::N,joksmuz,proudění
104,Tropfen::N,tilkuine,kapka
