,Concept_ID,ta,lt
0,Auge::N,கண்,akis
1,Ohr::N,காது,ausis
2,Nase::N,மூக்கு,nosis
3,Mund::N,வாய்,burna
4,Zahn::N,பல்,dantis
5,Zunge::N,நாக்கு,liežuvis
6,Lippe::N,உதடு,lūpa
7,Wange::N,கன்னம்,žandas
8,Wange::N,கன்னம்,skruostas
9,Gesicht::N,முகம்,veidas
10,Stirn::N,முன்னெற்றி,kakta
11,Haar::N,முடி,plaukai
12,Schnurrbart::N,மீசை,ūsai
13,Bart::N,தாடி,barzda
14,Kinn::N,கீழதாடை,smakras
15,Kiefer[Anatomie]::N,தாடை,žandikaulis
16,Kehle::N,தொண்டை,gerklė
17,Hals::N,கழுத்து,kaklas
18,Genick::N,கழுத்து,sprandas
19,Kopf::N,தலை,galva
20,Rücken::N,முதுகு,nugara
21,Bauch::N,வயிறு,pilvas
22,Nabel::N,தொப்புள்,bamba
23,Busen::N,மார்பகம்,krūtinė
24,Brust::N, மார்பு,krūtis
25,Schulter::N,தோள்பட்டை,petys
26,Arm::N,கரம்,ranka
27,Ellenbogen::N,முழங்கை,alkūnė
28,Hand::N,கை,ranka
29,Hand::N,கை,plaštaka
30,Handfläche::N,உள்ளங்கை,delnas
31,Handfläche::N,உள்ளங்கை,plaštaka
32,Finger::N,விரல்,pirštas
33,Fingernagel::N,விரல் நகம்,nagas
34,Nagel[Anatomie]::N,நகம்,nagas
35,Zeh::N,கால்விரல்,pirštas
36,Fuß::N,கால்,pėda
37,Ferse::N,குதிகால்,kulnas
38,Knie::N,முழங்கால்,kelis
39,Oberschenkel::N,தொடை,kulšis
40,Oberschenkel::N,தொடை,šlaunis
41,Bein::N,கால்,koja
42,Körper::N,உடல்,kūnas
43,Haut::N,சருமம்,oda
44,Blut::N,இரத்தம்,kraujas
45,Ader::N,நாளம்,kraujagyslė
46,Sehne::N,தசைநார்,sausgyslė
47,Knochen::N,எலுமபு,kaulas
48,Gehirn::N,மூனை,smegenys
49,Herz::N,இதயம,širdis
50,Magen::N,வயிறு,skrandis
51,Leber::N,கல்லீரல்,kepenys
52,Atem::N,மூச்சு,kvapas
53,Hunger::N,பசி,badas
54,Hunger::N,பசி,alkis
55,Träne::N,கண்ணீர்,ašara
56,Geschmack::N,நறுமணம்,skonis
57,Geruch::N,துர்நாற்றம்,kvapas
58,Schlaf::N,தூக்கம்,miegas
59,Traum::N,கனவு,sapnas
60,Himmel::N,வானம்,dangus
61,Sonne::N,சூரியன்,saulė
62,Mond::N,சந்திரன்,mėnulis
63,Stern::N,நட்சத்திரம்,žvaigždė
64,Luft::N,காறறு,oras
65,Wind::N,காற்று,vėjas
66,Welle::N,அலை,banga
67,Welle::N,அலை,vilnis
68,Wasser::N,நீர்,vanduo
69,Stein::N,கல்,akmuo
70,Boden::N,தரை,žemė
71,Boden::N,தரை,dugnas
72,Erde::N,மண்,žemė
73,Staub::N,தூசி,dulkės
74,Rauch::N,புகை,dūmai
75,Funke::N,தீப்பொறி,kibirkštis
76,Feuer::N,தீ,ugnis
77,Licht::N,வெளிச்சம்,šviesa
78,Schatten::N,நிழல்,paūksmė
79,Wetter::N,வானிலை,oras
80,Nebel::N,பனிமூட்டம்,migla
81,Nebel::N,பனிமூட்டம்,rūkas
82,Wolke::N,மேகம்,debesis
83,Regen::N,மழை,lietus
84,Schnee::N,உறைபனி,sniegas
85,Eis::N,பனிக்கட்டி,ledas
86,Frost::N,உறைபனி,šalna
87,Kälte::N,குளிர்ந்த,šaltis
88,Hitze::N,சூடு,karštis
89,Raureif::N,உறைபனி வெண்திரை,šerkšnas
90,Regenbogen::N,வானவில்,vaivorykštė
91,Donner::N,இடி,perkūnas
92,Donner::N,இடி,griaustinis
93,Strömung::N,நீரோட்டம்,tėkmė
94,Tropfen::N,துளி,lašas
95,Schaum::N,நுரை,putos
96,Schmutz::N,அழுக்கு,purvas
97,See::N,ஏரி,ežeras
98,Sumpf::N,சதுப்பு நிலம்,klampynė
99,Sumpf::N,சதுப்பு நிலம்,liūnas
100,Moor::N,முட்புதற்காடு,pelkė
101,Wiese::N,பசும் புல்தரை,pieva
102,Wald::N,காடு,miškas
103,Hügel::N,குன்று,kalva
104,Anhöhe::N,பதுக்கை,kauburys
105,Berg::N,மலை,kalnas
106,Gipfel::N,உச்சி மாநாடு,viršūnė
107,Höhle::N,குகை,ola
108,Abhang::N,சரிவு,šlaitas
109,Abhang::N,சரிவு,nuokalnė
110,Quelle::N,மூலம்,versmė
111,Quelle::N,மூலம்,šaltinis
112,Bach::N,ஓடை,upelis
113,Fluss::N,ஆறு,upė
114,Ufer::N,நீர்க்கரை,krantas
115,Küste::N,கடற்கரை,pajūris
116,Festland::N,நிலம்,sausuma
117,Meer::N,கடல்,jūra
118,Bucht::N,சிறுகுடா,įlanka
119,Bucht::N,சிறுகுடா,užutekis
120,Insel::N,தீவு,sala
121,Blume::N,பூ,gėlė
122,Gras::N,புல்தரை,žolė
123,Wurzel::N,வேர்,šaknis
124,Baum::N,மரம்,medis
125,Stamm::N,அடிமரம்,kamienas
126,Rinde::N,பட்டை,žievė
127,Rinde::N,மரப்பட்டை,žievė
128,Ast::N,கினை,šaka
129,Zweig::N,குச்சி,šakelė
130,Blatt::N,இலை,lapas
131,Birke::N,பிர்ச் மரம்,beržas
132,Kiefer[Baum]::N,தேவதாரு மரம்,pušis
133,Weide[Baum]::N,மர வகைகளுள் ஒன்று,karklas
134,Tanne::N,சாதிக்கய்,eglė
