,Concept_ID,vep,fr
0,Auge::N,sil'm,œil
1,Ohr::N,korv,oreille
2,Nase::N,nena,nez
3,Mund::N,su,bouche
4,Zahn::N,pi,dent
5,Zahn::N,hambaz,dent
6,Zunge::N,kel',langue
7,Lippe::N,hul',lèvre
8,Wange::N,modpolišk,joue
9,Gesicht::N,mod,face
10,Gesicht::N,mod,visage
11,Stirn::N,oc,front
12,Haar::N,tuk,cheveu
13,Haar::N,hibuz,cheveu
14,Schnurrbart::N,habinod,moustache
15,Bart::N,bard,barbe
16,Kinn::N,löug,menton
17,Kiefer[Anatomie]::N,hambazlu,mâchoire
18,Kehle::N,kurk,gorge
19,Hals::N,kagl,cou
20,Genick::N,tagarai,nuque
21,Kopf::N,pä,tête
22,Rücken::N,sel'g,dos
23,Bauch::N,vac,ventre
24,Bauch::N,koht,ventre
25,Nabel::N,naba,nombril
26,Busen::N,niža,sein
27,Brust::N,rind,poitrine
28,Schulter::N,oug,épaule
29,Arm::N,käzi,bras
30,Ellenbogen::N,künambruz,coude
31,Hand::N,käzi,main
32,Hand::N,käzitera,main
33,Handfläche::N,kämen,paume
34,Finger::N,sor'm,doigt
35,Fingernagel::N,künz',ongle
36,Nagel[Anatomie]::N,künz',ongle
37,Zeh::N,barbaz,orteil
38,Zeh::N,barbaz,doigt de pied
39,Fuß::N,jaug,pied
40,Ferse::N,kand,talon
41,Knie::N,komb,genou
42,Knie::N,pol'v,genou
43,Oberschenkel::N,riiže,cuisse
44,Bein::N,jaug,jambe
45,Körper::N,hibj,corps
46,Haut::N,nahk,peau
47,Blut::N,čak,sang
48,Blut::N,veri,sang
49,Ader::N,son',veine
50,Sehne::N,jände,tendon
51,Knochen::N,lu,os
52,Gehirn::N,aivod,cerveau
53,Herz::N,südäin,cœur
54,Magen::N,südäikoht,estomac
55,Leber::N,maks,foie
56,Atem::N,hengaiduz,haleine
57,Hunger::N,näl'g,faim
58,Träne::N,kündal',larme
59,Geschmack::N,magu,goût
60,Geschmack::N,magu,saveur
61,Geruch::N,haju,odeur
62,Schlaf::N,uni,sommeil
63,Traum::N,unikuva,songe
64,Himmel::N,taivaz,ciel
65,Sonne::N,päiväine,soleil
66,Mond::N,kudmaine,lune
67,Stern::N,tähtaz,étoile
68,Luft::N,il'm,air
69,Wind::N,döl,vent
70,Wind::N,tullei,vent
71,Welle::N,ald,vague
72,Welle::N,laineh,vague
73,Wasser::N,vezi,eau
74,Stein::N,kivi,pierre
75,Boden::N,ma,sol
76,Boden::N,ma,terrain
77,Boden::N,pohj,sol
78,Boden::N,pohj,terrain
79,Erde::N,ma,terre
80,Staub::N,pölü,poussière
81,Rauch::N,savu,fumée
82,Funke::N,kibin,étincelle
83,Feuer::N,lämoi,feu
84,Licht::N,vauktuz,lumière
85,Schatten::N,pil'vez,ombre
86,Schatten::N,kuvahaine,ombre
87,Wetter::N,sä,temps
88,Nebel::N,sumeg,brume
89,Nebel::N,sumeg,brouillard
90,Wolke::N,pil'v,nuage
91,Regen::N,vihm,pluie
92,Schnee::N,lumi,neige
93,Eis::N,jä,glace
94,Frost::N,hala,gel
95,Frost::N,hala,gelée
96,Frost::N,pakaine,gel
97,Frost::N,pakaine,gelée
98,Kälte::N,vilu,froid
99,Hitze::N,räk,chaleur
100,Raureif::N,hüde,givre
101,Regenbogen::N,jumalanbembel',arc-en-ciel
102,Donner::N,juru,tonnerre
103,Donner::N,jumalanjuru,tonnerre
104,Strömung::N,joksmuz,courant
105,Tropfen::N,tilkuine,goutte
106,Schaum::N,vaht,écume
107,Schaum::N,vaht,mousse
108,Schmutz::N,redu,boue
109,Schmutz::N,redu,saleté
110,Schmutz::N,pačak,boue
111,Schmutz::N,pačak,saleté
112,See::N,järv,lac
113,Sumpf::N,so,marais
114,Sumpf::N,so,marécage
115,Moor::N,so,tourbière
116,Wiese::N,nit,pré
117,Wald::N,mec,bois
118,Wald::N,mec,forêt
119,Hügel::N,kukaz,coteau
120,Hügel::N,kukaz,colline
121,Anhöhe::N,kukaz,éminence
122,Anhöhe::N,kukaz,élévation
123,Berg::N,mägi,mont
124,Berg::N,mägi,montagne
125,Gipfel::N,ladv,cime
126,Gipfel::N,ladv,sommet
127,Höhle::N,mägionduz,caverne
128,Abhang::N,paute,pente
129,Abhang::N,paute,versant
130,Quelle::N,lähte,source
131,Quelle::N,lähte,fontaine
132,Bach::N,oja,ruisseau
133,Fluss::N,jogi,fleuve
134,Fluss::N,jogi,rivière
135,Ufer::N,rand,bord
136,Ufer::N,rand,rivage
137,Küste::N,randišt,côte
138,Festland::N,kuivma,terre ferme
139,Meer::N,meri,mer
140,Bucht::N,laht,baie
141,Insel::N,sar',île
142,Blume::N,änik,fleur
143,Gras::N,hein,herbe
144,Wurzel::N,jur',racine
145,Baum::N,pu,arbre
146,Stamm::N,tüvi,tronc
147,Rinde::N,kor',écorce
148,Ast::N,oks,branche
149,Zweig::N,oks,rameau
150,Zweig::N,barb,rameau
151,Blatt::N,lehtez,feuille
152,Birke::N,koiv,bouleau
153,Kiefer[Baum]::N,pedai,pin
154,Weide[Baum]::N,raid,saule
155,Tanne::N,kuz',sapin
156,Horn::N,sar'v,corne
157,Feder::N,höuneh,plume
158,Fell::N,nahk,peau
159,Flügel::N,suug,aile
160,Klaue::N,künz',serre
161,Kralle::N,künz',ongle
162,Kralle::N,künz',griffe
163,Schwanz::N,händ,queue
164,Ei::N,muna,œuf
165,Nest::N,peza,nid
166,Bau::N,uru,terrier
167,Tier::N,živat,animal
168,Herde::N,kogo,troupeau
169,Kuh::N,lehm,vache
170,Bulle::N,härg,taureau
171,Pferd::N,hebo,cheval
172,Schaf::N,lambaz,mouton
173,Schwein::N,siga,porc
174,Schwein::N,siga,cochon
175,Hund::N,koir,chien
176,Katze::N,kaži,chat
177,Bär::N,kondi,ours
178,Eichhörnchen::N,orav,écureuil
179,Elch::N,hirb',élan
180,Fuchs::N,reboi,renard
181,Hase::N,jäniš,lièvre
182,Maus::N,hir',souris
183,Wolf::N,händikaz,loup
184,Vogel::N,lind,oiseau
185,Schwarm::N,parveh,nuée
186,Schwarm::N,parveh,volée
187,Huhn::N,kana,poule
188,Hahn::N,kukoi,coq
189,Gans::N,hanh',oie
190,Adler::N,orl,aigle
191,Ente::N,sorz,canard
192,Eule::N,hir'pulo,hibou
193,Kranich::N,kurg,grue
194,Krähe::N,variš,corneille
195,Kuckuck::N,kägi,coucou
196,Schwan::N,joucen,cygne
197,Fisch::N,kala,poisson
198,Barsch::N,ahven,perche
199,Hecht::N,haug',brochet
200,Schlange[Tier]::N,kü,serpent
201,Schlange[Tier]::N,mado,serpent
202,Wurm::N,mado,ver
203,Spinne::N,hämähouk,araignée
204,Ameise::N,murahaine,fourmi
205,Laus::N,täi,pou
206,Mücke::N,säs'k,moucheron
207,Fliege::N,kärbhaine,mouche
208,Schmetterling::N,lipkaine,papillon
209,Beere::N,marj,baie
210,Apfel::N,jablok,pomme
211,Pilz::N,sen',champignon
212,Pilz::N,babuk,champignon
213,Zwiebel::N,lauk,oignon
214,Saat::N,semned,semence
215,Korn::N,jüvä,grain
216,Korn::N,vill',grain
217,Heu::N,hein,foin
218,Schale::N,kor',pelure
219,Grube::N,kop,fosse
220,Falle::N,rida,piège
221,Schlinge::N,rihm,lacs
222,Spur::N,jäl'g,trace
223,Asche::N,tuhk,cendre
224,Dreck::N,redu,crotte
225,Dreck::N,pačak,crotte
226,Eisen::N,raud,fer
227,Gold::N,kuld,or
228,Silber::N,hobed,argent
229,Kohle::N,hil',charbon
230,Glas::N,stökol,verre
231,Lehm::N,savi,glaise
232,Sand::N,lete,sable
233,Mensch::N,mez',homme
234,Mensch::N,ristit,homme
235,Mann::N,mez',homme
236,Frau::N,naine,femme
237,Kind::N,laps',enfant
238,Junge::N,poig,garçon
239,Junge::N,prihaine,garçon
240,Mädchen::N,neičukaine,fille
241,Mädchen::N,neičukaine,jeune fille
242,Familie::N,kanz,famille
243,Familie::N,pereh,famille
244,Großvater::N,ded,grand-père
245,Großmutter::N,bab,grand-mère
246,Eltern::N,vanhembad,parents
247,Eltern::N,kazvatajad,parents
248,Vater::N,tat,père
249,Mutter::N,mam,mère
250,Sohn::N,poig,fils
251,Tochter::N,tütär,fille
252,Bruder::N,veik,frère
253,Bruder::N,vell',frère
254,Schwester::N,čiža,sœur
255,Schwester::N,sizar,sœur
256,Onkel::N,däd',oncle
257,Tante::N,tädi,tante
258,Ehemann::N,mužik,mari
259,Ehemann::N,mužik,époux
260,Ehefrau::N,ak,femme
261,Ehefrau::N,ak,épouse
262,Freude::N,ilo,joie
263,Freude::N,ilo,plaisir
264,Freude::N,ihastuz,joie
265,Freude::N,ihastuz,plaisir
266,Gelächter::N,nagr,rires
267,Glück::N,oza,bonheur
268,Kummer::N,gor'a,peine
269,Kummer::N,gor'a,chagrin
270,Wunsch::N,taht,désir
271,Lust::N,himo,envie
272,Geist::N,heng,esprit
273,Gedanke::N,meletuz,idée
274,Gedanke::N,meletuz,pensée
275,Gedächtnis::N,mušt,mémoire
276,Verstand::N,mel',raison
277,Sinn::N,jüvä,sens
278,Grund::N,sü,cause
279,Grund::N,sü,raison
280,Wahrheit::N,tozi,vérité
281,Gespräch::N,lodu,conversation
282,Gespräch::N,pagin,conversation
283,Märchen::N,sarn,conte
284,Märchen::N,sarn,conte de fées
285,Erzählung::N,sanutez,conte
286,Erzählung::N,sanutez,narration
287,Nachricht::N,tedotuz,message
288,Neuigkeit::N,uzištuz,nouvelle
289,Name::N,nimi,nom
290,Rätsel::N,ozoitez,énigme
291,Rätsel::N,ozoitez,devinette
292,Rede::N,pagin,parole
293,Rede::N,pagin,discours
294,Rede::N,sanad,parole
295,Rede::N,sanad,discours
296,Sprache::N,kel',langue
297,Sprache::N,kel',langage
298,Stimme::N,än',voix
299,Wort::N,sana,mot
300,Zeichen::N,znam,signe
301,Ruf::N,kida,cri
302,Ruf::N,kida,appel
