,Concept_ID,hi,is
0,Auge::N,आँख,auga
1,Auge::N,चक्षु,auga
2,Ohr::N,कान,eyra
3,Ohr::N,कर्ण,eyra
4,Nase::N,नाक,nef
5,Nase::N,नासा,nef
6,Mund::N,मुख,munnur
7,Mund::N,मुँह,munnur
8,Zahn::N,दंत,tönn
9,Zahn::N,दाँत,tönn
10,Zunge::N,जीभ,tunga
11,Zunge::N,ज़बान,tunga
12,Zunge::N,जिह्वा,tunga
13,Lippe::N,ओंठ,vör
14,Lippe::N,होंठ,vör
15,Wange::N,गाल,kinn
16,Wange::N,गाल,vangi
17,Wange::N,कपोल,kinn
18,Wange::N,कपोल,vangi
19,Gesicht::N,मुँह,andlit
20,Gesicht::N,चेहरा,andlit
21,Stirn::N,माथा,enni
22,Stirn::N,मस्तक,enni
23,Haar::N,बाल,hár
24,Schnurrbart::N,मूँछें,yfirskegg
25,Bart::N,दाढ़ी,skegg
26,Kinn::N,चिबुक,haka
27,Kiefer[Anatomie]::N,जबड़ा,kjálki
28,Kiefer[Anatomie]::N,जबड़ा,skoltur
29,Kehle::N,गला,kverk
30,Hals::N,गला,háls
31,Hals::N,गरदन,háls
32,Genick::N,गरदन,hnakki
33,Genick::N,ग्रीवा,hnakki
34,Kopf::N,सिर,höfuð
35,Kopf::N,शीर्ष,höfuð
36,Rücken::N,पीठ,hryggur
37,Bauch::N,उदर,kviður
38,Nabel::N,नाभि,nafli
39,Nabel::N,ढोंढी,nafli
40,Busen::N,कुच,barmur
41,Busen::N,स्तन,barmur
42,Brust::N,वक्ष,brjóst
43,Schulter::N,कंधा,öxl
44,Schulter::N,स्कंध,öxl
45,Arm::N,बाँह,armur
46,Arm::N,बाज़ू,armur
47,Ellenbogen::N,कुहनी,olnbogi
48,Hand::N,हाथ,hönd
49,Hand::N,हस्त,hönd
50,Handfläche::N,हथेली,lófi
51,Finger::N,उँगली,fingur
52,Finger::N,अँगुली,fingur
53,Fingernagel::N,नख,fingurnögl
54,Fingernagel::N,नाख़ून,fingurnögl
55,Nagel[Anatomie]::N,नख,nögl
56,Nagel[Anatomie]::N,नाख़ून,nögl
57,Zeh::N,उँगली,tá
58,Zeh::N,पाँव की उँगली,tá
59,Fuß::N,चरण,fótur
60,Fuß::N,पाँव,fótur
61,Ferse::N,एड़ी,hæll
62,Knie::N,जानु,kné
63,Knie::N,घुटना,kné
64,Oberschenkel::N,उरु,læri
65,Bein::N,टाँग,fótleggur
66,Körper::N,तन,búkur
67,Körper::N,तन,líkami
68,Körper::N,देह,búkur
69,Körper::N,देह,líkami
70,Körper::N,शरीर,búkur
71,Körper::N,शरीर,líkami
72,Haut::N,चर्म,húð
73,Haut::N,चर्म,skinn
74,Haut::N,त्वचा,húð
75,Haut::N,त्वचा,skinn
76,Blut::N,लहू,blóð
77,Blut::N,ख़ून,blóð
78,Ader::N,रग,æð
79,Ader::N,शिरा,æð
80,Sehne::N,कंडरा,sin
81,Sehne::N,स्नायु,sin
82,Knochen::N,अस्थि,bein
83,Gehirn::N,दिमाग़,heili
84,Gehirn::N,मस्तिष्क,heili
85,Herz::N,दिल,hjarta
86,Herz::N,हृदय,hjarta
87,Magen::N,मेदा,magi
88,Magen::N,अमाशय,magi
89,Leber::N,जिगर,lifur
90,Leber::N,यकृत्,lifur
91,Atem::N,दम,andi
92,Atem::N,दम,andardráttur
93,Atem::N,साँस,andi
94,Atem::N,साँस,andardráttur
95,Atem::N,श्वास,andi
96,Atem::N,श्वास,andardráttur
97,Hunger::N,भूख,hungur
98,Hunger::N,क्षुधा,hungur
99,Träne::N,आँसू,tár
100,Träne::N,अश्रु,tár
