,Concept_ID,zh,de
0,Auge::N,眼睛,Auge
1,Ohr::N,耳朵,Ohr
2,Nase::N,鼻子,Nase
3,Mund::N,嘴,Mund
4,Zahn::N,牙齿,Zahn
5,Zunge::N,舌头,Zunge
6,Lippe::N,嘴唇,Lippe
7,Wange::N,面颊,Wange
8,Gesicht::N,脸,Gesicht
9,Stirn::N,额,Stirn
10,Haar::N,头发,Haar
11,Schnurrbart::N,髭须,Schnurrbart
12,Bart::N,胡子,Bart
13,Kinn::N,下巴,Kinn
14,Kiefer[Anatomie]::N,颌,Kiefer
15,Kehle::N,嗓子,Kehle
16,Hals::N,颈,Hals
17,Genick::N,后颈,Genick
18,Kopf::N,头,Kopf
19,Rücken::N,背,Rücken
20,Bauch::N,肚子,Bauch
21,Nabel::N,肚脐,Nabel
22,Busen::N,胸脯,Busen
23,Brust::N,胸,Brust
24,Schulter::N,肩膀,Schulter
25,Arm::N,臂膀,Arm
26,Ellenbogen::N,肘,Ellenbogen
27,Hand::N,手,Hand
28,Handfläche::N,手掌,Handfläche
29,Finger::N,手指,Finger
30,Fingernagel::N,指甲,Fingernagel
31,Nagel[Anatomie]::N,指甲,Nagel
32,Zeh::N,脚趾,Zeh
33,Fuß::N,脚,Fuß
34,Ferse::N,后跟,Ferse
35,Knie::N,膝,Knie
36,Oberschenkel::N,大腿,Oberschenkel
37,Bein::N,腿,Bein
38,Körper::N,身体,Körper
39,Haut::N,皮肤,Haut
40,Blut::N,血,Blut
41,Ader::N,血管,Ader
42,Sehne::N,腱,Sehne
43,Knochen::N,骨,Knochen
44,Gehirn::N,脑,Gehirn
45,Herz::N,心,Herz
46,Magen::N,胃,Magen
47,Leber::N,肝,Leber
48,Atem::N,呼吸,Atem
49,Hunger::N,饿,Hunger
50,Träne::N,眼泪,Träne
51,Geschmack::N,味道,Geschmack
52,Geruch::N,气味,Geruch
53,Schlaf::N,睡眠,Schlaf
54,Traum::N,梦,Traum
55,Himmel::N,天空,Himmel
56,Sonne::N,太阳,Sonne
57,Mond::N,月亮,Mond
58,Stern::N,星,Stern
59,Luft::N,空气,Luft
60,Wind::N,风,Wind
61,Welle::N,波,Welle
62,Wasser::N,水,Wasser
63,Stein::N,石头,Stein
64,Boden::N,地面,Boden
65,Erde::N,地,Erde
66,Staub::N,灰尘,Staub
67,Rauch::N,烟,Rauch
68,Funke::N,火花,Funke
69,Feuer::N,火,Feuer
70,Licht::N,光,Licht
71,Schatten::N,影子,Schatten
72,Wetter::N,天气,Wetter
73,Nebel::N,雾,Nebel
74,Wolke::N,云,Wolke
75,Regen::N,雨,Regen
76,Schnee::N,雪,Schnee
77,Eis::N,冰,Eis
78,Frost::N,霜冻,Frost
79,Kälte::N,寒冷,Kälte
80,Hitze::N,炎热,Hitze
81,Raureif::N,霜,Raureif
82,Regenbogen::N,虹,Regenbogen
83,Donner::N,雷,Donner
84,Strömung::N,水流,Strömung
85,Tropfen::N,滴,Tropfen
86,Schaum::N,泡沫,Schaum
87,Schmutz::N,赃物,Schmutz
88,See::N,湖,See
89,Sumpf::N,沼泽,Sumpf
90,Moor::N,沼泽,Moor
91,Wiese::N,草地,Wiese
92,Wald::N,森林,Wald
93,Hügel::N,丘陵,Hügel
94,Anhöhe::N,山丘,Anhöhe
95,Berg::N,山,Berg
96,Gipfel::N,峰,Gipfel
97,Höhle::N,洞穴,Höhle
98,Abhang::N,斜坡,Abhang
99,Quelle::N,泉,Quelle
