,Concept_ID,ro,hr
0,Auge::N,ochi,oko
1,Ohr::N,ureche,uho
2,Nase::N,nas,nos
3,Mund::N,gură,usta
4,Zahn::N,dinte,zub
5,Zunge::N,limbă,jezik
6,Lippe::N,buză,usna
7,Wange::N,bucă,obraz
8,Wange::N,obraz,obraz
9,Gesicht::N,față,lice
10,Gesicht::N,figură,lice
11,Stirn::N,frunte,čelo
12,Haar::N,păr,kosa
13,Schnurrbart::N,mustață,brkovi
14,Bart::N,barbă,brada
15,Kinn::N,bărbie,brada
16,Kinn::N,bărbie,podbradak
17,Kiefer[Anatomie]::N,falcă,čeljust
18,Kehle::N,beregată,grlo
19,Hals::N,gât,vrat
20,Genick::N,ceafă,zatiljak
21,Kopf::N,cap,glava
22,Rücken::N,dos,leđa
23,Rücken::N,dos,hrbat
24,Rücken::N,spate,leđa
25,Rücken::N,spate,hrbat
26,Rücken::N,spinare,leđa
27,Rücken::N,spinare,hrbat
28,Bauch::N,burtă,trbuh
29,Bauch::N,pântece,trbuh
30,Nabel::N,buric,pupak
31,Busen::N,sân,sisa
32,Busen::N,sân,njedra
33,Brust::N,piept,prsa
34,Schulter::N,umăr,rame
35,Schulter::N,umăr,pleći
36,Schulter::N,spate,rame
37,Schulter::N,spate,pleći
38,Arm::N,braț,ruka
39,Ellenbogen::N,cot,lakat
40,Hand::N,mână,ruka
41,Handfläche::N,palmă,dlan
42,Finger::N,deget,prst
43,Fingernagel::N,unghie,nokat
44,Nagel[Anatomie]::N,unghie,nokat
45,Zeh::N,deget de la picior,nozni prst
46,Fuß::N,picior,noga
47,Fuß::N,picior,stopalo
48,Ferse::N,călcâi,peta
49,Knie::N,genunchi,koljeno
50,Oberschenkel::N,coapsă,bedro
51,Bein::N,picior,noga
52,Körper::N,corp,tijelo
53,Haut::N,piele,put
54,Haut::N,piele,koža
55,Blut::N,sânge,krv
56,Ader::N,vână,žila
57,Ader::N,arteră,žila
58,Sehne::N,tendon,tetiva
59,Knochen::N,os,kost
60,Gehirn::N,creier,
61,Herz::N,inimă,srce
62,Magen::N,stomac,stomak
63,Magen::N,stomac,želudac
64,Leber::N,ficat,jetra
65,Atem::N,răsuflare,dah
66,Atem::N,respirație,dah
67,Hunger::N,foame,glad
68,Träne::N,lacrimă,suza
69,Geschmack::N,gust,ukus
70,Geruch::N,miros,njuh
71,Geruch::N,miros,miris
72,Schlaf::N,somn,san
73,Traum::N,vis,san
74,Himmel::N,cer,nebo
75,Sonne::N,soare,sunce
76,Mond::N,lună,mjesec
77,Stern::N,stea,zvijezda
78,Luft::N,aer,zrak
79,Wind::N,vânt,vjetar
80,Welle::N,val,val
81,Welle::N,val,talas
82,Welle::N,undă,val
83,Welle::N,undă,talas
84,Wasser::N,apă,voda
85,Stein::N,piatră,kamen
86,Boden::N,sol,tlo
87,Boden::N,sol,zemlja
88,Boden::N,pământ,tlo
89,Boden::N,pământ,zemlja
90,Erde::N,pământ,zemlja
91,Staub::N,praf,prah
92,Staub::N,praf,prašina
93,Rauch::N,fum,dim
94,Funke::N,scânteie,iskra
95,Funke::N,scânteie,varnica
96,Feuer::N,foc,vatra
97,Licht::N,lumină,svjetlo
98,Schatten::N,umbră,hlad
99,Schatten::N,umbră,sjena
100,Wetter::N,timp,vrijeme
101,Wetter::N,vreme,vrijeme
102,Nebel::N,ceață,magla
103,Nebel::N,negură,magla
104,Wolke::N,nor,oblak
105,Regen::N,ploaie,kiša
106,Schnee::N,zăpadă,snijeg
107,Eis::N,gheață,led
108,Frost::N,ger,mraz
109,Kälte::N,frig,studen
110,Kälte::N,frig,hladnoća
111,Hitze::N,arșiță,vrućina
112,Hitze::N,căldură,vrućina
113,Raureif::N,chiciură,inje
114,Regenbogen::N,curcubeu,duga
115,Donner::N,tunet,grom
116,Donner::N,tunet,grmljavina
117,Strömung::N,curent,struja
118,Strömung::N,curent,strujanje
119,Tropfen::N,picătură,kap
120,Tropfen::N,picătură,kaplja
121,Schaum::N,spumă,pjena
122,Schmutz::N,murdărie,nečistoća
123,Schmutz::N,murdărie,prljavština
124,See::N,lac,jezero
125,Sumpf::N,mlaștină,bara
126,Moor::N,bărăgan,močvara
127,Wiese::N,fânaț,livada
128,Wiese::N,livadă,livada
129,Wald::N,codru,šuma
130,Wald::N,pădure,šuma
131,Hügel::N,deal,brijeg
132,Hügel::N,deal,brežuljak
133,Hügel::N,movilă,brijeg
134,Hügel::N,movilă,brežuljak
135,Anhöhe::N,deal,uzvišica
136,Anhöhe::N,ridicătură,uzvišica
137,Berg::N,munte,brdo
138,Gipfel::N,pisc,vrh
139,Höhle::N,peșteră,pećina
140,Höhle::N,peșteră,spilja
141,Abhang::N,pantă,obronak
142,Abhang::N,pantă,nizbrdica
