,Concept_ID,sl,be
0,Auge::N,okó,вока
1,Ohr::N,uhó,вуха
2,Nase::N,nós,нос
3,Mund::N,ústa,рот
4,Zahn::N,zób,зуб
5,Zunge::N,jêzik,язык
6,Lippe::N,ústnica,губа
7,Wange::N,líce,шчака
8,Gesicht::N,oblíčje,твар
9,Stirn::N,čêlo,лоб
10,Haar::N,lás,волас
11,Haar::N,lás,валасы
12,Schnurrbart::N,bŕki,вус
13,Schnurrbart::N,bŕki,вусы
14,Bart::N,bráda,барада
15,Kinn::N,bráda,падбародак
16,Kiefer[Anatomie]::N,čeljúst,сківіца
17,Kehle::N,gŕlo,горла
18,Hals::N,vrát,шыя
19,Genick::N,zatílnik,патыліца
20,Kopf::N,gláva,галава
21,Rücken::N,hrbèt,спіна
22,Bauch::N,trébuh,жывот
23,Nabel::N,pópek,пупок
24,Busen::N,nédrja,грудзі
25,Brust::N,pŕsi,грудзі
26,Schulter::N,ráma,плячо
27,Schulter::N,plêče,плячо
28,Arm::N,rôka,рука
29,Ellenbogen::N,komólec,локаць
30,Hand::N,rôka,кісць
31,Handfläche::N,dlán,далонь
32,Finger::N,pŕst,палец
33,Fingernagel::N,nóht na rôki,ногаць
34,Nagel[Anatomie]::N,nóht,ногаць
35,Zeh::N,pŕst na nôgi,палец
36,Fuß::N,nôga,нага
37,Ferse::N,pêta,пята
38,Ferse::N,pêta,пятка
39,Knie::N,koléno,калена
40,Oberschenkel::N,stêgno,бядро
41,Oberschenkel::N,stêgno,сцягно
42,Bein::N,nôga,нага
43,Körper::N,teló,цела
44,Haut::N,kóža,скура
45,Blut::N,krí,кроў
46,Ader::N,žíla,вена
47,Ader::N,žíla,сасуд
48,Sehne::N,kíta,жыла
49,Sehne::N,kíta,цеціва
50,Sehne::N,kíta,сухажылле
51,Knochen::N,kóst,косць
52,Gehirn::N,možgáni,мозг
53,Herz::N,srcé,сэрца
54,Magen::N,želódec,страўнік
55,Leber::N,jétra,печань
56,Atem::N,díh,дыханне
57,Hunger::N,glád,голад
58,Träne::N,sólza,сляза
59,Geschmack::N,okús,смак
60,Geruch::N,vónj,пах
61,Schlaf::N,sèn,сон
62,Schlaf::N,spánec,сон
63,Traum::N,sánje,сон
64,Himmel::N,nebó,неба
65,Sonne::N,sónce,сонца
66,Mond::N,lúna,месяц
67,Mond::N,mésec,месяц
68,Stern::N,zvézda,зорка
69,Luft::N,zràk,паветра
70,Wind::N,véter,вецер
71,Welle::N,vál,хваля
72,Wasser::N,vôda,вада
73,Stein::N,kámen,камень
74,Boden::N,tlà,глеба
75,Erde::N,pŕst,зямля
76,Erde::N,zêmlja,зямля
77,Staub::N,práh,пыл
78,Rauch::N,dìm,дым
79,Funke::N,ískra,іскра
80,Feuer::N,ôgenj,агонь
81,Licht::N,lúč,святло
82,Schatten::N,sénca,цень
83,Wetter::N,vrême,пагода
84,Wetter::N,vrême,надворʼе
85,Nebel::N,meglà,туман
86,Wolke::N,oblák,воблака
87,Regen::N,dèž,дождж
88,Schnee::N,snég,снег
89,Eis::N,léd,лёд
90,Frost::N,zmrzál,мароз
91,Kälte::N,mràz,холад
92,Hitze::N,pripéka,спёка
93,Raureif::N,ívje,іней
94,Raureif::N,slána,іней
95,Regenbogen::N,mávrica,вясёлка
96,Donner::N,gròm,гром
97,Strömung::N,strúja,цячэнне
98,Tropfen::N,káplja,кропля
99,Schaum::N,péna,пена
100,Schmutz::N,nesnága,гразь
101,See::N,jézero,возера
102,Sumpf::N,močvírje,багна
103,Moor::N,bárje,балота
104,Wiese::N,trávnik,луг
105,Wald::N,lés,лес
106,Wald::N,gòzd,лес
107,Hügel::N,brég,узгорак
108,Hügel::N,goríca,узгорак
109,Anhöhe::N,gríč,узвышша
110,Anhöhe::N,višína,узвышша
111,Berg::N,gôra,гара
112,Berg::N,planína,гара
113,Gipfel::N,vŕh,вяршыня
114,Höhle::N,jáma,пячора
115,Höhle::N,votlína,пячора
116,Abhang::N,pobóčje,схіл
117,Quelle::N,izvír,крыніца
118,Bach::N,pôtok,ручай
119,Fluss::N,réka,рака
120,Ufer::N,brég,бераг
121,Küste::N,obála,узбярэжжа
122,Küste::N,obréžje,узбярэжжа
123,Festland::N,celína,суша
124,Festland::N,kopnína,суша
125,Meer::N,mórje,мора
126,Bucht::N,zalív,бухта
127,Insel::N,ôtok,востраў
128,Blume::N,cvetlíca,кветка
129,Gras::N,tráva,трава
130,Wurzel::N,korenína,корань
131,Baum::N,drevó,дрэва
132,Stamm::N,dêblo,ствол
133,Rinde::N,lúbje,кара
134,Rinde::N,skórja,кара
135,Ast::N,véja,сук
136,Zweig::N,véja,галіна
137,Blatt::N,líst,ліст
138,Birke::N,bréza,бяроза
139,Kiefer[Baum]::N,bòr,хвоя
140,Kiefer[Baum]::N,bòr,сасна
141,Weide[Baum]::N,vŕba,вярба
142,Tanne::N,hója,яліна
143,Horn::N,róg,рог
144,Feder::N,peró,пяро
145,Fell::N,kŕzno,шкура
146,Flügel::N,krílo,крыло
147,Klaue::N,párkelj,кіпцюр
148,Kralle::N,krémpelj,лапа
149,Schwanz::N,rèp,хвост
150,Ei::N,jájce,яйка
151,Nest::N,gnézdo,гняздо
152,Bau::N,brlòg,нара
153,Tier::N,živál,жывёла
154,Herde::N,čréda,статак
155,Kuh::N,kráva,карова
156,Bulle::N,bìk,бык
157,Pferd::N,kònj,конь
158,Schaf::N,ôvca,авечка
159,Schwein::N,svínja,свіння
160,Hund::N,pès,сабака
161,Katze::N,máčka,кошка
162,Bär::N,mêdved,мядзведзь
163,Eichhörnchen::N,véverica,вавёрка
164,Elch::N,lós,лось
165,Fuchs::N,lisíca,ліса
166,Hase::N,zájec,заяц
167,Maus::N,mìš,мыш
168,Wolf::N,vólk,воўк
169,Vogel::N,ptìč,птах
170,Vogel::N,ptìč,птушка
171,Vogel::N,ptíca,птах
172,Vogel::N,ptíca,птушка
173,Schwarm::N,játa,чарада
174,Huhn::N,kokóš,курыца
175,Hahn::N,petêlin,певень
176,Gans::N,gós,гусь
177,Adler::N,ôrel,арол
178,Ente::N,ráca,качка
179,Eule::N,sôva,сава
180,Kranich::N,žerjàv,жораў
181,Kranich::N,žerjàv,журавель
182,Krähe::N,vrána,варона
183,Kuckuck::N,kúkavica,зязюля
184,Schwan::N,labód,лебедзь
185,Fisch::N,ríba,рыба
186,Barsch::N,ostríž,акунь
187,Hecht::N,ščúka,шчупак
188,Schlange[Tier]::N,káča,змяя
189,Wurm::N,čr̀v,чарвяк
190,Wurm::N,glísta,чарвяк
191,Spinne::N,pájek,павук
192,Ameise::N,mrávlja,мурашка
193,Laus::N,úš,вош
194,Mücke::N,komár,камар
195,Fliege::N,múha,муха
196,Schmetterling::N,metúlj,матыль
197,Beere::N,jágoda,ягада
198,Apfel::N,jábolko,яблык
199,Pilz::N,góba,грыб
200,Zwiebel::N,čebúla,цыбуля
201,Saat::N,séme,семя
202,Korn::N,zŕno,зерне
203,Heu::N,senó,сена
204,Schale::N,lupína,шалупінне
205,Grube::N,jáma,яма
206,Falle::N,pást,пастка
207,Schlinge::N,zánka,сіло
208,Schlinge::N,pêtlja,сіло
209,Spur::N,sléd,след
210,Asche::N,pepél,попел
211,Dreck::N,bláto,бруд
212,Eisen::N,želézo,жалеза
213,Gold::N,zlató,золата
214,Silber::N,srebró,сребра
215,Kohle::N,ógel,вугаль
216,Glas::N,stêklo,шкло
217,Lehm::N,ílo,гліна
218,Sand::N,pések,пясок
219,Mensch::N,člôvek,чалавек
220,Mann::N,móž,мужчына
221,Mann::N,môški,мужчына
222,Frau::N,gospá,жанчына
223,Frau::N,žénska,жанчына
224,Kind::N,déte,дзіця
225,Kind::N,otròk,дзіця
226,Junge::N,fànt,хлопчык
227,Junge::N,déček,хлопчык
228,Mädchen::N,deklè,дзяўчынка
229,Mädchen::N,déklica,дзяўчынка
230,Familie::N,družína,сямʼя
231,Großvater::N,dèd,дзядуля
232,Großvater::N,dédek,дзядуля
233,Großmutter::N,bábica,бабуля
234,Eltern::N,stárši,бацькі
235,Vater::N,ôče,бацька
236,Mutter::N,máma,маці
237,Sohn::N,sín,сын
238,Tochter::N,hčí,дачка
239,Tochter::N,hčérka,дачка
240,Bruder::N,bràt,брат
241,Schwester::N,sêstra,сястра
242,Onkel::N,újec,дзядзька
243,Onkel::N,stríc,дзядзька
244,Tante::N,têta,цётка
245,Tante::N,strína,цётка
246,Ehemann::N,móž,муж
247,Ehemann::N,sopróg,муж
248,Ehefrau::N,žêna,жонка
249,Ehefrau::N,sopróga,жонка
250,Freude::N,rádost,радасць
251,Freude::N,vesêlje,радасць
252,Gelächter::N,sméh,смех
253,Gelächter::N,grohòt,смех
