,Concept_ID,ga,ko
874,zehn::NUM,deich,열
875,elf::NUM,aon déag,열하나
876,zwölf::NUM,dó dhéag,열둘
877,zwanzig::NUM,fiche,스물
878,dreißig::NUM,tríocha,서름
879,vierzig::NUM,daichead,마흔
880,vierzig::NUM,ceathracha,마흔
881,fünfzig::NUM,caoga,숸
882,sechzig::NUM,seasca,에순
883,siebzig::NUM,seachtó,일흔
884,achtzig::NUM,ochtó,여든
885,neunzig::NUM,nócha,아흔
886,hundert::NUM,céad,백
887,tausend::NUM,míle,천
888,und::CNJ,agus,와
889,oder::CNJ,nó,아니면
890,stehen::V,seas,서다
891,sitzen::V,suigh,앉다
892,liegen::V,luigh,눕다
893,hängen::V,tá crochta,달다
894,werden::V,éirigh,되다
895,passieren::V,tarlaigh,지장옶다
896,beginnen::V,tosaigh,시작되다
897,enden::V,críochnaigh,큳내다
898,wechseln::V,athraigh,병경하다
899,aufgehen[Sonne]::V,éirigh,뜨다
900,untergehen[Sonne]::V,fuin,지다
901,untergehen[Sonne]::V,téigh faoi,지다
902,scheinen[Sonne]::V,taitin,빛나다
903,scheinen[Sonne]::V,soilsigh,빛나다
904,donnern::V,tá toirneach ann,천둥치다
905,wehen::V,séid,풀다
906,strömen::V,sil,흐르다
907,fließen::V,rith,흐르다
908,fließen::V,snigh,흐르다
909,sich drehen::V,cas,돌다
910,sich drehen::V,imrothlaigh,돌다
911,schwanken::V,luasc,동요하다
912,schwingen::V,luasc,흔들다
913,fallen::V,tit,떨어지다
914,brennen::V,dóigh,타다
915,rauchen::V,plúch toite,김이나다
916,regnen::V,báistigh,비가오다
917,regnen::V,tá ag cur báistí,비가오다
918,gefrieren::V,sioc,얼다
919,gefrieren::V,reoigh,얼다
920,tauen::V,leáigh,녹다
921,tauen::V,coscair,녹다
922,schmelzen::V,leáigh,녹다
923,trocknen::V,triomaigh,홈치다
924,sieden::V,fiuch,끓다
925,sieden::V,beirigh,끓다
926,faulen::V,lobh,부패하다
927,faulen::V,dreoigh,부패하다
928,verfaulen::V,lobh,썩다
929,verfaulen::V,feoigh,썩다
930,reißen::V,bris,지바찢다
931,versinken::V,téigh síos,가라앉다
932,vergehen::V,téigh thart,지나가다
933,erscheinen::V,tar,나타나다
934,verschwinden::V,imigh,사라지다
935,sinken::V,tit,가라앉다
936,sinken::V,ísligh,가라앉다
937,abnehmen::V,maolaigh,떼어내다
938,abnehmen::V,laghdaigh,떼어내다
939,zunehmen::V,méadaigh,증가하다
940,steigen::V,éirigh,상승하다
941,wachsen::V,fás,생기하다
942,glänzen::V,lonraigh,뛰오나다
943,funkeln::V,drithligh,불티가잍어나다
944,lärmen::V,tóg callán,떠들다
945,läuten::V,buail,울시다
946,klingeln::V,buail,초닌총을울리다
947,klirren::V,cling,탁탁울리다
948,brausen::V,búir,쏴쏴소리내다
949,rauschen::V,tá ag siosarnach,솨솨
950,klingen::V,tá glór ag,반향하다
951,bellen::V,amhastraigh,짖다
952,heulen::V,glam,포효하다
953,blasen::V,séid,불다
954,pfeifen::V,lig fead,피리를불다
955,schreien::V,béic,절규하다
956,schreien::V,glaoigh,절규하다
957,stöhnen::V,lig cnead,신음하다
958,zittern::V,crith,저뉼하다
959,zittern::V,creathnaigh,저뉼하다
960,leben::V,mair,살다
961,geboren werden::V,rugadh,태어난
962,atmen::V,análaigh,숨쉬다
963,trinken::V,ól,마시다
964,essen::V,ith,먹다
965,schlucken::V,slog,들이켜다
966,müde werden::V,tuirsigh,
967,einschlafen::V,tit ina chodladh,잠들다
968,schlafen::V,codail,자다
969,aufwachen::V,múscail,눈트다
970,aufstehen::V,éirigh,서다
971,sich erholen::V,lig scíth,회복하다
972,krank werden::V,éirigh tinn,
973,krank sein::V,tá tinn,
974,schmerzen::V,tá pian i,아프다
975,husten::V,déan casacht,잔기침하다
976,genesen::V,téarnaigh,낫다
977,sterben::V,éag,죽다
978,sterben::V,faigh bás,죽다
979,umkommen::V,caill,못쓰게되다
980,sich bewegen::V,bog,움직이다
981,sich bewegen::V,gluais,움직이다
982,sich rühren::V,corraigh,움직이다
983,sich erheben::V,seas suas,이러서다
984,sich setzen::V,suigh,앉히다
985,hinfallen::V,tit,넘어지다
986,laufen::V,siúil,걷다
987,schreiten::V,siúil,보행하다
988,spazierengehen::V,téigh ag spaisteoireacht,산보하다
989,eilen::V,deifrigh,서둘다
990,eilen::V,brostaigh,서둘다
991,sich beeilen::V,deifrigh,서둘게하다
992,sich beeilen::V,déan deifir,서둘게하다
993,sausen::V,luathaigh,서들러 떠나다
994,rennen::V,rith,달리다
995,springen::V,léim,도약하다
996,klettern::V,dreap,갑겨오르다
997,schaukeln::V,téigh ar an maide corrach,흔들리게하다
998,kriechen::V,snámh,기다
999,schwimmen::V,snámh,헤엄치다
1000,tauchen::V,tum,잠기다
1001,rudern::V,iomair,물을헤치다
1002,rudern::V,rámhaigh,물을헤치다
1003,fahren::V,tiomáin,가다
1004,fahren::V,tiomáin,나르다
1005,fliegen::V,eitil,날다
1006,gehen::V,téigh,가다
1007,weggehen::V,imigh,팔리다
1008,abfahren::V,imigh,출발하다
1009,anhalten::V,stad,멈추다
1010,hineingehen::V,téigh isteach,(그리로)가다
1011,eintreten::V,téigh isteach,들러가다
1012,kommen::V,tar,오다
1013,ankommen::V,tar,고챀하다
1014,zurückkommen::V,fill,보기
1015,bleiben::V,fan,체류
1016,warten::V,fan,기다리다
1017,erwarten::V,tá ag súil le,기대하다
1018,erwarten::V,tá ag dréim le,기대하다
1019,suchen::V,lorg,찾다
1020,suchen::V,lorg,구하다
1021,finden::V,faigh,찾아내다
1022,finden::V,aimsigh,찾아내다
1023,versuchen::V,triail,시험하다
1024,vorbereiten::V,réitigh,재비하다
1025,lieben::V,gráigh,사랑하다
1026,mögen::V,taitin le,줗아하다
1027,mögen::V,is maith le,줗아하다
1028,lachen::V,gáir,웃다
1029,rühren::V,téigh i bhfeidhm ar,건드리다
1030,weinen::V,goil,울다
1031,weinen::V,caoin,울다
1032,schimpfen::V,tá ag clamhsán,꾸짖다
1033,sich ärgern::V,tá corraithe,화를내게 하다
1034,sich fürchten::V,tá eagla ar,두려원하다
1035,fürchten::V,tá eagla ar,두려원하다
