,Concept_ID,be,sl
0,Auge::N,вока,okó
1,Ohr::N,вуха,uhó
2,Nase::N,нос,nós
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zób
5,Zunge::N,язык,jêzik
6,Lippe::N,губа,ústnica
7,Wange::N,шчака,líce
8,Gesicht::N,твар,oblíčje
9,Stirn::N,лоб,čêlo
10,Haar::N,волас,lás
11,Haar::N,валасы,lás
12,Schnurrbart::N,вус,bŕki
13,Schnurrbart::N,вусы,bŕki
14,Bart::N,барада,bráda
15,Kinn::N,падбародак,bráda
16,Kiefer[Anatomie]::N,сківіца,čeljúst
17,Kehle::N,горла,gŕlo
18,Hals::N,шыя,vrát
19,Genick::N,патыліца,zatílnik
20,Kopf::N,галава,gláva
21,Rücken::N,спіна,hrbèt
22,Bauch::N,жывот,trébuh
23,Nabel::N,пупок,pópek
24,Busen::N,грудзі,nédrja
25,Brust::N,грудзі,pŕsi
26,Schulter::N,плячо,ráma
27,Schulter::N,плячо,plêče
28,Arm::N,рука,rôka
29,Ellenbogen::N,локаць,komólec
30,Hand::N,кісць,rôka
31,Handfläche::N,далонь,dlán
32,Finger::N,палец,pŕst
33,Fingernagel::N,ногаць,nóht na rôki
34,Nagel[Anatomie]::N,ногаць,nóht
35,Zeh::N,палец,pŕst na nôgi
36,Fuß::N,нага,nôga
37,Ferse::N,пята,pêta
38,Ferse::N,пятка,pêta
39,Knie::N,калена,koléno
40,Oberschenkel::N,бядро,stêgno
41,Oberschenkel::N,сцягно,stêgno
42,Bein::N,нага,nôga
43,Körper::N,цела,teló
44,Haut::N,скура,kóža
45,Blut::N,кроў,krí
46,Ader::N,вена,žíla
47,Ader::N,сасуд,žíla
48,Sehne::N,жыла,kíta
49,Sehne::N,цеціва,kíta
50,Sehne::N,сухажылле,kíta
51,Knochen::N,косць,kóst
52,Gehirn::N,мозг,možgáni
53,Herz::N,сэрца,srcé
54,Magen::N,страўнік,želódec
55,Leber::N,печань,jétra
56,Atem::N,дыханне,díh
57,Hunger::N,голад,glád
58,Träne::N,сляза,sólza
59,Geschmack::N,смак,okús
60,Geruch::N,пах,vónj
61,Schlaf::N,сон,sèn
62,Schlaf::N,сон,spánec
63,Traum::N,сон,sánje
64,Himmel::N,неба,nebó
65,Sonne::N,сонца,sónce
66,Mond::N,месяц,lúna
67,Mond::N,месяц,mésec
68,Stern::N,зорка,zvézda
69,Luft::N,паветра,zràk
70,Wind::N,вецер,véter
71,Welle::N,хваля,vál
72,Wasser::N,вада,vôda
73,Stein::N,камень,kámen
74,Boden::N,глеба,tlà
75,Erde::N,зямля,pŕst
76,Erde::N,зямля,zêmlja
77,Staub::N,пыл,práh
78,Rauch::N,дым,dìm
79,Funke::N,іскра,ískra
80,Feuer::N,агонь,ôgenj
81,Licht::N,святло,lúč
82,Schatten::N,цень,sénca
83,Wetter::N,пагода,vrême
84,Wetter::N,надворʼе,vrême
85,Nebel::N,туман,meglà
86,Wolke::N,воблака,oblák
87,Regen::N,дождж,dèž
88,Schnee::N,снег,snég
89,Eis::N,лёд,léd
90,Frost::N,мароз,zmrzál
91,Kälte::N,холад,mràz
92,Hitze::N,спёка,pripéka
93,Raureif::N,іней,ívje
94,Raureif::N,іней,slána
95,Regenbogen::N,вясёлка,mávrica
96,Donner::N,гром,gròm
97,Strömung::N,цячэнне,strúja
98,Tropfen::N,кропля,káplja
99,Schaum::N,пена,péna
100,Schmutz::N,гразь,nesnága
101,See::N,возера,jézero
102,Sumpf::N,багна,močvírje
103,Moor::N,балота,bárje
104,Wiese::N,луг,trávnik
105,Wald::N,лес,lés
106,Wald::N,лес,gòzd
107,Hügel::N,узгорак,brég
108,Hügel::N,узгорак,goríca
109,Anhöhe::N,узвышша,gríč
110,Anhöhe::N,узвышша,višína
111,Berg::N,гара,gôra
112,Berg::N,гара,planína
113,Gipfel::N,вяршыня,vŕh
114,Höhle::N,пячора,jáma
115,Höhle::N,пячора,votlína
116,Abhang::N,схіл,pobóčje
117,Quelle::N,крыніца,izvír
118,Bach::N,ручай,pôtok
119,Fluss::N,рака,réka
120,Ufer::N,бераг,brég
121,Küste::N,узбярэжжа,obála
122,Küste::N,узбярэжжа,obréžje
123,Festland::N,суша,celína
124,Festland::N,суша,kopnína
125,Meer::N,мора,mórje
126,Bucht::N,бухта,zalív
127,Insel::N,востраў,ôtok
128,Blume::N,кветка,cvetlíca
129,Gras::N,трава,tráva
130,Wurzel::N,корань,korenína
131,Baum::N,дрэва,drevó
132,Stamm::N,ствол,dêblo
133,Rinde::N,кара,lúbje
134,Rinde::N,кара,skórja
135,Ast::N,сук,véja
136,Zweig::N,галіна,véja
137,Blatt::N,ліст,líst
