,Concept_ID,en,sk
196,Korn::N,grain,zrno
197,Heu::N,hay,seno
198,Schale::N,husk,šupa
199,Schale::N,husk,škrupina
200,Grube::N,pit,jama
201,Falle::N,trap,pasca
202,Falle::N,trap,klepec
203,Schlinge::N,noose,slučka
204,Spur::N,track,stopa
205,Asche::N,ashes,popol
206,Dreck::N,filth,kal
207,Dreck::N,filth,blato
208,Eisen::N,iron,železo
209,Gold::N,gold,zlato
210,Silber::N,silver,striebro
211,Kohle::N,coal,uhlie
212,Glas::N,glass,sklo
213,Lehm::N,clay,íl
214,Lehm::N,clay,hlina
215,Sand::N,sand,piesok
216,Mensch::N,human,človek
217,Mann::N,man,muž
218,Mann::N,man,chlap
219,Frau::N,woman,žena
220,Kind::N,child,dieťa
221,Junge::N,boy,chlapec
222,Mädchen::N,girl,dievka
223,Familie::N,family,rodina
224,Großvater::N,grandfather,dedo
225,Großvater::N,grandfather,starý otec
226,Großmutter::N,grandmother,babička
227,Großmutter::N,grandmother,stará mať
228,Eltern::N,parents,rodičia
229,Vater::N,father,otec
230,Mutter::N,mother,mať
231,Mutter::N,mother,matka
232,Sohn::N,son,syn
233,Tochter::N,daughter,dcéra
234,Bruder::N,brother,brat
235,Schwester::N,sister,sestra
236,Onkel::N,uncle,ujo
237,Onkel::N,uncle,strýko
238,Tante::N,aunt,teta
239,Tante::N,aunt,tetka
240,Ehemann::N,husband,muž
241,Ehemann::N,husband,manžel
242,Ehefrau::N,wife,žena
243,Ehefrau::N,wife,manželka
244,Freude::N,joy,radosť
245,Gelächter::N,laughter,smiech
246,Glück::N,happiness,šťastie
247,Kummer::N,grief,žiaľ
248,Kummer::N,grief,zármutok
249,Wunsch::N,wish,prianie
250,Lust::N,desire,chuť
251,Geist::N,spirit,duch
252,Gedanke::N,thought,myšlienka
253,Gedächtnis::N,memory,pamäť
254,Verstand::N,mind,rozum
255,Sinn::N,meaning,zmysel
256,Grund::N,reason,dôvod
257,Grund::N,reason,príčina
258,Wahrheit::N,truth,pravda
259,Gespräch::N,talk,reč
260,Gespräch::N,talk,rozhovor
261,Märchen::N,fairy tale,rozprávka
262,Erzählung::N,story,poviedka
263,Nachricht::N,message,správa
264,Neuigkeit::N,news,novinka
265,Name::N,name,meno
266,Rätsel::N,puzzle,záhada
267,Rätsel::N,puzzle,hádanka
268,Rede::N,speech,reč
269,Sprache::N,language,reč
270,Sprache::N,language,jazyk
271,Stimme::N,voice,hlas
272,Wort::N,word,slovo
273,Zeichen::N,sign,znak
274,Ruf::N,call,volanie
275,Ruf::N,call,zavolanie
276,Lärm::N,noise,hluk
277,Lärm::N,noise,hurhaj
278,Laut::N,sound,zvuk
279,Ton::N,tone,tón
280,Ton::N,tone,zvuk
281,Lied::N,song,pieseň
282,Ruhe::N,calm,pokoj
283,Leute::N,people,ľudia
284,Volk::N,nation,ľud
285,Volk::N,nation,národ
286,Arbeit::N,work,práca
287,Arbeit::N,work,robota
288,Gast::N,guest,hosť
289,Geschenk::N,gift,dar
290,Spiel::N,game,hra
291,Gesellschaft::N,company,spoločnosť
292,Hilfe::N,help,pomoc
293,Freund::N,friend,priateľ
294,Kamerad::N,companion,kamarát
295,Angelegenheit::N,matter,vec
296,Angelegenheit::N,matter,záležitosť
297,Anzahl::N,count,počet
298,Anzahl::N,count,množstvo
299,Art::N,sort,druh
300,Stück::N,piece,kus
301,Stück::N,piece,kúsok
302,Teil::N,part,časť
303,Hälfte::N,half,polka
304,Hälfte::N,half,polovica
305,Kreis::N,circle,kruh
306,Kreuz::N,cross,kríž
307,Linie::N,line,línia
308,Strich::N,stroke,čiara
309,Abstand::N,gap,vzdialenosť
310,Entfernung::N,distance,vzdialenosť
311,Gegend::N,area,kraj
312,Gegend::N,area,krajina
313,Platz::N,space,miesto
314,Ort::N,place,miesto
315,Seite::N,side,bok
316,Seite::N,side,strana
317,Mitte::N,middle,stred
318,Gegenstand::N,item,predmet
319,Sache::N,thing,vec
320,Rand::N,fringe,kraj
321,Rand::N,fringe,okraj
322,Kante::N,edge,hrana
323,Ecke::N,corner,roh
324,Spitze::N,tip,hrot
325,Spitze::N,tip,špička
326,Ende::N,end,koniec
327,Loch::N,hole,diera
328,Winkel::N,angle,kút
329,Muster::N,pattern,vzor
330,Muster::N,pattern,vzorka
331,Größe::N,size,veľkosť
332,Länge::N,length,dĺžka
333,Höhe::N,height,výška
334,Gewicht::N,weight,váha
335,Menge::N,amount,množstvo
336,Haufen::N,heap,hŕba
337,Reihe::N,row,rad
338,Boot::N,boat,čln
339,Ruder::N,oar,veslo
340,Schlitten::N,sleigh,sane
341,Ski::N,ski,lyža
342,Lagerfeuer::N,campfire,táborák
343,Last::N,load,ťarcha
344,Last::N,load,bremeno
345,Gang::N,walk,chôdza
346,Schritt::N,step,krok
347,Norden::N,north,sever
348,Süden::N,south,juh
349,Westen::N,west,západ
350,Osten::N,east,východ
351,Holz::N,wood,drevo
352,Brett::N,board,doska
353,Platte::N,slab,doska
354,Platte::N,slab,platňa
355,Stütze::N,bracket,opora
356,Stange::N,pole,tyč
357,Stock::N,stick,palica
358,Stab::N,staff,palica
359,Rohr::N,pipe,rúra
360,Haus::N,house,dom
361,Heim::N,home,domov
362,Ofen::N,stove,pec
363,Ofen::N,stove,kachle
364,Fußboden::N,floor,dlážka
365,Fußboden::N,floor,podlaha
366,Tisch::N,table,stôl
367,Stuhl::N,chair,stolička
368,Wiege::N,cradle,kolíska
369,Bett::N,bed,lôžko
370,Bett::N,bed,posteľ
371,Regal::N,shelf,regál
372,Regal::N,shelf,polica
373,Kiste::N,box,debna
374,Fenster::N,window,okno
375,Fenster::N,window,oblok
376,Tür::N,door,dvere
377,Tor::N,gate,vráta
378,Zaun::N,fence,plot
379,Zaun::N,fence,ohrada
380,Dach::N,roof,krov
381,Dach::N,roof,strecha
382,Leiter::N,ladder,rebrík
383,Leiter::N,ladder,rebrina
384,Besen::N,broom,metla
385,Spaten::N,spade,rýľ
386,Schaufel::N,shovel,lopata
387,Gabel::N,fork,vidlička
388,Löffel::N,spoon,lyžica
389,Messer::N,knife,nôž
390,Nagel::N,nail,klinec
391,Netz::N,net,sieť
392,Haken::N,hook,hák
393,Haken::N,hook,háčik
394,Griff::N,handle,rukoväť
395,Schloss::N,lock,zámka
396,Bild::N,picture,obraz
397,Figur::N,figure,figúra
398,Puppe::N,doll,bábka
399,Puppe::N,doll,bábika
400,Beutel::N,pouch,vrece
401,Beutel::N,pouch,vrecko
402,Bündel::N,bundle,uzlík
403,Bündel::N,bundle,zväzok
404,Tasche::N,bag,taška
405,Tasche::N,bag,kabelka
406,Eimer::N,bucket,vedro
407,Deckel::N,cover,vrchnák
408,Deckel::N,cover,pokrývka
409,Geschirr::N,dishes,nádoba
410,Sack::N,sack,mech
411,Sack::N,sack,vrece
412,Tasse::N,cup,šálka
413,Topf::N,pot,hrniec
414,Kessel::N,kettle,kotol
415,Essen::N,meal,jedlo
416,Nahrung::N,food,strava
417,Nahrung::N,food,potrava
418,Speise::N,dish,jedlo
419,Fleisch::N,meat,mäso
420,Getreide::N,corn,obilie
421,Brei::N,mush,kaša
422,Brot::N,bread,chlieb
423,Scheibe::N,slice,kotúč
424,Scheibe::N,slice,krajec
425,Fett::N,fat,tuk
426,Fett::N,fat,masť
427,Butter::N,butter,maslo
428,Öl::N,oil,olej
429,Salz::N,salt,soľ
430,Suppe::N,soup,polievka
431,Honig::N,honey,med
432,Milch::N,milk,mlieko
433,Tee::N,tea,čaj
434,Leder::N,leather,koža
435,Wolle::N,wool,vlna
436,Stoff::N,cloth,súkno
437,Nadel::N,needle,ihla
438,Faden::N,thread,niť
439,Faden::N,thread,vlákno
440,Knopf::N,button,gombík
441,Knoten::N,knot,uzol
442,Farbe::N,paint,farba
443,Kleidung::N,clothes,šaty
444,Kleidung::N,clothes,šatstvo
445,Hemd::N,shirt,košeľa
446,Kragen::N,collar,golier
447,Ärmel::N,sleeve,rukáv
448,Hose::N,trousers,nohavice
449,Gürtel::N,belt,pás
450,Gürtel::N,belt,opasok
451,Mütze::N,cap,čiapka
452,Schuh::N,shoe,obuv
453,Schuh::N,shoe,topánka
454,Stiefel::N,boot,čižma
455,Ring::N,ring,prsteň
456,Band::N,ribbon,stuha
457,Kamm::N,comb,hrebeň
458,Spiegel::N,mirror,zrkadlo
459,Riemen::N,strap,remeň
460,Schnur::N,string,šnúra
461,Leine::N,leash,vodidlo
462,Decke::N,blanket,deka
463,Decke::N,blanket,prikrývka
464,Kissen::N,pillow,poduška
465,Tuch::N,scarf,šatka
466,Handtuch::N,towel,uterák
467,Kraft::N,force,moc
468,Stärke::N,strength,sila
469,Gesundheit::N,health,zdravie
470,Krankheit::N,illness,nemoc
471,Krankheit::N,illness,choroba
472,Schmerz::N,pain,bolesť
473,Wunde::N,wound,rana
474,Fieber::N,fever,horúčka
475,Arznei::N,medicine,liek
476,Brücke::N,bridge,most
477,Brunnen::N,well,studňa
478,Weide::N,pasture,pastva
479,Pfad::N,path,chodník
480,Weg::N,way,cesta
481,Straße::N,road,hradská
482,Dorf::N,village,dedina
483,Stadt::N,town,mesto
484,Brief::N,letter,list
485,Buch::N,book,kniha
486,Buchstabe::N,character,litera
487,Buchstabe::N,character,písmeno
488,Zeitung::N,newspaper,noviny
489,Leben::N,life,život
