,Concept_ID,lv,lbe
0,Auge::N,син,я
1,Auge::N,acs,я
2,Ohr::N,пель,вичӏи
3,Ohr::N,auss,вичӏи
4,Nase::N,ныр,май
5,Nase::N,deguns,май
6,Mund::N,вом,кьацӏ
7,Mund::N,mute,кьацӏ
8,Zahn::N,пинь,ккарччи
9,Zahn::N,zobs,ккарччи
10,Zunge::N,кыв,маз
11,Zunge::N,mēle,маз
12,Lippe::N,вом дор,мурччи
13,Lippe::N,lūpa,мурччи
14,Wange::N,бан,чӏав
15,Wange::N,vaigs,чӏав
16,Gesicht::N,чужӧм,лажин
17,Gesicht::N,seja,лажин
18,Gesicht::N,ģīmis,лажин
19,Stirn::N,плеш,ненттабакӏ
20,Stirn::N,кымӧс,ненттабакӏ
21,Stirn::N,piere,ненттабакӏ
22,Haar::N,си,чӏара
23,Haar::N,юрси,чӏара
24,Haar::N,mats,чӏара
25,Schnurrbart::N,ус,ссирссилтту
26,Schnurrbart::N,пыртсим,ссирссилтту
27,Schnurrbart::N,ūsas,ссирссилтту
28,Bart::N,тош,чӏири
29,Bart::N,bārda,чӏири
30,Kinn::N,тшӧка,лунттубакӏ
31,Kinn::N,zods,лунттубакӏ
32,Kinn::N,smakrs,лунттубакӏ
33,Kiefer[Anatomie]::N,черлы,ххинчулул
34,Kiefer[Anatomie]::N,алака лы,ххинчулул
35,Kiefer[Anatomie]::N,вомкӧтш лы,ххинчулул
36,Kiefer[Anatomie]::N,žoklis,ххинчулул
37,Kehle::N,голя,кьакьари
38,Kehle::N,rīkle,кьакьари
39,Hals::N,сьылі,ссурссу
40,Hals::N,kakls,ссурссу
41,Genick::N,юрбӧр,махъабакӏ
42,Genick::N,балябӧж,махъабакӏ
43,Genick::N,sprands,махъабакӏ
44,Kopf::N,юр,бакӏ
45,Kopf::N,galva,бакӏ
46,Rücken::N,мыш,ттиликӏ
47,Rücken::N,mugura,ттиликӏ
48,Bauch::N,рушку,лякьа
49,Bauch::N,vēders,лякьа
50,Nabel::N,гӧг,цӏумуккутӏ
51,Nabel::N,naba,цӏумуккутӏ
52,Busen::N,морӧс,ккукку
53,Busen::N,krūts,ккукку
54,Brust::N,морӧс,хъазам
55,Brust::N,krūts,хъазам
56,Schulter::N,пельпом,хъачӏ
57,Schulter::N,plecs,хъачӏ
58,Arm::N,ки,ка
59,Arm::N,roka,ка
60,Arm::N,delms,ка
61,Ellenbogen::N,гырддза,ссюрхъ
62,Ellenbogen::N,elkonis,ссюрхъ
63,Hand::N,ки,бартка
64,Hand::N,roka,бартка
65,Hand::N,plauksta,бартка
66,Handfläche::N,ки пыдӧс,хъат
67,Handfläche::N,ки пыдӧс,битӏянхъ
68,Handfläche::N,delna,хъат
69,Handfläche::N,delna,битӏянхъ
70,Handfläche::N,plauksta,хъат
71,Handfläche::N,plauksta,битӏянхъ
72,Finger::N,чунь,кӏисса
73,Finger::N,pirksts,кӏисса
74,Fingernagel::N,гыж,михь
75,Fingernagel::N,nags,михь
76,Nagel[Anatomie]::N,гыж,михь
77,Nagel[Anatomie]::N,nags,михь
78,Zeh::N,кок чунь,кӏисса
79,Zeh::N,pirksts,кӏисса
80,Fuß::N,кок,чӏанччан
81,Fuß::N,kāja,чӏанччан
82,Ferse::N,кокбӧр,никъа
83,Ferse::N,papēdis,никъа
84,Knie::N,пидзӧс,ник
85,Knie::N,celis,ник
86,Oberschenkel::N,лядьвей,жира
87,Oberschenkel::N,бек,жира
