,Concept_ID,fr,cy
0,Auge::N,œil,llygad
1,Ohr::N,oreille,clust
2,Nase::N,nez,trwyn
3,Mund::N,bouche,ceg
4,Zahn::N,dent,dant
5,Zunge::N,langue,tafod
6,Lippe::N,lèvre,gwefus
7,Wange::N,joue,boch
8,Gesicht::N,face,wyneb
9,Gesicht::N,visage,wyneb
10,Stirn::N,front,talcen
11,Haar::N,cheveu,blew
12,Schnurrbart::N,moustache,mwstas
13,Bart::N,barbe,barf
14,Kinn::N,menton,gên
15,Kiefer[Anatomie]::N,mâchoire,gên
16,Kehle::N,gorge,gwddf
17,Hals::N,cou,gwddf
18,Genick::N,nuque,gwar
19,Genick::N,nuque,gwegil
20,Kopf::N,tête,pen
21,Rücken::N,dos,cefn
22,Bauch::N,ventre,bol
23,Nabel::N,nombril,bogail
24,Busen::N,sein,bron
25,Brust::N,poitrine,brest
26,Schulter::N,épaule,ysgwydd
27,Arm::N,bras,braich
28,Ellenbogen::N,coude,penelin
29,Hand::N,main,llaw
30,Handfläche::N,paume,palf
31,Finger::N,doigt,bys
32,Fingernagel::N,ongle,ewin
33,Nagel[Anatomie]::N,ongle,ewin
34,Zeh::N,orteil,bys troed
35,Zeh::N,doigt de pied,bys troed
36,Fuß::N,pied,troed
37,Ferse::N,talon,sawdl
38,Knie::N,genou,glin
39,Oberschenkel::N,cuisse,clun
40,Bein::N,jambe,coes
41,Körper::N,corps,corff
42,Haut::N,peau,croen
43,Blut::N,sang,gwaed
44,Ader::N,veine,gwythïen
45,Sehne::N,tendon,gewyn
46,Knochen::N,os,asgwrn
47,Gehirn::N,cerveau,ymennydd
48,Herz::N,cœur,calon
49,Magen::N,estomac,cylla
50,Magen::N,estomac,stumog
51,Leber::N,foie,iau
52,Atem::N,haleine,anadl
53,Hunger::N,faim,newyn
54,Träne::N,larme,deigryn
55,Geschmack::N,goût,cyflas
56,Geschmack::N,saveur,cyflas
57,Geruch::N,odeur,aroglau
58,Schlaf::N,sommeil,cwsg
59,Traum::N,songe,breuddwyd
60,Himmel::N,ciel,awyr
61,Sonne::N,soleil,haul
62,Mond::N,lune,lleuad
63,Stern::N,étoile,seren
64,Luft::N,air,awyr
65,Wind::N,vent,gwynt
66,Welle::N,vague,ton
67,Wasser::N,eau,dŵr
68,Stein::N,pierre,carreg
69,Boden::N,sol,llawr
70,Boden::N,terrain,llawr
71,Erde::N,terre,pridd
72,Staub::N,poussière,llwch
73,Rauch::N,fumée,mwg
74,Funke::N,étincelle,gwreichioni
75,Feuer::N,feu,tân
76,Licht::N,lumière,golau
77,Schatten::N,ombre,cysgod
78,Wetter::N,temps,tywydd
79,Nebel::N,brume,niwl
80,Nebel::N,brouillard,niwl
81,Wolke::N,nuage,cwmwl
82,Regen::N,pluie,glaw
83,Schnee::N,neige,ôd
84,Schnee::N,neige,eira
85,Eis::N,glace,iâ
86,Frost::N,gel,rhew
87,Frost::N,gelée,rhew
88,Kälte::N,froid,oerni
89,Kälte::N,froid,annwyd
90,Hitze::N,chaleur,gwres
91,Raureif::N,givre,barrug
92,Regenbogen::N,arc-en-ciel,enfys
93,Donner::N,tonnerre,tyrfau
94,Strömung::N,courant,cerrynt
95,Tropfen::N,goutte,dafn
96,Tropfen::N,goutte,diferyn
97,Schaum::N,écume,ewyn
98,Schaum::N,mousse,ewyn
99,Schmutz::N,boue,baw
100,Schmutz::N,boue,budreddi
101,Schmutz::N,saleté,baw
102,Schmutz::N,saleté,budreddi
103,See::N,lac,llyn
104,Sumpf::N,marais,cors
105,Sumpf::N,marécage,cors
106,Moor::N,tourbière,rhos
107,Wiese::N,pré,dôl
108,Wald::N,bois,coedwig
109,Wald::N,forêt,coedwig
110,Hügel::N,coteau,bryn
111,Hügel::N,colline,bryn
112,Anhöhe::N,éminence,bryn
113,Anhöhe::N,élévation,bryn
114,Berg::N,mont,mynydd
115,Berg::N,montagne,mynydd
116,Gipfel::N,cime,copa
117,Gipfel::N,sommet,copa
118,Höhle::N,caverne,ogof
119,Abhang::N,pente,llethr
120,Abhang::N,versant,llethr
121,Quelle::N,source,tarddiad
122,Quelle::N,source,ffynhonnell
123,Quelle::N,fontaine,tarddiad
124,Quelle::N,fontaine,ffynhonnell
125,Bach::N,ruisseau,nant
126,Bach::N,ruisseau,afonig
127,Bach::N,ruisseau,cornant
128,Fluss::N,fleuve,afon
129,Fluss::N,rivière,afon
130,Ufer::N,bord,glan
131,Ufer::N,rivage,glan
132,Küste::N,côte,traeth
133,Küste::N,côte,arfordir
134,Festland::N,terre ferme,tir
135,Meer::N,mer,môr
136,Bucht::N,baie,bae
137,Insel::N,île,ynys
138,Blume::N,fleur,blodyn
139,Gras::N,herbe,glaswellt
140,Wurzel::N,racine,gwreiddyn
141,Baum::N,arbre,coeden
142,Stamm::N,tronc,colfen
143,Stamm::N,tronc,boncyff
144,Rinde::N,écorce,rhisgl
145,Ast::N,branche,cangen
146,Zweig::N,rameau,cainc
147,Zweig::N,rameau,cangen
148,Blatt::N,feuille,deilen
149,Birke::N,bouleau,bedwen
150,Kiefer[Baum]::N,pin,pinwydden
151,Weide[Baum]::N,saule,helygen
152,Tanne::N,sapin,ffynidwydden
153,Horn::N,corne,corn
154,Feder::N,plume,plufyn
155,Fell::N,peau,ffwr
156,Flügel::N,aile,adain
157,Klaue::N,serre,crafanc
158,Kralle::N,ongle,ewin
159,Kralle::N,griffe,ewin
160,Schwanz::N,queue,cwt
161,Schwanz::N,queue,cynffon
162,Ei::N,œuf,wy
163,Nest::N,nid,nyth
164,Bau::N,terrier,ffau
165,Tier::N,animal,anifail
166,Herde::N,troupeau,praidd
167,Herde::N,troupeau,diadell
168,Kuh::N,vache,buwch
169,Bulle::N,taureau,tarw
170,Pferd::N,cheval,ceffyl
171,Schaf::N,mouton,dafad
172,Schwein::N,porc,mochyn
173,Schwein::N,cochon,mochyn
174,Hund::N,chien,ci
175,Katze::N,chat,cath
176,Bär::N,ours,arth
177,Eichhörnchen::N,écureuil,gwiwer
178,Elch::N,élan,elc
179,Fuchs::N,renard,cadno
180,Hase::N,lièvre,ysgyfarnog
181,Maus::N,souris,llygoden
182,Wolf::N,loup,blaidd
183,Vogel::N,oiseau,aderyn
184,Schwarm::N,nuée,haid
185,Schwarm::N,volée,haid
