,Concept_ID,kn,ga
0,Auge::N,ಕಣ್ಣು,súil
1,Ohr::N,ಕಿವಿ,cluas
2,Nase::N,ಮೂಗು,soc
3,Mund::N,ಬಾಯಿ,béal
4,Zahn::N,ಹಲ್ಲು,fiacail
5,Zunge::N,ನಾಲಿಗೆ,teanga
6,Lippe::N,ತುಟಿ,liopa
7,Wange::N,ಗಲ್ಲ,grua
8,Wange::N,ಗಲ್ಲ,leiceann
9,Gesicht::N,ಮುಖ,éadan
10,Gesicht::N,ಮುಖ,aghaidh
11,Stirn::N,ಹಣೆ,baithis
12,Stirn::N,ಹಣೆ,clár éadain
13,Haar::N,ಕೂದಲು,gruaig
14,Schnurrbart::N,ಮೀಸೆ,croiméal
15,Bart::N,ಗಡ್ಡ,féasóg
16,Kinn::N,ಗದ್ದ,smig
17,Kiefer[Anatomie]::N,ದವಡೆ,giall
18,Kehle::N,ಗಂಟಲು,scornach
19,Hals::N,ಕೊರಳು,muinéal
20,Genick::N,ಹಿಂಗತ್ತು,baic
21,Kopf::N,ತಲೆ,ceann
22,Rücken::N,ಬೆನ್ನು,droim
23,Bauch::N,ಹೊಟ್ಟೆ,bolg
24,Nabel::N,ಹೊಕ್ಕುಳು,imleacán
25,Busen::N,ಸ್ತನ,cíoch
26,Brust::N,ಎದೆ,brollach
27,Schulter::N,ಭುಜ,gualainn
28,Arm::N,ತೋಳು,lámh
29,Ellenbogen::N,ಮೊಣಕೈ,uillinn
30,Hand::N,ಕೈ,lámh
31,Handfläche::N,ಅಂಗೈ,bos
32,Finger::N,ಕೈಬೆರಳು,méar
33,Fingernagel::N,ಉಗುರು,ionga
34,Nagel[Anatomie]::N,ಉಗುರು,ionga
35,Zeh::N,ಕಾಲ್ಬೆರಳು,ladhar
36,Fuß::N,ಪಾದ,cos
37,Fuß::N,ಪಾದ,troigh
38,Ferse::N,ಹಿಮ್ಮಡಿ,sáil
39,Knie::N,ಮಂಡಿ,glúin
40,Oberschenkel::N,ತೊಡೆ,ceathrú
41,Bein::N,ಕಾಲು,cos
42,Körper::N,ದೇಹ,corp
43,Körper::N,ದೇಹ,colainn
44,Haut::N,ಚರ್ಮ,cneas
45,Haut::N,ಚರ್ಮ,craiceann
46,Blut::N,ರಕ್ತ,fuil
47,Ader::N,ನರ,
48,Sehne::N,ನರ,teannán
49,Sehne::N,ನರ,féitheog
50,Knochen::N,ಮೂಳೆ,cnámh
51,Gehirn::N,ಮಿದುಳು,inchinn
52,Herz::N,ಹೃದಯ,croí
53,Magen::N,ಉದರ,bolg
54,Magen::N,ಉದರ,goile
55,Leber::N,ಯಕೃತ್ತು,ae
56,Atem::N,ಉಸಿರು,anáil
57,Hunger::N,ಹಸಿವು,ocras
58,Träne::N,ಕಣ್ಣೀರು,deoir
59,Geschmack::N,ರುಚಿ,blas
60,Geruch::N,ವಾಸನೆ,boladh
61,Schlaf::N,ನಿದ್ರೆ,suan
62,Schlaf::N,ನಿದ್ರೆ,codladh
63,Traum::N,ಕನಸು,taibhreamh
64,Himmel::N,ಬಾನು,spéir
65,Sonne::N,ಸೂರ್ಯ,grian
66,Mond::N,ಚಂದ್ರ,ré
67,Mond::N,ಚಂದ್ರ,gealach
68,Stern::N,ಚುಕ್ಕಿ,rinn
69,Stern::N,ಚುಕ್ಕಿ,réalta
70,Luft::N,ವಾಯು,aer
71,Wind::N,ಗಾಳಿ,gaoth
72,Welle::N,ಅಲೆ,tonn
73,Wasser::N,ನೀರು,uisce
74,Stein::N,ಕಲ್ಲು,cloch
75,Boden::N,ನೆಲ,talamh
76,Erde::N,ಭೂಮಿ,cré
77,Erde::N,ಭೂಮಿ,ithir
78,Staub::N,ದೂಳು,dusta
79,Staub::N,ದೂಳು,deannach
80,Rauch::N,ಹೊಗೆ,toit
81,Rauch::N,ಹೊಗೆ,deatach
82,Funke::N,ಕಿಡಿ,drithle
83,Feuer::N,ಬೆಂಕಿ,tine
84,Licht::N,ಬೆಳಕು,solas
85,Schatten::N,ನೆರಳು,scáth
86,Wetter::N,ಹವ,aimsir
87,Nebel::N,ಮಂಜು,ceo
88,Wolke::N,ಮೋಡ,néal
89,Wolke::N,ಮೋಡ,scamall
90,Regen::N,ಮಳೆ,báisteach
91,Regen::N,ಮಳೆ,fearthainn
92,Schnee::N,ಹಿಮ,sneachta
93,Eis::N,ಮಂಜುಗಡ್ಡೆ,oighear
94,Frost::N,ಮಂಜು,sioc
95,Kälte::N,ಹಿಮ,fuacht
96,Hitze::N,ಉಷ್ಣ,teas
97,Hitze::N,ಉಷ್ಣ,teocht
98,Raureif::N,ಇಬ್ಬನಿ,sioc bán
99,Regenbogen::N,ಇಂದ್ರಚಾಪ,stua ceatha
100,Regenbogen::N,ಇಂದ್ರಚಾಪ,bogha báistí
101,Donner::N,ಗುಡುಗು,toirneach
102,Strömung::N,ಪ್ರವಾಹ,sruth
103,Tropfen::N,ತೊಟ್ಟು,deoir
104,Schaum::N,ನೊರೆ,cúr
105,Schmutz::N,ಕಸ,salachar
106,See::N,ಸರೋವರ,loch
107,Sumpf::N,ಜೌಗುಸ್ಥಳ,portach
108,Moor::N,ಬಂಜರು ಭೂಮಿ,caorán
109,Moor::N,ಬಂಜರು ಭೂಮಿ,móinteán
110,Wiese::N,ಹುಲ್ಲುಗಾವಲು,cluain
111,Wiese::N,ಹುಲ್ಲುಗಾವಲು,móinéar
112,Wald::N,ಕಾಡು,coill
113,Wald::N,ಕಾಡು,foraois
114,Hügel::N,ಗುಡ್ಡೆ,ard
115,Anhöhe::N,ದಿಬ್ಬ,ard
116,Anhöhe::N,ದಿಬ್ಬ,ardán
117,Berg::N,ಮಲೆ,sliabh
118,Berg::N,ಪರ್ವತ,sliabh
119,Gipfel::N,ಶೃಂಗ,barr
120,Gipfel::N,ಶೃಂಗ,mullach
121,Höhle::N,ಗುಹೆ,uaimh
