,Concept_ID,,is
0,Auge::N,,auga
1,Ohr::N,,eyra
2,Nase::N,,nef
3,Mund::N,,munnur
4,Zahn::N,,tönn
5,Zunge::N,,tunga
6,Lippe::N,,vör
7,Wange::N,,kinn
8,Wange::N,,vangi
9,Gesicht::N,,andlit
10,Stirn::N,,enni
11,Haar::N,,hár
12,Schnurrbart::N,,yfirskegg
13,Bart::N,,skegg
14,Kinn::N,,haka
15,Kiefer[Anatomie]::N,,kjálki
16,Kiefer[Anatomie]::N,,skoltur
17,Kehle::N,,kverk
18,Hals::N,,háls
19,Genick::N,,hnakki
20,Kopf::N,,höfuð
21,Rücken::N,,hryggur
22,Bauch::N,,kviður
23,Nabel::N,,nafli
24,Busen::N,,barmur
25,Brust::N,,brjóst
26,Schulter::N,,öxl
27,Arm::N,,armur
28,Ellenbogen::N,,olnbogi
29,Hand::N,,hönd
30,Handfläche::N,,lófi
31,Finger::N,,fingur
32,Fingernagel::N,,fingurnögl
33,Nagel[Anatomie]::N,,nögl
34,Zeh::N,,tá
35,Fuß::N,,fótur
36,Ferse::N,,hæll
37,Knie::N,,kné
38,Oberschenkel::N,,læri
39,Bein::N,,fótleggur
40,Körper::N,,búkur
41,Körper::N,,líkami
42,Haut::N,,húð
43,Haut::N,,skinn
44,Blut::N,,blóð
45,Ader::N,,æð
46,Sehne::N,,sin
47,Knochen::N,,bein
48,Gehirn::N,,heili
49,Herz::N,,hjarta
50,Magen::N,,magi
51,Leber::N,,lifur
52,Atem::N,,andi
53,Atem::N,,andardráttur
54,Hunger::N,,hungur
55,Träne::N,,tár
56,Geschmack::N,,smekkur
57,Geruch::N,,lykt
58,Schlaf::N,,svefn
59,Traum::N,,draumur
60,Himmel::N,,himinn
61,Sonne::N,,sól
62,Mond::N,,tungl
63,Stern::N,,stjarna
64,Luft::N,,loft
65,Wind::N,,vindur
66,Welle::N,,alda
67,Welle::N,,bylgja
68,Wasser::N,,vatn
69,Stein::N,,steinn
70,Boden::N,,botn
71,Erde::N,,jörð
72,Staub::N,,ryk
73,Staub::N,,duft
74,Rauch::N,,reykur
75,Funke::N,,neisti
76,Feuer::N,,eldur
77,Licht::N,,ljós
78,Schatten::N,,skuggi
79,Wetter::N,,veður
80,Nebel::N,,þoka
81,Wolke::N,,ský
82,Regen::N,,regn
83,Schnee::N,,snjór
84,Eis::N,,ís
85,Frost::N,,frost
86,Kälte::N,,kuldi
87,Hitze::N,,hiti
88,Raureif::N,,hrím
89,Regenbogen::N,,regnbogi
90,Donner::N,,þruma
91,Strömung::N,,straumur
92,Tropfen::N,,dropi
93,Schaum::N,,froða
94,Schmutz::N,,óhreinindi
95,See::N,,stöðuvatn
96,Sumpf::N,,fen
97,Moor::N,,mýri
98,Wiese::N,,engi
99,Wald::N,,skógur
100,Hügel::N,,hæð
101,Hügel::N,,hóll
102,Anhöhe::N,,hæð
103,Anhöhe::N,,hóll
104,Berg::N,,fell
105,Berg::N,,fjall
106,Gipfel::N,,tindur
107,Höhle::N,,hellir
108,Abhang::N,,hlíð
109,Abhang::N,,brekka
110,Quelle::N,,lind
111,Quelle::N,,uppspretta
112,Bach::N,,lækur
113,Fluss::N,,á
114,Fluss::N,,fljót
115,Ufer::N,,árbakki
116,Ufer::N,,sjávarbakki
117,Küste::N,,strönd
118,Festland::N,,meginland
119,Meer::N,,haf
120,Meer::N,,sjór
121,Bucht::N,,vík
122,Insel::N,,eyja
123,Blume::N,,blóm
124,Gras::N,,gras
125,Wurzel::N,,rót
126,Baum::N,,tré
127,Stamm::N,,stofn
128,Rinde::N,,börkur
129,Ast::N,,grein
130,Zweig::N,,angi
131,Zweig::N,,kvistur
132,Blatt::N,,blað
133,Birke::N,,birki
134,Kiefer[Baum]::N,,fura
135,Weide[Baum]::N,,víðir
136,Tanne::N,,greni
137,Horn::N,,horn
138,Feder::N,,fjöður
139,Fell::N,,skinn
140,Flügel::N,,vængur
141,Klaue::N,,kló
142,Kralle::N,,kló
143,Schwanz::N,,rófa
144,Schwanz::N,,skott
145,Ei::N,,egg
146,Nest::N,,hreiður
147,Bau::N,,greni
148,Bau::N,,bæli
149,Tier::N,,dýr
150,Herde::N,,hjörð
151,Kuh::N,,kýr
152,Bulle::N,,boli
153,Pferd::N,,hestur
154,Schaf::N,,kind
155,Schwein::N,,svín
156,Hund::N,,hundur
157,Katze::N,,köttur
158,Bär::N,,björn
159,Eichhörnchen::N,,íkorni
160,Elch::N,,elgur
161,Fuchs::N,,refur
162,Hase::N,,héri
163,Maus::N,,mús
164,Wolf::N,,úlfur
165,Vogel::N,,fugl
166,Schwarm::N,,sægur
167,Huhn::N,,hæna
168,Hahn::N,,hani
169,Gans::N,,gæs
170,Adler::N,,örn
171,Ente::N,,önd
172,Eule::N,,uggla
173,Kranich::N,,trana
174,Krähe::N,,kráka
175,Kuckuck::N,,gaukur
176,Schwan::N,,svanur
177,Fisch::N,,fiskur
178,Barsch::N,,aborri
179,Hecht::N,,gedda
180,Schlange[Tier]::N,,naðra
181,Wurm::N,,ormur
182,Spinne::N,,kónguló
183,Ameise::N,,maur
184,Laus::N,,lús
185,Mücke::N,,mý
186,Mücke::N,,mýfluga
187,Fliege::N,,fluga
188,Schmetterling::N,,fiðrildi
189,Beere::N,,ber
190,Apfel::N,,epli
191,Pilz::N,,sveppur
192,Zwiebel::N,,laukur
193,Saat::N,,fræ
194,Saat::N,,útsæði
195,Korn::N,,korn
196,Heu::N,,hey
197,Schale::N,,hýði
198,Grube::N,,gryfja
199,Falle::N,,gildra
200,Schlinge::N,,snara
201,Spur::N,,spor
202,Asche::N,,aska
203,Dreck::N,,óþverri
204,Eisen::N,,járn
205,Gold::N,,gull
206,Silber::N,,silfur
207,Kohle::N,,kol
208,Glas::N,,gler
209,Lehm::N,,leir
210,Sand::N,,sandur
211,Mensch::N,,maður
212,Mensch::N,,manneskja
213,Mann::N,,maður
214,Mann::N,,karlmaður
215,Frau::N,,kona
216,Kind::N,,barn
217,Kind::N,,krakki
218,Junge::N,,drengur
219,Mädchen::N,,stelpa
220,Familie::N,,fjölskylda
221,Großvater::N,,afi
222,Großmutter::N,,amma
223,Eltern::N,,foreldrar
224,Vater::N,,faðir
225,Mutter::N,,móðir
226,Sohn::N,,sonur
227,Tochter::N,,dóttir
228,Bruder::N,,bróðir
229,Schwester::N,,systir
230,Onkel::N,,föðurbróðir
231,Tante::N,,frænka
232,Tante::N,,móðursystir
233,Ehemann::N,,eiginmaður
234,Ehefrau::N,,eiginkona
235,Freude::N,,gleði
236,Gelächter::N,,hlátur
237,Glück::N,,gæfa
238,Kummer::N,,sorg
239,Wunsch::N,,ósk
240,Lust::N,,fýsn
241,Lust::N,,löngun
242,Geist::N,,andi
243,Gedanke::N,,hugsun
244,Gedächtnis::N,,minni
245,Verstand::N,,vit
246,Sinn::N,,merking
247,Grund::N,,ástæða
248,Wahrheit::N,,sannleikur
249,Gespräch::N,,samtal
250,Märchen::N,,ævintýri
251,Erzählung::N,,saga
252,Nachricht::N,,frétt
253,Neuigkeit::N,,frétt
254,Name::N,,nafn
255,Rätsel::N,,gáta
256,Rede::N,,ræða
257,Sprache::N,,mál
258,Sprache::N,,tungumál
259,Stimme::N,,rödd
260,Wort::N,,orð
261,Zeichen::N,,tákn
262,Zeichen::N,,merki
263,Ruf::N,,kall
264,Lärm::N,,hávaði
265,Laut::N,,hljóð
266,Ton::N,,tónn
267,Lied::N,,ljóð
268,Lied::N,,söngur
269,Ruhe::N,,ró
270,Ruhe::N,,kyrrð
271,Leute::N,,fólk
272,Volk::N,,þjóð
273,Arbeit::N,,vinna
274,Gast::N,,gestur
275,Geschenk::N,,gjöf
276,Spiel::N,,leikur
277,Gesellschaft::N,,selskapur
278,Hilfe::N,,hjálp
279,Freund::N,,vinur
280,Kamerad::N,,félagi
281,Angelegenheit::N,,mál
282,Angelegenheit::N,,málefni
