,Concept_ID,te,ga
0,Auge::N,కన్ను,súil
1,Ohr::N,చెవి,cluas
2,Nase::N,ముక్కు,soc
3,Mund::N,నోరు,béal
4,Zahn::N,పల్లు,fiacail
5,Zunge::N,నాలుక,teanga
6,Lippe::N,పెదవి,liopa
7,Wange::N,చెంప,grua
8,Wange::N,చెంప,leiceann
9,Gesicht::N,ముఖము,éadan
10,Gesicht::N,ముఖము,aghaidh
11,Stirn::N,నుదురు,baithis
12,Stirn::N,నుదురు,clár éadain
13,Haar::N,వెండ్రుక,gruaig
14,Schnurrbart::N,మీసము,croiméal
15,Bart::N,గడ్డము,féasóg
16,Kinn::N,గడ్డము,smig
17,Kiefer[Anatomie]::N,దౌడ,giall
18,Kehle::N,గొంతు,scornach
19,Hals::N,మెడ,muinéal
20,Genick::N,మూపు,baic
21,Kopf::N,తల,ceann
22,Rücken::N,వెన్ను,droim
23,Bauch::N,కడుపు,bolg
24,Nabel::N,బొడ్డు,imleacán
25,Busen::N,స్తనము,cíoch
26,Brust::N,ఱొమ్ము,brollach
27,Schulter::N,భుజము,gualainn
28,Arm::N,చేయి,lámh
29,Ellenbogen::N,మోచేయి,uillinn
30,Hand::N,చేయి,lámh
31,Handfläche::N,అరచేయు,bos
32,Finger::N,చేతిప్రేలు,méar
33,Fingernagel::N,గోరు,ionga
34,Nagel[Anatomie]::N,గోరు,ionga
35,Zeh::N,కాలిప్రేలు,ladhar
36,Fuß::N,అడుగు,cos
37,Fuß::N,అడుగు,troigh
38,Ferse::N,మడమ,sáil
39,Knie::N,మోకాలు,glúin
40,Oberschenkel::N,తొడ,ceathrú
41,Bein::N,కాలు,cos
42,Körper::N,కాయము,corp
43,Körper::N,కాయము,colainn
44,Haut::N,చర్మము,cneas
45,Haut::N,చర్మము,craiceann
46,Blut::N,రక్తము,fuil
47,Ader::N,సిర,
48,Sehne::N,స్నాయువు,teannán
49,Sehne::N,స్నాయువు,féitheog
50,Knochen::N,ఎముక,cnámh
51,Gehirn::N,మెదడు,inchinn
52,Herz::N,హృదయము,croí
53,Magen::N,కడుపు,bolg
54,Magen::N,కడుపు,goile
55,Leber::N,కాలేయము,ae
56,Atem::N,ఉపిరి,anáil
57,Hunger::N,ఆకలి,ocras
58,Träne::N,కన్నీటిచుక్క,deoir
59,Geschmack::N,రుచి,blas
60,Geruch::N,వాసన,boladh
61,Schlaf::N,నిద్ర,suan
62,Schlaf::N,నిద్ర,codladh
63,Traum::N,కల,taibhreamh
64,Himmel::N,ఆకాశము,spéir
65,Sonne::N,సూర్యుడు,grian
66,Mond::N,చంద్రుడు,ré
67,Mond::N,చంద్రుడు,gealach
68,Stern::N,నక్షత్రము,rinn
69,Stern::N,నక్షత్రము,réalta
70,Luft::N,గాలి,aer
71,Wind::N,వీచుచున్నగాలి,gaoth
72,Welle::N,అల,tonn
73,Wasser::N,నీరు,uisce
74,Stein::N,ఱాయి,cloch
75,Boden::N,నేల,talamh
76,Erde::N,మన్ను,cré
77,Erde::N,మన్ను,ithir
78,Staub::N,దుమ్ము,dusta
79,Staub::N,దుమ్ము,deannach
80,Rauch::N,పొగ,toit
81,Rauch::N,పొగ,deatach
82,Funke::N,అగ్నికణము,drithle
83,Feuer::N,అగ్ని,tine
84,Licht::N,కాంతి,solas
85,Schatten::N,నీడ,scáth
