,Concept_ID,de,fi
0,Auge::N,Auge,silmä
1,Ohr::N,Ohr,korva
2,Nase::N,Nase,nenä
3,Mund::N,Mund,suu
4,Zahn::N,Zahn,hammas
5,Zunge::N,Zunge,kieli
6,Lippe::N,Lippe,huuli
7,Wange::N,Wange,poski
8,Gesicht::N,Gesicht,naama
9,Gesicht::N,Gesicht,kasvot
10,Stirn::N,Stirn,otsa
11,Haar::N,Haar,hius
12,Haar::N,Haar,tukka
13,Schnurrbart::N,Schnurrbart,viikset
14,Bart::N,Bart,parta
15,Kinn::N,Kinn,leuka
16,Kiefer[Anatomie]::N,Kiefer,leukaluu
17,Kehle::N,Kehle,kurkku
18,Hals::N,Hals,kaula
19,Genick::N,Genick,niska
20,Kopf::N,Kopf,pää
21,Rücken::N,Rücken,selkä
22,Bauch::N,Bauch,maha
23,Bauch::N,Bauch,vatsa
24,Nabel::N,Nabel,napa
25,Busen::N,Busen,rinta
26,Brust::N,Brust,rinta
27,Schulter::N,Schulter,olka
28,Schulter::N,Schulter,hartia
29,Schulter::N,Schulter,olkapää
30,Arm::N,Arm,käsivarsi
31,Ellenbogen::N,Ellenbogen,kyynärpää
32,Hand::N,Hand,käsi
33,Handfläche::N,Handfläche,kämmen
34,Finger::N,Finger,sormi
35,Fingernagel::N,Fingernagel,kynsi
36,Nagel[Anatomie]::N,Nagel,kynsi
37,Zeh::N,Zeh,varvas
38,Fuß::N,Fuß,jalka
39,Ferse::N,Ferse,kantapää
40,Knie::N,Knie,polvi
41,Oberschenkel::N,Oberschenkel,reisi
42,Bein::N,Bein,jalka
43,Körper::N,Körper,keho
44,Körper::N,Körper,ruumis
45,Haut::N,Haut,iho
46,Blut::N,Blut,veri
47,Ader::N,Ader,suoni
48,Sehne::N,Sehne,jänne
49,Knochen::N,Knochen,luu
50,Gehirn::N,Gehirn,aivot
51,Herz::N,Herz,sydän
52,Magen::N,Magen,maha
53,Magen::N,Magen,vatsa
54,Leber::N,Leber,maksa
55,Atem::N,Atem,henki
56,Atem::N,Atem,hengitys
57,Hunger::N,Hunger,nälkä
58,Träne::N,Träne,kyynel
59,Geschmack::N,Geschmack,maku
60,Geruch::N,Geruch,haju
61,Schlaf::N,Schlaf,uni
62,Traum::N,Traum,uni
63,Himmel::N,Himmel,taivas
64,Sonne::N,Sonne,aurinko
65,Mond::N,Mond,kuu
66,Stern::N,Stern,tähti
67,Luft::N,Luft,ilma
68,Wind::N,Wind,tuuli
