,Concept_ID,zh,hu
0,Auge::N,眼睛,szem
1,Ohr::N,耳朵,fül
2,Nase::N,鼻子,orr
3,Mund::N,嘴,száj
4,Zahn::N,牙齿,fog
5,Zunge::N,舌头,nyelv
6,Lippe::N,嘴唇,ajak
7,Wange::N,面颊,orca
8,Gesicht::N,脸,arc
9,Stirn::N,额,homlok
10,Haar::N,头发,haj
11,Schnurrbart::N,髭须,bajusz
12,Bart::N,胡子,szakáll
13,Kinn::N,下巴,áll
14,Kiefer[Anatomie]::N,颌,állkapocs
15,Kehle::N,嗓子,gége
16,Kehle::N,嗓子,torok
17,Hals::N,颈,nyak
18,Genick::N,后颈,tarkó
19,Kopf::N,头,fő
20,Kopf::N,头,fej
21,Rücken::N,背,hát
22,Bauch::N,肚子,has
23,Nabel::N,肚脐,köldök
24,Busen::N,胸脯,mell
25,Busen::N,胸脯,kebel
26,Brust::N,胸,mell
27,Schulter::N,肩膀,váll
28,Arm::N,臂膀,kar
29,Ellenbogen::N,肘,könyök
30,Hand::N,手,kéz
31,Handfläche::N,手掌,tenyér
32,Finger::N,手指,ujj
33,Fingernagel::N,指甲,köröm
34,Nagel[Anatomie]::N,指甲,köröm
35,Zeh::N,脚趾,lábujj
36,Fuß::N,脚,láb
37,Ferse::N,后跟,sarok
38,Knie::N,膝,térd
39,Oberschenkel::N,大腿,comb
40,Bein::N,腿,láb
41,Bein::N,腿,lábszár
42,Körper::N,身体,test
43,Haut::N,皮肤,bőr
44,Blut::N,血,vér
45,Ader::N,血管,ér
46,Sehne::N,腱,ín
47,Knochen::N,骨,csont
48,Gehirn::N,脑,agy
49,Gehirn::N,脑,agyvelő
50,Herz::N,心,szív
51,Magen::N,胃,gyomor
52,Leber::N,肝,máj
53,Atem::N,呼吸,lehelet
54,Atem::N,呼吸,lélegzet
55,Hunger::N,饿,éhség
56,Träne::N,眼泪,könny
57,Geschmack::N,味道,íz
58,Geruch::N,气味,szag
59,Schlaf::N,睡眠,álom
60,Schlaf::N,睡眠,alvás
